wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,syntag,textlineid,synfunc
1,1,1,du,du,PREDET:de,25,de+le_S,Pre+Det,100004,
2,1,2,monde,monde,NOM,26,monde1|monde_+IT|CI,N,100004,
3,1,3,et,et,CON:coord,27,et_S,Crd,100004,
4,1,4,les,les,DET:def,28,le_S,Det,100004,
5,1,5,merveilles,merveilles,NOM,29,merveille_*+IT,N,100004,
6,2,1,La,la,DET:def,35,le_S,Det,100006,
7,2,2,seconde,seconde,ADJ:ord,36,secont_C,Adj,100006,
8,2,3,partie,partie,NOM,37,partie_+CIT,N,100006,
9,3,1,COMMENT,comment,ADV,59,coment1|coment_*+T|I,Sub,101001,
10,3,2,SON,son,DET:poss,60,son4_S,Det,101001,
11,3,3,ESPERIT,esperit,NOM,61,esperit_+IT,N,101001,
12,4,1,avoye,avoye,VER,66,avoiier|avoir_+MIMd|+IM,Vfin,101002,
13,4,2,la,la,DET:def,67,le_S,Det,101002,
14,4,3,moitié,moitié,NOM,68,moitié_+IT,N,101002,
15,5,1,de,de,PRE,71,de_+S,Pre,101002,
16,5,2,mon,mon,DET:poss,72,mon1_S,Det,101002,
17,5,3,pelerinage,pelerinage,NOM,73,pelerinage_+T,N,101002,
18,6,1,lassee,lassee,VER,87,lasser_+I,Vpp,101003,
19,6,2,et,et,CON:coord,88,et_S,Crd,101003,
20,6,3,desireuse,desireuse,ADJ,89,<unknown>,Adj,101004,
21,7,1,a,a,PRE,108,a_S,Pre,101005,
22,7,2,vie,vie,NOM,109,vie1|voie_+T|+T,N,101005,
23,7,3,humaine,humaine,ADJ,110,umain_+Z,Adj,101005,
24,7,4,prise,prise,VER,111,prendre|prisier_+CMI|+IM,Vpp,101005,
25,8,1,prise,prise,VER,111,prendre|prisier_+CMI|+IM,Vpp,101005,
26,8,2,et,et,CON:coord,112,et_S,Crd,101005,
27,8,3,receue,receue,VER,113,recevoir_+CIdMMd,Vpp,101005,
28,8,4,",",",",PON,114,",",Pnc,101005,
29,8,5,dites,dites,VER,115,dire_+CMI,Vpp,101006,
30,9,1,et,et,CON:coord,118,et_S,Crd,101006,
31,9,2,me,me,PRO:pers,119,je_S,Prn,101006,
32,9,3,recommandant,recommandant,VER,120,<nolem>,Vprs,101006,
33,10,1,de,de,PRE,130,de_+S,Pre,101007,
34,10,2,repos,repos,NOM,131,repos_+IT,N,101007,
35,10,3,",",",",PON,132,",",Pnc,101007,
36,10,4,traveillable,traveillable,GDF,133,travaillable_G,Adj,101007,a
37,11,1,liez,liez,ADJ,142,lié_I,Vpp,101007,
38,11,2,par,par,PRE,143,par_S,Pre,101007,
39,11,3,la,la,DET:def,144,le_S,Det,101007,
40,11,4,pesanteur,pesanteur,NOM,145,pesantor_*+T,N,101008,
41,12,1,Scipion,scipion,VER,165,<unknown>,N,101009,&
42,12,2,ne,ne,PRO:clit,166,en2_S,Crd,101009,
43,12,3,Joseph,joseph,NPR,167,joseph_Z,N,101010,
44,13,1,les,les,DET:def,173,le_S,Det,101010,
45,13,2,secrez,secrez,NOM,174,secré_Z,N,101010,
46,13,3,du,du,PREDET:de,175,de+le_S,Pre+Det,101010,
47,13,4,Tres,tres,ADV,176,tres|très_I|IIdTd,Adv,101010,
48,13,5,Hault,hault,ADJ,177,haut_+Z,Adj,101010,
49,14,1,du,du,PREDET:de,175,de+le_S,Pre+Det,101010,
50,14,2,Tres,tres,ADV,176,tres|très_I|IIdTd,Adv,101010,
51,14,3,Hault,hault,ADJ,177,haut_+Z,Adj,101010,
52,14,4,aux,aux,PREDET:a,178,a+le_S,Pre+Det,101010,
53,14,5,bien,bien,ADV,179,bien1|bien2|bien_+IT|C|I,Adv,101010,
54,14,6,simples,simples,ADJ,180,simple_*+CIT,Adj,101010,
55,15,1,en,en,PRE,201,en1_+S,Pre,101012,
56,15,2,songe,songe,NOM,202,songe_+IT,N,101012,
57,15,3,",",",",PON,203,",",Pnc,101012,
58,15,4,m',m',PRO:pers,204,je_S,Prn,101012,
59,15,5,a,a,VER,205,avoir_+CMI,Vfin,101012,
60,15,6,samblé,samblé,VER,206,sambler|sanler_*M|M,Vpp,101012,
61,16,1,m',m',PRO:pers,204,je_S,Prn,101012,
62,16,2,a,a,VER,205,avoir_+CMI,Vfin,101012,
63,16,3,samblé,samblé,VER,206,sambler|sanler_*M|M,Vpp,101012,
64,16,4,que,que,PROCON,207,que3_S,Sub,101012,
65,16,5,mon,mon,DET:poss,208,mon1_S,Det,101012,
66,16,6,corps,corps,NOM,209,cors_C,N,101012,
67,17,1,m',m',PRO:pers,215,je_S,Prn,101013,
68,17,2,estoit,estoit,VER,216,ester|estre1_+IM|+I,Vfin,101013,
69,17,3,adont,adont,ADV,217,adonc_+GT,Adv,101013,
70,17,4,avis,avis,NOM,218,avis_+IT,N,101013,a
71,18,1,que,que,PROCON,219,que3_S,Sub,101013,
72,18,2,par,par,PRE,220,par_S,Pre,101013,
73,18,3,le,le,DET:def,221,le_S,Det,101013,
74,18,4,soufflement,soufflement,NOM,222,<unknown>,N,101013,
75,19,1,sur,sur,PRE,240,sor2_+S,Pre,101015,
76,19,2,diverses,diverses,ADJ,241,divers_+I,Adj,101015,
77,19,3,eaues,eaues,NOM,242,aigue_*+C,N,101015,
78,20,1,marchoient,marchoient,VER,269,<unknown>,Vfin,101017,
79,20,2,les,les,DET:def,270,le_S,Det,101017,
80,20,3,abismes,abismes,NOM,271,abisme_*+IT,N,101017,
81,21,1,Clere,clere,ADJ,280,cler_+I,Adj,101018,
82,21,2,face,face,NOM,281,face_+IT,N,101018,c
83,21,3,et,et,CON:coord,282,et_S,Crd,101018,
84,21,4,sanguine,sanguine,NOM,283,sanguin_I,Adj,101018,
85,22,1,face,face,NOM,281,face_+IT,N,101018,c
86,22,2,et,et,CON:coord,282,et_S,Crd,101018,
87,22,3,sanguine,sanguine,NOM,283,sanguin_I,Adj,101018,
88,22,4,avoit,avoit,VER,284,avoiier|avoir_+MI|+MI,Vfin,101018,
89,23,1,innombrables,innombrables,ADJ,293,<unknown>,Adj,101019,
90,23,2,estoilles,estoilles,NOM,294,estoile_*+I,N,101020,
91,24,1,yssoit,yssoit,VER,302,issir_+MI,Vfin,101020,
92,24,2,si,si,DET:poss,303,son4_S,Adv,101020,
93,24,3,grant,grant,ADJ,304,grant_+CIT,Adj,101020,
94,24,4,clarté,clarté,NOM,305,clarté_+IT,N,101020,
95,25,1,que,que,PROCON,306,que3_S,Sub,101020,
96,25,2,tout,tout,PRO:ind,307,tot_S,Prn,101020,
97,25,3,l',l',PRO:pers,308,il_S,Prn,101021,c
98,25,4,enluminoit,enluminoit,VER,309,enluminer_*+IT,Vfin,101021,
99,26,1,et,et,CON:coord,310,et_S,Crd,101021,
100,26,2,jusques,jusques,ADV,311,jusque_Z,Adv,101021,
101,26,3,aux,aux,PREDET:a,312,a+le_S,Pre+Det,101021,
102,26,4,entrailles,entrailles,NOM,313,entraille1|entraille2_*+T|+T,N,101021,
103,27,1,atraioit,atraioit,VER,328,atraire_*+I,Vfin,101022,
104,27,2,si,si,DET:poss,329,son4_S,Adv,101022,
105,27,3,grant,grant,ADJ,330,grant_+CIT,Adj,101022,
106,27,4,hair,háir,VER,331,häir_+IdTd,N,101022,
107,28,1,·II·,·ii·,PRO:clit,343,i2_S,Adj,101023,
108,28,2,conduis,conduis,VER,344,conduire|conduire|conduire_+M|+M|+M,N,101024,
109,28,3,principaux,principaux,ADJ,345,principal_C,Adj,101024,
110,29,1,l',l',DET:def,350,le_S,Det,101024,
111,29,2,un,un,DET:ndf,351,un_S,Prn,101024,
112,29,3,estoit,estoit,VER,352,ester|estre1_+IM|+I,Vfin,101024,
113,29,4,le,le,DET:def,353,le_S,Det,101024,
114,29,5,pertuis,pertuis,NOM,354,pertuis_+IT,N,101024,
115,30,1,estoient,estoient,VER,380,ester|estre1_+M|+I,Vfin,101026,
116,30,2,yces,ycés,DET:demo,381,icel|icest_S|S,Det,101026,
117,30,3,·II·,·ii·,ADJ:card,382,deus|ii_I|C,Adj,101026,
118,31,1,par,par,PRE,394,par_S,Pre,101027,
119,31,2,ou,ou,PRO:invar,395,o5_S,Sub,101027,
120,31,3,repeus,repeus,VER,396,<unknown>,Vpp,101027,
121,31,4,estoit,estoit,VER,397,ester|estre1_+IM|+I,Vfin,101027,
122,32,1,mais,mais,CON:coord,407,mais_S,Crd,101028,
123,32,2,par,par,PRE,408,par_S,Pre,101028,
124,32,3,l',l',DET:def,409,le_S,Det,101028,
125,32,4,autre,autre,ADJ,410,autre_CIId,Adj,101028,
126,32,5,conduit,conduit,NOM,411,conduit_+IT,N,101029,
127,33,1,de,de,PRE,421,de_+S,Pre,101029,
128,33,2,ceste,ceste,DET:demo,422,cest_S,Det,101029,
129,33,3,creature,creature,NOM,423,crïature_+Td,N,101029,
130,34,1,tres,tres,ADV,429,tres|très_I|IIdTd,Adv,101030,
131,34,2,sobtilment,sobtilment,ADV,430,<unknown>,Adv,101030,
132,34,3,ouvree,ouvree,VER,431,ovrer_*+M,Vpp,101030,
133,35,1,et,et,CON:coord,436,et_S,Crd,101031,
134,35,2,de,de,PRE,437,de_+S,Pre,101031,
135,35,3,longue,longue,ADJ,438,lonc_+IT,Adj,101031,
136,35,4,duree,duree,NOM,439,duree_+IT,N,101031,
137,36,1,En,en,PRE,441,en1_+S,Pre,101031,
138,36,2,son,son,DET:poss,442,son4_S,Det,101031,
139,36,3,front,front,NOM,443,front_+IT,N,101031,
140,36,4,bien,bien,ADV,444,bien1|bien2|bien_+IT|C|I,Adv,101031,
141,36,5,portrait,portrait,VER,445,<nolem>,Vpp,101031,
142,37,1,n',n',PRO:clit,472,en2_S,Neg,101033,
143,37,2,avoit,avoit,VER,473,avoiier|avoir_+MI|+MI,Vfin,101033,
144,37,3,riens,riens,ADV,474,riens_Z,N,101033,
145,37,4,de,de,PRE,475,de_+S,Pre,101033,
146,37,5,difforme,difforme,VER,476,<unknown>,Adj,101033,
147,38,1,de,de,PRE,475,de_+S,Pre,101033,
148,38,2,difforme,difforme,VER,476,<unknown>,Adj,101033,
149,38,3,",",",",PON,477,",",Pnc,101033,
150,38,4,excepté,excepté,VER,478,excepter_*+T,Vpp,101033,
151,39,1,excepté,excepté,VER,478,excepter_*+T,Vpp,101033,
152,39,2,que,que,PROCON,479,que3_S,Sub,101033,
153,39,3,par,par,PRE,480,par_S,Pre,101034,
154,39,4,fois,fois,NOM,481,fais|foi|foiz_+T|+C|+CT,N,101034,
155,40,1,COMMENT,comment,ADV,527,coment1|coment_*+T|I,Sub,102001,
156,40,2,LEDIT,ledit,VER,528,<nolem>,Det+Vpp,102001,
157,40,3,YMAGE,ymage,NOM,529,image_+IT,N,102001,
158,41,1,Delez,delez,PRE,532,dalez_S,Pre,102002,
159,41,2,ledit,ledit,VER,533,<nolem>,Det+Vpp,102002,
160,41,3,ymage,ymage,NOM,534,image_+IT,N,102002,
161,42,1,de,de,PRE,541,de_+S,Pre,102002,
162,42,2,fourme,fourme,NOM,542,forme_*+CIT,N,102003,
163,42,3,femminine,femminine,NOM,543,<unknown>,Adj,102003,
164,43,1,d',d',PRE,550,de_+S,Pre,102003,
