wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,syntag,syntag2,lemma,textlineid,synfunc,syllabified
1,1,1,LIVRE,livre,NOM,12,lievre|livre2|livre3_+T|+IT|+IT,N,N,,100003,,'C/V\.C/(e)\
2,1,2,EST,est,VER,13,ester|estre1_+M|+I,Vfin,Vfin,être1|ester,100003,,/V\
3,1,3,PARTI,parti,VER,14,partir_+IM,Vpp,Vpp,partir,100003,,C/V\.'C/V\
4,1,4,EN,en,PRE,15,en1_+S,Pre,Pre,en1,100003,,/V\
5,1,5,TROIS,trois,ADJ:card,16,trois1|trois_T|CI,QIs,QIs,3,100003,,C/V\
6,1,6,PARTIES,parties,NOM,17,partie_+CI,N,N,,100003,,C/V\.'C/V\./e\
7,2,1,parle,parle,VER,21,parler_+M,Vfin,Vfin,parler,100004,,'C/V\.C/(e)\
8,2,2,de,de,PRE,22,de_+S,Pre,Pre,de,100004,,C/(e)\
9,2,3,l',l',DET:def,23,le_S,Det,Det,le,100004,,C/\
10,2,4,ymage,ymage,NOM,24,image_+IT,N,N,,100004,,/V\.'C/V\.C/(e)\
11,2,5,du,du,PREDET:de,25,de+le_S,Pre+Det,Pre+Det,de+le,100004,,C/V\
12,2,6,monde,monde,NOM,26,monde1|monde_+IT|CI,N,N,,100004,,'C/V\.C/(e)\
13,3,1,et,et,CON:coord,27,et_S,Crd,Crd,et,100004,,/V\
14,3,2,les,les,DET:def,28,le_S,Det,Det,le,100004,,C/V\
15,3,3,merveilles,merveilles,NOM,29,merveille_*+IT,N,N,,100004,,C/V\.'C/V\.C/e\
16,3,4,que,que,PROCON,30,que3_S,Qux,Qux,que,100005,c,C/(e)\
17,3,5,elle,elle,PRO:pers,31,il_S,Prn,Prn$,3p,100005,s,'/V\.C/(e)\
18,3,6,y,y,PRO:clit,32,i2_S,Prn,Prn$$,y,100005,,/V\
19,3,7,vid,vid,VER,33,voir_M,Vfin,Vfin,voir1,100005,,C/V\
20,4,1,parle,parle,VER,38,parler_+M,Vfin,Vfin,parler,100006,,'C/V\.C/(e)\
21,4,2,de,de,PRE,39,de_+S,Pre,Pre,de,100006,,C/(e)\
22,4,3,Dame,dame,NOM,40,dam|dame|dan2_+T|+CIT|+T,N,N,,100006,,'C/V\.C/(e)\
23,4,4,Oppinion,oppinion,NOM,41,opinïon_*+Td,N,N,,100006,,/V\.C/V\.C/{V}\.'/V\
24,5,1,et,et,CON:coord,88,et_S,Crd,Crd,et,101003,,/V\
25,5,2,desireuse,desireuse,ADJ,89,<unknown>,Adj,Adj,,101004,,C/V\.C/V\.'C/V\.C/(e)\
26,5,3,de,de,PRE,90,de_+S,Pre,Pre,de,101004,,C/(e)\
27,5,4,heberge,heberge,VER,91,herbergier_+M,N,N,,101004,,C/V\.'C/V\.C/(e)\
28,6,1,prise,prise,VER,111,prendre|prisier_+CMI|+IM,Vpp,Vpp,prendre,101005,,'C/V\.C/(e)\
29,6,2,et,et,CON:coord,112,et_S,Crd,Crd,et,101005,,/V\
30,6,3,receue,receue,VER,113,recevoir_+CIdMMd,Vpp,Vpp,recevoir,101005,,C/V\.C/(V)\.'/V\./(e)\
31,6,4,",",",",PON,114,",",Pnc,Pnc,,101005,,
32,6,5,dites,dites,VER,115,dire_+CMI,Vpp,Vpp,dire,101006,,'C/V\.C/e\
33,6,6,graces,graces,NOM,116,grace_+CI,N,N,,101006,o,'C/V\.C/e\
34,7,1,graces,graces,NOM,116,grace_+CI,N,N,,101006,o,'C/V\.C/e\
35,7,2,",",",",PON,117,",",Pnc,Pnc,,101006,,
36,7,3,et,et,CON:coord,118,et_S,Crd,Crd,et,101006,,/V\
37,7,4,me,me,PRO:pers,119,je_S,Prn,Prn$$,1ps,101006,,C/(e)\
38,7,5,recommandant,recommandant,VER,120,<nolem>,Vprs,Vprs,recommander,101006,,C/V\.C/V\.C/V\.'C/V\
39,8,1,Et,et,CON:coord,135,et_S,Crd,Crd,et,101007,,/V\
40,8,2,comme,comme,VER,136,commer_M,Sub,Sub,comme,101007,,'C/V\.C/(e)\
41,8,3,tost,tost,ADV,137,tost1|tost_+T|CI,Adv,Adv,tôt,101007,,C/V\
42,8,4,aprés,aprés,ADV,138,après_I,PrA,PrA,après,101007,,/V\.'C/V\
