wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,para_id,syntag,syntag2,lemma,synfunc,syllabified
1,1,1,a,a,PRE,12,a_S,1,Pre,Pre,à,,/V\
2,1,2,tous,tous,DET:ind,13,tot_S,1,QIs,QIs,tout,,C/V\
3,1,3,ceulx,ceulx,PRO:demo,14,cel_S,1,Dem,Dem,cil,,C/V\
4,1,4,qui,qui,PROCON,15,qui_S,1,Qux,Qux,qui,s,C/V\
5,1,5,mon,mon,DET:poss,16,mon1_S,1,Det,Det,mon1,,C/V\
6,1,6,livre,livre,NOM,17,lievre|livre2|livre3_+T|+IT|+IT,1,N,N,,,'C/V\.C/(e)\
7,1,7,orront,orront,VER,18,öir_+I,1,Vfin,Vfin,ouïr,,/V\.'C/V\
8,2,1,que,que,PROCON,19,que3_S,1,Sub,Sub,que,,C/(e)\
9,2,2,",",",",PON,20,",",1,Pnc,Pnc,,,
10,2,3,se,se,PRO:pers,21,soi1_S,1,Sub,Sub,si3,,C/(e)\
11,2,4,je,je,PRO:pers,22,je_S,1,Prn,Prn$,1ps,s,C/(e)\
12,2,5,di,di,VER,23,dire_+MI,1,Vfin,Vfin,dire,,C/V\
13,2,6,aucune,aucune,DET:ind,24,aucun_S,1,QIs,QIs,aucun,,/V\.'C/V\.C/(e)\
14,2,7,chose,chose,NOM,25,chose_+CIT,1,N,N,,,'C/V\.C/(e)\
15,3,1,qui,qui,PROCON,79,qui_S,1,Qux,Qux,qui,s,C/V\
16,3,2,puist,puist,VER,80,pöoir_+I,1,Vfin,Vfin,pouvoir2,,C/V\
17,3,3,dire,dire,VER,81,dire_+MIT,1,Vinf,Vinf,dire,,'C/V\.C/(e)\
18,3,4,a,a,PRE,82,a_S,1,Pre,Pre,à,,/V\
19,3,5,la,la,DET:def,83,le_S,1,Det,Det,le,,C/V\
20,3,6,volenté,volenté,NOM,84,volenté_+IT,1,N,N,,,C/V\.C/V\.'C/V\
21,4,1,car,car,CON:coord,111,car_S,1,Crd,Crd,car,,C/V\
22,4,2,je,je,PRO:pers,112,je_S,1,Prn,Prn$,1ps,s,C/(e)\
23,4,3,l',l',PRO:pers,113,il_S,1,Prn,Prn$$,3p,c,C/\
24,4,4,ay,ay,VER,114,aidier|avoir_+Md|+CMI,1,Vfin,Vfin,avoir1,,/V\
25,4,5,fait,fait,VER,115,faire|farre_+CMI|M,1,Vpp,Vpp,faire,,C/V\
26,4,6,a,a,PRE,116,a_S,1,Pre,Pre,à,,/V\
27,4,7,la,la,DET:def,117,le_S,1,Det,Det,le,,C/V\
28,4,8,priere,priere,NOM,118,priiere_+CI,1,N,N,,,C/V\.'C/V\.C/(e)\
29,5,1,et,et,CON:coord,119,et_S,1,Crd,Crd,et,,/V\
30,5,2,requeste,requeste,NOM,120,requeste_+CIT,1,N,N,,,C/V\.'C/V\.C/(e)\
31,5,3,d',d',PRE,121,de_+S,1,Pre,Pre,de,,C/\
32,5,4,un,un,DET:ndf,122,un_S,1,QIs,QIs,un,,/V\
33,5,5,mien,mien,ADJ:poss,123,mien_S,1,Adj,Adj,mon1,,C/V\
34,5,6,seigneur,seigneur,NOM,124,seignor_+CI,1,N,N,,,C/V\.'C/V\
35,6,1,car,car,CON:coord,155,car_S,1,Crd,Crd,car,,C/V\
36,6,2,la,la,DET:def,156,le_S,1,Det,Det,le,,C/V\
37,6,3,matiere,matiere,NOM,157,matiere_+T,1,N,N,,,C/V\.'C/V\.C/(e)\
38,6,4,est,est,VER,158,ester|estre1_+M|+I,1,Vfin,Vfin,être1|ester,,/V\
39,6,5,delitable,delitable,ADJ,159,delitable_+IT,1,Adj,Adj,,,C/V\.C/V\.'C/V\.C/(e)\
40,7,1,et,et,CON:coord,162,et_S,1,Crd,Crd,et,,/V\
41,7,2,proufitable,proufitable,ADJ,163,porfitable_*+T,1,Adj,Adj,,,C/V\.C/V\.'C/V\.C/(e)\
42,7,3,a,a,PRE,164,a_S,1,Pre,Pre,à,,/V\
43,7,4,retenir,retenir,VER,165,retenir|tenir_+IT|M,1,Vinf,Vinf,retenir,,C/V\.C/e\.'C/V\
44,8,1,qui,qui,PROCON,175,qui_S,1,Qux,Qux,qui,s,C/V\
45,8,2,jadiz,jadiz,ADV,176,jadis_+C,1,Adv,Adv,jadis,,C/V\.'C/V\
46,8,3,furent,furent,VER,177,estre1|estre_+I|CMI,1,Vfin,Vfin,être1|ester,,'C/V\.C/e\
47,8,4,n',n',PRO:clit,178,en2_S,1,Neg,Neg$$,ne1,,C/\
48,8,5,en,en,PRO:clit,179,en2_S,1,Prn,Prn$$,en2,,/V\
49,8,6,ont,ont,VER,180,avoir|devoir_+CIM|+M,1,Vfin,Vfin,avoir1,,/V\
