wd_id,line_id,linewd,word,lex_id,old_wd_id,textlineid,syntag,syntag2,lemma,syllabified
1,1,1,à,à,34,203,Pre,Pre,à,/V\
2,1,2,celui,celui,35,203,Dem,Dem,cil,C/V\.'C/V\
3,1,3,Edouwart,edouwart,36,203,N,N,,/V\.C/V\.'C/V\
4,2,1,et,et,42,204,Crd,Crd,et,/V\
5,2,2,sour,sour,43,204,PrA,PrA,sur,C/V\
6,2,3,qui,qui,44,204,Qux,Qux,qui,C/V\
7,2,4,ceste,ceste,45,204,Dem,Dem,cist,'C/V\.C/(e)\
8,2,5,histoire,histoire,46,204,N,N,,/V\.'C/V\.C/(e)\
9,3,1,resgner,resgner,59,205,Vinf,Vinf,,C/V\.'C/V\
10,3,2,ung,ung,60,205,QIs,QIs,un,/V\
11,3,3,mains,mains,61,205,Adv,Adv,moins,C/V\
12,3,4,vaillant,vaillant,62,206,Vprs,Vprs,valoir,C/V\.'C/V\
13,4,1,qui,qui,150,212,Qux,Qux,qui,C/V\
14,4,2,estoit,estoit,151,212,Vfin,Vfin,être,/V\.'C/V\
15,4,3,rois,rois,152,212,N,N,,C/V\
16,4,4,d',d',153,213,Pre,Pre,de,C/\
17,4,5,Escoce,escoce,154,213,N,N,,/V\.'C/V\.C/(e)\
18,5,1,à,à,165,213,Pre,Pre,à,/V\
19,5,2,celui,celui,166,213,Dem,Dem,cil,C/V\.'C/V\
20,5,3,dont,dont,167,214,Qux,Qux,dont,C/V\
21,5,4,je,je,168,214,Prn,Prn$,je,C/(e)\
22,5,5,parle,parle,169,214,Vfin,Vfin,parler,'C/V\.C/(e)\
23,6,1,qui,qui,180,215,Qux,Qux,qui,C/V\
24,6,2,avoient,avoient,181,215,Vfin,Vfin,avoir,/V\.'C/V\./e\
25,6,3,estet,estét,182,215,Vpp,Vpp,être,/V\.'C/V\
26,7,1,et,et,184,215,Crd,Crd,et,/V\
27,7,2,la,la,185,215,Det,Det,le,C/V\
28,7,3,bonne,bonne,186,215,Adj,Adj,bon,'C/V\.C/(e)\
29,7,4,cité,cité,187,215,N,N,,C/V\.'C/V\
30,8,1,par,par,213,217,Pre,Pre,par,C/V\
31,8,2,bataille,bataille,214,217,N,N,,C/V\.'C/V\.C/(e)\
32,8,3,en,en,215,217,Pre,Pre,en,/V\
33,8,4,Escoce,escoce,216,217,N,N,,/V\.'C/V\.C/(e)\
34,9,1,et,et,224,218,Crd,Crd,et,/V\
35,9,2,là,là,225,218,Adv,Adv,là,C/V\
36,9,3,fu,fu,226,218,Vfin,Vfin,être,C/V\
37,9,4,morte,morte,227,218,Vpp,Vpp,mourir,'C/V\.C/(e)\
38,9,5,et,et,228,218,Crd,Crd,et,/V\
39,9,6,prise,prise,229,218,Vpp,Vpp,prendre,'C/V\.C/(e)\
40,10,1,de,de,233,219,Pre,Pre,de,C/(e)\
41,10,2,le,le,234,219,Det,Det,le,C/(e)\
42,10,3,chevalerie,chevalerie,235,219,N,N,,C/V\.C/V\.C/e\.'C/V\./(e)\
43,11,1,et,et,242,219,Crd,Crd,et,/V\
44,11,2,la,la,243,219,Det,Det,le,C/V\
45,11,3,desconfiture,desconfiture,244,220,N,N,,C/V\.C/V\.C/V\.'C/V\.C/(e)\
46,12,1,Si,si,260,221,Adv,Adv,si4,C/V\
47,12,2,fu,fu,261,221,Vfin,Vfin,être,C/V\
48,12,3,moult,moult,262,221,QIs,QIs,moult,C/V\
49,12,4,diffammés,diffammés,263,221,Vpp,Vpp,,C/V\.C/V\.'C/V\
50,13,1,et,et,282,222,Crd,Crd,et,/V\
51,13,2,le,le,283,223,Det,Det,le,C/(e)\
52,13,3,mauvais,mauvais,284,223,Adj,Adj,,C/V\.'C/V\
53,13,4,consseil,consseil,285,223,N,N,,C/V\.'C/V\
54,14,1,il,il,290,223,Prn,Prn$,il,/V\
55,14,2,avoit,avoit,291,223,Vfin,Vfin,avoir,/V\.'C/V\
56,14,3,recheub,recheüb,292,223,Vpp,Vpp,recevoir,C/V\.C/(V)\.'/V\
57,15,1,le,le,318,302,Det,Det,le,C/(e)\
58,15,2,contes,contes,319,302,N,N,,'C/V\.C/e\
59,15,3,Marescaus,marescaus,320,303,N,N,,C/V\.C/V\.'C/V\
60,16,1,et,et,326,303,Crd,Crd,et,/V\
61,16,2,divierse,divierse,327,303,QIs,QIs,divers,C/V\.'C/V\.C/(e)\
62,16,3,maniere,maniere,328,303,N,N,,C/V\.'C/V\.C/(e)\
63,17,1,Li,li,330,303,Det,Det,le,C/V\
64,17,2,autres,autres,331,303,Adj,Adj,autre,'/V\.C/e\
65,17,3,avoit,avoit,332,304,Vfin,Vfin,avoir,/V\.'C/V\
66,17,4,nom,nom,333,304,N,N,,C/V\
67,18,1,de,de,347,305,Pre,Pre,de,C/(e)\
68,18,2,Kent,kent,348,305,N,N,,C/V\
69,18,3,",",",",349,305,Pnc,Pnc,,
70,18,4,estoit,estoit,350,305,Vfin,Vfin,être,/V\.'C/V\
71,18,5,moult,moult,351,305,QIs,QIs,moult,C/V\
72,18,6,doulz,doulz,352,305,Adj,Adj,doux,C/V\
73,19,1,et,et,378,307,Crd,Crd,et,/V\
74,19,2,li,li,379,307,Prn,Prn$$,li,C/V\
75,19,3,avoit,avoit,380,307,Vfin,Vfin,avoir,/V\.'C/V\
76,19,4,li,li,381,307,Det,Det,le,C/V\
77,19,5,rois,rois,382,307,N,N,,C/V\
78,20,1,sa,sa,386,308,Det,Det,son4,C/V\
79,20,2,fille,fille,387,308,N,N,,'C/V\.C/(e)\
80,20,3,par,par,388,308,Pre,Pre,par,C/V\
81,20,4,envie,envie,389,308,N,N,,/V\.'C/V\./(e)\
82,21,1,qui,qui,405,309,Qux,Qux,qui,C/V\
83,21,2,regnoit,regnoit,406,309,Vfin,Vfin,,C/V\.'C/V\
84,21,3,pour,pour,407,309,Pre,Pre,pour,C/V\
85,21,4,le,le,408,309,Det,Det,le,C/(e)\
86,21,5,temps,temps,409,309,N,N,,C/V\
87,22,1,sceut,sceut,445,312,Vfin,Vfin,savoir,C/V\
88,22,2,que,que,446,312,Sub,Sub,que,C/(e)\
89,22,3,chils,chils,447,312,Dem,Dem,cil,C/V\
90,22,4,mariaiges,mariaiges,448,312,N,N,,C/V\.C/V\.'C/V\.C/e\
91,23,1,qui,qui,467,313,Qux,Qux,qui,C/V\
92,23,2,estoit,estoit,468,313,Vfin,Vfin,être,/V\.'C/V\
93,23,3,sa,sa,469,313,Det,Det,son4,C/V\
94,23,4,filloeille,filloeille,470,313,N,N,,C/V\.'C/V\.C/(e)\
95,24,1,Li,li,472,313,Det,Det,le,C/V\
96,24,2,comtes,comtes,473,314,N,N,,'C/V\.C/e\
97,24,3,",",",",474,314,Pnc,Pnc,,
98,24,4,qui,qui,475,314,Qux,Qux,qui,C/V\
99,24,5,nul,nul,476,314,QIs,QIs,nul,C/V\
100,24,6,mal,mal,477,314,N,N,mal,C/V\
101,25,1,qui,qui,475,314,Qux,Qux,qui,C/V\
102,25,2,nul,nul,476,314,QIs,QIs,nul,C/V\
103,25,3,mal,mal,477,314,N,N,mal,C/V\
104,25,4,n',n',478,314,Neg,Neg$$,ne,C/\
105,25,5,y,y,479,314,Prn,Prn$$,y2,/V\
106,25,6,penssoit,penssoit,480,314,Vfin,Vfin,penser,C/V\.'C/V\
107,26,1,Pour,pour,514,316,Pre,Pre,pour,C/V\
108,26,2,laquelle,laquelle,515,316,Qux,Qux,lequel,C/V\.'C/V\.C/(e)\
109,26,3,avenue,avenue,516,317,N,N,,/V\.C/e\.'C/V\./(e)\
110,27,1,et,et,527,317,Crd,Crd,et,/V\
111,27,2,la,la,528,317,Det,Det,le,C/V\
112,27,3,grosse,grosse,529,317,Adj,Adj,,'C/V\.C/(e)\
113,27,4,bataille,bataille,530,318,N,N,,C/V\.'C/V\.C/(e)\
114,28,1,De,de,576,321,Pre,Pre,de,C/(e)\
115,28,2,ce,ce,577,321,Dem,Dem,cist,C/(e)\
116,28,3,roy,roy,578,321,N,N,,C/V\
117,28,4,d',d',579,321,Pre,Pre,de,C/\
118,28,5,Engleterre,engleterre,580,321,N,N,,/V\.C/e\.'C/V\.C/(e)\
119,29,1,qui,qui,601,323,Qux,Qux,qui,C/V\
120,29,2,tant,tant,602,323,QIs,QIs,tant,C/V\
121,29,3,fu,fu,603,323,Vfin,Vfin,être,C/V\
122,29,4,vaillans,vaillans,604,323,Vprs,Vprs,valoir,C/V\.'C/V\
123,29,5,homs,homs,605,323,N,N,,/V\
124,30,1,et,et,606,323,Crd,Crd,et,/V\
125,30,2,sour,sour,607,323,PrA,PrA,sur,C/V\
126,30,3,qui,qui,608,323,Qux,Qux,qui,C/V\
127,30,4,ceste,ceste,609,323,Dem,Dem,cist,'C/V\.C/(e)\
128,30,5,histoire,histoire,610,324,N,N,,/V\.'C/V\.C/(e)\
129,31,1,et,et,633,325,Crd,Crd,et,/V\
130,31,2,fu,fu,634,325,Vfin,Vfin,être,C/V\
131,31,3,roynne,roynne,635,325,N,N,,'C/V\.C/(e)\
132,31,4,d',d',636,326,Pre,Pre,de,C/\
133,31,5,Escoce,escoce,637,326,N,N,,/V\.'C/V\.C/(e)\
134,32,1,le,le,642,326,Det,Det,le,C/(e)\
135,32,2,roy,roy,643,326,N,N,,C/V\
136,32,3,David,david,644,326,N,N,,C/V\.'C/V\
137,32,4,d',d',645,326,Pre,Pre,de,C/\
138,32,5,Escoce,escoce,646,326,N,N,,/V\.'C/V\.C/(e)\
139,33,1,_le,le,647,326,Det,Det,le,C/(e)\
140,33,2,fils,fils,648,326,N,N,,C/V\
141,33,3,le_,le,649,326,Det,Det,le,C/(e)\
142,33,4,roy,roy,650,326,N,N,,C/V\
143,33,5,Robert,robert,651,326,N,N,,C/V\.'C/V\
144,34,1,le_,le,649,326,Det,Det,le,C/(e)\
145,34,2,roy,roy,650,326,N,N,,C/V\
146,34,3,Robert,robert,651,326,N,N,,C/V\.'C/V\
147,34,4,de,de,652,327,Pre,Pre,de,C/(e)\
148,34,5,Brus,brus,653,327,N,N,,C/V\
149,35,1,d',d',669,328,Pre,Pre,de,C/\
150,35,2,Engleterre,engleterre,670,328,N,N,,/V\.C/e\.'C/V\.C/(e)\
151,35,3,et,et,671,328,Crd,Crd,et,/V\
152,35,4,d',d',672,328,Pre,Pre,de,C/\
153,35,5,Escoce,escoce,673,328,N,N,,/V\.'C/V\.C/(e)\
154,36,1,et,et,674,328,Crd,Crd,et,/V\
155,36,2,li,li,675,328,Det,Det,le,C/V\
156,36,3,autre,autre,676,328,Adj,Adj,autre,'/V\.C/(e)\
