wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,syntag,syntag2,lemma,textlineid,synfunc,syllabified
1,1,1,en,en,PRE,22,en1_+S,Pre,Pre,en1,202,,/V\
2,1,2,Engleterre,engleterre,NPR,23,angleterre_I|Z,N,N,,202,,/V\.C/e\.'C/V\.C/(e)\
3,1,3,puis,puis,ADV,24,puis_IT,PrA,PrA,puis,202,,C/V\
4,1,4,le,le,DET:def,25,le_S,Det,Det,le,202,,C/(e)\
5,1,5,tamps,tamps,NOM,26,tens_*+CT,N,N,,203,,C/V\
6,2,1,qui,qui,PROCON,70,qui_S,Qux,Qux,qui,206,s,C/V\
7,2,2,tant,tant,ADV,71,tant_CI,QIs,QIs,tant,206,,C/V\
8,2,3,eult,eult,VER,72,oloir_+M,Vfin,Vfin,avoir1,206,,/V\
9,2,4,affaire,affaire,NOM,73,afaire_G,N,N,,206,,/V\.'C/V\.C/(e)\
10,2,5,as,as,PREDET:a,74,a+le_S,Pre+Det,Pre+Det,à+le,206,,/V\
11,2,6,Danois,danois,NOM,75,deni_*+T,N,N,,207,,C/V\.'C/V\
12,3,1,ses,ses,DET:poss,89,son4_S,Det,Det,son4,208,,C/V\
13,3,2,fils,fils,NOM,90,fil1|fil2|fils1|fils2_+T|+T|+T|+T,N,N,,208,,C/V\
14,3,3,li,li,DET:def,91,le_S,Det,Det,le,208,,C/V\
15,3,4,seconds,seconds,NOM,92,<unknown>,Adj,Adj,,208,,C/V\.'C/V\
16,3,5,Edouars,edouars,NPR,93,<unknown>,N,N,,208,,/V\.C/V\.'C/V\
17,4,1,et,et,CON:coord,155,et_S,Crd,Crd,et,213,,/V\
18,4,2,qui,qui,PROCON,156,qui_S,Qux,Qux,qui,213,s,C/V\
19,4,3,tant,tant,ADV,157,tant_CI,QIs,QIs,tant,213,,C/V\
20,4,4,avoit,avoit,VER,158,avoiier|avoir_+MI|+MI,Vfin,Vfin,avoir1,213,,/V\.'C/V\
21,4,5,gueriiet,gueriiét,VER,159,<unknown>,Vpp,Vpp,,213,,C/V\.C/V\.'C/V\
22,5,1,qui,qui,PROCON,180,qui_S,Qux,Qux,qui,215,s,C/V\
23,5,2,avoient,avoient,VER,181,avoiier|avoir_+M|+MI,Vfin,Vfin,avoir1,215,,/V\.'C/V\./e\
24,5,3,estet,estét,VER,182,ester|estre_+M|IM,Vpp,Vpp,être1|ester,215,,/V\.'C/V\
25,5,4,concquis,concquis,VER,183,<unknown>,Vpp,Vpp,,215,,C/V\.'C/V\
26,6,1,bien,bien,ADV,200,bien1|bien2|bien_+IT|C|I,Adv,Adv,bien,216,,C/V\
27,6,2,.IIII.,.iiii.,ADJ:card,201,catre|iiii_I|C,QIs,QIs,4,216,,'/V\./(e)\
28,6,3,journees,journees,NOM,202,jornee_+C,N,N,,216,,C/V\.'C/V\./e\
29,6,4,ou,ou,PREDET:en,203,en1+le_S,Crd,Crd,ou1,216,,/V\
30,6,5,.V.,.v.,GDF,204,v_G,QIs,QIs,5,217,,C/V\
31,7,1,meysmes,meysmes,NOM,269,<unknown>,Adv,Adv,même,222,,C/(V)\.'/V\.C/e\
32,7,2,de,de,PRE,270,de_+S,Pre,Pre,de,222,,C/(e)\
33,7,3,celle,celle,DET:demo,271,cel_S,Dem,Dem,cil,222,,'C/V\.C/(e)\
