wd_id,line_id,linewd,word,lex_id,old_wd_id,para_id,syntag,syntag2,lemma,syllabified
1,1,1,de,de,8,12,Pre,Pre,de,C/(e)\
2,1,2,campaigne,campaigne,9,12,N,N,,C/V\.'C/V\.C/(e)\
3,1,3,et,et,10,12,Crd,Crd,et,/V\
4,1,4,de,de,11,12,Pre,Pre,de,C/(e)\
5,1,5,brie,brie,12,12,N,N,,'C/V\./(e)\
6,2,1,.ii.,.ii.,13,12,QIs,QIs,deux,C/V\
7,2,2,et,et,14,12,Crd,Crd,et,/V\
8,2,3,baudoins,baudoins,15,12,N,N,,C/V\.'C/V\
9,2,4,li,li,16,12,Det,Det,le,C/V\
10,2,5,quens,quens,17,12,N,N,,C/V\
11,3,1,de,de,18,12,Pre,Pre,de,C/(e)\
12,3,2,flandres,flandres,19,12,N,N,,'C/V\.C/e\
13,3,3,et,et,20,12,Crd,Crd,et,/V\
14,3,4,hennaut,hennaut,21,12,N,N,,C/V\.'C/V\
15,4,1,.ii.,.ii.,22,12,QIs,QIs,deux,C/V\
16,4,2,et,et,23,12,Crd,Crd,et,/V\
17,4,3,lois,loïs,24,12,N,N,,C/V\.'C/V\
18,4,4,li,li,25,12,Det,Det,le,C/V\
19,4,5,quens,quens,26,12,N,N,,C/V\
20,5,1,de,de,37,12,Pre,Pre,de,C/(e)\
21,5,2,vileardoin,vileardoin,38,12,N,N,,C/V\.C/e\.C/V\.C/V\.'C/V\
22,6,1,et,et,43,12,Crd,Crd,et,/V\
23,6,2,miles,miles,44,12,N,N,,'C/V\.C/e\
24,6,3,li,li,45,12,Det,Det,le,C/V\
25,6,4,braibanz,braibanz,46,12,N,N,,C/V\.'C/V\
26,7,1,le,le,50,12,Det,Det,le,C/(e)\
27,7,2,conte,conte,51,12,N,N,,'C/V\.C/(e)\
28,7,3,baudoin,baudoin,52,12,N,N,,C/V\.C/V\.'C/V\
29,8,1,et,et,57,12,Crd,Crd,et,/V\
30,8,2,alars,alars,58,12,N,N,,/V\.'C/V\
31,8,3,maqueriaus,maqueriaus,59,12,N,N,,C/V\.C/V\.'C/V\
32,9,1,de,de,67,12,Pre,Pre,de,C/(e)\
33,9,2,friaise,friaise,68,12,N,N,,C/V\.'C/V\.C/(e)\
34,9,3,et,et,69,12,Crd,Crd,et,/V\
35,9,4,gautiers,gautiers,70,12,N,N,,C/V\.'C/V\
36,10,1,si,si,76,13,Adv,Adv,si4,C/V\
37,10,2,mistrent,mistrent,77,13,Vfin,Vfin,mettre,'C/V\.C/e\
38,10,3,lor,lor,78,13,Det,Det,leur2,C/V\
39,10,4,afaire,afaire,79,13,N,N,,/V\.'C/V\.C/(e)\
40,11,1,que,que,91,13,Sub,Sub,que,C/(e)\
41,11,2,il,il,92,13,Prn,Prn$,il,/V\
42,11,3,tendroient,tendroient,93,13,Vfin,Vfin,tenir,C/V\.'C/V\./e\
43,11,4,ferm,ferm,94,13,Adj,Adj,,C/V\
44,12,1,de,de,104,13,Pre,Pre,de,C/(e)\
45,12,2,mer,mer,105,13,N,N,,C/V\
46,12,3,en,en,106,13,Pre,Pre,en,/V\
47,12,4,quelque,quelque,107,13,QIs,QIs,quelque,'C/V\.C/(e)\
48,12,5,leu,leu,108,13,N,N,,C/V\
49,13,1,de,de,112,13,Pre,Pre,de,C/(e)\
50,13,2,totes,totes,113,13,QIs,QIs,tout,'C/V\.C/e\
51,13,3,convenances,convenances,114,13,N,N,,C/V\.C/e\.'C/V\
52,14,1,et,et,132,14,Crd,Crd,et,/V\
53,14,2,fu,fu,133,14,Vfin,Vfin,être,C/V\
54,14,3,tels,tels,134,14,Adj,Adj,tel,C/V\
55,14,4,lor,lor,135,14,Det,Det,leur2,C/V\
56,14,5,consaux,consaux,136,14,N,N,,C/V\.'C/V\
57,15,1,que,que,150,14,Sub,Sub,que,C/(e)\
58,15,2,a,a,151,14,Pre,Pre,à,/V\
59,15,3,nul,nul,152,14,QIs,QIs,nul,C/V\
60,15,4,autre,autre,153,14,Adj,Adj,autre,'/V\.C/(e)\
61,15,5,port,port,154,14,N,N,,C/V\
62,16,1,ce,ce,242,15,Prn,Prn,ce,C/(e)\
63,16,2,que,que,243,15,Qux,Qux,que,C/(e)\
64,16,3,cist,cist,244,15,Dem,Dem,cist,C/V\
65,16,4,.vi.,.vi.,245,15,QIs,QIs,six,C/V\
66,16,5,feroient,feroient,246,15,Vfin,Vfin,faire,C/V\.'C/V\./e\
67,17,1,et,et,247,16,Crd,Crd,et,/V\
68,17,2,li,li,248,16,Det,Det,le,C/V\
69,17,3,duc,duc,249,16,N,N,,C/V\
70,17,4,lor,lor,250,16,Prn,Prn$$,leur,C/V\
71,17,5,respont,respont,251,16,Vfin,Vfin,répondre,C/V\.'C/V\
72,18,1,seingnor,seingnor,253,16,N,N,,C/V\.'C/V\
73,18,2,je,je,254,16,Prn,Prn$,je,C/(e)\
74,18,3,ai,ai,255,16,Vfin,Vfin,avoir,/V\
