wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,para_id,syntag,syntag2,lemma,lemma_auto,NCA_src,NCA_line,synfunc,NCA_taggerpos,syllabified
1,1,1,envoia,envoia,VER:simp:3:sg,4,12,Vfin,Vfin,envoyer,envoiier,+IM,2,,VER,/V\.C/V\.'C/V\
2,1,2,thiebauz,thiebauz,NPR:suj:masc:sg,5,12,N,N,,UNKNOWN,C,2,,NPR,C/V\.C/e\.'C/V\
3,1,3,li,li,DET:def:suj:masc:sg,6,12,Det,Det,le,le,CST,3,,DET:def,C/V\
4,1,4,quens,quens,NOM:suj:masc:sg,7,12,N,N,,conte1|conte,+T|I,3,,NOM,C/V\
5,2,1,de,de,PRE,8,12,Pre,Pre,de,de,+CIST,3,,PRE,C/(e)\
6,2,2,campaigne,campaigne,NPR:obj:femi:sg,9,12,N,N,,campaigne|champaigne,Z|Z,3,,NPR,C/V\.'C/V\.C/(e)\
7,2,3,et,et,CON:coord,10,12,Crd,Crd,et,et,ST,3,,CON:coord,/V\
8,2,4,de,de,PRE,11,12,Pre,Pre,de,de,+CIST,3,,PRE,C/(e)\
9,2,5,brie,brie,NPR:obj:femi:sg,12,12,N,N,,UNKNOWN,C,4,,NPR,'C/V\./(e)\
10,2,6,.ii.,.ii.,ADJ:card,13,12,QIs,QIs,2,deus|ii,*I|C,4,,ADJ:card,C/V\
11,3,1,.ii.,.ii.,ADJ:card,13,12,QIs,QIs,2,deus|ii,*I|C,4,,ADJ:card,C/V\
12,3,2,et,et,CON:coord,14,12,Crd,Crd,et,et,ST,4,,CON:coord,/V\
13,3,3,baudoins,baudoins,NPR:suj:masc:sg,15,12,N,N,,baudoin,Z,4,,NPR,C/V\.'C/V\
14,3,4,li,li,DET:def:suj:masc:sg,16,12,Det,Det,le,le,CST,4,,DET:def,C/V\
15,3,5,quens,quens,NOM:suj:masc:sg,17,12,N,N,,conte1|conte,+T|I,4,,NOM,C/V\
16,3,6,de,de,PRE,18,12,Pre,Pre,de,de,+CIST,5,,PRE,C/(e)\
17,3,7,flandres,flandres,NPR:obj:femi:pl,19,12,N,N,,flandres,I|Z,5,,NPR,'C/V\.C/e\
18,4,1,.ii.,.ii.,ADJ:card,22,12,QIs,QIs,2,deus|ii,*I|C,5,,ADJ:card,C/V\
19,4,2,et,et,CON:coord,23,12,Crd,Crd,et,et,ST,5,,CON:coord,/V\
