wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,BFM_word,sentence,chapter_id,syntag,synfunc
1,1,1,duc,duc,nco,7,10410,259,1.5,N,
2,1,2,de,de,pre,8,10411,259,1.5,Pre,
3,1,3,Berry,berry,npr,9,10412,259,1.5,N,
4,1,4,",",",",pon,10,10413,259,1.5,Pnc,
5,1,5,seul,seul,adjqua,11,10414,259,1.5,Adj,
6,1,6,frère,frere,nco,12,10415,259,1.5,N,
7,2,1,en,en,pre,35,10438,259,1.5,Pre,
8,2,2,la,la,detdef,36,10439,259,1.5,Det,
9,2,3,ville,ville,nco,37,10440,259,1.5,N,
10,2,4,d',d',pre,38,10441,259,1.5,Pre,
11,2,5,Estampes,estampes,npr,39,10442,259,1.5,N,
12,3,1,de,de,pre,69,10472,260,1.5,Pre,
13,3,2,Bretaigne,bretaigne,npr,70,10473,260,1.5,N,
14,3,3,",",",",pon,71,10474,260,1.5,Pnc,
15,3,4,monsr,monsr,nco,72,10475,260,1.5,N,
16,4,1,monsr,monsr,nco,76,10479,260,1.5,N,
17,4,2,de,de,pre,77,10480,260,1.5,Pre,
18,4,3,Dampmartin,dampmartin,npr,78,10481,260,1.5,N,
19,5,1,de,de,pre,77,10480,260,1.5,Pre,
20,5,2,Dampmartin,dampmartin,npr,78,10481,260,1.5,N,
21,5,3,",",",",pon,79,10482,260,1.5,Pnc,
22,5,4,monsr,monsr,nco,80,10483,260,1.5,N,
23,6,1,et,et,concoo,87,10490,260,1.5,Crd,
24,6,2,monsr,monsr,nco,88,10491,260,1.5,N,
25,6,3,de,de,pre,89,10492,260,1.5,Pre,
26,6,4,Chaulmont,chaulmont,npr,90,10493,260,1.5,N,
27,7,1,qui,qui,prorel,100,10503,260,1.5,Sub,s
28,7,2,depuis,depuis,adv,101,10504,260,1.5,Adv,
29,7,3,a,a,vcj,102,10505,260,1.5,Vfin,
30,7,4,esté,esté,vpp,103,10506,260,1.5,Vpp,
31,8,1,grand,grand,adjqua,104,10507,260,1.5,Adj,
32,8,2,homme,homme,nco,105,10508,260,1.5,N,
33,8,3,en,en,pre,106,10509,260,1.5,Pre,
34,8,4,ce,ce,detdem,107,10510,260,1.5,Det,
35,8,5,royaulme,royaulme,nco,108,10511,260,1.5,N,
36,9,1,avoit,avoit,vcj,117,10520,260,1.5,Vfin,
37,9,2,desapointéz,desapointez,vpp,118,10521,260,1.5,Vpp,
38,10,1,en,en,pre,179,10582,261,1.5,Pre,
39,10,2,la,la,detdef,180,10583,261,1.5,Det,
40,10,3,ville,ville,nco,181,10584,261,1.5,N,
41,10,4,d',d',pre,182,10585,261,1.5,Pre,
42,10,5,Estampes,estampes,npr,183,10586,261,1.5,N,
43,11,1,demourèrent,demourerent,vcj,196,10599,261,1.5,Vfin,
44,11,2,aux,aux,predetc,197,10600,261,1.5,Pre+Det,
45,11,3,champs,champs,nco,198,10601,261,1.5,N,
46,12,1,de,de,pre,253,10656,263,1.5,Pre,
47,12,2,bonnes,bonnes,adjqua,254,10657,263,1.5,Adj,
48,12,3,brigandines,brigandines,nco,255,10658,263,1.5,N,
49,13,1,avoit,avoit,vcj,256,10659,263,1.5,Vfin,
50,13,2,en,en,pre,257,10660,263,1.5,Pre,
51,13,3,très,tres,adv,258,10661,263,1.5,Adv,
52,13,4,grant,grant,adjqua,259,10662,263,1.5,Adj,
53,13,5,nombre,nombre,nco,260,10663,263,1.5,N,
54,14,1,et,et,concoo,262,10665,263,1.5,Crd,
55,14,2,povoient,povoient,vcj,263,10666,263,1.5,Vfin,
56,14,3,bien,bien,adv,264,10667,263,1.5,Adv,
57,14,4,estre,estre,vin,265,10668,263,1.5,Vinf,
58,15,1,mille,mille,detnum,267,10670,263,1.5,Adj,
59,15,2,hommes,hommes,nco,268,10671,263,1.5,N,
60,15,3,à,a,pre,269,10672,263,1.5,Pre,
61,15,4,cheval,cheval,nco,270,10673,263,1.5,N,
62,16,1,et,et,concoo,275,10678,263,1.5,Crd,
63,16,2,sembloit,sembloit,vcj,276,10679,263,1.5,Vfin,
64,16,3,bien,bien,adv,277,10680,263,1.5,Adv,
65,16,4,à,a,pre,278,10681,263,1.5,Pre,
66,16,5,veoir,veoir,vin,279,10682,263,1.5,Vinf,
67,17,1,que,que,consub,282,10685,263,1.5,Sub,
68,17,2,le,le,detdef,283,10686,263,1.5,Det,
69,17,3,duc,duc,nco,284,10687,263,1.5,N,
70,17,4,de,de,pre,285,10688,263,1.5,Pre,
71,17,5,Bretaigne,bretaigne,npr,286,10689,263,1.5,N,
72,18,1,fust,fust,vcj,287,10690,263,1.5,Vfin,
73,18,2,ung,ung,detndf,288,10691,263,1.5,Det,
74,18,3,très,tres,adv,289,10692,263,1.5,Adv,
75,18,4,grant,grant,adjqua,290,10693,263,1.5,Adj,
76,18,5,seigneur,seigneur,nco,291,10694,263,1.5,N,
77,19,1,ce,ce,prodem,321,10724,264,1.5,Prn,
78,19,2,qu',qu',prorel,322,10725,264,1.5,Sub,c
79,19,3,il,il,proper,323,10726,264,1.5,Prn,s
80,19,4,avoit,avoit,vcj,324,10727,264,1.5,Vfin,
81,19,5,à,a,pre,325,10728,264,1.5,Pre,
82,19,6,faire,faire,vin,326,10729,264,1.5,Vinf,
83,20,1,pour,pour,pre,332,10735,265,1.5,Pre,
84,20,2,assembler,assembler,vin,333,10736,265,1.5,Vinf,
85,20,3,des,des,detndf,334,10737,265,1.5,Det,
86,20,4,gens,gens,nco,335,10738,265,1.5,N,
87,21,1,d',d',pre,354,10757,265,1.5,Pre,
88,21,2,armes,armes,nco,355,10758,265,1.5,N,
89,21,3,ès,es,predetc,356,10759,265,1.5,Pre+Det,
90,21,4,envyrons,envyrons,nco,357,10760,265,1.5,N,
91,22,1,que,que,prorel,373,10776,266,1.5,Sub,
92,22,2,furent,furent,vcj,374,10777,266,1.5,Vfin,
93,22,3,arrivéz,arrivez,vpp,375,10778,266,1.5,Vpp,
94,23,1,et,et,concoo,421,10824,267,1.5,Crd,
95,23,2,desconfit,desconfit,vpp,422,10825,267,1.5,Vpp,
96,23,3,le,le,detdef,423,10826,267,1.5,Det,
97,23,4,tiers,tiers,nco,424,10827,267,1.5,N,
98,24,1,conseil,conseil,nco,433,10836,268,1.5,N,c
99,24,2,pour,pour,pre,434,10837,268,1.5,Pre,
100,24,3,envoyer,envoyer,vin,435,10838,268,1.5,Vinf,
101,25,1,gens,gens,nco,436,10839,268,1.5,N,c
102,25,2,dehors,dehors,adv,437,10840,268,1.5,Adv,
103,25,3,",",",",pon,438,10841,268,1.5,Pnc,
104,25,4,jugeans,jugeans,vpa,439,10842,268,1.5,Vprs,
105,26,1,d',d',pre,457,10860,269,1.5,Pre,
106,26,2,Amboise,amboise,npr,458,10861,269,1.5,N,
107,26,3,et,et,concoo,459,10862,269,1.5,Crd,
108,26,4,quelques,quelques,detind,460,10863,269,1.5,Det,
109,26,5,autres,autres,proind,461,10864,269,1.5,Prn,
110,27,1,et,et,concoo,485,10888,269,1.5,Crd,
111,27,2,de,de,pre,486,10889,269,1.5,Pre,
112,27,3,l',l',detdef,487,10890,269,1.5,Det,
113,27,4,artillerie,artillerie,nco,488,10891,269,1.5,N,
114,28,1,dès,dés,pre,516,10919,269,1.5,Pre,
115,28,2,le,le,detdef,517,10920,269,1.5,Det,
116,28,3,commencement,commencement,nco,518,10921,269,1.5,N,
117,29,1,cuydant,cuydant,vpa,541,10944,270,1.5,Vprs,
118,29,2,que,que,consub,542,10945,270,1.5,Sub,
119,29,3,ainsi,ainsi,adv,543,10946,270,1.5,Adv,a
120,29,4,fust,fust,vcj,544,10947,270,1.5,Vfin,
121,30,1,si,si,consub,553,10956,270,1.5,Sub,
122,30,2,ledict,ledict,detcom,554,10957,270,1.5,Det+Vpp,
123,30,3,monsr,monsr,nco,555,10958,270,1.5,N,
124,30,4,Charles,charles,npr,556,10959,270,1.5,N,
125,31,1,roy,roy,nco,559,10962,270,1.5,N,a
126,31,2,;,;,pon,560,10963,270,1.5,Pnc,
127,31,3,et,et,concoo,561,10964,270,1.5,Crd,
128,31,4,tindrent,tindrent,vcj,562,10965,270,1.5,Vfin,
129,31,5,conseil,conseil,nco,563,10966,270,1.5,N,c
130,32,1,comme,comme,consub,565,10968,270,1.5,Sub,
131,32,2,il,il,proimp,566,10969,270,1.5,Prn,s
132,32,3,m',m',proper,567,10970,270,1.5,Prn,
133,32,4,a,a,vcj,568,10971,270,1.5,Vfin,
134,32,5,esté,esté,vpp,569,10972,270,1.5,Vpp,
135,32,6,dit,dit,vpp,570,10973,270,1.5,Vpp,
136,33,1,dit,dit,vpp,570,10973,270,1.5,Vpp,
137,33,2,depuis,depuis,adv,571,10974,270,1.5,Adv,
138,33,3,par,par,pre,572,10975,270,1.5,Pre,
139,33,4,ung,ung,detndf,573,10976,270,1.5,Det,
140,33,5,homme,homme,nco,574,10977,270,1.5,N,
141,34,1,et,et,concoo,588,10991,270,1.5,Crd,
142,34,2,eulx,eulx,proper,589,10992,270,1.5,Prn,c
143,34,3,en,en,proadv,590,10993,270,1.5,Prn,
144,34,4,despescher,despescher,vin,591,10994,270,1.5,Vinf,
145,35,1,mais,mais,concoo,617,11020,271,1.5,Crd,
146,35,2,par,par,pre,618,11021,271,1.5,Pre,
147,35,3,là,la,adv,619,11022,271,1.5,Adv,
148,35,4,povez,povez,vcj,620,11023,271,1.5,Vfin,
149,35,5,veoir,veoir,vin,621,11024,271,1.5,Vinf,
150,36,1,monsr,monsr,nco,661,11064,272,1.5,N,
151,36,2,Charles,charles,npr,662,11065,272,1.5,N,
152,36,3,de,de,pre,663,11066,272,1.5,Pre,
153,36,4,France,france,npr,664,11067,272,1.5,N,
154,37,1,et,et,concoo,673,11076,272,1.5,Crd,
155,37,2,parloient,parloient,vcj,674,11077,272,1.5,Vfin,
156,37,3,eulx,eulx,proper,675,11078,272,1.5,Prn,
157,37,4,deux,deux,pronum,676,11079,272,1.5,Adj,
158,38,1,y,y,proadv,687,11090,273,1.5,Prn,
159,38,2,avoit,avoit,vcj,688,11091,273,1.5,Vfin,
160,38,3,ung,ung,detndf,689,11092,273,1.5,Det,
161,38,4,pouvre,pouvre,adjqua,690,11093,273,1.5,Adj,
162,38,5,homme,homme,nco,691,11094,273,1.5,N,
163,39,1,à,a,pre,695,11098,273,1.5,Pre,
164,39,2,gecter,gecter,vin,696,11099,273,1.5,Vinf,
165,39,3,des,des,detndf,697,11100,273,1.5,Det,
166,39,4,fusées,fusees,nco,698,11101,273,1.5,N,
167,40,1,quant,quant,consub,708,11111,273,1.5,Sub,
168,40,2,elles,elles,proper,709,11112,273,1.5,Prn,s
169,40,3,sont,sont,vcj,710,11113,273,1.5,Vfin,
170,40,4,tombées,tombees,vpp,711,11114,273,1.5,Vpp,
171,41,1,fusées,fusees,nco,736,11139,273,1.5,N,
172,41,2,en,en,pre,737,11140,273,1.5,Pre,
173,41,3,l',l',detdef,738,11141,273,1.5,Det,
174,41,4,aer,aer,nco,739,11142,273,1.5,N,
175,42,1,que,que,consub,753,11156,273,1.5,Sub,
176,42,2,nul,nul,proind,754,11157,273,1.5,Prn,s
177,42,3,ne,ne,adv,755,11158,273,1.5,Neg,
178,42,4,l',l',proper,756,11159,273,1.5,Prn,c
179,42,5,apperceut,apperceut,vcj,757,11160,273,1.5,Vfin,
180,43,1,et,et,concoo,801,11204,275,1.5,Crd,
181,43,2,furent,furent,vcj,802,11205,275,1.5,Vfin,
182,43,3,esbahiz,esbahiz,vpp,803,11206,275,1.5,Vpp,a
183,44,1,que,que,consub,815,11218,275,1.5,Sub,
184,44,2,ce,ce,prodem,816,11219,275,1.5,Prn,s
185,44,3,n',n',adv,817,11220,275,1.5,Neg,
186,44,4,eust,eust,vcj,818,11221,275,1.5,Vfin,
187,44,5,esté,esté,vpp,819,11222,275,1.5,Vpp,
188,44,6,faict,faict,vpp,820,11223,275,1.5,Vpp,
189,45,1,Le,le,detdef,827,11230,276,1.5,Det,
190,45,2,seigneur,seigneur,nco,828,11231,276,1.5,N,
191,45,3,de,de,pre,829,11232,276,1.5,Pre,
192,45,4,Contay,contay,npr,830,11233,276,1.5,N,
193,46,1,de,de,pre,829,11232,276,1.5,Pre,
