wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,BFM_word,sentence,chapter_id,syntag,syntag2,lemma,synfunc,syllabified
1,1,1,de,de,pre,8,10411,259,1.5,Pre,Pre,de,,C/(e)\
2,1,2,Berry,berry,npr,9,10412,259,1.5,N,N,,,C/V\.'C/V\
3,1,3,",",",",pon,10,10413,259,1.5,Pnc,Pnc,,,
4,1,4,seul,seul,adjqua,11,10414,259,1.5,Adj,Adj,seul,,C/V\
5,1,5,frère,frere,nco,12,10415,259,1.5,N,N,,,'C/V\.C/(e)\
6,1,6,du,du,predetc,13,10416,259,1.5,Pre+Det,Pre+Det,de+le,,C/V\
7,1,7,roy,roy,nco,14,10417,259,1.5,N,N,,,C/V\
8,2,1,et,et,concoo,23,10426,259,1.5,Crd,Crd,et,,/V\
9,2,2,autres,autres,detind,24,10427,259,1.5,Adj,Adj,autre,,'/V\.C/e\
10,2,3,seigneurs,seigneurs,nco,25,10428,259,1.5,N,N,,,C/V\.'C/V\
11,2,4,du,du,predetc,26,10429,259,1.5,Pre+Det,Pre+Det,de+le,,C/V\
12,2,5,royaulme,royaulme,nco,27,10430,259,1.5,N,N,,,C/V\.'C/V\.C/(e)\
13,3,1,se,se,proper,28,10431,259,1.5,Prn,Prn$$,soi,,C/(e)\
14,3,2,joignirent,joignirent,vcj,29,10432,259,1.5,Vfin,Vfin,joindre,,C/V\.'C/V\.C/e\
15,3,3,avec,avec,pre,30,10433,259,1.5,PrA,PrA,avec,,/V\.'C/V\
16,3,4,le,le,detdef,31,10434,259,1.5,Det,Det,le,,C/(e)\
17,3,5,conte,conte,nco,32,10435,259,1.5,N,N,,,'C/V\.C/(e)\
18,4,1,de,de,pre,59,10462,260,1.5,Pre,Pre,de,,C/(e)\
19,4,2,Berry,berry,npr,60,10463,260,1.5,N,N,,,C/V\.'C/V\
20,4,3,",",",",pon,61,10464,260,1.5,Pnc,Pnc,,,
21,4,4,seul,seul,adjqua,62,10465,260,1.5,Adj,Adj,seul,,C/V\
22,4,5,frère,frere,nco,63,10466,260,1.5,N,N,,,'C/V\.C/(e)\
23,4,6,du,du,predetc,64,10467,260,1.5,Pre+Det,Pre+Det,de+le,,C/V\
24,4,7,roy,roy,nco,65,10468,260,1.5,N,N,,,C/V\
25,5,1,le,le,detdef,67,10470,260,1.5,Det,Det,le,,C/(e)\
26,5,2,duc,duc,nco,68,10471,260,1.5,N,N,,,C/V\
27,5,3,de,de,pre,69,10472,260,1.5,Pre,Pre,de,,C/(e)\
28,5,4,Bretaigne,bretaigne,npr,70,10473,260,1.5,N,N,,,C/V\.'C/V\.C/(e)\
29,5,5,",",",",pon,71,10474,260,1.5,Pnc,Pnc,,,
30,5,6,monsr,monsr,nco,72,10475,260,1.5,N,N,,,C/V\.'C/V\
31,6,1,monsr,monsr,nco,76,10479,260,1.5,N,N,,,C/V\.'C/V\
32,6,2,de,de,pre,77,10480,260,1.5,Pre,Pre,de,,C/(e)\
33,6,3,Dampmartin,dampmartin,npr,78,10481,260,1.5,N,N,,,C/V\.C/V\.'C/V\
34,6,4,",",",",pon,79,10482,260,1.5,Pnc,Pnc,,,
35,6,5,monsr,monsr,nco,80,10483,260,1.5,N,N,,,C/V\.'C/V\
36,7,1,de,de,pre,85,10488,260,1.5,Pre,Pre,de,,C/(e)\
37,7,2,Bueil,bueil,npr,86,10489,260,1.5,N,N,,,C/V\
38,7,3,et,et,concoo,87,10490,260,1.5,Crd,Crd,et,,/V\
39,7,4,monsr,monsr,nco,88,10491,260,1.5,N,N,,,C/V\.'C/V\
40,7,5,de,de,pre,89,10492,260,1.5,Pre,Pre,de,,C/(e)\
41,7,6,Chaulmont,chaulmont,npr,90,10493,260,1.5,N,N,,,C/V\.'C/V\
42,8,1,de,de,pre,89,10492,260,1.5,Pre,Pre,de,,C/(e)\
43,8,2,Chaulmont,chaulmont,npr,90,10493,260,1.5,N,N,,,C/V\.'C/V\
44,8,3,et,et,concoo,91,10494,260,1.5,Crd,Crd,et,,/V\
45,8,4,messire,messire,nco,92,10495,260,1.5,N,N,,,C/V\.'C/V\.C/(e)\
46,8,5,Charles,charles,npr,93,10496,260,1.5,N,N,,,'C/V\.C/e\
