wd_id,line_id,linewd,word,lex_id,old_wd_id,chapter_id,syntag,syntag2,lemma,syllabified
1,1,1,de,de,30,5,Pre,Pre,de,C/(e)\
2,1,2,saint,saint,31,5,Adj,Adj,saint,C/V\
3,1,3,denis,denis,32,5,N,N,,C/V\.'C/V\
4,1,4,si,si,33,5,Adv,Adv,si4,C/V\
5,1,5,courbe,courbe,34,5,Adj,Adj,,'C/V\.C/(e)\
6,2,1,si,si,33,5,Adv,Adv,si4,C/V\
7,2,2,courbe,courbe,34,5,Adj,Adj,,'C/V\.C/(e)\
8,2,3,",",",",35,5,Pnc,Pnc,,
9,2,4,par,par,36,5,Pre,Pre,par,C/V\
10,2,5,trois,trois,37,5,QIs,QIs,trois,C/V\
11,2,6,anz,anz,38,5,N,N,,/V\
12,3,1,du,du,46,5,Pre+Det,Pre+Det,de.le,C/V\
13,3,2,benoiet,benoiet,47,5,Adj,Adj,,C/V\.C/V\.'C/V\
14,3,3,saint,saint,48,5,Adj,Adj,saint,C/V\
15,3,4,loys,loys,49,5,N,N,,C/V\
16,4,1,fussent,fussent,50,5,Vfin,Vfin,être,'C/V\.C/e\
17,4,2,portez,portez,51,5,Vpp,Vpp,porter,C/V\.'C/V\
18,4,3,en,en,52,5,Pre,Pre,en,/V\
19,4,4,france,france,53,5,N,N,,'C/V\.C/(e)\
20,5,1,en,en,52,5,Pre,Pre,en,/V\
21,5,2,france,france,53,5,N,N,,'C/V\.C/(e)\
22,5,3,",",",",54,5,Pnc,Pnc,,
23,5,4,que,que,55,5,Crd,Crd,que,C/(e)\
24,5,5,ses,ses,56,5,Det,Det,son4,C/V\
25,5,6,naches,naches,57,5,N,N,,'C/V\.C/e\
26,6,1,ele,ele,70,5,Prn,Prn$,elle,'/V\.C/(e)\
27,6,2,portoit,portoit,71,5,Vfin,Vfin,porter,C/V\.'C/V\
28,6,3,son,son,72,5,Det,Det,son4,C/V\
29,6,4,chief,chief,73,5,N,N,,C/V\
30,7,1,et,et,78,5,Crd,Crd,et,/V\
31,7,2,demi,demi,79,5,Adj,Adj,demi,C/V\.'C/V\
32,7,3,",",",",80,5,Pnc,Pnc,,
33,7,4,apuiee,apuiee,81,5,Vpp,Vpp,appuyer,/V\.C/V\.'C/V\./(e)\
34,8,1,et,et,93,5,Crd,Crd,et,/V\
35,8,2,demi,demi,94,5,Adj,Adj,demi,C/V\.'C/V\
36,8,3,de,de,95,5,Pre,Pre,de,C/(e)\
37,8,4,longueur,longueur,96,5,N,N,,C/V\.'C/V\
