wd_id,line_id,linewd,word,lex_id,old_wd_id,textlineid,syntag,syntag2,lemma,syllabified
1,1,1,du,du,12,516,Pre+Det,Pre+Det,de.le,C/V\
2,1,2,soleil,soleil,13,517,N,N,,C/V\.'C/V\
3,1,3,et,et,14,517,Crd,Crd,et,/V\
4,1,4,nature,nature,15,517,N,N,,C/V\.'C/V\.C/(e)\
5,2,1,et,et,14,517,Crd,Crd,et,/V\
6,2,2,nature,nature,15,517,N,N,,C/V\.'C/V\.C/(e)\
7,2,3,contente,contente,16,517,Adj,Adj,,C/V\.'C/V\.C/(e)\
8,3,1,contente,contente,16,517,Adj,Adj,,C/V\.'C/V\.C/(e)\
9,3,2,du,du,17,517,Pre+Det,Pre+Det,de.le,C/V\
10,3,3,repos,repos,18,517,N,N,,C/V\.'C/V\
11,4,1,du,du,17,517,Pre+Det,Pre+Det,de.le,C/V\
12,4,2,repos,repos,18,517,N,N,,C/V\.'C/V\
13,4,3,de,de,19,517,Pre,Pre,de,C/(e)\
14,4,4,la,la,20,517,Det,Det,le,C/V\
15,4,5,nuit,nuit,21,517,N,N,,C/V\
16,5,1,et,et,62,521,Crd,Crd,et,/V\
17,5,2,le,le,63,521,Det,Det,le,C/(e)\
18,5,3,piteux,piteux,64,521,Adj,Adj,,C/V\.'C/V\
19,5,4,estat,estat,65,521,N,N,,/V\.'C/V\
20,6,1,et,et,117,526,Crd,Crd,et,/V\
21,6,2,la,la,118,526,Det,Det,le,C/V\
22,6,3,perte,perte,119,526,N,N,,'C/V\.C/(e)\
23,6,4,des,des,120,526,Pre+Det,Pre+Det,de.le,C/V\
24,6,5,princes,princes,121,527,N,N,,'C/V\.C/e\
25,7,1,a,a,132,528,Vfin,Vfin,avoir,/V\
26,7,2,laissié,laissié,133,528,Vpp,Vpp,laisser,C/V\.'C/V\
27,7,3,ce,ce,134,528,Dem,Dem,cist,C/(e)\
28,7,4,royaume,royaume,135,528,N,N,,C/V\.'C/V\.C/(e)\
29,8,1,la,la,156,530,Det,Det,le,C/V\
30,8,2,grandeur,grandeur,157,530,N,N,,C/V\.'C/V\
31,8,3,et,et,158,530,Crd,Crd,et,/V\
32,8,4,distance,distance,159,530,N,N,,C/V\.'C/V\.C/(e)\
33,9,1,qui,qui,183,602,Qux,Qux,qui,C/V\
34,9,2,trouver,trouver,184,603,Vinf,Vinf,trouver,C/V\.'C/V\
35,9,3,s',s',185,603,Prn,Prn$$,se,C/\
36,9,4,i,i,186,603,Prn,Prn$$,y2,/V\
37,9,5,pourroient,pourroient,187,603,Vfin,Vfin,pouvoir2,C/V\.'C/V\./e\
38,10,1,prudence,prudence,204,604,N,N,,C/V\.'C/V\.C/(e)\
39,10,2,et,et,205,604,Crd,Crd,et,/V\
40,10,3,industrie,industrie,206,605,N,N,,/V\.C/V\.'C/V\./(e)\
41,11,1,Aprés,aprés,221,606,PrA,PrA,après,/V\.'C/V\
42,11,2,lesquelz,lesquelz,222,606,Qux,Qux,lequel,C/V\.'C/V\
43,11,3,partis,partis,223,606,N,N,,C/V\.'C/V\
44,12,1,et,et,240,607,Crd,Crd,et,/V\
45,12,2,regle,regle,241,608,N,N,,'C/V\.C/(e)\
46,12,3,a,a,242,608,Pre,Pre,à,/V\
47,12,4,mettre,mettre,243,608,Vinf,Vinf,mettre,'C/V\.C/(e)\
48,12,5,en,en,244,608,Pre,Pre,en,/V\
49,12,6,oeuvre,oeuvre,245,608,N,N,,'/V\.C/(e)\
50,13,1,en,en,244,608,Pre,Pre,en,/V\
51,13,2,oeuvre,oeuvre,245,608,N,N,,'/V\.C/(e)\
52,13,3,le,le,246,608,Det,Det,le,C/(e)\
53,13,4,povoir,povoir,247,608,N,N,pouvoir,C/V\.'C/V\
54,14,1,que,que,248,608,Qux,Qux,que,C/(e)\
55,14,2,Dieu,dieu,249,608,N,N,,C/V\
56,14,3,nous,nous,250,608,Prn,Prn$$,nous,C/V\
57,14,4,a,a,251,608,Vfin,Vfin,avoir,/V\
58,14,5,laissié,laissié,252,608,Vpp,Vpp,laisser,C/V\.'C/V\
59,15,1,nous,nous,250,608,Prn,Prn$$,nous,C/V\
60,15,2,a,a,251,608,Vfin,Vfin,avoir,/V\
61,15,3,laissié,laissié,252,608,Vpp,Vpp,laisser,C/V\.'C/V\
62,15,4,",",",",253,608,Pnc,Pnc,,
63,15,5,est,est,254,609,Vfin,Vfin,être,/V\
64,15,6,cause,cause,255,609,N,N,,'C/V\.C/(e)\
65,16,1,de,de,256,609,Pre,Pre,de,C/(e)\
66,16,2,la,la,257,609,Det,Det,le,C/V\
67,16,3,longue,longue,258,609,Adj,Adj,long,'C/V\.C/(e)\
68,16,4,duree,duree,259,609,N,N,,C/V\.'C/V\./(e)\
69,17,1,et,et,288,611,Crd,Crd,et,/V\
70,17,2,corrumpues,corrumpues,289,611,Vpp,Vpp,corrompre,C/V\.C/V\.'C/V\./e\
71,17,3,meurs,meurs,290,612,N,N,,C/V\
72,18,1,en,en,292,612,Pre,Pre,en,/V\
73,18,2,nous,nous,293,612,Prn,Prn,nous,C/V\
74,18,3,le,le,294,612,Det,Det,le,C/(e)\
75,18,4,jugement,jugement,295,612,N,N,,C/V\.C/e\.'C/V\
76,19,1,et,et,298,612,Crd,Crd,et,/V\
77,19,2,noz,noz,299,612,Det,Det,notre,C/V\
78,19,3,parciaulx,parciaulx,300,612,Adj,Adj,,C/V\.'C/V\
79,19,4,desirs,desirs,301,613,N,N,,C/V\.'C/V\
80,20,1,et,et,317,614,Crd,Crd,et,/V\
81,20,2,a,a,318,615,Pre,Pre,à,/V\
82,20,3,noz,noz,319,615,Det,Det,notre,C/V\
83,20,4,ennemis,ennemis,320,615,N,N,,/V\.C/e\.'C/V\
84,21,1,donnons,donnons,328,615,Vfin,Vfin,donner,C/V\.'C/V\
85,21,2,sur,sur,329,616,PrA,PrA,sur,C/V\
86,21,3,nous,nous,330,616,Prn,Prn,nous,C/V\
87,21,4,victoire,victoire,331,616,N,N,,C/V\.'C/V\.C/(e)\
88,22,1,du,du,364,620,Pre+Det,Pre+Det,de.le,C/V\
89,22,2,premier,premier,365,620,Adj,Adj,premier,C/V\.C/<V>\.'/V\
90,22,3,repos,repos,366,620,N,N,,C/V\.'C/V\
91,23,1,et,et,395,623,Crd,Crd,et,/V\
92,23,2,seigneury,seigneury,396,623,Adj,Adj,,C/V\.C/V\.'C/V\
93,23,3,maintien,maintien,397,623,N,N,,C/V\.'C/V\
94,24,1,que,que,418,625,Sub,Sub,que,C/(e)\
