wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,syntag,syntag2,lemma,textlineid,synfunc,syllabified
1,1,1,lors,lors,ADV,7,lors_+CIT,Adv,Adv,lors,516,,C/V\
2,1,2,que,que,PROCON,8,que3_S,Sub,Sub,que,516,,C/(e)\
3,1,3,la,la,DET:def,9,le_S,Det,Det,le,516,,C/V\
4,1,4,premiere,premiere,ADJ:ord,10,premier_C,Adj,Adj,premier1,516,,C/V\.C/<V>\.'/V\.C/(e)\
5,1,5,clarté,clarté,NOM,11,clarté_+IT,N,N,,516,,C/V\.'C/V\
6,2,1,et,et,CON:coord,35,et_S,Crd,Crd,et,519,,/V\
7,2,2,",",",",PON,36,",",Pnc,Pnc,,519,,
8,2,3,ainsi,ainsi,ADV,37,ainsi_+CIT,Adv,Adv,ainsi,519,,/V\.'C/V\
9,2,4,que,que,PROCON,38,que3_S,Sub,Sub,que,519,,C/(e)\
10,2,5,a,a,PRE,39,a_S,Pre,Pre,à,519,,/V\
11,2,6,l',l',DET:def,40,le_S,Det,Det,le,519,,C/\
12,2,7,entendement,entendement,NOM,41,entendement_+T,N,N,,519,,/V\.C/V\.C/e\.'C/V\
13,3,1,de,de,PRE,114,de_+S,Pre,Pre,de,526,,C/(e)\
14,3,2,plusieurs,plusieurs,DET:ind,115,plusor_S,QIs,QIs,plusieurs,526,,C/V\.'C/V\
15,3,3,subgiez,subgiez,NOM,116,<unknown>,N,N,,526,,C/V\.'C/V\
16,3,4,et,et,CON:coord,117,et_S,Crd,Crd,et,526,,/V\
17,3,5,la,la,DET:def,118,le_S,Det,Det,le,526,,C/V\
18,3,6,perte,perte,NOM,119,perte_+CIT,N,N,,526,,'C/V\.C/(e)\
19,4,1,des,des,PREDET:de,120,de+le_S,Pre+Det,Pre+Det,de+le,526,,C/V\
20,4,2,princes,princes,NOM,121,prince_+C,N,N,,527,,'C/V\.C/e\
21,4,3,et,et,CON:coord,122,et_S,Crd,Crd,et,527,,/V\
22,4,4,chevallerie,chevallerie,NOM,123,chevalerie_*+IT,N,N,,527,,C/V\.C/V\.C/V\.'C/V\./(e)\
23,5,1,et,et,CON:coord,122,et_S,Crd,Crd,et,527,,/V\
24,5,2,chevallerie,chevallerie,NOM,123,chevalerie_*+IT,N,N,,527,,C/V\.C/V\.C/V\.'C/V\./(e)\
25,5,3,",",",",PON,124,",",Pnc,Pnc,,527,,
26,5,4,dont,dont,ADV,125,donc|dont_I|I,Qux,Qux,dont,527,,C/V\
27,5,5,Dieu,dieu,NOM,126,dieu_+CIT,N,N,,527,s,C/V\
28,6,1,l',l',DET:def,143,le_S,Det,Det,le,529,,C/\
29,6,2,issue,issue,NOM,144,issue_+CIT,N,N,,529,,/V\.'C/V\./(e)\
30,6,3,de,de,PRE,145,de_+S,Pre,Pre,de,529,,C/(e)\
31,6,4,ceste,ceste,DET:demo,146,cest_S,Dem,Dem,cist,529,,'C/V\.C/(e)\
