wd_id,line_id,linewd,word,lex_id,old_wd_id,para_id,ch_id,verse_id,syntag,syntag2,lemma,syllabified
1,1,1,é,e,10,1,1,1,Crd,Crd,et,/V\
2,1,2,out,out,11,1,1,1,Vfin,Vfin,avoir,/V\
3,1,3,num,num,12,1,1,1,N,N,,C/V\
4,1,4,Helcana,helcana,13,1,1,1,N,N,,/V\.C/V\.'C/V\
5,2,1,é,e,31,1,1,1,Crd,Crd,et,/V\
6,2,2,fud,fud,32,1,1,1,Vfin,Vfin,être,C/V\
7,2,3,de,de,33,1,1,1,Pre,Pre,de,C/(e)\
8,2,4,Effratá,effrata,34,1,1,1,N,N,,/V\.C/V\.'C/V\
9,3,1,ki,ki,45,1,1,1,Qux,Qux,qui,C/V\
10,3,2,puis,puis,46,1,1,1,PrA,PrA,puis,C/V\
11,3,3,fud,fud,47,1,1,1,Vfin,Vfin,être,C/V\
12,3,4,apeléé,apelee,48,1,1,1,Vpp,Vpp,appeler,/V\.C/e\.'C/V\./(e)\
13,4,1,Ramathaïm,ramathaim,64,1,1,1,N,N,,C/V\.C/V\.C/V\.'C/V\
14,4,2,-,-,65,1,1,1,Pnc,Pnc,,
15,4,3,Sophim,sophim,66,1,1,1,N,N,,C/V\.'C/V\
16,5,1,ki,ki,68,1,1,1,Qux,Qux,qui,C/V\
17,5,2,puis,puis,69,1,1,1,PrA,PrA,puis,C/V\
18,5,3,fud,fud,70,1,1,1,Vfin,Vfin,être,C/V\
19,5,4,apeléé,apelee,71,1,1,1,Vpp,Vpp,appeler,/V\.C/e\.'C/V\./(e)\
20,6,1,ki,ki,80,1,1,1,Qux,Qux,qui,C/V\
21,6,2,le,le,81,1,1,1,Det,Det,le,C/(e)\
22,6,3,precius,precius,82,1,1,1,Adj,Adj,,C/V\.C/V\.'C/V\
23,6,4,cors,cors,83,1,1,1,N,N,,C/V\
24,7,1,fud,fud,118,1,1,2,Vfin,Vfin,être,C/V\
25,7,2,claméé,clamee,119,1,1,2,Vpp,Vpp,clamer,C/V\.'C/V\./(e)\
26,7,3,Anna,annä,120,1,1,2,N,N,,'/V\.C/(e)\
27,7,4,é,e,121,1,1,2,Crd,Crd,et,/V\
28,7,5,l',l',122,1,1,2,Det,Det,le,C/\
29,7,6,altre,altre,123,1,1,2,Adj,Adj,autre,'/V\.C/(e)\
30,8,1,Anna,annä,120,1,1,2,N,N,,'/V\.C/(e)\
31,8,2,é,e,121,1,1,2,Crd,Crd,et,/V\
32,8,3,l',l',122,1,1,2,Det,Det,le,C/\
33,8,4,altre,altre,123,1,1,2,Adj,Adj,autre,'/V\.C/(e)\
34,8,5,Phenenna,phenennä,124,1,1,2,N,N,,C/V\.'C/V\.C/(e)\
35,9,1,mais,mais,131,1,1,2,Crd,Crd,mais,C/V\
36,9,2,Anna,annä,132,1,1,2,N,N,,'/V\.C/(e)\
37,9,3,n',n',133,1,1,2,Neg,Neg$$,ne,C/\
38,9,4,en,en,134,1,1,2,Prn,Prn$$,en2,/V\
39,9,5,out,out,135,1,1,2,Vfin,Vfin,avoir,/V\
40,9,6,nul,nul,136,1,1,2,QIs,QIs,nul,C/V\
41,10,1,Bien,bien,138,1,1,2,Adv,Adv,bien,C/V\
42,10,2,lut,lut,139,1,1,2,Vfin,Vfin,lire,C/V\
43,10,3,en,en,140,1,1,2,Pre,Pre,en,/V\
44,10,4,la,la,141,1,1,2,Det,Det,le,C/V\
45,10,5,vielz,vielz,142,1,1,2,Adj,Adj,vieux,C/V\
46,10,6,lei,lei,143,1,1,2,N,N,,C/V\
47,11,1,oüssent,oussent,147,1,1,2,Vfin,Vfin,avoir,/(V)\.'/V\.C/e\
48,11,2,od,od,148,1,1,2,Pre,Pre,o,/V\
49,11,3,cumpáigne,cumpaigne,149,1,1,2,N,N,,C/V\.'C/V\.C/(e)\
50,12,1,Kar,kar,152,1,1,2,Crd,Crd,car,C/V\
51,12,2,des,des,153,1,1,2,Pre+Det,Pre+Det,de.le,C/V\
52,12,3,treze,treze,154,1,1,2,QIs,QIs,treize,'C/V\.C/(e)\
53,12,4,lignees,lignees,155,1,1,2,N,N,,C/V\.'C/V\./e\
54,13,1,ki,ki,178,1,1,2,Qux,Qux,qui,C/V\
55,13,2,primes,primes,179,1,1,2,Adv,Adv,primes,'C/V\.C/e\
56,13,3,fud,fud,180,1,1,2,Vfin,Vfin,être,C/V\
57,13,4,levez,levez,181,1,1,2,Vpp,Vpp,lever,C/V\.'C/V\
58,14,1,que,que,189,1,1,2,Qux,Qux,que,C/(e)\
59,14,2,li,li,190,1,1,2,Det,Det,le,C/V\
