wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,para_id,ch_id,syntag,syntag2,lemma,verse_id,synfunc,syllabified
1,1,1,fu,fu,VER,3,estre1|estre_+I|CMI,1,1,Vfin,Vfin,être1|ester,1,,C/V\
2,1,2,j́a,ja,ADV,4,ja_+CIT,1,1,Adv,Adv,jà,1,,C/V\
3,1,3,en,en,PRE,5,en1_+S,1,1,Pre,Pre,en1,1,,/V\
4,1,4,l',l',DET:def,6,le_S,1,1,Det,Det,le,1,,C/\
5,1,5,antif,antif,ADJ,7,antif_+GT,1,1,Adj,Adj,,1,,/V\.'C/V\
6,1,6,pople,pople,NOM,8,pueple_+T,1,1,N,N,,1,,'C/V\.C/(e)\
7,1,7,Deu,deu,NOM,9,dieu_+IT,1,1,N,N,,1,o,C/V\
8,2,1,Fiz,fiz,NOM,15,fil2|fius_+T|C,1,1,N,N,,1,,C/V\
9,2,2,fud,fud,VER,16,estre_M,1,1,Vfin,Vfin,être1|ester,1,,C/V\
10,2,3,Jeroboam,jeroboam,NPR,17,jeroboam_Z,1,1,N,N,,1,,C/V\.C/V\.C/V\.'C/V\
11,2,4,",",",",PON,18,",",1,1,Pnc,Pnc,,1,,
12,2,5,le,le,DET:def,19,le_S,1,1,Det,Det,le,1,,C/(e)\
13,2,6,fiz,fiz,NOM,20,fil2|fius_+T|C,1,1,N,N,,1,,C/V\
14,3,1,de,de,PRE,56,de_+S,1,1,Pre,Pre,de,1,,C/(e)\
15,3,2,Effraïm,effraim,NPR,57,<unknown>,1,1,N,N,,1,,/V\.C/V\.'C/V\
16,3,3,en,en,PRE,58,en1_+S,1,1,Pre,Pre,en1,1,,/V\
17,3,4,une,une,DET:ndf,59,un_S,1,1,QIs,QIs,un,1,,'/V\.C/(e)\
18,3,5,cite,cité,NOM,60,cité_*+I,1,1,N,N,,1,,C/V\.'C/V\
19,4,1,dunt,dunt,PRO:invar,74,dont_S,1,1,Qux,Qux,dont,1,a,C/V\
20,4,2,fud,fud,VER,75,estre_M,1,1,Vfin,Vfin,être1|ester,1,,C/V\
21,4,3,li,li,PRO:pers,76,il_S,1,1,Det,Det,le,1,,C/V\
22,4,4,bonurez,bonurez,VER,77,ëurer_+Z,1,1,Adj,Adj,,1,,C/V\.C/V\.'C/V\
23,4,5,Joseph,joseph,NPR,78,joseph_Z,1,1,N,N,,1,,C/V\.'C/V\
24,5,1,as,as,PREDET:a,97,a+le_S,1,1,Pre+Det,Pre+Det,à+le,1,,/V\
25,5,2,ordenez,ordenez,VER,98,ordener_+M,1,1,N,N,,1,,/V\.C/e\.'C/V\
26,5,3,Deu,deu,NOM,99,dieu_+IT,1,1,N,N,,1,o,C/V\
27,5,4,de,de,PRE,100,de_+S,1,1,Pre,Pre,de,1,,C/(e)\
28,5,5,part,part,NOM,101,part1|part2|part3|part4_+IT|+T|+T|+T,1,1,N,N,,1,,C/V\
29,5,6,pere,pere,NOM,102,paire|pere1|piere_+T|+T|+T,1,1,N,N,,1,o,'C/V\.C/(e)\
30,6,1,de,de,PRE,107,de_+S,1,1,Pre,Pre,de,1,,C/(e)\
