wd_id,line_id,linewd,word,lex_id,old_wd_id,page_id,syntag,syntag2,lemma,syllabified
1,1,1,en,en,5,1022,Pre,Pre,en,/V\
2,1,2,la,la,6,1022,Det,Det,le,C/V\
3,1,3,court,court,7,1022,N,N,,C/V\
4,1,4,de,de,8,1022,Pre,Pre,de,C/(e)\
5,1,5,la,la,9,1022,Det,Det,le,C/V\
6,1,6,royne,royne,10,1022,N,N,,C/(V)\.'/V\.C/(e)\
7,2,1,femme,femme,15,1022,N,N,,'C/V\.C/(e)\
8,2,2,dudit,dudit,16,1022,Pre+Dem,Pre+Dem,de.ledit,C/V\.'C/V\
9,2,3,roy,roy,17,1022,N,N,,C/V\
10,2,4,Jehan,jehan,18,1022,N,N,,C/(V)\.'/V\
11,3,1,qui,qui,26,1022,Qux,Qux,qui,C/V\
12,3,2,des,des,27,1022,Pre+Det,Pre+Det,de.le,C/V\
13,3,3,Belles,belles,28,1022,Adj,Adj,beau,'C/V\.C/e\
14,3,4,Cousines,cousines,29,1022,N,N,,C/V\.'C/V\.C/e\
15,4,1,onques,onques,56,1022,Adv,Adv,onques,'/V\.C/e\
16,4,2,puis,puis,57,1022,PrA,PrA,puis,C/V\
17,4,3,le,le,58,1022,Det,Det,le,C/(e)\
18,4,4,trespas,trespas,59,1022,N,N,,C/V\.'C/V\
19,5,1,pour,pour,66,1022,Pre,Pre,pour,C/V\
20,5,2,quelque,quelque,67,1022,QIs,QIs,quelque,'C/V\.C/(e)\
21,5,3,occasion,occasion,68,1022,N,N,,/V\.C/V\.C/{V}\.'/V\
22,6,1,vouloit,vouloit,134,1022,Vfin,Vfin,vouloir,C/V\.'C/V\
23,6,2,les,les,135,1022,Det,Det,le,C/V\
24,6,3,anciennes,anciennes,136,1022,Adj,Adj,,/V\.C/{V}\.'/V\.C/e\
25,7,1,disent,disent,145,1022,Vfin,Vfin,dire,'C/V\.C/e\
26,7,2,que,que,146,1022,Sub,Sub,que,C/(e)\
27,7,3,les,les,147,1022,Det,Det,le,C/V\
28,7,4,Romains,romains,148,1022,Adj,Adj,,C/V\.'C/V\
29,8,1,Et,et,201,1022,Crd,Crd,et,/V\
30,8,2,de,de,202,1022,Pre,Pre,de,C/(e)\
31,8,3,ce,ce,203,1022,Prn,Prn,ce,C/(e)\
32,8,4,dit,dit,204,1022,Vfin,Vfin,dire,C/V\
33,8,5,l',l',205,1022,Det,Det,le,C/\
34,8,6,Appostre,appostre,206,1022,N,N,,/V\.'C/V\.C/(e)\
35,9,1,ne,ne,228,1022,Neg,Neg$$,ne,C/(e)\
36,9,2,sont,sont,229,1022,Vfin,Vfin,être,C/V\
37,9,3,pas,pas,230,1022,Neg,Neg,pas,C/V\
38,9,4,droictes,droictes,231,1022,Adj,Adj,droit2,'C/V\.C/e\
39,9,5,vesves,vesves,232,1022,Adj,Adj,,'C/V\.C/e\
40,10,1,de,de,272,1022,Pre,Pre,de,C/(e)\
41,10,2,Dieu,dieu,273,1022,N,N,,C/V\
42,10,3,ne,ne,274,1022,Crd,Crd,ne2,C/(e)\
43,10,4,pour,pour,275,1022,Pre,Pre,pour,C/V\
44,10,5,l',l',276,1022,Det,Det,le,C/\
45,10,6,amour,amour,277,1022,N,N,,/V\.'C/V\
46,11,1,si,si,300,1023,Adv,Adv,si4,C/V\
47,11,2,comme,comme,301,1023,Sub,Sub,comme,'C/V\.C/(e)\
48,11,3,dit,dit,302,1023,Vfin,Vfin,dire,C/V\
49,11,4,Virgilles,virgilles,303,1023,N,N,,C/V\.'C/V\.C/e\
50,12,1,Lequel,lequel,310,1023,Qux,Qux,lequel,C/V\.'C/V\
51,12,2,Ennee,ennee,311,1023,N,N,,/V\.'C/V\./(e)\
52,12,3,tant,tant,312,1023,QIs,QIs,tant,C/V\
53,13,1,mais,mais,320,1023,Crd,Crd,mais,C/V\
54,13,2,Dido,dido,321,1023,N,N,,C/V\.'C/V\
55,13,3,de,de,322,1023,Pre,Pre,de,C/(e)\
56,13,4,s',s',323,1023,Det,Det,son4,C/\
57,13,5,amour,amour,324,1023,N,N,,/V\.'C/V\
58,14,1,car,car,329,1023,Crd,Crd,car,C/V\
59,14,2,tant,tant,330,1023,QIs,QIs,tant,C/V\
60,14,3,avoit,avoit,331,1023,Vfin,Vfin,avoir,/V\.'C/V\
61,14,4,amé,amé,332,1023,Vpp,Vpp,aimer,/V\.'C/V\
62,15,1,et,et,333,1023,Crd,Crd,et,/V\
63,15,2,encores,encores,334,1023,Adv,Adv,encore,/V\.'C/V\.C/e\
64,15,3,amoit,amoit,335,1023,Vfin,Vfin,aimer,/V\.'C/V\
65,16,1,Et,et,348,1023,Crd,Crd,et,/V\
66,16,2,a,a,349,1023,Pre,Pre,à,/V\
67,16,3,Anne,anne,350,1023,N,N,,'/V\.C/(e)\
68,16,4,sa,sa,351,1023,Det,Det,son4,C/V\
69,16,5,seur,seur,352,1023,N,N,,C/V\
70,17,1,Duquel,duquel,369,1023,Pre+Qux,Pre+Qux,duquel,C/V\.'C/V\
71,17,2,vers,vers,370,1023,N,N,,C/V\
72,17,3,la,la,371,1023,Det,Det,le,C/V\
73,17,4,sentence,sentence,372,1023,N,N,,C/V\.'C/V\.C/(e)\
74,18,1,ou,ou,438,1023,Crd,Crd,ou,/V\
75,18,2,le,le,439,1023,Det,Det,le,C/(e)\
76,18,3,palis,palis,440,1023,N,N,,C/V\.'C/V\
77,18,4,de,de,441,1023,Pre,Pre,de,C/(e)\
78,18,5,l',l',442,1023,Det,Det,le,C/\
79,18,6,ost,ost,443,1023,N,N,,/V\
80,19,1,de,de,441,1023,Pre,Pre,de,C/(e)\
81,19,2,l',l',442,1023,Det,Det,le,C/\
82,19,3,ost,ost,443,1023,N,N,,/V\
83,19,4,aux,aux,444,1023,Pre+Det,Pre+Det,à.le,/V\
84,19,5,ennemis,ennemis,445,1023,N,N,,/V\.C/e\.'C/V\
85,20,1,de,de,527,1024,Pre,Pre,de,C/(e)\
86,20,2,chasteté,chasteté,528,1024,N,N,,C/V\.C/e\.'C/V\
87,20,3,emprinse,emprinse,529,1024,Vpp,Vpp,emprendre,/V\.'C/V\.C/(e)\
88,21,1,qui,qui,531,1024,Qux,Qux,qui,C/V\
89,21,2,estoient,estoient,532,1024,Vfin,Vfin,être,/V\.'C/V\./e\
90,21,3,trop,trop,533,1024,Adv,Adv,trop,C/V\
91,21,4,plus,plus,534,1024,Adv,Adv,plus,C/V\
