wd_id,line_id,linewd,word,lex_id,old_wd_id,textlineid,syntag,syntag2,lemma,syllabified
1,1,1,a,a,75,106,Pre,Pre,à,/V\
2,1,2,monsigneur,monsigneur,76,107,N,N,,C/V\.C/V\.'C/V\
3,1,3,Tristran,tristran,77,107,N,N,,C/V\.'C/V\
4,2,1,et,et,78,107,Crd,Crd,et,/V\
5,2,2,de,de,79,107,Pre,Pre,de,C/(e)\
6,2,3,che,che,80,107,Prn,Prn,ce,C/(e)\
7,2,4,k',k',81,107,Sub,Sub,que,C/\
8,2,5,il,il,82,107,Prn,Prn$,il,/V\
9,2,6,avoit,avoit,83,107,Vfin,Vfin,avoir,/V\.'C/V\
10,3,1,ce,ce,85,107,Prn,Prn,ce,C/(e)\
11,3,2,li,li,86,107,Prn,Prn$$,li,C/V\
12,3,3,estoit,estoit,87,107,Vfin,Vfin,être,/V\.'C/V\
13,3,4,avis,avis,88,107,N,N,,/V\.'C/V\
14,4,1,a,a,97,108,Pre,Pre,à,/V\
15,4,2,toutes,toutes,98,108,QIs,QIs,tout,'C/V\.C/e\
16,4,3,les,les,99,108,Det,Det,le,C/V\
17,4,4,paroles,paroles,100,108,N,N,,C/V\.'C/V\.C/e\
18,5,1,a,a,111,109,Pre,Pre,à,/V\
19,5,2,monsigneur,monsigneur,112,109,N,N,,C/V\.C/V\.'C/V\
20,5,3,Tristran,tristran,113,110,N,N,,C/V\.'C/V\
21,6,1,avoit,avoit,146,113,Vfin,Vfin,avoir,/V\.'C/V\
22,6,2,le,le,147,113,Det,Det,le,C/(e)\
23,6,3,soir,soir,148,113,N,N,,C/V\
24,6,4,devant,devant,149,113,PrA,PrA,devant,C/V\.'C/V\
25,7,1,car,car,174,115,Crd,Crd,car,C/V\
26,7,2,li,li,175,115,Det,Det,le,C/V\
27,7,3,preudom,preudom,176,115,N,N,,C/V\.'C/V\
28,7,4,meïsmes,meismes,177,116,Adv,Adv,même,C/(V)\.'/V\.C/e\
29,8,1,se,se,197,117,Prn,Prn$$,se,C/(e)\
30,8,2,lieve,lieve,198,117,Vfin,Vfin,lever,'C/V\.C/(e)\
31,8,3,et,et,199,117,Crd,Crd,et,/V\
32,8,4,apareille,apareille,200,117,Vfin,Vfin,,/V\.C/V\.'C/V\.C/(e)\
33,9,1,tout,tout,216,119,QIs,QIs,tout,C/V\
34,9,2,autretel,autretel,217,119,Adj,Adj,autretel,/V\.C/e\.'C/V\
35,9,3,proiiere,proiiere,218,119,N,N,,C/V\.'C/V\.C/(e)\
36,10,1,avoit,avoit,222,119,Vfin,Vfin,avoir,/V\.'C/V\
37,10,2,faite,faite,223,119,Vpp,Vpp,faire,'C/V\.C/(e)\
38,10,3,le,le,224,120,Det,Det,le,C/(e)\
39,10,4,jour,jour,225,120,N,N,,C/V\
40,11,1,fist,fist,236,120,Vfin,Vfin,faire,C/V\
41,11,2,il,il,237,121,Prn,Prn%,il,/V\
42,11,3,a,a,238,121,Pre,Pre,à,/V\
43,11,4,Lanselot,lanselot,239,121,N,N,,C/V\.C/e\.'C/V\
44,12,1,tout,tout,260,122,QIs,QIs,tout,C/V\
45,12,2,apertement,apertement,261,122,Adv,Adv,,/V\.C/V\.C/e\.'C/V\
