wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,para_id,syntag,syntag2,lemma,lemma_auto,NCA_src,boundary,synfunc,NCA_taggerpos,NCA_sent,syllabified
1,1,1,que,que,PROCON,38,19,Sub,Sub,que,que2|que3|que,T|S|C,"[('SubVfin', ''), ('Sub', ''), ('Prn', 's')]",,PROCON,41,C/(e)\
2,1,2,je,je,PRO:pers:suj:1:sg:unb,39,19,Prn,Prn$,1ps,je,CIST,"[('SubVfin', ''), ('Prn', 's'), ('Vfin', '')]",s,PRO:pers,41,C/(e)\
3,1,3,fu,fu,VER:simp:3:sg,40,19,Vfin,Vfin,être1|ester,estre1|estre,+I|CMI,"[('SubVfin', ''), ('Vfin', ''), ('PreN', 'a')]",,VER,41,C/V\
4,1,4,en,en,PRO:clit,41,19,Pre,Pre,en1,en1|en,+IST|CI,"[('PreN', 'a'), ('Pre', ''), ('Det', '')]",,PRE,41,/V\
5,1,5,sa,sa,DET:poss:obj:femi:sg,42,19,Det,Det,son4,son4|son,S|C,"[('PreN', 'a'), ('Det', ''), ('N', '')]",,DET:poss,41,C/V\
6,1,6,compaignie,compaignie,NOM:obj:femi:sg,43,19,N,N,,compagne1|compagne2,*+IT|+IT,"[('PreN', 'a'), ('N', ''), ('PreN', '&')]",,NOM,41,C/V\.C/V\.'C/V\./(e)\
7,2,1,et,et,CON:coord,80,19,Crd,Crd,et,et,ST,"[('PreN', '&'), ('Crd', ''), ('Pre', '')]",,CON:coord,42,/V\
8,2,2,de,de,PRE,81,19,Pre,Pre,de,de,+CIST,"[('PreN', '&'), ('Pre', ''), ('Det', '')]",,PRE,42,C/(e)\
9,2,3,ses,ses,DET:poss:obj:masc:pl,82,19,Det,Det,son4,son4|son,S|C,"[('PreN', '&'), ('Det', ''), ('Adj', '')]",,DET:poss,42,C/V\
10,2,4,bons,bons,ADJ:obj:masc:pl,83,19,Adj,Adj,bon,bon,+CI,"[('PreN', '&'), ('Adj', ''), ('N', '')]",,ADJ,42,C/V\
11,2,5,enseignemens,enseignemens,NOM:obj:masc:pl,84,19,N,N,,UNKNOWN,,"[('SubVfin', 'c'), ('PreN', ''), ('PrePrnSubVfin', '')]",,NOM,42,/V\.C/V\.C/e\.'C/V\
