TEXT,TEXT.BOOK,DOC,DIALECT,TEXTTYPE,VERSEFORM
avision-pv,ChrPisAdv.8pv,1405,C,narr,octo
berinus-pv,Berin.8pv,1370,N,narr,octo
chrfroiss-pv,FroissChron3.8pv,1390,N,narr,octo
conqueste-pv,Villeh.8pv,1209,C,narr,octo
memcomm-pv,Comm.8pv,1495,C,narr,octo
mirlouis-pv,SLouisPathMir.8pv,1297,C,narr,octo
quadrilogue-pv,AlChartQuad.8pv,1422,C,narr,octo
quatrelivres-pv,Rois.8pv,1175,AN,narr,octo
saintre-pv,JSaintré.8pv,1453,C,narr,octo
tristan-pv,TristPr.8pv,1230,N,narr,octo
vielouis-pv,Joinv.8pv,1307,C,narr,octo
