TEXT,TEXT.BOOK,DOC,DIALECT,TEXTTYPE,VERSEFORM
abeville,BouchAbev,1250,N,narr,octo
adam,JeuAdam,1170,AN,play,octo
anjou,ComteAnjou,1316,C,narr,octo
barat,BaratHaim,1195,N,narr,octo
barisel,ChvBarisel,1210,N,narr,octo
belledame,BelleDame,1424,C,narr,octo
blondel,Blondel,1183,N,lyr,octo
brendan,Brendan,1112,AN,narr,octo
charrette,Charrete,1177,C,narr,octo
chartier,Chartier,1417,C,lyr,octo
chevalerie,AbrCheval,1290,E,narr,octo
chivalier,Chivalier,1250,AN,narr,octo
christine,Christine,1400,C,lyr,octo
clermont,PassClerm,1000,S,narr,octo
coinci,MirNDCoin,1227,C,narr,octo
delahalle,AdamHale,1280,N,lyr,octo
dolopathos,Dolopathos,1223,E,narr,octo
edmund,VieEdmund,1200,AN,narr,octo
eracle,Eracle,1175,N,narr,octo
feuillee,Feuillee,1276,N,play,octo
florimont,Florimont,1188,E,narr,octo
fortune,MutFortune,1403,C,narr,octo
froissart,Froissart,1377,N,lyr,octo
gace,GaceBrule,1195,C,lyr,octo
gormont,GormIsem,1125,AN,narr,octo
griseldis,Griseldis,1395,C,play,octo
gui,GuiWarewic,1232,AN,narr,octo
holofernes,JudithHolo,1485,C,play,octo
imagemonde,ImageMonde,1248,E,narr,octo
isopet,IsopetLyon,1275,E,narr,octo
leger,VieLeger,1000,S,narr,octo
liberfort,LibFortune,1346,C,narr,octo
machaut,Machaut,1350,C,lyr,octo
marie,LaisMarie,1165,AN,narr,octo
meliador,Meliador,1383,N,narr,octo
molinet,Molinet,1486,C,lyr,octo
nicolas,JeuNicolas,1196,N,play,octo
notredame,MirNDPers,1345,C,play,octo
orleans,CharlesOrl,1435,C,lyr,octo
palatinus,PassPalat,1308,E,play,octo
passgreb,PassGreban,1450,C,play,octo
passjong,PassJongl,1243,C,narr,octo
pathelin,Pathelin,1467,C,play,octo
poitiers,ComtePoit,1225,N,narr,octo
protheselaus,Prothes,1185,AN,narr,octo
rennov,RenartNouv,1290,N,narr,octo
richard,VieRichard,1270,AN,narr,octo
rosemeun,RoseMeun,1275,C,narr,octo
rutebeuf,,1263,C,lyr,octo
sacristain3,Sacrist3,1275,E,narr,octo
testament,Testament,1461,C,narr,octo
thebes,Thebes,1160,C,narr,octo
theophile,MirTheoph,1261,C,play,octo
thibaut,,1237,C,lyr,octo
troisgalans,TroysGalans,1445,C,play,octo
viemathurin,VieMathurin,1489,C,narr,octo
villon,,1460,C,lyr,octo
voirdit,VoirDit,1364,C,narr,octo
3jugemens,3Jugemens,1400,C,narr,deca
alexis,Alexis,1092,AN,narr,deca
ami,AmiAmile,1200,C,narr,deca
behaigne,Behaingne,1338.5,C,narr,deca
charroi,CharNimes,1149.5,C,narr,deca
eurialus,EurialLucr,1490,C,narr,deca
huon,HuonBord,1233,N,narr,deca
orloge,OrlogeAmor,1368,N,narr,deca
raouli,RaoulCamI,1192,N,narr,deca
roland,ChRoland,1100,AN,narr,deca
alexandre,Alexandre,1185,C,narr,alex
alexisa,AlexisA,1350,C,narr,alex
alexiso,AlexisO,1207.5,C,narr,alex
antioche,ChAntioche,1176,N,narr,alex
berte,Berte,1275,N,narr,alex
hugues,HugCapet,1360,N,narr,alex
rou,Rou,1167,C,narr,alex
