lex_id,syll_str,in_el,fin_el,ms,backwards dd,syllabified,syllabified
abstinences,vvvs,y,n,,,/V\.C/V\.'C/V\.C/e\,/V\.C/V\.'C/V\.C/e\
abusoient,vvvs,y,n,,,/V\.C/V\.'C/V\./e\,/V\.C/V\.'C/V\./e\
acquiesser,vvvv,y,n,,,/V\.C/V\.C/V\.'C/V\,/V\.C/V\.C/V\.'C/V\
adjure,vvs,y,y,,,/V\.'C/V\.C/(e)\,/V\.'C/V\.C/(e)\
admonnesta,vvvv,y,n,,,/V\.C/V\.C/V\.'C/V\,/V\.C/V\.C/V\.'C/V\
admonneste,vvvs,y,n,,,/V\.C/V\.'C/V\.C/e\,/V\.C/V\.'C/V\.C/e\
adorons,vvv,y,n,,,/V\.C/V\.'C/V\,/V\.C/V\.'C/V\
advisoit,vvv,y,n,,,/V\.C/V\.'C/V\,/V\.C/V\.'C/V\
affermer,vvv,y,n,,,/V\.C/V\.'C/V\,/V\.C/V\.'C/V\
allast,vv,y,n,,,/V\.'C/V\,/V\.'C/V\
ambassades,vvvs,y,n,,,/V\.C/V\.'C/V\.C/e\,/V\.C/V\.'C/V\.C/e\
amictié,vvv,y,n,,,/V\.C/V\.'C/V\,/V\.C/V\.'C/V\
appercevance,vvvvs,y,y,,,/V\.C/V\.C/V\.'C/V\.C/(e)\,/V\.C/V\.C/V\.'C/V\.C/(e)\
auroient,vvs,y,n,,,/V\.'C/V\./e\,/V\.'C/V\./e\
auroye,vvs,y,y,,,/V\.'C/V\./(e)\,/V\.'C/V\./(e)\
aveugles,vvs,y,n,,,/V\.'C/V\.C/e\,/V\.'C/V\.C/e\
aveuglez,vvv,y,y,,,/V\.C/V\.'C/(e)\,/V\.C/V\.'C/(e)\
aymoient,vvs,y,n,,,/V\.'C/V\./e\,/V\.'C/V\./e\
aymoit,vv,y,n,,,/V\.'C/V\,/V\.'C/V\
baptiser,vvv,n,n,,,C/V\.C/V\.'C/V\,C/V\.C/V\.'C/V\
baptiza,vvv,n,n,,,C/V\.C/V\.'C/V\,C/V\.C/V\.'C/V\
baptizé,vvv,n,n,,,C/V\.C/V\.'C/V\,C/V\.C/V\.'C/V\
baptizement,vvvv,n,n,,,C/V\.C/V\.C/V\.'C/V\,C/V\.C/V\.C/V\.'C/V\
batamment,vvv,n,n,,,C/V\.C/V\.'C/V\,C/V\.C/V\.'C/V\
bossus,vv,n,n,,,C/V\.'C/V\,C/V\.'C/V\
chargez,vv,n,n,,,C/V\.'C/V\,C/V\.'C/V\
cherement,vsv,n,n,,,C/V\.C/e\.'C/V\,C/V\.C/e\.'C/V\
chrestienne,vdds,n,n,,,C/V\.C/{V}\.'/V\.C/e\,C/V\.C/{V}\.'/V\.C/e\
chrestienté,vddv,n,n,,,C/V\.C/{V}\./V\.'C/V\,C/V\.C/{V}\./V\.'C/V\
commission,vvdd,n,n,,,C/V\.C/V\.C/{V}\.'/V\,C/V\.C/V\.C/{V}\.'/V\
compassion,vvdd,n,n,,,C/V\.C/V\.C/{V}\.'/V\,C/V\.C/V\.C/{V}\.'/V\
compterent,vvs,n,n,,,C/V\.'C/V\.C/e\,C/V\.'C/V\.C/e\
conduyre,vvs,n,y,,,C/V\.'C/V\.C/(e)\,C/V\.'C/V\.C/(e)\
congneut,vv,n,n,,,C/V\.'C/V\,C/V\.'C/V\
constituez,vvvv,n,n,,,C/V\.C/V\.C/V\.'C/V\,C/V\.C/V\.C/V\.'C/V\
contrefaitz,vsv,n,n,,,C/V\.C/e\.'C/V\,C/V\.C/e\.'C/V\
convertissement,vvvsv,n,n,,,C/V\.C/V\.C/V\.C/e\.'C/V\,C/V\.C/V\.C/V\.C/e\.'C/V\
converty,vvv,n,n,,,C/V\.C/V\.'C/V\,C/V\.C/V\.'C/V\
cornus,vv,n,n,,,C/V\.'C/V\,C/V\.'C/V\
corpz,v,n,n,,,C/V\,C/V\
corrigoit,vvv,n,n,,,C/V\.C/V\.'C/V\,C/V\.C/V\.'C/V\
crime,vs,n,y,,,'C/V\.C/(e)\,'C/V\.C/(e)\
croyent,vs,n,n,,,'C/V\./e\,'C/V\./e\
cuyda,vv,n,n,,,C/V\.'C/V\,C/V\.'C/V\
damnation,vvdd,v,v,,,C/V\.C/V\.C/{V}\.'/V\,C/V\.C/V\.C/{V}\.'/V\
damnement,vsv,n,n,,,C/V\.C/e\.'C/V\,C/V\.C/e\.'C/V\
damnez,vv,n,n,,,C/V\.'C/V\,C/V\.'C/V\
demoniacle,vvvvs,n,y,,,C/V\.C/V\.C/V\.'C/V\.C/(e)\,C/V\.C/V\.C/V\.'C/V\.C/(e)\
departies,vvvs,n,n,,,C/V\.C/V\.'C/V\./e\,C/V\.C/V\.'C/V\./e\
desprisoit,vvv,n,n,,,C/V\.C/V\.'C/V\,C/V\.C/V\.'C/V\
desservons,vvv,n,n,,,C/V\.C/V\.'C/V\,C/V\.C/V\.'C/V\
deviendrois,vvv,n,n,,,C/V\.C/V\.'C/V\,C/V\.C/V\.'C/V\
disposa,vvv,n,n,,,C/V\.C/V\.'C/V\,C/V\.C/V\.'C/V\
diverty,vvv,n,n,,,C/V\.C/V\.'C/V\,C/V\.C/V\.'C/V\
doulourer,vvv,n,n,,,C/V\.C/V\.'C/V\,C/V\.C/V\.'C/V\
dyabolicques,vvvvs,n,n,,,C/V\.C/V\.C/V\.'C/V\.C/e\,C/V\.C/V\.C/V\.'C/V\.C/e\
embassades,vvvs,y,n,,,/V\.C/V\.'C/V\.C/e\,/V\.C/V\.'C/V\.C/e\
enchantement,vvsv,y,n,,,/V\.C/V\.C/e\.'C/V\,/V\.C/V\.C/e\.'C/V\
enchanteur,vvhv,y,n,,,/V\.C/V\.C/(V)\.'/V\,/V\.C/V\.C/(V)\.'/V\
enragés,vvv,y,n,,,/V\.C/V\.'C/V\,/V\.C/V\.'C/V\
enseignant,vvv,y,n,,,/V\.C/V\.'C/V\,/V\.C/V\.'C/V\
ensejourner,vvvv,y,n,,,/V\.C/V\.C/V\.'C/V\,/V\.C/V\.C/V\.'C/V\
ensuivans,vvv,y,n,,,/V\.C/V\.'C/V\,/V\.C/V\.'C/V\
ensuyvantes,vvvs,y,n,,,/V\.C/V\.'C/V\.C/e\,/V\.C/V\.'C/V\.C/e\
ensuyvir,vvv,y,n,,,/V\.C/V\.'C/V\,/V\.C/V\.'C/V\
entretenus,vsvv,y,n,,,/V\.C/e\.C/V\.'C/V\,/V\.C/e\.C/V\.'C/V\
epydimie,vvvvs,y,y,,,/V\.C/V\.C/V\.'C/V\./(e)\,/V\.C/V\.C/V\.'C/V\./(e)\
espanouie,vvvvs,y,y,,,/V\.C/V\.C/V\.'C/V\./(e)\,/V\.C/V\.C/V\.'C/V\./(e)\
espelle,vvs,y,y,,,/V\.'C/V\.C/(e)\,/V\.'C/V\.C/(e)\
estimer,vvv,y,n,,,/V\.C/V\.'C/V\,/V\.C/V\.'C/V\
eufemie,vvvs,y,y,,,/V\.C/V\.'C/V\./(e)\,/V\.C/V\.'C/V\./(e)\
euphemie,vvvs,y,y,,,/V\.C/V\.'C/V\./(e)\,/V\.C/V\.'C/V\./(e)\
exaulcee,vvvs,y,y,,,/V\.C/V\.'C/V\./(e)\,/V\.C/V\.'C/V\./(e)\
excité,vvv,y,n,,,/V\.C/V\.'C/V\,/V\.C/V\.'C/V\
executer,vvvv,y,n,,,/V\.C/V\.C/V\.'C/V\,/V\.C/V\.C/V\.'C/V\
extraict,vv,y,n,,,/V\.'C/V\,/V\.'C/V\
faitz,v,n,n,,,C/V\,C/V\
fineroye,vsvs,n,y,,,C/V\.C/e\.'C/V\./(e)\,C/V\.C/e\.'C/V\./(e)\
frappé,vv,n,n,,,C/V\.'C/V\,C/V\.'C/V\
garies,vvs,n,n,,,C/V\.'C/V\./e\,C/V\.'C/V\./e\
gariroit,vvv,n,n,,,C/V\.C/V\.'C/V\,C/V\.C/V\.'C/V\
gaulle,vs,n,y,,,'C/V\.C/(e)\,'C/V\.C/(e)\
gemissemens,vvsv,n,n,,,C/V\.C/V\.C/e\.'C/V\,C/V\.C/V\.C/e\.'C/V\
guary,vv,n,n,,,C/V\.'C/V\,C/V\.'C/V\
gueriroit,vvv,n,n,,,C/V\.C/V\.'C/V\,C/V\.C/V\.'C/V\
