lex_id,syll_str,in_el,fin_el,ms,backwards dd,syllabified
.xiii.,vs,n,y,,,'C/V\.C/(e)\
able,vs,y,y,,,'/V\.C/(e)\
aisier,vv,y,,,,/V\.'C/V\
anee,vs,y,y,,,'/V\.C/(e)\
appendoit,vvv,y,n,,,/V\.C/V\.'C/V\
approce,vvs,y,y,,,/V\.'C/V\.C/(e)\
arions,vdd,y,n,,,/V\.C/{V}\.'/V\
arrestés,vvv,y,n,,,/V\.C/V\.'C/V\
assaillis,vvv,y,n,,,/V\.C/V\.'C/V\
avoech,vv,y,n,,,/V\.'C/V\
berlande,vvs,n,y,,,C/V\.'C/V\.C/(e)\
caçoit,vv,n,n,,,C/V\.'C/V\
camel,vv,n,n,,,C/V\.'C/V\
camels,vv,n,n,,,C/V\.'C/V\
camelz,vv,n,n,,,C/V\.'C/V\
camois,vv,n,n,,,C/V\.'C/V\
camps,v,n,n,,,C/V\
cerfs,v,n,n,,,C/V\
chastiel,vv,n,n,,,C/V\.'C/V\
chevauca,vvv,n,n,,,C/V\.C/V\.'C/V\
chevauchier,vvv,n,n,,,C/V\.C/V\.'C/V\
chiet,v,n,n,,,C/V\
chilz,v,n,n,,,C/V\
cognissables,vvvs,n,n,,,C/V\.C/V\.'C/V\.C/e\
combateroie,vvvs,n,y,,,C/V\.C/V\.'C/V\.C/(e)\
commençoit,vvv,n,n,,,C/V\.C/V\.'C/V\
compagnon,vvv,n,n,,,C/V\.C/V\.'C/V\
congier,vdd,n,n,,,C/V\.C/{V}\.'/V\
congiet,vdd,n,n,,,C/V\.C/{V}\.'/V\
couroucié,vvdd,n,n,,,C/V\.C/V\.C/{V}\.'/V\
cousine,vvs,n,y,,,C/V\.'C/V\.C/(e)\
crestiel,vrr,n,n,,,C/V\.C/<V>\.'/V\
darde,vs,n,y,,,'C/V\.C/(e)\
detriance,vvvs,n,y,,,C/V\.C/V\.'C/V\.C/(e)\
effroi,vv,y,n,,,/V\.'C/V\
emmainne,vvs,y,y,,,/V\.'C/V\.C/(e)\
endoctrine,vvvs,y,y,,,/V\.C/V\.'C/V\.C/(e)\
endoctriner,vvvv,y,n,,,/V\.C/V\.C/V\.'C/V\
enroidis,vvv,y,n,,,/V\.C/V\.'C/V\
ensiewant,vvv,y,n,,,/V\.C/V\.'C/V\
enterés,vvv,y,n,,,/V\.C/V\.'C/V\
entrues,vv,y,n,,,/V\.'C/V\
esbatant,vvv,y,n,,,/V\.C/V\.'C/V\
eslevé,vvv,y,n,,,/V\.C/V\.'C/V\
esmerveillent,vvvs,y,n,,,/V\.C/V\.'C/V\.C/e\
esmervillant,vvvv,y,n,,,/V\.C/V\.C/V\.'C/V\
esmervilloient,vvvvs,y,n,,,/V\.C/V\.C/V\.'C/V\.C/e\
espant,vv,y,n,,,/V\.'C/V\
esprime,vvs,y,y,,,/V\.'C/V\.C/(e)\
estanc,vv,y,n,,,/V\.'C/V\
estanch,vv,y,n,,,/V\.'C/V\
eu,hv,y,n,,,/[V]\.'/V\
euissiez,hvdd,y,n,,,/[V]\./V\.C/{V}\.'/V\
