"wd_id","line_id","linewd","lex_id","tag","textlineid","TT lemma"
1,1,1,"por","PRE",1,"por2_+S"
2,1,2,"prendre","VER",1,"prendre_+MIT"
3,1,3,"recreacion","NOM",1,"recrëacïon_+Td"
4,2,1,"en","PRE",2,"en1_+S"
5,2,2,"vraie","ADJ",2,"verai_*+C"
6,2,3,"consolacion","NOM",2,"consolacïon_+Td"
7,3,1,"de","PRE",3,"de_+S"
8,3,2,"parfaite","VER",3,"parfaire_+Z"
9,3,3,"ioie","NOM",3,"joie|joïe1|joïe2_*+IT|+Td|+Td"
10,3,4,"et","CON:coord",3,"et_S"
11,3,5,"d'","PRE",3,"de_+S"
12,3,6,"amour","NOM",3,"amor_+G"
13,3,7,",","PON",3,","
14,4,1,"doit","VER",4,"devoir|dire_+CMI|+M"
15,4,2,"on","PRO:invar",4,"on_S"
16,4,3,",","PON",4,","
17,4,4,"en","PRE",4,"en1_+S"
18,4,5,"bien","NOM",4,"bien2|bien_+IT|CI"
19,4,6,"et","CON:coord",4,"et_S"
20,4,7,"en","PRE",4,"en1_+S"
21,4,8,"honeur","NOM",4,"onor_*+IT"
22,4,9,",","PON",4,","
23,5,1,"l'","PRO:pers",5,"il_S"
24,5,2,"unc","ADV",5,"onque_+I"
25,5,3,"al","PREDET:a",5,"a+le_S"
26,5,4,"autre","ADJ",5,"autre_CIId"
27,5,5,"aucuns","DET:ind",5,"aucun_S"
28,5,6,"plaisiire","NOM",5,"<unknown>"
29,5,7,"faire","VER",5,"faire_+MIT"
30,5,8,".","PON",5,"."
31,6,1,"dont","ADV",6,"donc|dont_I|I"
32,6,2,",","PON",6,","
33,6,3,"s'","PRO:pers",6,"soi1_S"
34,6,4,"il","PRO:pers",6,"il_S"
35,6,5,"vus","PRO:pers",6,"vos1_S"
36,6,6,"plaist","VER",6,"plaire_+MI"
37,6,7,"de","PRE",6,"de_+S"
38,6,8,"i","PRO:pers",6,"il|je_S|S"
39,6,9,"pou","ADV",6,"poi_*I"
40,6,10,"ataire","ADJ",6,"<unknown>"
41,6,11,",","PON",6,","
42,7,1,"sens","PRE",7,"sans_+S"
43,7,2,"nos","DET:poss",7,"nostre_S"
44,7,3,"enpechement","NOM",7,"<unknown>"
45,7,4,"donneir","VER",7,"donner_*M"
46,7,5,",","PON",7,","
47,8,1,"nos","PRO:pers",8,"nos1_S"
48,8,2,"volrons","VER",8,"<nolem>"
49,8,3,"cy","ADV",8,"ci_*+CIT"
50,8,4,"or","ADV",8,"or4|or_+IT|CI"
51,8,5,"droit","ADJ",8,"dreste|droit2|droit_+T|C|IT"
52,8,6,"mostreir","VER",8,"mostrer_*+IT"
53,9,1,"nos","DET:poss",9,"nostre_S"
54,9,2,"mateire","NOM",9,"<nolem>"
55,9,3,"par","PRE",9,"par_S"
56,9,4,"personaige","NOM",9,"<unknown>"
57,9,5,",","PON",9,","
58,10,1,"por","PRE",10,"por2_+S"
59,10,2,"ce","PRO:invar",10,"ce1_S"
60,10,3,"que","PROCON",10,"que3_S"
61,10,4,"gens","NOM",10,"gent1|giens_+I|+T"
62,10,5,"d'","PRE",10,"de_+S"
63,10,6,"honeur","NOM",10,"onor_*+IT"
64,10,7,"et","CON:coord",10,"et_S"
65,10,8,"sage","ADJ",10,"sage_+IT"
66,11,1,"oyent","VER",11,"ouir|oïr_M|M"
67,11,2,"recordeir","VER",11,"recorder_*+IT"
68,11,3,"volentire","NOM",11,"<unknown>"
69,11,4,",","PON",11,","
70,12,1,"quant","ADV",12,"cant_C"
71,12,2,"fait","VER",12,"faire|farre_+CMI|M"
72,12,3,"sont","VER",12,"estre1|estre_+I|CMI"
73,12,4,"par","PRE",12,"par_S"
74,12,5,"bone","ADJ",12,"bon_+CI"
75,12,6,"ordenance","NOM",12,"ordenance_+CT"
76,12,7,",","PON",12,","
77,13,1,"sens","NOM",13,"sens_+IT"
78,13,2,"dire","VER",13,"dire_+MIT"
79,13,3,"d'","PRE",13,"de_+S"
80,13,4,"aultruy","NOM",13,"altrui1_G"
81,13,5,"desplaisance","NOM",13,"desplaisance_+T"
82,14,1,"et","CON:coord",15,"et_S"
83,14,2,"tout","PRO:ind",15,"tot_S"
84,14,3,"ensi","ADV",15,"ainsi_+IT"
85,14,4,"iueir","NOM",15,"<unknown>"
86,14,5,"volons","VER",15,"voloir_+CI"
87,14,6,".","PON",15,"."
88,15,1,"partant","VER",16,"partir_+M"
89,15,2,",","PON",16,","
90,15,3,"de","PRE",16,"de_+S"
91,15,4,"cuer","NOM",16,"cuer1|cuer2_+T|+IT"
92,15,5,"vos","PRO:pers",16,"vos1_S"
93,15,6,"supplions","VER",16,"<nolem>"
94,16,1,"sue","ADJ:poss",17,"son4_S"
95,16,2,"silence","NOM",17,"silence_+T"
96,16,3,"vos","PRO:pers",17,"vos1_S"
97,16,4,"nos","PRO:pers",17,"nos1_S"
98,16,5,"prestés","VER",17,"prester_M"
99,17,1,"et","CON:coord",18,"et_S"
100,17,2,"presentement","ADV",18,"pressentement_Z"
101,17,3,"vos","PRO:pers",18,"vos1_S"
102,17,4,"veireis","VER",18,"<unknown>"
103,18,1,"faire","VER",19,"faire_+MIT"
104,18,2,"l'","PRO:pers",19,"il_S"
105,18,3,"alyance","NPR",19,"<unknown>"
106,18,4,"de","PRE",19,"de_+S"
107,18,5,"foy","NOM",19,"foi_+C"
108,19,1,"à","PRE",20,"a_S"
109,19,2,"loyalté","VER",20,"<unknown>"
110,19,3,",","PON",20,","
111,19,4,"tout","PRO:ind",20,"tot_S"
112,19,5,"par","PRE",20,"par_S"
