"wd_id","line_id","linewd","word","lex_id","tag","textlineid","TT lemma"
1,1,1,"Un","un","DET:ndf",1,"un_S"
2,1,2,"jur","jur","NOM",1,"jor_+I"
3,1,3,"fu","fu","VER",1,"estre1|estre_+I|CMI"
4,1,4,"Karleun","karleun","NPR",1,"<unknown>"
5,1,5,"al","al","PREDET:a",1,"a+le_S"
6,1,6,"seint","seint","ADJ",1,"saint_I"
7,1,7,"Denis","denis","NPR",1,"denis_Z"
8,1,8,"muster","muster","NOM",1,"mostier_+I"
9,1,9,":",":","PON",1,":"
10,2,1,"Reout","reout","VER",2,"<unknown>"
11,2,2,"prise","prise","VER",2,"prendre|prisier_+CMI|+IM"
12,2,3,"sa","sa","DET:poss",2,"son4_S"
13,2,4,"corune","corune","NOM",2,"corone_+I"
14,2,5,",",",","PON",2,","
15,2,6,"en","en","PRE",2,"en1_+S"
16,2,7,"croiz","croiz","NOM",2,"croiz_+CIT"
17,2,8,"seignat","seignat","VER",2,"seignier_+I"
18,2,9,"sun","sun","DET:poss",2,"son4_S"
19,2,10,"chef","chef","NOM",2,"chief_I"
20,2,11,",",",","PON",2,","
21,3,1,"E","e","CON:coord",3,"et_S"
22,3,2,"ad","ad","VER",3,"avoir_+IM"
23,3,3,"ceinte","ceinte","VER",3,"ceindre_+IM"
24,3,4,"s(a)","s'","DET:poss",3,"son4_S"
25,3,5,"espee","espee","NOM",3,"espee_+IT"
26,3,6,",",",","PON",3,","
27,3,7,"li","li","DET:def",3,"le_S"
28,3,8,"ponz","ponz","NOM",3,"pon2|pon|pont_+I|I|I"
29,3,9,"fud","fud","VER",3,"estre_M"
30,3,10,"d'","d'","PRE",3,"de_+S"
31,3,11,"or","or","NOM",3,"or1|or2|or3|ëur_+IT|+T|+T|+T"
32,3,12,"mer","mer","NOM",3,"mer_+IT"
33,4,1,"Dux","dux","NOM",4,"duc_I"
34,4,2,"i","i","PRO:clit",4,"i2_S"
35,4,3,"out","out","VER",4,"avoir|oloir_+MIIdMd|+M"
36,4,4,"e","e","CON:coord",4,"et_S"
37,4,5,"demeines","demeines","VER",4,"demener_*+I"
38,4,6,",",",","PON",4,","
39,4,7,"e","e","CON:coord",4,"et_S"
40,4,8,"baruns","baruns","NOM",4,"baron_+I"
41,4,9,"e","e","CON:coord",4,"et_S"
42,4,10,"chevalers","chevalers","NOM",4,"chevalier_+I"
43,4,11,".",".","PON",4,"."
44,5,1,"Li","li","DET:def",5,"le_S"
45,5,2,"empereres","empereres","NOM",5,"emperëor_+I"
46,5,3,"reguardet","reguardet","VER",5,"regarder_+I"
47,5,4,"la","la","DET:def",5,"le_S"
48,5,5,"reine","reine","NOM",5,"regne|rein|röine1_+T|+T|+IdTTd"
49,5,6,"sa","sa","DET:poss",5,"son4_S"
50,5,7,"muillers","muillers","NOM",5,"moillier_+I"
51,5,8,":",":","PON",5,":"
52,6,1,"Ele","ele","PRO:pers",6,"il_S"
53,6,2,"fut","fut","VER",6,"estre|futre_CMMdI|M"
54,6,3,"ben","ben","ADV",6,"bien_I"
55,6,4,"corunee","corunee","VER",6,"coroner_+M"
56,6,5,"al","al","PREDET:a",6,"a+le_S"
57,6,6,"plus","plus","ADV",6,"plus_CI"
58,6,7,"bel","bel","ADJ",6,"bel1|bel_+T|I"
59,6,8,"e","e","CON:coord",6,"et_S"
60,6,9,"as","as","PREDET:a",6,"a+le_S"
61,6,10,"meuz","meuz","ADV",6,"mieus_Z"
62,6,11,".",".","PON",6,"."
63,7,1,"Il","il","PRO:pers",7,"il_S"
64,7,2,"la","la","PRO:pers",7,"il_S"
65,7,3,"prist","prist","VER",7,"prendre|prisier_+MI|+M"
66,7,4,"par","par","PRE",7,"par_S"
67,7,5,"le","le","DET:def",7,"le_S"
68,7,6,"poin","poin","NOM",7,"poing|point|pon2_+Z|+Z|+Z"
69,7,7,"desuz","desuz","ADV",7,"desoz_I"
70,7,8,"un","un","DET:ndf",7,"un_S"
71,7,9,"oliver","oliver","NOM",7,"<nolem>"
72,7,10,",",",","PON",7,","
73,8,1,"De","de","PRE",8,"de_+S"
74,8,2,"sa","sa","DET:poss",8,"son4_S"
