"wd_id","line_id","linewd","word","lex_id","tag","textlineid"
1,1,1,"Buona","buonä",,1
2,1,2,"pulcella","pulcellä",,1
3,1,3,"fut","fut",,1
4,1,4,"Eulalia","eulaliä",,1
5,1,5,",",",",,1
6,2,1,"Bel","bel",,2
7,2,2,"auret","auret",,2
8,2,3,"corps","corps",,2
9,2,4,",",",",,2
10,2,5,"bellezour","bellezour",,2
11,2,6,"anima","anmä",,2
12,3,1,"Voldrent","voldrent",,3
13,3,2,"la","la",,3
14,3,3,"veintre","veintre",,3
15,3,4,"li","li",,3
16,3,5,"Deo","deo",,3
17,3,6,"inimi","inimi",,3
18,3,7,",",",",,3
19,4,1,"Voldrent","voldrent",,4
20,4,2,"la","la",,4
21,4,3,"faire","faire",,4
22,4,4,"diaule","diaule",,4
23,4,5,"servir","servir",,4
24,5,1,"Elle","elle",,5
25,5,2,"no'","no'",,5
26,5,3,"nt","nt",,5
27,5,4,"eskoltet","eskoltet",,5
28,5,5,"les","les",,5
29,5,6,"mals","mals",,5
30,5,7,"conselliers","conselliers",,5
31,5,8,",",",",,5
32,6,1,"Qu'","qu'",,6
33,6,2,"elle","elle",,6
34,6,3,"Deo","deo",,6
35,6,4,"raneiet","raneiet",,6
36,6,5,",",",",,6
37,6,6,"chi","chi",,6
38,6,7,"maent","maent",,6
39,6,8,"sus","sus",,6
40,6,9,"en","en",,6
41,6,10,"ciel","ciel",,6
42,6,11,",",",",,6
43,7,1,"Ne","ne",,7
44,7,2,"por","por",,7
45,7,3,"or","or",,7
46,7,4,"ned","ned",,7
47,7,5,"argent","argent",,7
48,7,6,"ne","ne",,7
49,7,7,"paramenz","paramenz",,7
50,8,1,"Por","por",,8
51,8,2,"manatce","manatce",,8
52,8,3,"regiel","regiel",,8
53,8,4,"ne","ne",,8
54,8,5,"preiement","preiement",,8
55,8,6,";",";",,8
56,9,1,"Niule","niule",,9
57,9,2,"cose","cose",,9
58,9,3,"non","non",,9
59,9,4,"la","la",,9
60,9,5,"pouret","pouret",,9
61,9,6,"omque","omque",,9
62,9,7,"pleier","pleier",,9
63,10,1,"La","la",,10
64,10,2,"polle","polle",,10
65,10,3,"sempre","sempre",,10
66,10,4,"non","non",,10
67,10,5,"amast","amast",,10
68,10,6,"lo","lo",,10
69,10,7,"Deo","deo",,10
70,10,8,"menestier","menestier",,10
71,11,1,"E","e",,11
72,11,2,"por","por",,11
73,11,3,"o","o",,11
74,11,4,"fut","fut",,11
