"wd_id","line_id","linewd","word","lex_id","tag","textlineid","TT lemma"
"1","1","1","«","«","PON:cit","95","«"
"2","1","2","Merci","merci","NOM","95","merci_+IT"
"3","1","3",",",",","PON","95",","
"4","1","4","fait","fait","VER","95","faire|farre_+CMI|M"
"5","1","5","il","il","PRO:pers","95","il_S"
"6","1","6",",",",","PON","95",","
"7","1","7","biaus","biaus","ADJ","95","bel_I"
"8","1","8","maitres","maitres","NOM","95","maistre_C"
"9","1","9",",",",","PON","95",","
"10","1","10","por","por","PRE","95","por2_+S"
"11","1","11","Deu","deu","NOM","95","dieu_+IT"
"12","1","12","le","le","DET:def","95","le_S"
"13","1","13","droturer","droturer","ADJ","95","<nolem>"
"14","1","14","!","!","PON","95","!"
"15","2","1","«","«","PON:cit","96","«"
"16","2","2","Je","je","PRO:pers","96","je_S"
"17","2","3","vos","vos","PRO:pers","96","vos1_S"
"18","2","4","ferai","ferai","VER","96","faire|fere_+CIM|M"
"19","2","5","droiture","droiture","NOM","96","droiture_+IT"
"20","2","6","de","de","PRE","96","de_+S"
"21","2","7","gré","gré","NOM","96","gré1|gré2|maugré_+T|+T|+T"
"22","2","8","et","et","CON:coord","96","et_S"
"23","2","9","voluntiers","voluntiers","ADV","96","volentiers_*+T"
"24","2","10",",",",","PON","96",","
"25","3","1","«","«","PON:cit","97","«"
"26","3","2","Et","et","CON:coord","97","et_S"
"27","3","3","si","si","ADV","97","si_+IT"
"28","3","4","vos","vos","PRO:pers","97","vos1_S"
"29","3","5","an","an","PRO:clit","97","en2_S"
"30","3","6","donrai","donrai","VER","97","doner|donner_+IM|M"
"31","3","7",".XXX.",".xxx.","ADJ:card","97","trente|xxx_I|C"
"32","3","8","coranz","coranz","VER","97","corir|cure_+M|M"
"33","3","9","destriés","destriés","VER","97","<unknown>"
"34","3","10",",",",","PON","97",","
"35","4","1","«","«","PON:cit","98","«"
"36","4","2","Et","et","CON:coord","98","et_S"
"37","4","3","trestout","trestout","DET:ind","98","trestot_S"
"38","4","4","le","le","DET:def","98","le_S"
"39","4","5","arnois","arnois","NOM","98","<nolem>"
"40","4","6","a","a","PRE","98","a_S"
"41","4","7",".IIIc.",".iiic.","ADJ","98","<unknown>"
"42","4","8","chivaleirs","chivaleirs","NOM","98","<nolem>"
"43","4","9",",",",","PON","98",","
"44","5","1","«","«","PON:cit","99","«"
"45","5","2","Et","et","CON:coord","99","et_S"
"46","5","3","de","de","PRE","99","de_+S"
"47","5","4",".XV.",".xv.","ADJ:card","99","quinze|xv_I|C"
"48","5","5","chetiaus","chetiaus","NOM","99","<nolem>"
"49","5","6","vos","vos","PRO:pers","99","vos1_S"
"50","5","7","an","an","PRO:clit","99","en2_S"
"51","5","8","croitrai","croitrai","VER","99","<nolem>"
"52","5","9","vos","vos","PRO:pers","99","vos1_S"
"53","5","10","fiers","fiers","ADJ","99","fier_+I"
"54","5","11",".",".","PON","99","."
"55","5","12","»","»","PON:cit","99","»"
"56","6","1","Et","et","CON:coord","100","et_S"
"57","6","2","respondi","respondi","VER","100","respondre1|respondre|respundre_+I|IM|M"
"58","6","3","li","li","DET:def","100","le_S"
"59","6","4","dux","dux","NOM","100","duc_I"
"60","6","5",":",":","PON","100",":"
"61","6","6","«","«","PON:cit","100","«"
"62","6","7","De","de","PRE","100","de_+S"
"63","6","8","folie","folie","NOM","100","folie1|folie2|foullie_+T|+IT|+T"
"64","6","9","plaidiez","plaidiez","VER","100","plaidier_*IM"
"65","6","10",".",".","PON","100","."
"66","7","1","«","«","PON:cit","101","«"
"67","7","2","Je","je","PRO:pers","101","je_S"
"68","7","3","l'","l'","PRO:pers","101","il_S"
"69","7","4","irai","irai","VER","101","aler_+CIM"
"70","7","5","orandroit","orandroit","ADV","101","orendroit_I"
"71","7","6","vostre","vostre","DET:poss","101","vostre_S"
"72","7","7","pere","pere","NOM","101","paire|pere1|piere_+T|+T|+T"
"73","7","8","noncier","noncier","VER","101","noncier1_+IT"
"74","7","9",",",",","PON","101",","
"75","8","1","«","«","PON:cit","102","«"
"76","8","2","Qui","qui","PROCON","102","qui_S"
"77","8","3","vos","vos","PRO:pers","102","vos1_S"
"78","8","4","ferai","ferai","VER","102","faire|fere_+CIM|M"
"79","8","5","ocire","ocire","VER","102","ocire_+MIT"
"80","8","6","et","et","CON:coord","102","et_S"
"81","8","7","les","les","DET:def","102","le_S"
"82","8","8","manbres","manbres","NOM","102","membre_+I"
"83","8","9","trainchier","trainchier","VER","102","trenchier1_+Z"
"84","8","10",".",".","PON","102","."
"85","8","11","»","»","PON:cit","102","»"
"86","9","1","Atant","atant","ADV","103","atant|tant_CI|I"
"87","9","2","s'","s'","DET:poss","103","son4_S"
"88","9","3","an(t)n","ann","NOM","103","<unknown>"
"89","9","4","est","est","VER","103","ester|estre1_+M|+I"
"90","9","5","tornez","tornez","VER","103","torner_+I"
"91","9","6",",",",","PON","103",","
"92","9","7","ne","ne","PRO:clit","103","en2_S"
"93","9","8","prit","prit","VER","103","prendre|priier_+M|+I"
"94","9","9","a","a","PRE","103","a_S"
"95","9","10","lui","lui","PRO:pers","103","il|loi1_S|S"
"96","9","11","congié","congié","VER","103","congeer_+M"
"97","9","12",";",";","PON","103",";"
"98","10","1","Dou","dou","PREDET:de","104","de+le_S"
"99","10","2","mantai","mantai","NOM","104","<nolem>"
"100","10","3","de","de","PRE","104","de_+S"
"101","10","4","samin","samin","NOM","104","samin_+T"
"102","10","5","envelope","envelope","VER","104","envoleper_*+T"
"103","10","6","son","son","DET:poss","104","son4_S"
"104","10","7","chief","chief","NOM","104","chief1|chief2_+IT|+T"
"105","10","8",",",",","PON","104",","
"106","11","1","Et","et","CON:coord","105","et_S"
"107","11","2","est","est","VER","105","ester|estre1_+M|+I"
"108","11","3","venuz","venuz","VER","105","venir_+I"
"109","11","4","au","au","PREDET:a","105","a+le_S"
"110","11","5","roi","roi","NOM","105","ri|roi1|roi2|roi3|rois1|roit2|roiz|ré4_+T|+T|+IT|+T|+T|+T|+T|+T"
"111","11","6","qui","qui","PROCON","105","qui_S"
"112","11","7","France","france","NPR","105","france_CI|Z"
"113","11","8","ot","ot","VER","105","avoir|öir_+IM|+I"
"114","11","9","a","a","PRE","105","a_S"
"115","11","10","bailier","bailier","VER","105","baillier|balaier_+M|+M"
"116","11","11",".",".","PON","105","."
"117","12","1","Li","li","DET:def","106","le_S"
"118","12","2","dus","dus","NOM","106","duc2|duc_+I|I"
"119","12","3","s'","s'","PRO:pers","106","soi1_S"
"120","12","4","an","an","PRO:clit","106","en2_S"
"121","12","5","est","est","VER","106","ester|estre1_+M|+I"
"122","12","6","tornez","tornez","VER","106","torner_+I"
"123","12","7",",",",","PON","106",","
"124","12","8","qui","qui","PROCON","106","qui_S"
"125","12","9","le","le","DET:def","106","le_S"
"126","12","10","cor","cor","NOM","106","cor2|cors2|cort1_+T|+T|+I"
"127","12","11","ot","ot","VER","106","avoir|öir_+IM|+I"
"128","12","12","iré","iré","VER","106","aler|iraistre_+M|+M"
"129","12","13",",",",","PON","106",","
"130","13","1","Dou","dou","PREDET:de","107","de+le_S"
"131","13","2","mantai","mantai","NOM","107","<nolem>"
"132","13","3","de","de","PRE","107","de_+S"
"133","13","4","samin","samin","NOM","107","samin_+T"
"134","13","5","son","son","DET:poss","107","son4_S"
"135","13","6","chief","chief","NOM","107","chief1|chief2_+IT|+T"
"136","13","7","envelopé","envelopé","VER","107","envoleper_*+T"
"137","13","8",";",";","PON","107",";"
"138","14","1","Entresi","entresi","ADV","108","entreci_+T"
"139","14","2","ou","ou","PREDET:en","108","en1+le_S"
"140","14","3","palais","palais","NOM","108","palais2|palais3|palé_+T|+T|+T"
"141","14","4","ne","ne","PRO:clit","108","en2_S"
"142","14","5","s'","s'","PRO:pers","108","soi1_S"
"143","14","6","est","est","VER","108","ester|estre1_+M|+I"
"144","14","7","mie","mie","ADV","108","mie_C"
"145","14","8","arestez","arestez","VER","108","arester_+I"
"146","14","9",".",".","PON","108","."
"147","15","1","Et","et","CON:coord","109","et_S"
"148","15","2","li","li","DET:def","109","le_S"
"149","15","3","rois","rois","NOM","109","roi2|rois1|rois2|roix_+I|+T|+T|+T"
"150","15","4","Cloovis","cloovis","NPR","109","clovis_Z"
"151","15","5","iert","iert","VER","109","estre1|estre_+I|MI"
"152","15","6","de","de","PRE","109","de_+S"
"153","15","7","dormir","dormir","VER","109","dormir_+IT"
"154","15","8","livez","livez","VER","109","lever_*+Z"
"155","15","9",",",",","PON","109",","
"156","16","1","Et","et","CON:coord","110","et_S"
"157","16","2","auloit","auloit","VER","110","aler_*+M"
"158","16","3","oïr","oïr","VER","110","öir_+I"
"159","16","4","messe","messe","NOM","110","messe_+CIT"
"160","16","5","au","au","PREDET:a","110","a+le_S"
"161","16","6","moutier","moutier","NOM","110","mostier_+Z"
"162","16","7","Saint","saint","ADJ","110","saint1|saint_T|CI"
"163","16","8","Privé","privé","VER","110","priver_*+MT"
"164","16","9",".",".","PON","110","."
"165","17","1","Ou","ou","PREDET:en","111","en1+le_S"
"166","17","2","ques","ques","ADJ","111","quel_C"
"167","17","3","li","li","DET:def","111","le_S"
"168","17","4","dus","dus","NOM","111","duc2|duc_+I|I"
"169","17","5","le","le","PRO:pers","111","il_S"
"170","17","6","voit","voit","VER","111","aler|vëoir_+M|+I"
"171","17","7",",",",","PON","111",","
"172","17","8","au","au","PREDET:a","111","a+le_S"
"173","17","9","piez","piez","NOM","111","pie|pié_+C|+I"
"174","17","10","li","li","PRO:pers","111","il_S"
"175","17","11","est","est","VER","111","ester|estre1_+M|+I"
"176","17","12","aulez","aulez","VER","111","aler_+Z"
"177","17","13",",",",","PON","111",","
"178","18","1","Le","le","PRO:pers","112","il_S"
"179","18","2","pié","pié","VER","112","<nolem>"
"180","18","3","li","li","PRO:pers","112","il_S"
"181","18","4","a","a","PRE","112","a_S"
"182","18","5","baisié","baisié","VER","112","baisier_+M"
"183","18","6",",",",","PON","112",","
"184","18","7","la","la","DET:def","112","le_S"
"185","18","8","jambe","jambe","NOM","112","jambe_+IT"
"186","18","9","et","et","CON:coord","112","et_S"
"187","18","10","lou","lou","PRO:pers","112","il_S"
"188","18","11","solé","solé","VER","112","<unknown>"
"189","18","12",",",",","PON","112",","
"190","19","1","Puis","puis","ADV","113","puis_IT"
"191","19","2","descovre","descovre","VER","113","descovrir_*+I"
"192","19","3","son","son","DET:poss","113","son4_S"
"193","19","4","chief","chief","NOM","113","chief1|chief2_+IT|+T"
"194","19","5",",",",","PON","113",","
"195","19","6","si","si","ADV","113","si_+IT"
"196","19","7","li","li","PRO:pers","113","il_S"
"197","19","8","a","a","VER","113","avoir_+CMI"
"198","19","9","tout","tout","PRO:ind","113","tot_S"
"199","19","10","mostré","mostré","VER","113","mostrer_+I"
"200","19","11",".",".","PON","113","."
"201","20","1","Et","et","CON:coord","114","et_S"
"202","20","2","quant","quant","ADV","114","cant_C"
"203","20","3","li","li","DET:def","114","le_S"
"204","20","4","rois","rois","NOM","114","roi2|rois1|rois2|roix_+I|+T|+T|+T"
"205","20","5","le","le","PRO:pers","114","il_S"
"206","20","6","vit","vit","VER","114","vivre1|vëoir_+I|+I"
"207","20","7",",",",","PON","114",","
"208","20","8","si","si","ADV","114","si_+IT"
"209","20","9","li","li","PRO:pers","114","il_S"
"210","20","10","a","a","VER","114","avoir_+CMI"
"211","20","11","demandé","demandé","VER","114","demander_+I"
"212","20","12",":",":","PON","114",":"
"213","21","1","«","«","PON:cit","115","«"
"214","21","2","Sire","sire","NOM","115","seignor|sire2_+CIT|+T"
"215","21","3","dus","dus","NOM","115","duc2|duc_+I|I"
"216","21","4","debonaires","debonaires","ADJ","115","debonaire_*+IT"
"217","21","5",",",",","PON","115",","
"218","21","6","qui","qui","PROCON","115","qui_S"
"219","21","7","vos","vos","PRO:pers","115","vos1_S"
"220","21","8","a","a","VER","115","avoir_+CMI"
"221","21","9","vorgondé","vorgondé","VER","115","<nolem>"
"222","21","10","?","?","PON","115","?"
"223","21","11","»","»","PON:cit","115","»"
"224","22","1","—","—","PON","116","-"
"225","22","2","«","«","PON:cit","116","«"
"226","22","3","En","en","PRE","116","en1_+S"
"227","22","4","la","la","DET:def","116","le_S"
"228","22","5","moie","moie","ADJ:poss","116","mien_S"
"229","22","6","foi","foi","NOM","116","foi_+CIT"
"230","22","7",",",",","PON","116",","
