"wd_id","line_id","linewd","lex_id","tag","NCA_line","NCA_taggerpos","NCA_lemma","NCA_src"
1,1,1,"des","PRE",149,"PREDET:de","de+le|le","S|C"
2,1,2,"or","ADV",149,"NOM","or1|or2|or3|ëur","+IT|+T|+T|+T"
3,1,3,"meis","CON:coord",149,"CON:coord","mais","S"
4,1,4,"me","PRO:pers:obj:1:sg:unb",149,"PRO:pers","je|moi","IS|T"
5,1,5,"couvient","VER:pres:3:sg",149,"VER","covenir","*+I"
6,1,6,"guenchir","VER:infi",149,"VER","guenchir","+MIT"
7,2,1,"a","PRE",150,"PRE","a3|a","+T|CGIS"
8,2,2,"ma","DET:poss:obj:femi:sg",150,"DET:poss","mon1|mon","S|C"
9,2,3,"matere","NOM:obj:femi:sg",150,"NOM","matiere","+T"
10,2,4,"revenir","VER:infi",150,"VER","revenir","+IT"
11,3,1,"de","PRE",151,"PRE","de","+CIST"
12,3,2,"ce","PRO:invar",151,"PRO:invar","ce1|ce","S|C"
13,3,3,"que","PROCON",151,"PROCON","que2|que3|que","T|S|C"
14,3,4,"me","PRO:pers:obj:1:sg:unb",151,"PRO:pers","je|moi","IS|T"
15,3,5,"rememberrei","VER:futu:1:sg",151,"VER","UNKNOWN",
16,4,1,"tant","ADV",152,"ADV","tant","CI"
17,4,2,"cum","CON:subord",152,"CON:subord","come1","T"
18,4,3,"santé","NOM:obj:femi:sg",152,"NOM","sente2","+I"
19,4,4,"et","CON:coord",152,"CON:coord","et","ST"
20,4,5,"pouoir","VER:infi",152,"VER","pouvoir","M"
21,4,6,"ei","VER:pres:1:sg",152,"ADV","avoir|estre","+IM|M=C"
22,5,1,"voirs","ADJ:suj:masc:sg",153,"ADJ","voir","+I"
23,5,2,"est","VER:pres:3:sg",153,"VER","ester|estre1","+M|+I"
24,5,3,"que","PROCON",153,"PROCON","que2|que3|que","T|S|C"
25,5,4,"jhesus","NPR:suj:masc:sg",153,"NPR","jesu","Z"
26,5,5,"criz","NPR:suj:masc:sg",153,"NPR","crist","Z"
27,5,6,"ala","VER:simp:3:sg",153,"VER","aler","+CIM"
28,6,1,"par","PRE",154,"PRE","par","CIS"
29,6,2,"terre","NOM:obj:femi:sg",154,"NOM","terre","+CIT"
30,6,3,"et","CON:coord",154,"CON:coord","et","ST"
31,6,4,"si","PROCON",154,"PROCON","si","C"
32,6,5,"le","PRO:pers:obj:3:masc:sg:unb",154,"PRO:pers","il","CIST"
33,6,6,"baptisa","VER:simp:3:sg",154,"VER","batisier","+M"
34,7,1,"et","CON:coord",155,"CON:coord","et","ST"
35,7,2,"ou","PREDET:en:obj:masc:sg",155,"PREDET:en","en1+le|le","S|C"
36,7,3,"flun","NOM:obj:masc:sg",155,"NOM","flum","+T"
37,7,4,"jourdein","NPR:obj:masc:sg",155,"NPR","UNKNOWN",
38,7,5,"le","PRO:pers:obj:3:masc:sg:unb",155,"PRO:pers","il","CIST"
39,7,6,"lava","VER:simp:3:sg",155,"VER","laver","+M"
40,8,1,"sainz","ADJ:suj:masc:sg",156,"ADJ","saint","I"
41,8,2,"jehans","NPR:suj:masc:sg",156,"NPR","jehan","C|Z"
42,8,3,"qu","PROCON",156,"PROCON","que1|que2|que3|que4|que","S|S|S|S|C"
43,8,4,"il","PRO:pers:suj:3:masc:sg:unb",156,"PRO:pers","il","CIST"
44,8,5,"li","PRO:pers:suj:3:masc:sg:bet",156,"PRO:pers","ele|il","C|CIST"
45,8,6,"commanda","VER:simp:3:sg",156,"VER","comander","*+I"
46,9,1,"et","CON:coord",157,"CON:coord","et","ST"
47,9,2,"dist","VER:simp:3:sg",157,"VER","dire","+CMI"
48,9,3,"""","PON:cit",157,"PON:cit","QUOTED",
49,9,4,"cil","PRO:demo:suj:masc:pl",157,"PRO:demo","cel","CIST"
50,9,5,"qui","PROCON",157,"PROCON","qui","CST"
51,9,6,"en","PRE",157,"PRO:clit","en2|en","S|C"
52,9,7,"moi","PRO:pers:obj:1:sg:bet",157,"PRO:pers","je|moi","S|CT"
53,9,8,"creirunt","VER:futu:3:pl",157,"VER","croire","*+M"
54,10,1,"en","PRO:clit",158,"PRE","en1|en","+IST|CI"
55,10,2,"eve","NOM:obj:femi:sg",158,"NOM","aigue","+GIT"
56,10,3,"se","PROCON",158,"PROCON","se","C"
57,10,4,"baptiserunt","VER:futu:3:pl",158,"VER","batisier","*+M"
58,11,1,"ou","PREDET:en:obj:masc:sg",159,"PREDET:en","en1+le|le","S|C"
