"wd_id","line_id","linewd","word","lex_id","tag","textlineid","TT lemma"
"1","1","1","Orguilleux","orguilleux","ADJ","II_1","<unknown>"
"2","1","2","bruit","bruit","NOM","II_1","bruit_+IT"
"3","1","3",",",",","PON","II_1",","
"4","1","4","confit","confit","VER","II_1","<nolem>"
"5","1","5","en","en","PRE","II_1","en1_+S"
"6","1","6","felonnie","felonnie","NOM","II_1","felonie_*+IT"
"7","1","7",",",",","PON","II_1",","
"8","2","1","Attribué","attribué","VER","II_2","<unknown>"
"9","2","2","a","a","PRE","II_2","a_S"
"10","2","3","valeur","valeur","NOM","II_2","valor_*+CIT"
"11","2","4","sans","sans","PRE","II_2","sans_+S"
"12","2","5","raison","raison","NOM","II_2","raison_+CIT"
"13","2","6",",",",","PON","II_2",","
"14","3","1","Demonstre","demonstre","VER","II_3","demostrer_*+T"
"15","3","2","assez","assez","ADV","II_3","assez_+IT"
"16","3","3","l'","l'","DET:def","II_3","le_S"
"17","3","4","apperte","apperte","ADJ","II_3","apert_*+I"
"18","3","5","tirannie","tirannie","GDF","II_3","tyrannie_G"
"19","4","1","Qui","qui","PROCON","II_4","qui_S"
"20","4","2","ce","ce","DET:demo","II_4","cel|cist_S|S"
"21","4","3","lÿon","lyon","NOM","II_4","lïon_+IT"
"22","4","4","maintient","maintient","VER","II_4","tenir_M"
"23","4","5","en","en","PRE","II_4","en1_+S"
"24","4","6","seigneurie","seigneurie","NOM","II_4","<nolem>"
"25","4","7",",",",","PON","II_4",","
"26","5","1","Et","et","CON:coord","II_5","et_S"
"27","5","2","contre","contre","PRE","II_5","contre_S"
"28","5","3","droit","droit","NOM","II_5","droit_CIT"
"29","5","4","fait","fait","VER","II_5","faire|farre_+CMI|M"
"30","5","5","fleurir","fleurir","VER","II_5","florir_+T"
"31","5","6","sa","sa","DET:poss","II_5","son4_S"
"32","5","7","maison","maison","NOM","II_5","maison|mason_+CIT|+T"
"33","5","8",";",";","PON","II_5",";"
"34","6","1","Mais","mais","CON:coord","II_6","mais_S"
"35","6","2","en","en","PRE","II_6","en1_+S"
"36","6","3","brief","brief","ADJ","II_6","brief_IT"
"37","6","4","temps","temps","NOM","II_6","tens_+CT"
"38","6","5","reviendra","reviendra","VER","II_6","<unknown>"
"39","6","6","la","la","DET:def","II_6","le_S"
"40","6","7","saison","saison","NOM","II_6","saison_+IT"
"41","7","1","Que","que","PROCON","II_7","que3_S"
"42","7","2","par","par","PRE","II_7","par_S"
"43","7","3","lez","lez","DET:def","II_7","le_S"
"44","7","4","fais","fais","NOM","II_7","fais_+IT"
"45","7","5","de","de","PRE","II_7","de_+S"
"46","7","6","moy","moy","PRO:pers","II_7","je_S"
"47","7","7",",",",","PON","II_7",","
"48","7","8","qui","qui","PROCON","II_7","qui_S"
"49","7","9","suis","suis","VER","II_7","estre_M"
"50","7","10","Envie","envie","NOM","II_7","envie_+IT"
"51","7","11",",",",","PON","II_7",","
"52","8","1","Il","il","PRO:pers","II_8","il_S"
"53","8","2","mauldira","mauldira","VER","II_8","<unknown>"
"54","8","3","par","par","PRE","II_8","par_S"
"55","8","4","desespoir","desespoir","NOM","II_8","desespoir_+T"
"56","8","5","sa","sa","DET:poss","II_8","son4_S"
"57","8","6","vie","vie","NOM","II_8","vie1|voie_+T|+T"
"58","8","7",".",".","PON","II_8","."
"59","9","1","Fais","fais","VER","II_9","faire_+CMI"
"60","9","2","envïeux","envieux","NOM","II_9","<unknown>"
"61","9","3",",",",","PON","II_9",","
"62","9","4","de","de","PRE","II_9","de_+S"
"63","9","5","tous","tous","DET:ind","II_9","tot_S"
"64","9","6","biens","biens","NOM","II_9","bien2|bien_+I|CI"
"65","9","7","devestus","devestus","VER","II_9","desvestir_+M"
"66","9","8",",",",","PON","II_9",","
"67","10","1","Pour","pour","PRE","II_10","por2_+S"
"68","10","2","se","se","PRO:invar","II_10","ce1_S"
"69","10","3","couvrir","couvrir","VER","II_10","covrir_*+M"
"70","10","4","tous","tous","DET:ind","II_10","tot_S"
"71","10","5","faulx","faulx","ADJ","II_10","<nolem>"
"72","10","6","moyens","moyens","ADJ","II_10","moiien_*Z"
"73","10","7","contreuvent","contreuvent","NOM","II_10","<unknown>"
"74","10","8",",",",","PON","II_10",","
"75","11","1","Et","et","CON:coord","II_11","et_S"
"76","11","2",",",",","PON","II_11",","
"77","11","3","en","en","PRE","II_11","en1_+S"
"78","11","4","querant","querant","VER","II_11","querre_+I"
"79","11","5","par","par","PRE","II_11","par_S"
"80","11","6","l'","l'","DET:def","II_11","le_S"
"81","11","7","estrain","estrain","NOM","II_11","estraim_+I"
"82","11","8","les","les","DET:def","II_11","le_S"
"83","11","9","festus","festus","NOM","II_11","festu_*+IT"
"84","11","10",",",",","PON","II_11",","
"85","12","1","Calumpnient","calumpnient","VER","II_12","<unknown>"
"86","12","2","lez","lez","DET:def","II_12","le_S"
"87","12","3","oeuvres","oeuvres","NOM","II_12","uevre_*+Z"
"88","12","4","dez","dez","PREDET:de","II_12","de+le_S"
"89","12","5","vertus","vertus","NOM","II_12","vertu_*+CIT"
"90","13","1","Et","et","CON:coord","II_13","et_S"
"91","13","2","leurs","leurs","DET:poss","II_13","lor2_S"
"92","13","3","effectz","effectz","NOM","II_13","<unknown>"
"93","13","4","desdaignent","desdaignent","VER","II_13","<unknown>"
"94","13","5","et","et","CON:coord","II_13","et_S"
"95","13","6","repreuvent","repreuvent","VER","II_13","<unknown>"
"96","13","7",";",";","PON","II_13",";"
"97","14","1","Mais","mais","CON:coord","II_14","mais_S"
"98","14","2","non","non","ADV","II_14","ne1_+Z"
"99","14","3","pourtant","pourtant","ADV","II_14","por_tant_Z"
"100","14","4","lez","lez","DET:def","II_14","le_S"
"101","14","5","vertus","vertus","NOM","II_14","vertu_*+CIT"
"102","14","6","ne","ne","PRO:clit","II_14","en2_S"
"103","14","7","s'","s'","PRO:pers","II_14","soi1_S"
"104","14","8","esmeuvent","esmeuvent","VER","II_14","<unknown>"
"105","14","9",",",",","PON","II_14",","
"106","15","1","Ains","ains","ADV","II_15","ainc|ains3_+T|G"
"107","15","2",",",",","PON","II_15",","
"108","15","3","procedens","procedens","ADV","II_15","<unknown>"
"109","15","4","par","par","PRE","II_15","par_S"
"110","15","5","fait","fait","VER","II_15","faire|farre_+CMI|M"
"111","15","6","doulx","doulx","ADJ","II_15","<nolem>"
"112","15","7","et","et","CON:coord","II_15","et_S"
"113","15","8","begnin","begnin","NOM","II_15","<unknown>"
"114","15","9",",",",","PON","II_15",","
"115","16","1","Vainquent","vainquent","VER","II_16","veintre_+M"
"116","16","2","Envie","envie","NOM","II_16","envie_+IT"
"117","16","3","et","et","CON:coord","II_16","et_S"
"118","16","4","son","son","DET:poss","II_16","son4_S"
"119","16","5","mortel","mortel","ADJ","II_16","mortel_+IT"
"120","16","6","venin","venin","NOM","II_16","venin_+IT"
"121","16","7",".",".","PON","II_16","."
"122","17","1","Si","si","ADV","II_17","si_+IT"
"123","17","2","de","de","PRE","II_17","de_+S"
"124","17","3","legier","legier","ADJ","II_17","legier2|legier_+T|I"
"125","17","4","ne","ne","PRO:clit","II_17","en2_S"
"126","17","5","peult","peult","VER","II_17","pouvoir_M"
"127","17","6","estre","estre","VER","II_17","entr'estre|estre1_+M|+IT"
"128","17","7","vainqueur","vainqueur","NOM","II_17","<unknown>"
"129","18","1","Qui","qui","PROCON","II_18","qui_S"
"130","18","2","de","de","PRE","II_18","de_+S"
"131","18","3","mes","mes","DET:poss","II_18","mon1_S"
"132","18","4","dars","dars","NOM","II_18","dars_+T"
"133","18","5","est","est","VER","II_18","ester|estre1_+M|+I"
"134","18","6","au","au","PREDET:a","II_18","a+le_S"
"135","18","7","vif","vif","ADJ","II_18","vif2|vif_C|IT"
"136","18","8","assailly","assailly","VER","II_18","assalir_+I"
"137","18","9",";",";","PON","II_18",";"
"138","19","1","Car","car","CON:coord","II_19","car_S"
"139","19","2","quant","quant","ADV","II_19","cant_C"
"140","19","3","j'","j'","PRO:pers","II_19","je_S"
"141","19","4","espans","espans","VER","II_19","espandre_*+I"
"142","19","5","mon","mon","DET:poss","II_19","mon1_S"
"143","19","6","brassin","brassin","NOM","II_19","bracin_+T"
"144","19","7","et","et","CON:coord","II_19","et_S"
"145","19","8","liqueur","liqueur","NOM","II_19","licor_*+T"
"146","20","1","A","a","PRE","II_20","a_S"
"147","20","2","bon","bon","ADJ","II_20","bon_+CIT"
"148","20","3","prouffit","prouffit","NOM","II_20","porfit2_*T"
"149","20","4",",",",","PON","II_20",","
"150","20","5","il","il","PRO:pers","II_20","il_S"
"151","20","6","n'","n'","PRO:clit","II_20","en2_S"
"152","20","7","y","y","PRO:clit","II_20","i2_S"
"153","20","8","a","a","VER","II_20","avoir_+CMI"
"154","20","9","si","si","DET:poss","II_20","son4_S"
"155","20","10","bon","bon","ADJ","II_20","bon_+CIT"
"156","20","11","cuer","cuer","NOM","II_20","cuer1|cuer2_+T|+IT"
"157","21","1","Qui","qui","PROCON","II_21","qui_S"
"158","21","2","tout","tout","PRO:ind","II_21","tot_S"
"159","21","3","a","a","PRE","II_21","a_S"
"160","21","4","cop","cop","NOM","II_21","cop|coup1_+T|+IT"
"161","21","5","ne","ne","PRO:clit","II_21","en2_S"
"162","21","6","soit","soit","VER","II_21","estre1|savoir_+I|+M"
"163","21","7","mat","mat","ADJ","II_21","mat_+IT"
"164","21","8","et","et","CON:coord","II_21","et_S"
"165","21","9","failly","failly","VER","II_21","falir_+IM"
"166","21","10",",",",","PON","II_21",","
"167","22","1","Et","et","CON:coord","II_22","et_S"
"168","22","2",",",",","PON","II_22",","
"169","22","3","quant","quant","ADV","II_22","cant_C"
"170","22","4","il","il","PRO:pers","II_22","il_S"
"171","22","5","a","a","VER","II_22","avoir_+CMI"
"172","22","6","fremy","fremy","VER","II_22","fremir_+M"
"173","22","7","et","et","CON:coord","II_22","et_S"
"174","22","8","tressailly","tressailly","VER","II_22","tressalir_+I"
"175","22","9",",",",","PON","II_22",","
"176","23","1","Possible","possible","ADJ","II_23","possible_+T"
"177","23","2","n'","n'","PRO:clit","II_23","en2_S"
"178","23","3","est","est","VER","II_23","ester|estre1_+M|+I"
"179","23","4","de","de","PRE","II_23","de_+S"
"180","23","5","sa","sa","DET:poss","II_23","son4_S"
"181","23","6","force","force","NOM","II_23","force1|force2_+T|+IT"
"182","23","7","reprendre","reprendre","VER","II_23","reprendre1|reprendre2_+T|+T"
"183","23","8",",",",","PON","II_23",","
"184","24","1","Ains","ains","ADV","II_24","ainc|ains3_+T|G"
"185","24","2","le","le","PRO:pers","II_24","il_S"
"186","24","3","convient","convient","VER","II_24","convivre_*M"
"187","24","4","vaincu","vaincu","VER","II_24","veintre_+MI"
"188","24","5","a","a","PRE","II_24","a_S"
"189","24","6","mez","mez","DET:poss","II_24","mon1_S"
"190","24","7","las","las","NOM","II_24","laz1_+T"
"191","24","8","rendre","rendre","VER","II_24","rendre_+MIT"
"192","24","9",".",".","PON","II_24","."
"193","25","1","Combien","combien","ADV","II_25","combien_Z"
"194","25","2","que","que","PROCON","II_25","que3_S"
"195","25","3","fait","fait","VER","II_25","faire|farre_+CMI|M"
"196","25","4","envïeux","envieux","NOM","II_25","<unknown>"
"197","25","5","soit","soit","VER","II_25","estre1|savoir_+I|+M"
