"wd_id","line_id","linewd","lex_id","tag","TT lemma"
1,1,1,"en","PRE","en1_+S"
2,1,2,"l'","DET:def","le_S"
3,1,3,"an","NOM","an_+CIT"
4,1,4,"mil","ADJ:card","mil1|mil_T|CI"
5,1,5,"ccc","NOM","<unknown>"
6,1,6,"et","CON:coord","et_S"
7,1,7,"chincquante","NOM","<unknown>"
8,2,1,"et","CON:coord","et_S"
9,2,2,"ou","PREDET:en","en1+le_S"
10,2,3,"temps","NOM","tens_+CT"
11,2,4,"que","PROCON","que3_S"
12,2,5,"on","PRO:invar","on_S"
13,2,6,"list","VER","lire|loisir_MI|M"
14,2,7,"et","CON:coord","et_S"
15,2,8,"cante","VER","chanter_+M"
16,3,1,"par","PRE","par_S"
17,3,2,"tout","DET:ind","tot_S"
18,3,3,"le","DET:def","le_S"
19,3,4,"monde","NOM","monde1|monde_+IT|CI"
20,3,5,"communement","ADV","comunement_*I"
21,4,1,"et","CON:coord","et_S"
22,4,2,"festie","VER","festoyer_M"
23,4,3,"devotement","ADV","devotement_Z"
24,4,4,",","PON",","
25,5,1,"apriés","VER","<unknown>"
26,5,2,"le","DET:def","le_S"
27,5,3,"mort","NOM","mort_+CIT"
28,5,4,"et","CON:coord","et_S"
29,5,5,"passion","NOM","passïon_+Td"
30,5,6,",","PON",","
31,6,1,"le","DET:def","le_S"
32,6,2,"sainte","ADJ","saint_I"
33,6,3,"resurrexion","NOM","<nolem>"
34,7,1,"jhesu","NPR","jesu_I|Z"
35,7,2,"crist","NPR","crist_Z"
36,7,3,"no","DET:poss","nostre_S"
37,7,4,"vrai","ADJ","verai_+T"
38,7,5,"createur","NOM","crïator_*+Td"
39,7,6,",","PON",","
40,8,1,"no","DET:poss","nostre_S"
41,8,2,"sauveur","NOM","sauvëor_*+IIdTd"
42,8,3,"et","CON:coord","et_S"
43,8,4,"no","DET:poss","nostre_S"
44,8,5,"racateur","NOM","<unknown>"
45,8,6,",","PON",","
46,9,1,"tout","PRO:ind","tot_S"
47,9,2,"partout","ADV","par_tot_Z"
48,9,3,"en","PRE","en1_+S"
49,9,4,"crestienté","NOM","crestïenté_+IdTd"
50,9,5,",","PON",","
51,10,1,"dont","PRO:invar","dont_S"
52,10,2,"il","PRO:pers","il_S"
53,10,3,"en","PRO:clit","en2_S"
54,10,4,"est","VER","ester|estre1_+M|+I"
55,10,5,"moult","ADV","mout_I"
56,10,6,"grant","ADJ","grant_+CIT"
57,10,7,"plenté","NOM","plenté_+IT"
58,10,8,",","PON",","
59,11,1,"en","PRE","en1_+S"
60,11,2,"cest","DET:demo","cest_S"
61,11,3,"an","NOM","an_+CIT"
62,11,4,"et","CON:coord","et_S"
63,11,5,"en","PRE","en1_+S"
64,11,6,"cel","DET:demo","cel_S"
65,11,7,"tempore","NOM","tempoire_+T"
66,11,8,",","PON",","
67,12,1,"me","PRO:pers","je_S"
68,12,2,"vint","VER","venir|voir_+CI|M"
69,12,3,"en","PRE","en1_+S"
70,12,4,"avis","NOM","avis_+IT"
71,12,5,"et","CON:coord","et_S"
72,12,6,"memore","NOM","memoire_+Z"
73,13,1,"de","PRE","de_+S"
74,13,2,"me","DET:poss","mon1_S"
75,13,3,"vie","NOM","vie1|voie_+T|+T"
76,13,4,"considerer","VER","considerer_+T"
77,13,5,",","PON",","
78,14,1,"comment","ADV","coment1|coment_*+T|I"
79,14,2,"en","PRE","en1_+S"
80,14,3,"dieu","NOM","dieu_+CIT"
81,14,4,"puis","ADV","puis_IT"
82,14,5,"esperer","VER","esperer_+MIT"
83,14,6,",","PON",","
84,15,1,"quels","ADJ","quel_C"
85,15,2,"je","PRO:pers","je_S"
86,15,3,"suis","VER","estre_M"
87,15,4,"et","CON:coord","et_S"
88,15,5,"quels","ADJ","quel_C"
89,15,6,"j'","PRO:pers","je_S"
90,15,7,"ai","VER","aidier|avoir_+Md|+CMI"
91,15,8,"esté","VER","ester|estre1_+MI|+I"
92,16,1,"et","CON:coord","et_S"
93,16,2,"comment","ADV","coment1|coment_*+T|I"
94,16,3,"yvier","NOM","<nolem>"
95,16,4,"et","CON:coord","et_S"
96,16,5,"esté","VER","ester|estre1_+MI|+I"
97,17,1,"et","CON:coord","et_S"
98,17,2,"nuit","NOM","nuit_+CIT"
99,17,3,"et","CON:coord","et_S"
100,17,4,"jour","NOM","jor_+C"
101,17,5,"tres","ADV","tres|très_I|IIdTd"
102,17,6,"men","DET:poss","mon1_S"
103,17,7,"enfanche","NOM","<nolem>"
104,18,1,"ay","VER","avoir_+M"
105,18,2,"vescut","VER","vivre_M"
106,18,3,"en","PRE","en1_+S"
107,18,4,"grand","ADJ","grant_+I"
108,18,5,"esperanche","NOM","<nolem>"
109,18,6,".","PON","."
110,19,1,"une","DET:ndf","un_S"
111,19,2,"fois","NOM","fais|foi|foiz_+T|+C|+CT"
112,19,3,"pensai","VER","penser_+M"
113,19,4,"en","PRE","en1_+S"
114,19,5,"me","DET:poss","mon1_S"
115,19,6,"lit","NOM","lit1|lit2_+IT|+T"
116,20,1,"et","CON:coord","et_S"
117,20,2,"empensant","VER","<unknown>"
118,20,3,"pris","VER","prendre|prisier_+CMI|+IM"
119,20,4,"grand","ADJ","grant_+I"
120,20,5,"delit","NOM","delit1|delit2_+T|+IT"
121,21,1,"de","PRE","de_+S"
122,21,2,"l'","DET:def","le_S"
123,21,3,"estat","NOM","estat_+T"
124,21,4,"ou","PRO:pers","il|vos1_S|S"
125,21,5,"je","PRO:pers","je_S"
