"wd_id","line_id","linewd","lex_id","tag","textlineid","TT lemma"
1,1,1,"il","PRO:pers",2429,"il_S"
2,1,2,"est","VER",2429,"ester|estre1_+M|+I"
3,1,3,"bien","ADV",2429,"bien1|bien2|bien_+IT|C|I"
4,1,4,"de","PRE",2429,"de_+S"
5,1,5,"necessité","NOM",2429,"necessité_+T"
6,1,6,",","PON",2429,","
7,2,1,"monseigneur","NOM",2430,"<unknown>"
8,2,2,",","PON",2430,","
9,2,3,"de","PRE",2430,"de_+S"
10,2,4,"vous","PRO:pers",2430,"vos1_S"
11,2,5,"monstrer","VER",2430,"mostrer_+T"
12,2,6,"homme","NOM",2430,"ome_+C"
13,3,1,"et","CON:coord",2431,"et_S"
14,3,2,"grant","ADJ",2431,"grant_+CIT"
15,3,3,"justicier","VER",2431,"justicier2|justicier_+IT|IM"
16,3,4,"ainsi","ADV",2431,"ainsi_+CIT"
17,3,5,"comme","VER",2431,"commer_M"
18,4,1,"il","PRO:pers",2432,"il_S"
19,4,2,"appartient","VER",2432,"apartenir|tenir_*+C|M"
20,4,3,"a","PRE",2432,"a_S"
21,4,4,"vostre","DET:poss",2432,"vostre_S"
22,4,5,"office","NOM",2432,"ofice_*+T"
23,4,6,".","PON",2432,"."
24,5,1,"prens","VER",2433,"prendre_+M"
25,5,2,"les","DET:def",2433,"le_S"
26,5,3,"sergens","NOM",2433,"serjant_*+T"
27,5,4,"de","PRE",2433,"de_+S"
28,5,5,"la","DET:def",2433,"le_S"
29,5,6,"justice","NOM",2433,"justice|justise_+CIT|+T"
30,5,7,",","PON",2433,","
31,6,1,"barraquin","NPR",2434,"<unknown>"
32,6,2,",","PON",2434,","
33,6,3,"et","CON:coord",2434,"et_S"
34,6,4,",","PON",2434,","
35,6,5,"en","PRE",2434,"en1_+S"
36,6,6,"bon","ADJ",2434,"bon_+CIT"
37,6,7,"stile","NOM",2434,"stile_+T"
38,6,8,",","PON",2434,","
39,7,1,"va","VER",2435,"aler_+CMIT"
40,7,2,"faire","VER",2435,"faire_+MIT"
41,7,3,"crier","VER",2435,"crïer1|crïer2_+Td|+IIdTd"
42,7,4,"par","PRE",2435,"par_S"
43,7,5,"la","DET:def",2435,"le_S"
44,7,6,"ville","NOM",2435,"vile|vëille_+C|+T"
45,8,1,"que","PROCON",2436,"que3_S"
46,8,2,"tout","DET:ind",2436,"tot_S"
47,8,3,"homme","NOM",2436,"ome_+C"
48,8,4,"soit","VER",2436,"estre1|savoir_+I|+M"
49,8,5,"diligent","ADJ",2436,"diligent_+T"
50,9,1,"d'","PRE",2437,"de_+S"
51,9,2,"apporter","VER",2437,"<unknown>"
52,9,3,"tantost","ADV",2437,"tantost_+IT"
53,9,4,"de","PRE",2437,"de_+S"
54,9,5,"l'","DET:def",2437,"le_S"
55,9,6,"argent","NOM",2437,"argent_+CIT"
56,10,1,"pour","PRE",2438,"por2_+S"
57,10,2,"le","PRO:pers",2438,"il_S"
58,10,3,"tribut","GDF",2438,"tribut_G"
59,10,4,"a","PRE",2438,"a_S"
60,10,5,"cesar","NPR",2438,"cesar_I|Z"
61,10,6,"deü","NOM",2438,"dieu_+IT"
62,10,7,".","PON",2438,"."
63,11,1,"bien","ADV",2439,"bien1|bien2|bien_+IT|C|I"
64,11,2,",","PON",2439,","
65,11,3,"monseigneur","NOM",2439,"<unknown>"
66,11,4,".","PON",2439,"."
67,11,5,"/","PON",2439,"/"
68,11,6,"au","PREDET:a",2439,"a+le_S"
69,11,7,"residu","NOM",2439,"residu_+T"
70,11,8,",","PON",2439,","
71,12,1,"chacun","PRO:ind",2440,"chascun_S"
72,12,2,"salue","VER",2440,"salüer_+IId"
73,12,3,"par","PRE",2440,"par_S"
74,12,4,"honneur","NOM",2440,"onor_*+IT"
75,13,1,"l'","DET:def",2441,"le_S"
76,13,2,"ymage","NOM",2441,"image_+IT"
77,13,3,"dudit","VER",2441,"<unknown>"
78,13,4,"empereur","NOM",2441,"emperëor_+Id"
79,13,5,",","PON",2441,","
80,14,1,"sur","PRE",2442,"sor2_+S"
81,14,2,"peine","NOM",2442,"peine_+CIT"
82,14,3,"d'","PRE",2442,"de_+S"
83,14,4,"estre","VER",2442,"entr'estre|estre1_+M|+IT"
84,14,5,"reputé","VER",2442,"<unknown>"
85,15,1,"crimineux","ADJ",2443,"<unknown>"
86,15,2,"s'","PRO:pers",2443,"soi1_S"
87,15,3,"il","PRO:pers",2443,"il_S"
88,15,4,"est","VER",2443,"ester|estre1_+M|+I"
89,15,5,"imputé","VER",2443,"<unknown>"
90,16,1,"que","PROCON",2444,"que3_S"
91,16,2,"aucun","PRO:ind",2444,"aucun_S"
92,16,3,"en","PRO:clit",2444,"en2_S"
93,16,4,"soit","VER",2444,"estre1|savoir_+I|+M"
94,16,5,"desobeissant","VER",2444,"<nolem>"
95,16,6,".","PON",2444,"."
96,17,1,"braiait","VER",2445,"<unknown>"
97,17,2,",","PON",2445,","
98,17,3,"orillart","NOM",2445,"<unknown>"
99,17,4,",","PON",2445,","
100,17,5,"claquedent","NPR",2445,"<unknown>"
101,17,6,"!","PON",2445,"!"
102,18,1,"que","PROCON",2446,"que3_S"
103,18,2,"voulés","VER",2446,"voler_*+IT"
104,18,3,"vous","PRO:pers",2446,"vos1_S"
105,18,4,"que","PROCON",2446,"que3_S"
106,18,5,"nous","PRO:pers",2446,"nos1_S"
107,18,6,"façon","NOM",2446,"façon_+IT"
108,18,7,"?","PON",2446,"?"
109,19,1,"vous","PRO:pers",2447,"vos1_S"
110,19,2,"n'","PRO:clit",2447,"en2_S"
111,19,3,"estes","VER",2447,"ester|estre1_+M|+I"
112,19,4,"cy","ADV",2447,"ci_*+CIT"
