"wd_id","line_id","linewd","word","lex_id","tag","textlineid","lemma"
1,1,1,"«","«","PON:cit",,"«"
2,1,2,"Dame","dame","NOM",,"dam|dame|dan2_+T|+CIT|+T"
3,1,3,",",",","PON",,","
4,1,4,"dis","dis","VER",,"dire_+CMI"
5,1,5,"je","je","PRO:pers",,"je_S"
6,1,6,",",",","PON",,","
7,1,7,"qu'","qu'","PROCON",,"que1|que2|que3|que4_S|S|S|S"
8,1,8,"est","est","VER",,"ester|estre1_+M|+I"
9,1,9,"ce","ce","PRO:invar",,"ce1_S"
10,1,10,",",",","PON",,","
11,1,11,"qu'","qu'","PROCON",,"que1|que2|que3|que4_S|S|S|S"
12,1,12,"avez","avez","VER",,"avoir_+IM"
13,1,13,"?","?","PON",,"?"
14,2,1,"Toute","toute","PRO:ind",,"tot_S"
15,2,2,"esbahie","esbahie","VER",,"esbäir_+I"
16,2,3,"me","me","PRO:pers",,"je_S"
17,2,4,"semblez","semblez","VER",,"sembler_+M"
18,2,5,",",",","PON",,","
19,3,1,"Enseigniez","enseigniez","VER",,"enseignier_+M"
20,3,2,"moi","moi","PRO:pers",,"je_S"
21,3,3,"de","de","PRE",,"de_+S"
22,3,4,"ce","ce","PRO:invar",,"ce1_S"
23,3,5,"mengier","mengier","VER",,"mengier_M"
24,4,1,"Et","et","CON:coord",,"et_S"
25,4,2,"m'","m'","PRO:pers",,"je_S"
26,4,3,"en","en","PRO:clit",,"en2_S"
27,4,4,"veuilliez","veuilliez","VER",,"<unknown>"
28,4,5,"un","un","DET:ndf",,"un_S"
29,4,6,"pou","pou","ADV",,"poi_*I"
30,4,7,"preschier","preschier","VER",,"prëechier_+IT"
31,4,8,"»","»","PON:cit",,"»"
32,4,9,".",".","PON",,"."
33,5,1,"«","«","PON:cit",1475,"«"
34,5,2,"Certes","certes","ADV",1475,"certes_+IT"
35,5,3,",",",","PON",1475,","
36,5,4,"dist","dist","VER",1475,"dire_+CMI"
37,5,5,"elle","elle","PRO:pers",1475,"il_S"
38,5,6,",",",","PON",1475,","
39,5,7,"non","non","ADV",1475,"ne1_+Z"
40,5,8,"ferai","ferai","VER",1475,"faire|fere_+CIM|M"
41,5,9,",	",",	","PON",1475,","
42,6,1,"Quar","quar","CON:coord",1476,"car_S"
43,6,2,"nulle","nulle","DET:ind",1476,"nul_S"
44,6,3,"chose","chose","NOM",1476,"chose_+CIT"
45,6,4,"je","je","PRO:pers",1476,"je_S"
46,6,5,"n'","n'","PRO:clit",1476,"en2_S"
47,6,6,"i","i","PRO:clit",1476,"i2_S"
48,6,7,"sai","sai","VER",1476,"savoir_+IM"
49,6,8,";",";","PON",1476,";"
50,7,1,"Cy","cy","ADV",1477,"ci_*+CIT"
51,7,2,"me","me","PRO:pers",1477,"je_S"
52,7,3,"fault","fault","VER",1477,"falir_+M"
53,7,4,"mon","mon","DET:poss",1477,"mon1_S"
54,7,5,"entendement","entendement","NOM",1477,"entendement_+T"
55,8,1,"Et","et","CON:coord",1478,"et_S"
56,8,2,"mon","mon","DET:poss",1478,"mon1_S"
57,8,3,"sens","sens","NOM",1478,"sens_+IT"
58,8,4,"tout","tout","PRO:ind",1478,"tot_S"
59,8,5,"outreement","outreement","ADV",1478,"outreement_I"
60,8,6,";",";","PON",1478,";"
61,9,1,"Avugle","avugle","ADJ",1479,"avugle_+IT"
62,9,2,"sui","sui","VER",1479,"estre1|savoir|sivre_+I|+M|+MMd"
63,9,3,",",",","PON",1479,","
64,9,4,"je","je","PRO:pers",1479,"je_S"
65,9,5,"n'","n'","PRO:clit",1479,"en2_S"
66,9,6,"i","i","PRO:clit",1479,"i2_S"
67,9,7,"voi","voi","VER",1479,"aler|vëoir_+M|+I"
68,9,8,"goute","goute","NOM",1479,"gote_*+IT"
69,9,9,",",",","PON",1479,","
70,10,1,"Perdue","perdue","VER",1480,"perdre_+IM"
71,10,2,"i","i","PRO:clit",1480,"i2_S"
72,10,3,"ai","ai","VER",1480,"aidier|avoir_+Md|+CMI"
73,10,4,"ma","ma","DET:poss",1480,"mon1_S"
74,10,5,"verte","verte","NOM",1480,"verité_+Z"
75,10,6,"toute","toute","DET:ind",1480,"tot_S"
76,10,7,".",".","PON",1480,"."
77,11,1,"Oncques","oncques","ADV",1481,"onque_+Z"
78,11,2,"mais","mais","CON:coord",1481,"mais_S"
79,11,3,"si","si","DET:poss",1481,"son4_S"
80,11,4,"esbahie","esbahie","VER",1481,"esbäir_+I"
81,12,1,"Ne","ne","PRO:clit",1482,"en2_S"
82,12,2,"fu","fu","VER",1482,"estre1|estre_+I|CMI"
83,12,3,"en","en","PRE",1482,"en1_+S"
84,12,4,"toute","toute","DET:ind",1482,"tot_S"
85,12,5,"ma","ma","DET:poss",1482,"mon1_S"
86,12,6,"vie","vie","NOM",1482,"vie1|voie_+T|+T"
87,12,7,",",",","PON",1482,","
88,13,1,"Quar","quar","CON:coord",1483,"car_S"
89,13,2,"se","se","PRO:pers",1483,"soi1_S"
90,13,3,"d'","d'","PRE",1483,"de_+S"
91,13,4,"un","un","DET:ndf",1483,"un_S"
92,13,5,"euf","euf","NOM",1483,"<nolem>"
93,13,6,"un","un","DET:ndf",1483,"un_S"
94,13,7,"bel","bel","ADJ",1483,"bel1|bel_+T|I"
95,13,8,"oysel","oysel","NOM",1483,"oisel_*+IT"
96,14,1,"Ou","ou","VER",1484,"avoir|oïr_+MMd|M"
97,14,2,"d'","d'","PRE",1484,"de_+S"
98,14,3,"un","un","DET:ndf",1484,"un_S"
99,14,4,"grain","grain","NOM",1484,"grain_+T"
100,14,5,"d'","d'","PRE",1484,"de_+S"
101,14,6,"orge","orge","NOM",1484,"orge_+IT"
102,14,7,"un","un","DET:ndf",1484,"un_S"
103,14,8,"chalemel","chalemel","NOM",1484,"chalemel_+T"
104,15,1,"Eust","eust","VER",1485,"avoir_+CMMdId"
105,15,2,"fait","fait","VER",1485,"faire|farre_+CMI|M"
106,15,3,"ce","ce","PRO:invar",1485,"ce1_S"
107,15,4,"cornu","cornu","ADJ",1485,"cornu_+IT"
108,15,5,"Moyses","moyses","NPR",1485,"moysen_Z"
109,15,6,",",",","PON",1485,","
110,16,1,"Assez","assez","ADV",1486,"assez_+IT"
111,16,2,"en","en","PRO:clit",1486,"en2_S"
112,16,3,"fusse","fusse","VER",1486,"estre1|estre_+I|MI"
113,16,4,"en","en","PRE",1486,"en1_+S"
114,16,5,"bonne","bonne","ADJ",1486,"bon_+C"
115,16,6,"pes","pes","NOM",1486,"pais|pec_+ITTd|+Td"
116,16,7,".",".","PON",1486,"."
117,17,1,"Mes","mes","VER",1487,"manoir1_+T"
118,17,2,"toute","toute","PRO:ind",1487,"tot_S"
119,17,3,"esbahie","esbahie","VER",1487,"esbäir_+I"
120,17,4,"il","il","PRO:pers",1487,"il_S"
121,17,5,"m'","m'","PRO:pers",1487,"je_S"
122,17,6,"a","a","VER",1487,"avoir_+CMI"
123,17,7,"fait","fait","VER",1487,"faire|farre_+CMI|M"
124,17,8,",",",","PON",1487,","
125,18,1,"Quar","quar","CON:coord",1488,"car_S"
126,18,2,"char","char","NOM",1488,"char1|char2_+IT|+IT"
127,18,3,"vive","vive","ADJ",1488,"vif_I"
128,18,4,"de","de","PRE",1488,"de_+S"
129,18,5,"pain","pain","NOM",1488,"pain_+IT"
130,18,6,"a","a","PRE",1488,"a_S"
131,18,7,"fait","fait","VER",1488,"faire|farre_+CMI|M"
132,19,1,"Et","et","CON:coord",1489,"et_S"
133,19,2,"de","de","PRE",1489,"de_+S"
134,19,3,"vin","vin","NOM",1489,"vin_+IT"
135,19,4,",",",","PON",1489,","
136,19,5,"sanc","sanc","NOM",1489,"sanc_+IT"
137,19,6,"pour","pour","PRE",1489,"por2_+S"
138,19,7,"son","son","DET:poss",1489,"son4_S"
139,19,8,"buvrage","buvrage","NOM",1489,"bevrage_+T"
140,19,9,",",",","PON",1489,","
141,20,1,"Contre","contre","PRE",1490,"contre_S"
142,20,2,"nature","nature","NOM",1490,"nature_+IT"
143,20,3,"et","et","CON:coord",1490,"et_S"
144,20,4,"contre","contre","PRE",1490,"contre_S"
145,20,5,"usaige","usaige","NOM",1490,"usage_+C"
146,20,6,".",".","PON",1490,"."
147,21,1,"Et","et","CON:coord",1491,"et_S"
148,21,2,"vraiment","vraiment","ADV",1491,"<nolem>"
149,21,3,"je","je","PRO:pers",1491,"je_S"
150,21,4,"le","le","PRO:pers",1491,"il_S"
151,21,5,"dirai","dirai","VER",1491,"dire_+IM"
152,22,1,"A","a","PRE",1492,"a_S"
153,22,2,"Nature","nature","NOM",1492,"nature_+IT"
154,22,3,"quant","quant","ADV",1492,"cant_C"
155,22,4,"la","la","PRO:pers",1492,"il_S"
156,22,5,"verrai","verrai","VER",1492,"vëoir_+I"
157,23,1,"Et","et","CON:coord",1493,"et_S"
158,23,2,"si","si","ADV",1493,"si_+IT"
159,23,3,"l'","l'","PRO:pers",1493,"il_S"
160,23,4,"envoierai","envoierai","VER",1493,"envoiier_+M"
161,23,5,"parler","parler","VER",1493,"parler_+MIT"
162,24,1,"A","a","PRE",1494,"a_S"
163,24,2,"Grace","grace","NOM",1494,"grace_+CIT"
164,24,3,"Dieu","dieu","NOM",1494,"dieu_+CIT"
165,24,4,"sans","sans","PRE",1494,"sans_+S"
166,24,5,"point","point","NOM",1494,"point_+CIT"
167,24,6,"tarder","tarder","VER",1494,"tarder_+IMT"
168,24,7,";",";","PON",1494,";"
169,25,1,"Quar","quar","CON:coord",1495,"car_S"
170,25,2,"ce","ce","PRO:invar",1495,"ce1_S"
171,25,3,"fait","fait","VER",1495,"faire|farre_+CMI|M"
172,25,4,"elle","elle","PRO:pers",1495,"il_S"
173,25,5,"trestout","trestout","PRO:ind",1495,"trestot_S"
174,25,6,"faire","faire","VER",1495,"faire_+MIT"
175,25,7,",",",","PON",1495,","
176,26,1,"Et","et","CON:coord",1496,"et_S"
177,26,2,"trop","trop","ADV",1496,"trop_+IT"
178,26,3,"souvent","souvent","ADV",1496,"sovent_*IT"
179,26,4,"li","li","PRO:pers",1496,"il_S"
180,26,5,"est","est","VER",1496,"ester|estre1_+M|+I"
181,26,6,"contraire","contraire","ADJ",1496,"contraire1|contraire_T|I"
182,26,7,",",",","PON",1496,","
183,27,1,"Perdre","perdre","VER",1497,"perdre_+MIT"
184,27,2,"li","li","PRO:pers",1497,"il_S"
