"wd_id","line_id","linewd","lex_id","tag","textlineid","TT lemma"
1,1,1,"dame","NOM",1,"dam|dame|dan2_+T|+CIT|+T"
2,1,2,",","PON",1,","
3,1,3,"qu'","PROCON",1,"que1|que2|que3|que4_S|S|S|S"
4,1,4,"es","VER",1,"estre1|estre_+I|MI"
5,1,5,"ce","PRO:invar",1,"ce1_S"
6,1,6,"qu'","PROCON",1,"que1|que2|que3|que4_S|S|S|S"
7,1,7,"aueis","VER",1,"avoir_*+M"
8,2,1,"que","PROCON",2,"que3_S"
9,2,2,"si","DET:poss",2,"son4_S"
10,2,3,"tourbleie","NOM",2,"<unknown>"
11,2,4,"me","PRO:pers",2,"je_S"
12,2,5,"sembleis","VER",2,"<nolem>"
13,2,6,"?","PON",2,"?"
14,3,1,"por","PRE",3,"por2_+S"
15,3,2,"dieu","NOM",3,"dieu_+CIT"
16,3,3,"vus","PRO:pers",3,"vos1_S"
17,3,4,"priie","VER",3,"priier_*+IT"
18,3,5,"que","PROCON",3,"que3_S"
19,3,6,"ensengnier","VER",3,"enseignier_+M"
20,4,1,"me","PRO:pers",4,"je_S"
21,4,2,"veulhiés","VER",4,"<unknown>"
22,4,3,"de","PRE",4,"de_+S"
23,4,4,"ce","PRO:invar",4,"ce1_S"
24,4,5,"maingier","VER",4,"mangier_+Z"
25,4,6,".","PON",4,"."
26,5,1,"certe","ADJ",5,"cert_+I"
27,5,2,",","PON",5,","
28,5,3,"mon","DET:poss",5,"mon1_S"
29,5,4,"freir","NOM",5,"<unknown>"
30,5,5,",","PON",5,","
31,5,6,"point","NOM",5,"point_+CIT"
32,5,7,"ie","PRO:pers",5,"je_S"
33,5,8,"n'","PRO:clit",5,"en2_S"
34,5,9,"enten","VER",5,"entendre_+M"
35,5,10,",","PON",5,","
36,6,1,"car","CON:coord",6,"car_S"
37,6,2,"ichi","ADV",6,"ici_+Z"
38,6,3,"fault","VER",6,"falir_+M"
39,6,4,"mon","DET:poss",6,"mon1_S"
40,6,5,"entendement","NOM",6,"entendement_+T"
41,6,6,",","PON",6,","
42,7,1,"aueugleie","NOM",7,"<unknown>"
43,7,2,"suy","VER",7,"sivre_+M"
44,7,3,",","PON",7,","
45,7,4,"ie","PRO:pers",7,"je_S"
46,7,5,"n'","PRO:clit",7,"en2_S"
