"wd_id","line_id","linewd","lex_id","tag","textlineid","TT lemma"
1,1,1,"li","DET:def",1,"le_S"
2,1,2,"philozophes","NOM",1,"<unknown>"
3,1,3,"nous","PRO:pers",1,"nos1_S"
4,1,4,"aprent","VER",1,"aprendre_*+I"
5,2,1,"en","PRE",2,"en1_+S"
6,2,2,"un","DET:ndf",2,"un_S"
7,2,3,"capitle","NOM",2,"<nolem>"
8,2,4,"ou","PRE",2,"o4_+S"
9,2,5,"il","PRO:pers",2,"il_S"
10,2,6,"reprent","VER",2,"reprendre_*I"
11,3,1,"d'","PRE",3,"de_+S"
12,3,2,"une","DET:ndf",3,"un_S"
13,3,3,"auctorité","VER",3,"<unknown>"
14,3,4,"un","DET:ndf",3,"un_S"
15,3,5,"notable","ADJ",3,"notable_+T"
16,4,1,"pour","PRE",4,"por2_+S"
17,4,2,"toutes","DET:ind",4,"tot_S"
18,4,3,"gens","NOM",4,"gent1|giens_+I|+T"
19,4,4,"moult","ADV",4,"mout_I"
20,4,5,"pourfitable","ADJ",4,"porfitable_*+T"
21,4,6,":","PON",4,":"
22,5,1,"chils","NPR",5,"<unknown>"
23,5,2,"ne","PRO:clit",5,"en2_S"
24,5,3,"scet","VER",5,"savoir_+M"
25,5,4,"mie","ADV",5,"mie_C"
26,5,5,"qu'","PROCON",5,"que1|que2|que3|que4_S|S|S|S"
27,5,6,"il","PRO:pers",5,"il_S"
28,5,7,"dessert","VER",5,"servir_+M"
29,6,1,"qui","PROCON",6,"qui_S"
30,6,2,"loyaument","ADV",6,"lëaument_Z"
31,6,3,"son","DET:poss",6,"son4_S"
32,6,4,"signeur","NOM",6,"seignor_+C"
33,6,5,"sert","VER",6,"servir_+MI"
34,6,6,",","PON",6,","
35,7,1,"car","CON:coord",7,"car_S"
36,7,2,"par","PRE",7,"par_S"
37,7,3,"bien","ADV",7,"bien1|bien2|bien_+IT|C|I"
38,7,4,"servir","VER",7,"servir_+MIT"
39,7,5,"son","DET:poss",7,"son4_S"
40,7,6,"signeur","NOM",7,"seignor_+C"
41,8,1,"acquert","VER",8,"<unknown>"
42,8,2,"on","PREDET:en",8,"en1+le_S"
43,8,3,"pourfit","NOM",8,"porfit2_*T"
44,8,4,"et","CON:coord",8,"et_S"
45,8,5,"honneur","NOM",8,"onor_*+IT"
46,8,6,".","PON",8,"."
47,9,1,"s'","PRO:pers",9,"soi1_S"
48,9,2,"est","VER",9,"ester|estre1_+M|+I"
49,9,3,"commandemens","NOM",9,"comandement_+C"
50,9,4,"et","CON:coord",9,"et_S"
51,9,5,"parolle","NOM",9,"parole_*+IT"
52,10,1,"de","PRE",10,"de_+S"
53,10,2,"dieu","NOM",10,"dieu_+CIT"
54,10,3,"qui","PROCON",10,"qui_S"
55,10,4,"a","PRE",10,"a_S"
56,10,5,"moysi","NPR",10,"moysen_Z"
57,10,6,"parolle","VER",10,"parler_+M"
58,10,7,":","PON",10,":"
59,11,1,"de","PRE",11,"de_+S"
60,11,2,"tout","DET:ind",11,"tot_S"
61,11,3,"ton","DET:poss",11,"ton4_S"
62,11,4,"coer","NOM",11,"cuer_I"
63,11,5,",","PON",11,","
64,11,6,"de","PRE",11,"de_+S"
65,11,7,"t'","DET:poss",11,"ton4_S"
66,11,8,"ame","NOM",11,"ame_+CGIT"
67,11,9,"toute","DET:ind",11,"tot_S"
68,12,1,"ton","DET:poss",12,"ton4_S"
69,12,2,"signeur","NOM",12,"seignor_+C"
70,12,3,"aimme","VER",12,"amer1|amer_+I|M"
71,12,4,"et","CON:coord",12,"et_S"
72,12,5,"se","PRO:pers",12,"soi1_S"
73,12,6,"le","PRO:pers",12,"il_S"
74,12,7,"doubte","VER",12,"doter2_+Z"
75,12,8,".","PON",12,"."
76,13,1,"ensi","ADV",13,"ainsi_+IT"
77,13,2,"l'","PRO:pers",13,"il_S"
78,13,3,"entens","VER",13,"entendre_+M"
79,13,4,"selonc","PRE",13,"selonc_S"
80,13,5,"la","DET:def",13,"le_S"
81,13,6,"glose","NOM",13,"glose_+T"
82,13,7,":","PON",13,":"
83,14,1,"l'","DET:def",14,"le_S"
84,14,2,"amour","NOM",14,"amor_+G"
85,14,3,"pour","PRE",14,"por2_+S"
86,14,4,"le","DET:def",14,"le_S"
87,14,5,"service","NOM",14,"servise_+T"
88,14,6,"glose","NOM",14,"glose_+T"
89,14,7,",","PON",14,","
90,15,1,"car","CON:coord",15,"car_S"
91,15,2,"qui","PROCON",15,"qui_S"
92,15,3,"bien","ADV",15,"bien1|bien2|bien_+IT|C|I"
93,15,4,"aimme","VER",15,"amer1|amer_+I|M"
94,15,5,",","PON",15,","
95,15,6,"il","PRO:pers",15,"il_S"
96,15,7,"sert","VER",15,"servir_+MI"
97,15,8,"et","CON:coord",15,"et_S"
98,15,9,"crient","VER",15,"criembre|crïer2_+MI|+Id"
99,16,1,"et","CON:coord",16,"et_S"
100,16,2,"toute","DET:ind",16,"tot_S"
101,16,3,"obeissance","NOM",16,"<unknown>"
102,16,4,"tient","VER",16,"tenir_CMI"
103,16,5,".","PON",16,"."
104,17,1,"dont","ADV",17,"donc|dont_I|I"
105,17,2,"qui","PROCON",17,"qui_S"
106,17,3,"sus","ADV",17,"sus_I"
107,17,4,"cel","DET:demo",17,"cel_S"
108,17,5,"estat","NOM",17,"estat_+T"
109,17,6,"s'","PRO:pers",17,"soi1_S"
110,17,7,"ordonne","VER",17,"ordener_*+M"
111,17,8,",","PON",17,","
112,18,1,"en","PRE",18,"en1_+S"
113,18,2,"deus","ADJ:card",18,"deus_CIT"
114,18,3,"lieus","NOM",18,"lieu_+C"
115,18,4,"sa","DET:poss",18,"son4_S"
116,18,5,"grasce","NOM",18,"grace_+I"
117,18,6,"on","PRO:invar",18,"on_S"
118,18,7,"li","PRO:pers",18,"il_S"
119,18,8,"donne","VER",18,"doner_+CM"
120,18,9,":","PON",18,":"
121,19,1,"li","DET:def",19,"le_S"
122,19,2,"mondes","NOM",19,"monde1|monde_+I|I"
123,19,3,"sa","DET:poss",19,"son4_S"
124,19,4,"glore","NOM",19,"gloire_+T"
125,19,5,"li","PRO:pers",19,"il_S"
126,19,6,"fet","VER",19,"faire|feire|fere_+CMI|M|M"
127,20,1,"et","CON:coord",20,"et_S"
128,20,2,"diex","NOM",20,"dieu_*+CIT"
129,20,3,"la","DET:def",20,"le_S"
130,20,4,"sienne","ADJ:poss",20,"son4_S"
131,20,5,"li","PRO:pers",20,"il_S"
132,20,6,"parfet","VER",20,"<nolem>"
133,20,7,".","PON",20,"."
134,21,1,"et","CON:coord",21,"et_S"
135,21,2,"pour","PRE",21,"por2_+S"
136,21,3,"ce","PRO:invar",21,"ce1_S"
137,21,4,"que","PROCON",21,"que3_S"
138,21,5,"tant","ADV",21,"tant_CI"
139,21,6,"vault","VER",21,"valoir_+M"
140,21,7,"services","NOM",21,"servise_*+T"
141,21,8,",","PON",21,","
142,22,1,"que","PROCON",22,"que3_S"
143,22,2,"tenus","VER",22,"tenir_M"
144,22,3,"je","PRO:pers",22,"je_S"
145,22,4,"ne","PRO:clit",22,"en2_S"
146,22,5,"soie","VER",22,"<unknown>"
147,22,6,"a","PRE",22,"a_S"
148,22,7,"nices","ADJ",22,"nice_+I"
149,22,8,",","PON",22,","
150,23,1,"je","PRO:pers",23,"je_S"
151,23,2,"voel","VER",23,"voloir_+I"
152,23,3,"servir","VER",23,"servir_+MIT"
153,23,4,"de","PRE",23,"de_+S"
154,23,5,"franc","ADJ",23,"franc1|franc_IT|CI"
155,23,6,"voloir","VER",23,"voloir_+IT"
156,24,1,"celi","PRO:demo",24,"cel_S"
157,24,2,"qui","PROCON",24,"qui_S"
158,24,3,"tant","ADV",24,"tant_CI"
159,24,4,"me","PRO:pers",24,"je_S"
160,24,5,"poet","VER",24,"pöoir_+I"
161,24,6,"valoir","VER",24,"valoir_+MIT"
162,24,7,",","PON",24,","
163,25,1,"a","PRE",25,"a_S"
164,25,2,"cui","VER",25,"cuire_+M"
165,25,3,"j'","PRO:pers",25,"je_S"
166,25,4,"ai","VER",25,"aidier|avoir_+Md|+CMI"
167,25,5,"fait","VER",25,"faire|farre_+CMI|M"
168,25,6,"de","PRE",25,"de_+S"
169,25,7,"liét","ADJ",25,"lié_I"
170,25,8,"corage","NOM",25,"corage_+IT"
171,26,1,"seureté","VER",26,"<unknown>"
172,26,2,",","PON",26,","
173,26,3,"foi","NOM",26,"foi_+CIT"
174,26,4,"et","CON:coord",26,"et_S"
175,26,5,"hommage","NOM",26,"omage_*+CIT"
176,26,6,":","PON",26,":"
177,27,1,"amours","NOM",27,"amor_*+G"
178,27,2,",","PON",27,","
179,27,3,"mon","DET:poss",27,"mon1_S"
180,27,4,"signeur","NOM",27,"seignor_+C"
181,27,5,"et","CON:coord",27,"et_S"
182,27,6,"mon","DET:poss",27,"mon1_S"
183,27,7,"mestre","NOM",27,"maistre_CI"
184,27,8,",","PON",27,","
185,28,1,"qui","PROCON",28,"qui_S"
186,28,2,"me","PRO:pers",28,"je_S"
187,28,3,"fet","VER",28,"faire|feire|fere_+CMI|M|M"
188,28,4,"tels","ADJ",28,"tel_+IT"
189,28,5,"que","PROCON",28,"que3_S"
190,28,6,"je","PRO:pers",28,"je_S"
191,28,7,"sui","VER",28,"estre1|savoir|sivre_+I|+M|+MMd"
192,28,8,"estre","VER",28,"entr'estre|estre1_+M|+IT"
193,28,9,",","PON",28,","
194,29,1,"une","DET:ndf",29,"un_S"
195,29,2,"heure","NOM",29,"ore3_+T"
196,29,3,"en","PRE",29,"en1_+S"
197,29,4,"pais","NOM",29,"pais|päis_+CIT|+IdTd"
198,29,5,"et","CON:coord",29,"et_S"
199,29,6,"l'","DET:def",29,"le_S"
200,29,7,"autre","ADJ",29,"autre_CIId"
201,29,8,"en","PRO:clit",29,"en2_S"
