"wd_id","line_id","linewd","word","lex_id","tag","textlineid","TT lemma"
"1","1","1","Qui","qui","PROCON","1","qui_S"
"2","1","2","d'","d'","PRE","1","de_+S"
"3","1","3","oÿr","oÿr","VER","1","öir_+I"
"4","1","4","et","et","CON:coord","1","et_S"
"5","1","5","d'","d'","PRE","1","de_+S"
"6","1","6","entendre","entendre","VER","1","entendre_+MIT"
"7","1","7","a","a","PRE","1","a_S"
"8","1","8","loisir","loisir","VER","1","loisir1|loisir_+IT|MI"
"9","1","9","ne","ne","PRO:clit","1","en2_S"
"10","1","10","talant","talant","NOM","1","talent_+IT"
"11","2","1","Face","face","VER","2","faire|farre|feire_+CMI|M|M"
"12","2","2","pais","pais","NOM","2","pais|päis_+CIT|+IdTd"
"13","2","3",",",",","PON","2",","
"14","2","4","si","si","DET:poss","2","son4_S"
"15","2","5","escout","escout","NOM","2","escout_+T"
"16","2","6","bonne","bonne","ADJ","2","bon_+C"
"17","2","7","chançon","chançon","NOM","2","chançon_+IT"
"18","2","8","vaillant","vaillant","ADJ","2","vaillant_Z"
"19","3","1","Dont","dont","PRO:invar","3","dont_S"
"20","3","2","li","li","DET:def","3","le_S"
"21","3","3","livre","livre","NOM","3","lievre|livre2|livre3_+T|+IT|+IT"
"22","3","4","d'","d'","PRE","3","de_+S"
"23","3","5","estoire","estoire","NOM","3","estoire1|estoire2_+IT|+T"
"24","3","6","sont","sont","VER","3","estre1|estre_+I|CMI"
"25","3","7","tesmoing","tesmoing","NOM","3","tesmoin_+CI"
"26","3","8","et","et","CON:coord","3","et_S"
"27","3","9","garant","garant","NOM","3","garant_+IT"
"28","3","10","!","!","PON","3","!"
"29","4","1","Jamais","jamais","ADV","4","ja|jamais_+IT|C"
"30","4","2","vilains","vilains","ADJ","4","vilain_I"
"31","4","3","jougleres","jougleres","NOM","4","<unknown>"
"32","4","4","de","de","PRE","4","de_+S"
"33","4","5","cesti","cesti","PRO:demo","4","cest_S"
"34","4","6","ne","ne","PRO:clit","4","en2_S"
"35","4","7","se","se","PRO:pers","4","soi1_S"
"36","4","8","vant","vant","VER","4","aler|vanter|vendre_+M|+IM|+I"
"37","4","9",",",",","PON","4",","
"38","5","1","Car","car","CON:coord","5","car_S"
"39","5","2","il","il","PRO:pers","5","il_S"
"40","5","3","n'","n'","PRO:clit","5","en2_S"
"41","5","4","en","en","PRO:clit","5","en2_S"
"42","5","5","saroit","saroit","VER","5","savoir_+M"
"43","5","6","dire","dire","VER","5","dire_+MIT"
"44","5","7","ne","ne","PRO:clit","5","en2_S"
"45","5","8","les","les","DET:def","5","le_S"
"46","5","9","vers","vers","NOM","5","vers1_+IT"
"47","5","10","ne","ne","PRO:clit","5","en2_S"
"48","5","11","le","le","PRO:pers","5","il_S"
"49","5","12","chant","chant","VER","5","changier|chanter_+M|+MI"
"50","5","13",".",".","PON","5","."
"51","6","1","N'","n'","PRO:clit","6","en2_S"
"52","6","2","en","en","PRO:clit","6","en2_S"
"53","6","3","sont","sont","VER","6","estre1|estre_+I|CMI"
"54","6","4","que","que","PROCON","6","que3_S"
"55","6","5","trois","trois","ADJ:card","6","trois1|trois_T|CI"
"56","6","6","materes","materes","NOM","6","matiere_*+T"
"57","6","7","a","a","PRE","6","a_S"
"58","6","8","nul","nul","DET:ind","6","nul_S"
"59","6","9","home","home","NOM","6","ome_+CIT"
"60","6","10","vivant","vivant","VER","6","vivre1|vivre_+IT|MI"
"61","6","11",":",":","PON","6",":"
"62","7","1","De","de","PRE","7","de_+S"
"63","7","2","France","france","NPR","7","france_CI|Z"
"64","7","3","et","et","CON:coord","7","et_S"
"65","7","4","de","de","PRE","7","de_+S"
"66","7","5","Bretaigne","bretaigne","NPR","7","bretagne_I|Z"
"67","7","6","et","et","CON:coord","7","et_S"
"68","7","7","de","de","PRE","7","de_+S"
"69","7","8","Ronme","ronme","NPR","7","rome_Z"
"70","7","9","la","la","DET:def","7","le_S"
"71","7","10","grant","grant","ADJ","7","grant_+CIT"
"72","7","11",";",";","PON","7",";"
"73","8","1","Ne","ne","PRO:clit","8","en2_S"
"74","8","2","de","de","PRE","8","de_+S"
"75","8","3","ces","ces","DET:demo","8","cel|cest_S|S"
"76","8","4","trois","trois","ADJ:card","8","trois1|trois_T|CI"
"77","8","5","materes","materes","NOM","8","matiere_*+T"
"78","8","6","n'","n'","PRO:clit","8","en2_S"
"79","8","7","i","i","PRO:clit","8","i2_S"
"80","8","8","a","a","VER","8","avoir_+CMI"
"81","8","9","nule","nule","DET:ind","8","nul_S"
"82","8","10","samblant","samblant","NOM","8","semblant_*+IT"
"83","8","11",".",".","PON","8","."
"84","9","1","Li","li","DET:def","9","le_S"
"85","9","2","conte","conte","NOM","9","conte1|conte2_+IT|+IT"
"86","9","3","de","de","PRE","9","de_+S"
"87","9","4","Bretaigne","bretaigne","NPR","9","bretagne_I|Z"
"88","9","5","si","si","DET:poss","9","son4_S"
"89","9","6","sont","sont","VER","9","estre1|estre_+I|CMI"
"90","9","7","vain","vain","ADJ","9","vain_+IT"
"91","9","8","et","et","CON:coord","9","et_S"
"92","9","9","plaisant","plaisant","VER","9","plaire_*+M"
"93","9","10",",",",","PON","9",","
"94","10","1","Et","et","CON:coord","10","et_S"
"95","10","2","cil","cil","PRO:demo","10","cel_S"
"96","10","3","de","de","PRE","10","de_+S"
"97","10","4","Ronme","ronme","NPR","10","rome_Z"
"98","10","5","sage","sage","ADJ","10","sage_+IT"
"99","10","6","et","et","CON:coord","10","et_S"
"100","10","7","de","de","PRE","10","de_+S"
"101","10","8","sens","sens","NOM","10","sens_+IT"
"102","10","9","aprendant","aprendant","VER","10","<unknown>"
"103","10","10",",",",","PON","10",","
"104","11","1","Cil","cil","PRO:demo","11","cel_S"
"105","11","2","de","de","PRE","11","de_+S"
"106","11","3","France","france","NPR","11","france_CI|Z"
"107","11","4","sont","sont","VER","11","estre1|estre_+I|CMI"
"108","11","5","voir","voir","ADJ","11","voir_+IT"
"109","11","6","chascun","chascun","DET:ind","11","chascun_S"
"110","11","7","jour","jour","NOM","11","jor_+C"
"111","11","8","aparant","aparant","VER","11","paroir_+M"
"112","11","9",".",".","PON","11","."
"113","12","1","Et","et","CON:coord","12","et_S"
"114","12","2","de","de","PRE","12","de_+S"
"115","12","3","ces","ces","DET:demo","12","cel|cest_S|S"
"116","12","4","trois","trois","ADJ:card","12","trois1|trois_T|CI"
"117","12","5","materes","materes","NOM","12","matiere_*+T"
"118","12","6","tieng","tieng","VER","12","tenir_M|MI"
"119","12","7","la","la","DET:def","12","le_S"
"120","12","8","plus","plus","ADV","12","plus_CI"
"121","12","9","voir","voir","ADJ","12","voir_+IT"
"122","12","10","disant","disant","VER","12","dire_+CMI"
"123","12","11",":",":","PON","12",":"
"124","13","1","La","la","DET:def","13","le_S"
"125","13","2","coronne","coronne","NOM","13","corone_*+IT"
"126","13","3","de","de","PRE","13","de_+S"
"127","13","4","France","france","NPR","13","france_CI|Z"
"128","13","5","doit","doit","VER","13","devoir|dire_+CMI|+M"
"129","13","6","estre","estre","VER","13","entr'estre|estre1_+M|+IT"
"130","13","7","si","si","ADV","13","si_+IT"
"131","13","8","avant","avant","PRE","13","avant_S"
"132","14","1","Que","que","PROCON","14","que3_S"
"133","14","2","tout","tout","DET:ind","14","tot_S"
