"wd_id","line_id","linewd","lex_id","tag","textlineid","TT lemma"
1,1,1,"en","PRE",1,"en1_+S"
2,1,2,"fabliaus","NOM",1,"<nolem>"
3,1,3,"doit","VER",1,"devoir|dire_+CMI|+M"
4,1,4,"fables","NOM",1,"fable_*+IT"
5,1,5,"avoir","VER",1,"avoir_+MIT"
6,2,1,"s'","PRO:pers",2,"soi1_S"
7,2,2,"i","PRO:clit",2,"i2_S"
8,2,3,"a","VER",2,"avoir_+CMI"
9,2,4,"il","PRO:pers",2,"il_S"
10,2,5,",","PON",2,","
11,2,6,"ce","PRO:invar",2,"ce1_S"
12,2,7,"sachiez","VER",2,"savoir_+IM"
13,2,8,"de","PRE",2,"de_+S"
14,2,9,"voir","ADJ",2,"voir_+IT"
15,2,10,":","PON",2,":"
16,3,1,"por","PRE",3,"por2_+S"
17,3,2,"ce","PRO:invar",3,"ce1_S"
18,3,3,"est","VER",3,"ester|estre1_+M|+I"
19,3,4,"fabliaus","NOM",3,"<nolem>"
20,3,5,"apelez","VER",3,"apeler_+MI"
21,4,1,"que","PROCON",4,"que3_S"
22,4,2,"de","PRE",4,"de_+S"
23,4,3,"faubles","NOM",4,"<nolem>"
24,4,4,"est","VER",4,"ester|estre1_+M|+I"
25,4,5,"aunez","VER",4,"<unknown>"
26,4,6,".","PON",4,"."
27,5,1,"douins","VER",5,"<unknown>"
28,5,2,"qui","PROCON",5,"qui_S"
29,5,3,"ce","DET:demo",5,"cel|cist_S|S"
30,5,4,"fabliau","NOM",5,"<unknown>"
31,5,5,"rima","VER",5,"rimer1|rimer2|rimer3|rimer4_*+T|+T|+T|+T"
32,6,1,"tesmoigne","VER",6,"tesmoignier_+I"
33,6,2,"que","PROCON",6,"que3_S"
34,6,3,"il","PRO:pers",6,"il_S"
35,6,4,"avint","VER",6,"avenir_+I"
36,6,5,"ja","ADV",6,"ja_+CIT"
37,7,1,"en","PRE",7,"en1_+S"
38,7,2,"la","DET:def",7,"le_S"
39,7,3,"forest","NOM",7,"forest_+IT"
40,7,4,"de","PRE",7,"de_+S"
41,7,5,"pontalie","NPR",7,"<unknown>"
42,8,1,"ot","VER",8,"avoir|öir_+IM|+I"
43,8,2,"une","DET:ndf",8,"un_S"
44,8,3,"fame","NOM",8,"fame|feme_+T|+CI"
