text,wd_id,word,syntag2,lemma,syntag_out,syntag2_out,lemma_out
*,*,*,*,aaisier,,,aaiser
*,*,*,*,abbattre,,,abattre
*,*,*,Adv,accordement,,,accordément
*,*,*,*,acclin2,,,acclin
*,*,*,*,acueillir,,,accueillir
*,*,*,*,aïe3,,,aïe
*,*,*,*,affinir,,,affiner
*,*,*,Adj,aisé,Vpp,Vpp,aiser
*,*,amie,*,ami,,,amie
*,*,amies,*,ami,,,amie
*,*,*,N,amoureux,Adj,Adj,
*,*,*,*,Anïeus,N,N,
*,*,*,*,aparoir|apparaître,,,apparaître
*,*,*,*,aparoir,,,apparoir
*,*,*,N,arraisonner,Vinf,Vinf,
*,*,*,QIs,autrui,Adj,Adj,
*,*,*,Adv,avant,PrA,PrA,
*,*,*,Pre,avec,PrA,PrA,
*,*,*,V.*,avenir,,,advenir
*,*,*,*,avoir2,,,avoir
