wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,syllabified,lemma,ref
1,1,1,bon,bon,1,Adj,Adj,C/V\,bon,"ChrPisTroisJug, v. 1"
2,1,2,seneschal,seneschal,1,N,N,C/V\.C/e\.'C/V\,sénéchal,"ChrPisTroisJug, v. 1"
3,1,3,de,de,1,Pre,Pre,C/(e)\,de,"ChrPisTroisJug, v. 1"
4,1,4,haynau,haynau,1,N,N,C/V\.'C/V\,Hainaut,"ChrPisTroisJug, v. 1"
5,1,5,",",",",1,Pnc,Pnc,,",","ChrPisTroisJug, v. 1"
6,1,6,preux,preux,1,Adj,Adj,C/V\,preux,"ChrPisTroisJug, v. 1"
7,1,7,et,et,1,Crd,Crd,/V\,et,"ChrPisTroisJug, v. 1"
8,1,8,sage,sage,1,Adj,Adj,'C/V\.C/(e)\,sage,"ChrPisTroisJug, v. 1"
9,1,9,",",",",1,Pnc,Pnc,,",","ChrPisTroisJug, v. 1"
10,2,1,vaillant,vaillant,2,Vprs,Vprs,C/V\.'C/V\,valoir,"ChrPisTroisJug, v. 2"
11,2,2,en,en,2,Pre,Pre,/V\,en,"ChrPisTroisJug, v. 2"
12,2,3,fais,fais,2,N,N,C/V\,fait,"ChrPisTroisJug, v. 2"
13,2,4,et,et,2,Crd,Crd,/V\,et,"ChrPisTroisJug, v. 2"
14,2,5,de,de,2,Pre,Pre,C/(e)\,de,"ChrPisTroisJug, v. 2"
15,2,6,gentil,gentil,2,Adj,Adj,C/V\.'C/V\,gentil,"ChrPisTroisJug, v. 2"
16,2,7,lignage,lignage,2,N,N,C/V\.'C/V\.C/(e)\,lignage,"ChrPisTroisJug, v. 2"
17,2,8,",",",",2,Pnc,Pnc,,",","ChrPisTroisJug, v. 2"
18,3,1,loyal,loyal,3,Adj,Adj,C/V\.'C/V\,loyal,"ChrPisTroisJug, v. 3"
19,3,2,",",",",3,Pnc,Pnc,,",","ChrPisTroisJug, v. 3"
20,3,3,courtois,courtois,3,Adj,Adj,C/V\.'C/V\,courtois,"ChrPisTroisJug, v. 3"
21,3,4,de,de,3,Pre,Pre,C/(e)\,de,"ChrPisTroisJug, v. 3"
22,3,5,fait,fait,3,N,N,C/V\,fait,"ChrPisTroisJug, v. 3"
23,3,6,et,et,3,Crd,Crd,/V\,et,"ChrPisTroisJug, v. 3"
24,3,7,de,de,3,Pre,Pre,C/(e)\,de,"ChrPisTroisJug, v. 3"
25,3,8,courage,courage,3,N,N,C/V\.'C/V\.C/(e)\,courage,"ChrPisTroisJug, v. 3"
26,3,9,",",",",3,Pnc,Pnc,,",","ChrPisTroisJug, v. 3"
27,4,1,duit,duit,4,Vpp,Vpp,C/V\,duire,"ChrPisTroisJug, v. 4"
28,4,2,et,et,4,Crd,Crd,/V\,et,"ChrPisTroisJug, v. 4"
29,4,3,appris,appris,4,Vpp,Vpp,/V\.'C/V\,apprendre,"ChrPisTroisJug, v. 4"
30,5,1,de,de,5,Pre,Pre,C/(e)\,de,"ChrPisTroisJug, v. 5"
31,5,2,tous,tous,5,QIs,QIs,C/V\,tout,"ChrPisTroisJug, v. 5"
32,5,3,les,les,5,Det,Det,C/V\,le,"ChrPisTroisJug, v. 5"
33,5,4,biens,biens,5,N,N,C/V\,bien,"ChrPisTroisJug, v. 5"
34,5,5,qui,qui,5,Qux,Qux,C/V\,qui,"ChrPisTroisJug, v. 5"
35,5,6,en,en,5,Pre,Pre,/V\,en,"ChrPisTroisJug, v. 5"
36,5,7,bon,bon,5,Adj,Adj,C/V\,bon,"ChrPisTroisJug, v. 5"
37,5,8,sont,sont,5,Vfin,Vfin,C/V\,être,"ChrPisTroisJug, v. 5"
38,5,9,compris,compris,5,Vpp,Vpp,C/V\.'C/V\,comprendre,"ChrPisTroisJug, v. 5"
39,5,10,",",",",5,Pnc,Pnc,,",","ChrPisTroisJug, v. 5"
40,6,1,par,par,6,Pre,Pre,C/V\,par,"ChrPisTroisJug, v. 6"
41,6,2,noblece,noblece,6,N,N,C/V\.'C/V\.C/(e)\,noblesse,"ChrPisTroisJug, v. 6"
42,6,3,de,de,6,Pre,Pre,C/(e)\,de,"ChrPisTroisJug, v. 6"
43,6,4,cuer,cuer,6,N,N,C/V\,coeur,"ChrPisTroisJug, v. 6"
44,6,5,duis,duis,6,Vpp,Vpp,C/V\,duire,"ChrPisTroisJug, v. 6"
45,6,6,et,et,6,Crd,Crd,/V\,et,"ChrPisTroisJug, v. 6"
46,6,7,appris,appris,6,Vpp,Vpp,/V\.'C/V\,apprendre,"ChrPisTroisJug, v. 6"
47,7,1,es,es,7,Pre+Det,Pre+Det,/V\,en.le,"ChrPisTroisJug, v. 7"
48,7,2,las,las,7,N,N,C/V\,lacs,"ChrPisTroisJug, v. 7"
49,7,3,d',d',7,Pre,Pre,C/\,de,"ChrPisTroisJug, v. 7"
50,7,4,amours,amours,7,N,N,/V\.'C/V\,amour,"ChrPisTroisJug, v. 7"
51,7,5,pour,pour,7,Pre,Pre,C/V\,pour,"ChrPisTroisJug, v. 7"
52,7,6,accroistre,accroistre,7,Vinf,Vinf,/V\.'C/V\.C/(e)\,accroître,"ChrPisTroisJug, v. 7"
53,7,7,le,le,7,Det,Det,C/(e)\,le,"ChrPisTroisJug, v. 7"
54,7,8,pris,pris,7,N,N,C/V\,prix,"ChrPisTroisJug, v. 7"
55,8,1,de,de,8,Pre,Pre,C/(e)\,de,"ChrPisTroisJug, v. 8"
56,8,2,vo,vo,8,Det,Det,C/V\,votre,"ChrPisTroisJug, v. 8"
57,8,3,noblece,noblece,8,N,N,C/V\.'C/V\.C/(e)\,noblesse,"ChrPisTroisJug, v. 8"
58,8,4,",",",",8,Pnc,Pnc,,",","ChrPisTroisJug, v. 8"
59,9,1,sage,sage,9,Adj,Adj,'C/V\.C/(e)\,sage,"ChrPisTroisJug, v. 9"
60,9,2,a,a,9,Pre,Pre,/V\,à,"ChrPisTroisJug, v. 9"
61,9,3,juger,juger,9,Vinf,Vinf,C/V\.'C/V\,juger,"ChrPisTroisJug, v. 9"
62,9,4,du,du,9,Pre+Det,Pre+Det,C/V\,de.le,"ChrPisTroisJug, v. 9"
63,9,5,mal,mal,9,N,N,C/V\,mal,"ChrPisTroisJug, v. 9"
64,9,6,d',d',9,Pre,Pre,C/\,de,"ChrPisTroisJug, v. 9"
