wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,syllabified,lemma
1,1,1,or,or,1,Adv,Adv,/V\,or
2,1,2,escoutez,escoutez,1,Vfin,Vfin,/V\.C/V\.'C/V\,écouter
3,1,3,une,une,1,QIs,QIs,'/V\.C/(e)\,un
4,1,4,merveille,merveille,1,N,N,C/V\.'C/V\.C/(e)\,merveille
5,2,1,-,-,2,Pnc,Pnc,,-
6,2,2,onques,onques,2,Adv,Adv,'/V\.C/e\,onques
7,2,3,n',n',2,Neg,Neg$$,C/\,ne
8,2,4,oïtes,oïtes,2,Vfin,Vfin,/V\.'C/V\.C/e\,ouïr
9,2,5,sa,sa,2,Det,Det,C/V\,son
10,2,6,pareille,pareille,2,Adj,Adj,C/V\.'C/V\.C/(e)\,pareil
11,2,7,-,-,2,Pnc,Pnc,,-
12,3,1,que,que,3,Qux,Qux,C/(e)\,que
13,3,2,je,je,3,Prn,Prn$,C/(e)\,je
14,3,3,vos,vos,3,Prn,Prn$$,C/V\,vous
15,3,4,veil,veil,3,Vfin,Vfin,C/V\,vouloir
16,3,5,dire,dire,3,Vinf,Vinf,'C/V\.C/(e)\,dire
17,3,6,et,et,3,Crd,Crd,/V\,et
18,3,7,conter,conter,3,Vinf,Vinf,C/V\.'C/V\,conter
19,3,8,.,.,3,Pnc,Pnc,,.
20,4,1,or,or,4,Adv,Adv,/V\,or
21,4,2,metez,metez,4,Vfin,Vfin,C/V\.'C/V\,mettre
22,4,3,peine,peine,4,N,N,'C/V\.C/(e)\,peine
23,4,4,a,a,4,Pre,Pre,/V\,à
24,4,5,l',l',4,Det,Det,C/\,le
25,4,6,escouter,escouter,4,Vinf,Vinf,/V\.C/V\.'C/V\,écouter
26,4,7,:,:,4,Pnc,Pnc,,:
27,5,1,parrolle,parrolle,5,N,N,C/V\.'C/V\.C/(e)\,parole
28,5,2,qui,qui,5,Qux,Qux,C/V\,qui
29,5,3,n',n',5,Neg,Neg$$,C/\,ne
30,5,4,est,est,5,Vfin,Vfin,/V\,être
31,5,5,entendue,entendue,5,Vpp,Vpp,/V\.C/V\.'C/V\./(e)\,entendre
32,5,6,",",",",5,Pnc,Pnc,,","
33,6,1,sachiez,sachiez,6,Vfin,Vfin,C/V\.'C/V\,savoir
34,6,2,en,en,6,Pre,Pre,/V\,en
35,6,3,fin,fin,6,N,N,C/V\,fin
36,6,4,qu',qu',6,Sub,Sub,C/\,que
37,6,5,el,el,6,Prn,Prn$,/V\,elle
38,6,6,est,est,6,Vfin,Vfin,/V\,être
39,6,7,perdue,perdue,6,Vpp,Vpp,C/V\.'C/V\./(e)\,perdre
40,6,8,!,!,6,Pnc,Pnc,,!
41,7,1,a,a,7,Pre,Pre,/V\,à
42,7,2,abevile,abevile,7,N,N,/V\.C/e\.'C/V\.C/(e)\,Abbeville
43,7,3,ot,ot,7,Vfin,Vfin,/V\,avoir
44,7,4,un,un,7,QIs,QIs,/V\,un
45,7,5,bochier,bochier,7,N,N,C/V\.'C/V\,boucher
46,7,6,.,.,7,Pnc,Pnc,,.
47,8,1,molt,molt,8,QIs,QIs,C/V\,moult
48,8,2,l',l',8,Prn,Prn$$,C/\,le
49,8,3,avoient,avoient,8,Vfin,Vfin,/V\.'C/V\./e\,avoir
50,8,4,si,si,8,Det,Det,C/V\,son
51,8,5,voisin,voisin,8,N,N,C/V\.'C/V\,voisin
52,8,6,chier,chier,8,Adj,Adj,C/V\,cher
53,8,7,:,:,8,Pnc,Pnc,,:
54,9,1,n',n',9,Neg,Neg$$,C/\,ne
55,9,2,estoit,estoit,9,Vfin,Vfin,/V\.'C/V\,être
56,9,3,pas,pas,9,Neg,Neg,C/V\,pas
57,9,4,fel,fel,9,Adj,Adj,C/V\,félon
58,9,5,ne,ne,9,Crd,Crd,C/(e)\,ne
59,9,6,mesdisant,mesdisant,9,Vprs,Vprs,C/V\.C/V\.'C/V\,médire
60,9,7,",",",",9,Pnc,Pnc,,","
61,10,1,més,més,10,Crd,Crd,C/V\,mais
62,10,2,cortois,cortois,10,Adj,Adj,C/V\.'C/V\,courtois
63,10,3,",",",",10,Pnc,Pnc,,","
64,10,4,sages,sages,10,Adj,Adj,'C/V\.C/e\,sage
65,10,5,et,et,10,Crd,Crd,/V\,et
66,10,6,vaillant,vaillant,10,Vprs,Vprs,C/V\.'C/V\,valoir
67,10,7,",",",",10,Pnc,Pnc,,","
68,11,1,et,et,11,Crd,Crd,/V\,et
69,11,2,leaus,leaus,11,Adj,Adj,C/(V)\.'/V\,loyal
70,11,3,hom,hom,11,N,N,/V\,homme
71,11,4,de,de,11,Pre,Pre,C/(e)\,de
72,11,5,son,son,11,Det,Det,C/V\,son
73,11,6,mestier,mestier,11,N,N,C/V\.'C/V\,métier
74,11,7,;,;,11,Pnc,Pnc,,;
75,12,1,et,et,12,Crd,Crd,/V\,et
76,12,2,s',s',12,Adv,Adv,C/\,si
77,12,3,avoit,avoit,12,Vfin,Vfin,/V\.'C/V\,avoir
78,12,4,sovent,sovent,12,Adv,Adv,C/V\.'C/V\,souvent
79,12,5,grant,grant,12,Adj,Adj,C/V\,grand
80,12,6,mestier,mestier,12,N,N,C/V\.'C/V\,métier
81,13,1,ses,ses,13,Det,Det,C/V\,son
82,13,2,povres,povres,13,Adj,Adj,'C/V\.C/e\,pauvre
83,13,3,voisins,voisins,13,N,N,C/V\.'C/V\,voisin
84,13,4,soufreiteus,soufreiteus,13,Adj,Adj,C/V\.C/V\.'C/V\,souffreteux
85,13,5,:,:,13,Pnc,Pnc,,:
86,14,1,n',n',14,Neg,Neg$$,C/\,ne
87,14,2,iert,iert,14,Vfin,Vfin,/V\,être
88,14,3,pas,pas,14,Neg,Neg,C/V\,pas
89,14,4,aver,aver,14,Adj,Adj,/V\.'C/V\,avare
90,14,5,ne,ne,14,Crd,Crd,C/(e)\,ne
91,14,6,coveiteus,coveiteus,14,Adj,Adj,C/V\.C/V\.'C/V\,convoiteux
92,14,7,.,.,14,Pnc,Pnc,,.
93,15,1,a,a,15,Pre,Pre,/V\,à
94,15,2,feste,feste,15,N,N,'C/V\.C/(e)\,fête
95,15,3,seint,seint,15,Adj,Adj,C/V\,saint
96,15,4,martin,martin,15,N,N,C/V\.'C/V\,Martin
97,15,5,avint,avint,15,Vfin,Vfin,/V\.'C/V\,avenir
98,16,1,qu',qu',16,Sub,Sub,C/\,que
99,16,2,a,a,16,Pre,Pre,/V\,à
100,16,3,oisemont,oisemont,16,N,N,/V\.C/e\.'C/V\,Oisemont
101,16,4,au,au,16,Pre+Det,Pre+Det,/V\,à.le
102,16,5,marchié,marchié,16,N,N,C/V\.'C/V\,marché
103,16,6,vint,vint,16,Vfin,Vfin,C/V\,venir
104,17,1,le,le,17,Det,Det,C/(e)\,le
105,17,2,bouchier,bouchier,17,N,N,C/V\.'C/V\,boucher
106,17,3,bestes,bestes,17,N,N,'C/V\.C/e\,bête
107,17,4,acheter,acheter,17,Vinf,Vinf,/V\.C/e\.'C/V\,acheter
108,17,5,.,.,17,Pnc,Pnc,,.
109,18,1,més,més,18,Crd,Crd,C/V\,mais
110,18,2,n',n',18,Neg,Neg$$,C/\,ne
