wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified
1,1,1,adam,adam,NPR:suj:masc:sg,1,N,N,,/V\.'C/V\
2,1,2,sire,sire,NOM:suj:masc:sg,1,N,N,,'C/V\.C/(e)\
3,1,3,fourmé,fourmé,VER:pper:masc:sg,1,Vpp,Vpp,,C/V\.'C/V\
4,1,4,te,te,PRO:pers:obj:2:sg:unb,1,Prn,Prn$$,te,C/(e)\
5,1,5,ai,ai,VER:pres:1:sg,1,Vfin,Vfin,avoir,/V\
6,2,1,de,de,PRE,2,Pre,Pre,de,C/(e)\
7,2,2,ben,ben,ADV,2,Adv,Adv,bien,C/V\
8,2,3,le,le,PRO:pers:obj:3:masc:sg:unb,2,Prn,Prn$$,le,C/(e)\
9,2,4,sai,sai,VER:pres:1:sg,2,Vfin,Vfin,savoir,C/V\
10,3,1,je,je,PRO:pers:suj:1:sg:unb,3,Prn,Prn$,je,C/(e)\
11,3,2,te,te,PRO:pers:obj:2:sg:unb,3,Prn,Prn$$,te,C/(e)\
12,3,3,ai,ai,VER:pres:1:sg,3,Vfin,Vfin,avoir,/V\
13,3,4,fourmé,fourmé,VER:pper:masc:sg,3,Vpp,Vpp,,C/V\.'C/V\
14,3,5,a,a,PRE,3,Pre,Pre,à,/V\
15,3,6,mun,mun,DET:poss:obj:masc:sg,3,Det,Det,mon,C/V\
16,3,7,semblant,semblant,NOM:obj:masc:sg,3,N,N,,C/V\.'C/V\
17,4,1,a,a,PRE,5,Pre,Pre,à,/V\
18,4,2,ma,ma,DET:poss:obj:femi:sg,5,Det,Det,mon,C/V\
19,4,3,imagene,image,NOM:obj:femi:sg,5,N,N,,/V\.'C/V\.C/(e)\
20,4,4,t,t,PRO:pers:obj:2:sg:unb,5,Prn,Prn$$,te,C/\
21,4,5,ai,ai,VER:pres:1:sg,5,Vfin,Vfin,avoir,/V\
22,4,6,feit,feit,VER:pper:masc:sg,5,Vpp,Vpp,faire,C/V\
23,4,7,de,de,PRE,5,Pre,Pre,de,C/(e)\
24,4,8,terre,terre,NOM:obj:femi:sg,5,N,N,,'C/V\.C/(e)\
25,5,1,ne,ne,PROCON,6,Neg,Neg$$,ne,C/(e)\
26,5,2,moi,moi,PRO:pers:obj:1:sg:bet,6,Prn,Prn$$,moi,C/V\
27,5,3,devez,devez,VER:pres:2:sg,6,Vfin,Vfin,devoir2,C/V\.'C/V\
28,5,4,ja,ja,ADV,6,Adv,Adv,jà,C/V\
29,5,5,mais,mais,CON:coord,6,Adv,Adv,mais,C/V\
30,5,6,mover,mover,VER:infi,6,Vinf,Vinf,mouvoir,C/V\.'C/V\
31,5,7,guere,guere,NOM:obj:femi:sg,6,N,N,,'C/V\.C/(e)\
32,6,1,nen,nen,PROCON,7,Neg,Neg$$,ne,C/V\
33,6,2,frai,frai,VER:futu:1:sg,7,Vfin,Vfin,faire,C/V\
34,6,3,ge,ge,PRO:pers:suj:1:sg:unb,7,Prn,Prn%,je,C/(e)\
35,6,4,mais,mais,CON:coord,7,Crd,Crd,mais,C/V\
36,6,5,te,te,PRO:pers:obj:2:sg:unb,7,Prn,Prn$$,te,C/(e)\
37,6,6,crerrai,crerrai,VER:futu:1:sg,7,Vfin,Vfin,croire,C/V\.'C/V\
38,7,1,mun,mun,DET:poss:obj:masc:sg,8,Det,Det,mon,C/V\
39,7,2,creatur,creatur,NOM:obj:masc:sg,8,N,N,,C/V\.C/V\.'C/V\
40,7,3,oberai,oberai,VER:futu:1:sg,8,Vfin,Vfin,,/V\.C/(V)\./V\.'C/V\
41,8,1,je,je,PRO:pers:suj:1:sg:unb,9,Prn,Prn$,je,C/(e)\
42,8,2,t,t,PRO:pers:obj:2:sg:unb,9,Prn,Prn$$,te,C/\
43,8,3,ai,ai,VER:pres:1:sg,9,Vfin,Vfin,avoir,/V\
44,8,4,duné,duné,VER:pper:masc:sg,9,Vpp,Vpp,donner,C/V\.'C/V\
45,8,5,bon,bon,ADJ:obj:masc:sg,9,Adj,Adj,bon,C/V\
46,8,6,cumpainun,cumpainun,NOM:obj:masc:sg,9,N,N,,C/V\.C/V\.'C/V\
47,9,1,ce,ce,PRO:invar,10,Prn,Prn,ce,C/(e)\
48,9,2,est,est,VER:pres:3:sg,10,Vfin,Vfin,être,/V\
49,9,3,ta,ta,DET:poss:suj:femi:sg,10,Det,Det,ton2,C/V\
50,9,4,femme,femme,NOM:suj:femi:sg,10,N,N,,'C/V\.C/(e)\
51,9,5,eva,eva,NPR:suj:femi:sg,10,N,N,,'/V\.C/e\
52,9,6,a,a,VER:pres:3:sg,10,Vfin,Vfin,avoir,/V\
53,9,7,noun,noun,NOM:obj:masc:sg,10,N,N,,C/V\
54,10,1,ce,ce,PRO:invar,11,Prn,Prn,ce,C/(e)\
