wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,ref
1,1,1,Ens,ens,1_1,PrA,PrA,ens,/V\,"AlexisQ, quatrain 1, v. 1"
2,1,2,en,en,1_1,Pre,Pre,en,/V\,"AlexisQ, quatrain 1, v. 1"
3,1,3,l',l',1_1,Det,Det,le,C/\,"AlexisQ, quatrain 1, v. 1"
4,1,4,onneur,onneur,1_1,N,N,honneur,/V\.'C/V\,"AlexisQ, quatrain 1, v. 1"
5,1,5,de,de,1_1,Pre,Pre,de,C/(e)\,"AlexisQ, quatrain 1, v. 1"
6,1,6,Dieu,dieu,1_1,N,N,dieu,C/V\,"AlexisQ, quatrain 1, v. 1"
7,1,7,le,le,1_1,Det,Det,le,C/(e)\,"AlexisQ, quatrain 1, v. 1"
8,1,8,pére,pere,1_1,N,N,père,'C/V\.C/(e)\,"AlexisQ, quatrain 1, v. 1"
9,1,9,tout,tout,1_1,QIs,QIs,tout,C/V\,"AlexisQ, quatrain 1, v. 1"
10,1,10,puissant,puissant,1_1,Adj,Adj,puissant,C/V\.'C/V\,"AlexisQ, quatrain 1, v. 1"
11,1,11,",",",",1_1,Pnc,Pnc,",",,"AlexisQ, quatrain 1, v. 1"
12,2,1,Qui,qui,1_2,Qux,Qux,qui,C/V\,"AlexisQ, quatrain 1, v. 2"
13,2,2,nous,nous,1_2,Prn,Prn$$,nous,C/V\,"AlexisQ, quatrain 1, v. 2"
14,2,3,fourma,fourma,1_2,Vfin,Vfin,former,C/V\.'C/V\,"AlexisQ, quatrain 1, v. 2"
15,2,4,et,et,1_2,Crd,Crd,et,/V\,"AlexisQ, quatrain 1, v. 2"
16,2,5,fist,fist,1_2,Vfin,Vfin,faire,C/V\,"AlexisQ, quatrain 1, v. 2"
17,2,6,trestous,trestous,1_2,QIs,QIs,trèstout,C/V\.'C/V\,"AlexisQ, quatrain 1, v. 2"
18,2,7,a,a,1_2,Pre,Pre,à,/V\,"AlexisQ, quatrain 1, v. 2"
19,2,8,son,son,1_2,Det,Det,son,C/V\,"AlexisQ, quatrain 1, v. 2"
20,2,9,semblant,semblant,1_2,N,N,semblant,C/V\.'C/V\,"AlexisQ, quatrain 1, v. 2"
21,2,10,",",",",1_2,Pnc,Pnc,",",,"AlexisQ, quatrain 1, v. 2"
22,3,1,Vous,vous,1_3,Prn,Prn$$,vous,C/V\,"AlexisQ, quatrain 1, v. 3"
23,3,2,veul,veul,1_3,Vfin,Vfin,vouloir,C/V\,"AlexisQ, quatrain 1, v. 3"
24,3,3,je,je,1_3,Prn,Prn%,je,C/(e)\,"AlexisQ, quatrain 1, v. 3"
25,3,4,recorder,recorder,1_3,Vinf,Vinf,recorder,C/V\.C/V\.'C/V\,"AlexisQ, quatrain 1, v. 3"
26,3,5,une,une,1_3,QIs,QIs,un,'/V\.C/(e)\,"AlexisQ, quatrain 1, v. 3"
27,3,6,mervelle,mervelle,1_3,N,N,merveille,C/V\.'C/V\.C/(e)\,"AlexisQ, quatrain 1, v. 3"
28,3,7,grant,grant,1_3,Adj,Adj,grand,C/V\,"AlexisQ, quatrain 1, v. 3"
29,4,1,D',d',1_4,Pre,Pre,de,C/\,"AlexisQ, quatrain 1, v. 4"
30,4,2,un,un,1_4,QIs,QIs,un,/V\,"AlexisQ, quatrain 1, v. 4"
31,4,3,mout,mout,1_4,QIs,QIs,moult,C/V\,"AlexisQ, quatrain 1, v. 4"
32,4,4,vallant,vallant,1_4,Vprs,Vprs,valoir,C/V\.'C/V\,"AlexisQ, quatrain 1, v. 4"
