wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,ref
1,1,1,plaist,plaist,VER:pres:3:sg,1,Vfin,Vfin,plaire,C/V\,"AlexisAlO, v. 1"
2,1,2,vos,vos,PRO:pers:2:pl,1,Prn,Prn%,vous,C/V\,"AlexisAlO, v. 1"
3,1,3,a,a,PRE,1,Pre,Pre,à,/V\,"AlexisAlO, v. 1"
4,1,4,escolteir,escolteir,VER:infi,1,Vinf,Vinf,écouter,/V\.C/V\.'C/V\,"AlexisAlO, v. 1"
5,1,5,d',d',PRE,1,Pre,Pre,de,C/\,"AlexisAlO, v. 1"
6,1,6,on,on,DET:ndf:obj:masc:sg,1,QIs,QIs,un,/V\,"AlexisAlO, v. 1"
7,1,7,saint,saint,ADJ:obj:masc:sg,1,Adj,Adj,saint,C/V\,"AlexisAlO, v. 1"
8,1,8,homme,homme,NOM:obj:masc:sg,1,N,N,homme,'/V\.C/(e)\,"AlexisAlO, v. 1"
9,1,9,la,la,DET:def:obj:femi:sg,1,Det,Det,le,C/V\,"AlexisAlO, v. 1"
10,1,10,geste,geste,NOM:obj:femi:sg,1,N,N,geste,'C/V\.C/(e)\,"AlexisAlO, v. 1"
11,2,1,la,la,DET:def:suj:femi:sg,2,Det,Det,le,C/V\,"AlexisAlO, v. 2"
12,2,2,cui,cui,PROCON,2,Qux,Qux,qui,C/V\,"AlexisAlO, v. 2"
13,2,3,vie,vie,NOM:suj:femi:sg,2,N,N,vie,'C/V\./(e)\,"AlexisAlO, v. 2"
14,2,4,fut,fut,VER:simp:3:sg,2,Vfin,Vfin,être,C/V\,"AlexisAlO, v. 2"
15,2,5,tant,tant,ADV,2,QIs,QIs,tant,C/V\,"AlexisAlO, v. 2"
16,2,6,et,et,CON:coord,2,Crd,Crd,et,/V\,"AlexisAlO, v. 2"
17,2,7,saintisme,saintisme,ADJ:suj:femi:sg,2,Adj,Adj,saintisme,C/V\.'C/V\.C/(e)\,"AlexisAlO, v. 2"
18,2,8,et,et,CON:coord,2,Crd,Crd,et,/V\,"AlexisAlO, v. 2"
19,2,9,oneste,oneste,ADJ:suj:femi:sg,2,Adj,Adj,honnête,/V\.'C/V\.C/(e)\,"AlexisAlO, v. 2"
20,3,1,k,k,PROCON,3,Sub,Sub,que,C/\,"AlexisAlO, v. 3"
21,3,2,aprés,aprés,PRE,3,PrA,PrA,après,/V\.'C/V\,"AlexisAlO, v. 3"
22,3,3,la,la,DET:def:obj:femi:sg,3,Det,Det,le,C/V\,"AlexisAlO, v. 3"
23,3,4,morteil,morteil,ADJ:obj:femi:sg,3,Adj,Adj,mortel,C/V\.'C/V\,"AlexisAlO, v. 3"
24,3,5,vie,vie,NOM:obj:femi:sg,3,N,N,vie,'C/V\./(e)\,"AlexisAlO, v. 3"
25,3,6,en,en,PRO:clit,3,Prn,Prn$$,en,/V\,"AlexisAlO, v. 3"
26,3,7,conquist,conquist,VER:simp:3:sg,3,Vfin,Vfin,conquérir,C/V\.'C/V\,"AlexisAlO, v. 3"
27,3,8,la,la,DET:def:obj:femi:sg,3,Det,Det,le,C/V\,"AlexisAlO, v. 3"
28,3,9,celeste,celeste,ADJ:obj:femi:sg,3,Adj,Adj,céleste,C/V\.'C/V\.C/(e)\,"AlexisAlO, v. 3"
29,4,1,cil,cil,DET:demo:suj:masc:sg,4,Dem,Dem,cil,C/V\,"AlexisAlO, v. 4"
30,4,2,bor,bor,NOM:suj:masc:sg,4,Adv,Adv,bor,C/V\,"AlexisAlO, v. 4"
31,4,3,soffrit,soffrit,VER:simp:3:sg,4,Vfin,Vfin,souffrir,C/V\.'C/V\,"AlexisAlO, v. 4"
32,4,4,por,por,PRE,4,Pre,Pre,pour,C/V\,"AlexisAlO, v. 4"
33,4,5,deu,deu,NOM:obj:masc:sg,4,N,N,dieu,C/V\,"AlexisAlO, v. 4"
34,4,6,del,del,PREDET:de:obj:masc:sg,4,Pre+Det,Pre+Det,de.le,C/V\,"AlexisAlO, v. 4"
35,4,7,secle,secle,NOM:obj:masc:sg,4,N,N,siècle,'C/V\.C/(e)\,"AlexisAlO, v. 4"
36,4,8,la,la,DET:def:obj:femi:sg,4,Det,Det,le,C/V\,"AlexisAlO, v. 4"
37,4,9,moleste,moleste,NOM:obj:femi:sg,4,N,N,moleste,C/V\.'C/V\.C/(e)\,"AlexisAlO, v. 4"
38,5,1,povreteit,povreteit,NOM:obj:femi:sg,5,N,N,pauvreté,C/V\.C/e\.'C/V\,"AlexisAlO, v. 5"
39,5,2,et,et,CON:coord,5,Crd,Crd,et,/V\,"AlexisAlO, v. 5"
40,5,3,mesaise,mesaise,NOM:obj:femi:sg,5,N,N,mésaise,C/V\.'C/V\.C/(e)\,"AlexisAlO, v. 5"
41,5,4,fain,fain,NOM:obj:femi:sg,5,N,N,faim,C/V\,"AlexisAlO, v. 5"
42,5,5,et,et,CON:coord,5,Crd,Crd,et,/V\,"AlexisAlO, v. 5"
43,5,6,soif,soif,NOM:obj:femi:sg,5,N,N,soif,C/V\,"AlexisAlO, v. 5"
44,5,7,et,et,CON:coord,5,Crd,Crd,et,/V\,"AlexisAlO, v. 5"
45,5,8,tempeste,tempeste,NOM:obj:femi:sg,5,N,N,tempête,C/V\.'C/V\.C/(e)\,"AlexisAlO, v. 5"
46,6,1,de,de,PRE,6,Pre,Pre,de,C/(e)\,"AlexisAlO, v. 6"
47,6,2,cui,cui,PROCON,6,Qux,Qux,qui,C/V\,"AlexisAlO, v. 6"
48,6,3,or,or,ADV,6,Adv,Adv,or,/V\,"AlexisAlO, v. 6"
49,6,4,funt,funt,VER:pres:3:pl,6,Vfin,Vfin,faire,C/V\,"AlexisAlO, v. 6"
50,6,5,en,en,PREDET:en:obj:masc:sg,6,Pre,Pre,en,/V\,"AlexisAlO, v. 6"
51,6,6,ciel,ciel,NOM:obj:masc:sg,6,N,N,ciel,C/V\,"AlexisAlO, v. 6"
52,6,7,li,li,DET:def:suj:masc:pl,6,Det,Det,le,C/V\,"AlexisAlO, v. 6"
53,6,8,saint,saint,ADJ:suj:masc:pl,6,Adj,Adj,saint,C/V\,"AlexisAlO, v. 6"
