wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified,ref
1,1,1,or,or,ADV,1,Adv,Adv,or,/V\,"AmAm, v. 1"
2,1,2,entendez,entendez,VER:impe:2:pl,1,Vfin,Vfin,entendre,/V\.C/V\.'C/V\,"AmAm, v. 1"
3,1,3,seignor,seignor,NOM:suj:masc:pl,1,N,N,seigneur,C/V\.'C/V\,"AmAm, v. 1"
4,1,4,gentil,gentil,ADJ:suj:masc:pl,1,Adj,Adj,gentil,C/V\.'C/V\,"AmAm, v. 1"
5,1,5,baron,baron,NOM:suj:masc:pl,1,N,N,baron,C/V\.'C/V\,"AmAm, v. 1"
6,2,1,que,que,PROCON,2,Sub,Sub,que,C/(e)\,"AmAm, v. 2"
7,2,2,deus,deus,NOM:suj:masc:sg,2,N,N,dieu,C/V\,"AmAm, v. 2"
8,2,3,de,de,PRE,2,Pre,Pre,de,C/(e)\,"AmAm, v. 2"
9,2,4,gloire,gloire,NOM:obj:femi:sg,2,N,N,gloire,'C/V\.C/(e)\,"AmAm, v. 2"
10,2,5,voz,voz,PRO:pers:2:pl,2,Prn,Prn$$,vous,C/V\,"AmAm, v. 2"
11,2,6,face,face,VER:subp:3:sg,2,Vfin,Vfin,faire,'C/V\.C/(e)\,"AmAm, v. 2"
12,2,7,vrai,vrai,ADJ:obj:masc:sg,2,Adj,Adj,vrai,C/V\,"AmAm, v. 2"
13,2,8,pardon,pardon,NOM:obj:masc:sg,2,N,N,pardon,C/V\.'C/V\,"AmAm, v. 2"
14,3,1,de,de,PRE,3,Pre,Pre,de,C/(e)\,"AmAm, v. 3"
15,3,2,tel,tel,ADJ:obj:masc:sg,3,Adj,Adj,tel,C/V\,"AmAm, v. 3"
16,3,3,barnaige,barnaige,NOM:obj:masc:sg,3,N,N,barnage,C/V\.'C/V\.C/(e)\,"AmAm, v. 3"
17,3,4,doit,doit,VER:pres:3:sg,3,Vfin,Vfin,devoir,C/V\,"AmAm, v. 3"
18,3,5,on,on,PRO:invar,3,Prn,Prn%,on,/V\,"AmAm, v. 3"
19,3,6,dire,dire,VER:infi,3,Vinf,Vinf,dire,'C/V\.C/(e)\,"AmAm, v. 3"
20,3,7,chanson,chanson,NOM:obj:femi:sg,3,N,N,chanson,C/V\.'C/V\,"AmAm, v. 3"
21,4,1,que,que,PROCON,4,Qux,Qux,que,C/(e)\,"AmAm, v. 4"
22,4,2,ne,ne,PRO:clit,4,Neg,Neg$$,ne,C/(e)\,"AmAm, v. 4"
23,4,3,soit,soit,VER:subp:3:sg,4,Vfin,Vfin,être,C/V\,"AmAm, v. 4"
24,4,4,mie,mie,ADV,4,Neg,Neg,mie,'C/V\./(e)\,"AmAm, v. 4"
25,4,5,de,de,PRE,4,Pre,Pre,de,C/(e)\,"AmAm, v. 4"
26,4,6,noient,noient,ADV,4,Prn,Prn,néant,C/V\.'C/V\,"AmAm, v. 4"
27,4,7,la,la,DET:def:suj:femi:sg,4,Det,Det,le,C/V\,"AmAm, v. 4"
28,4,8,raison,raison,NOM:suj:femi:sg,4,N,N,raison,C/V\.'C/V\,"AmAm, v. 4"
29,5,1,ce,ce,PRO:invar,5,Prn,Prn$,ce,C/(e)\,"AmAm, v. 5"
30,5,2,n,n,PRO:clit,5,Neg,Neg$$,ne,C/\,"AmAm, v. 5"
31,5,3,est,est,VER:pres:3:sg,5,Vfin,Vfin,être,/V\,"AmAm, v. 5"
32,5,4,pas,pas,NOM:obj:masc:pl,5,Neg,Neg,pas,C/V\,"AmAm, v. 5"
33,5,5,fable,fable,NOM:suj:femi:sg,5,N,N,fable,'C/V\.C/(e)\,"AmAm, v. 5"
34,5,6,que,que,PROCON,5,Qux,Qux,que,C/(e)\,"AmAm, v. 5"
35,5,7,dire,dire,VER:infi,5,Vinf,Vinf,dire,'C/V\.C/(e)\,"AmAm, v. 5"
36,5,8,voz,voz,PRO:pers:2:pl,5,Prn,Prn$$,vous,C/V\,"AmAm, v. 5"
37,5,9,volons,volons,VER:pres:1:pl,5,Vfin,Vfin,vouloir,C/V\.'C/V\,"AmAm, v. 5"
38,6,1,ansoiz,ansoiz,ADV,6,Adv,Adv,ainçois,/V\.'C/V\,"AmAm, v. 6"
39,6,2,est,est,VER:pres:3:sg,6,Vfin,Vfin,être,/V\,"AmAm, v. 6"
40,6,3,voirs,voirs,ADJ:suj:masc:sg,6,Adj,Adj,voir,C/V\,"AmAm, v. 6"
41,6,4,autressi,autressi,ADV,6,Adv,Adv,autresi,/V\.C/e\.'C/V\,"AmAm, v. 6"
42,6,5,com,com,CON:subord,6,Sub,Sub,comme,C/V\,"AmAm, v. 6"
43,6,6,sermon,sermon,NOM:suj:masc:sg,6,N,N,sermon,C/V\.'C/V\,"AmAm, v. 6"
44,7,1,car,car,CON:coord,7,Crd,Crd,car,C/V\,"AmAm, v. 7"
45,7,2,plusors,plusors,DET:ind:obj:femi:pl,7,QIs,QIs,plusieurs,C/V\.'C/V\,"AmAm, v. 7"
46,7,3,gens,gens,NOM:obj:femi:pl,7,N,N,gent,C/V\,"AmAm, v. 7"
47,7,4,a,a,PRE,7,Pre,Pre,à,/V\,"AmAm, v. 7"
48,7,5,tesmoing,tesmoing,NOM:obj:masc:sg,7,N,N,témoin,C/V\.'C/V\,"AmAm, v. 7"
49,7,6,en,en,PRO:clit,7,Prn,Prn$$,en,/V\,"AmAm, v. 7"
50,7,7,traionz,traionz,VER:pres:1:pl,7,Vfin,Vfin,traire,C/V\.'C/V\,"AmAm, v. 7"
51,8,1,clers,clers,NOM:obj:masc:pl,8,N,N,clerc,C/V\,"AmAm, v. 8"
52,8,2,et,et,CON:coord,8,Crd,Crd,et,/V\,"AmAm, v. 8"
53,8,3,prevoires,prevoires,NOM:obj:masc:pl,8,N,N,provoire,C/V\.'C/V\.C/e\,"AmAm, v. 8"
