wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,syllabified,lemma,ref
1,1,1,Maint,maint,1,QIs,QIs,C/V\,maint,"Maillart, v. 1"
2,1,2,ont,ont,1,Vfin,Vfin,/V\,avoir,"Maillart, v. 1"
3,1,3,mis,mis,1,Vpp,Vpp,C/V\,mettre,"Maillart, v. 1"
4,1,4,leur,leur,1,Det,Det,C/V\,leur,"Maillart, v. 1"
5,1,5,temps,temps,1,N,N,C/V\,temps,"Maillart, v. 1"
6,1,6,et,et,1,Crd,Crd,/V\,et,"Maillart, v. 1"
7,1,7,leur,leur,1,Det,Det,C/V\,leur,"Maillart, v. 1"
8,1,8,cures,cures,1,N,N,'C/V\.C/e\,cure,"Maillart, v. 1"
9,2,1,En,en,2,Pre,Pre,/V\,en,"Maillart, v. 2"
10,2,2,fables,fables,2,N,N,'C/V\.C/e\,fable,"Maillart, v. 2"
11,2,3,dire,dire,2,Vinf,Vinf,'C/V\.C/(e)\,dire,"Maillart, v. 2"
12,2,4,et,et,2,Crd,Crd,/V\,et,"Maillart, v. 2"
13,2,5,aventures,aventures,2,N,N,/V\.C/V\.'C/V\.C/e\,aventure,"Maillart, v. 2"
14,2,6,;,;,2,Pnc,Pnc,,;,"Maillart, v. 2"
15,3,1,Li,li,3,Det,Det,C/V\,le,"Maillart, v. 3"
16,3,2,uns,uns,3,QIs,QIs,/V\,un,"Maillart, v. 3"
17,3,3,dit,dit,3,Vfin,Vfin,C/V\,dire,"Maillart, v. 3"
18,3,4,bourdes,bourdes,3,N,N,'C/V\.C/e\,bourde,"Maillart, v. 3"
19,3,5,",",",",3,Pnc,Pnc,,",","Maillart, v. 3"
20,3,6,l',l',3,Det,Det,C/\,le,"Maillart, v. 3"
21,3,7,autre,autre,3,Adj,Adj,'/V\.C/(e)\,autre,"Maillart, v. 3"
22,3,8,voir,voir,3,N,N,C/V\,voir,"Maillart, v. 3"
23,3,9,",",",",3,Pnc,Pnc,,",","Maillart, v. 3"
24,4,1,Si,si,4,Adv,Adv,C/V\,si,"Maillart, v. 4"
25,4,2,com,com,4,Sub,Sub,C/V\,comme,"Maillart, v. 4"
26,4,3,il,il,4,Prn,Prn$,/V\,il,"Maillart, v. 4"
27,4,4,sevent,sevent,4,Vfin,Vfin,'C/V\.C/e\,savoir,"Maillart, v. 4"
28,4,5,concevoir,concevoir,4,Vinf,Vinf,C/V\.C/e\.'C/V\,concevoir,"Maillart, v. 4"
29,4,6,;,;,4,Pnc,Pnc,,;,"Maillart, v. 4"
30,5,1,Li,li,5,Det,Det,C/V\,le,"Maillart, v. 5"
31,5,2,uns,uns,5,QIs,QIs,/V\,un,"Maillart, v. 5"
32,5,3,de,de,5,Pre,Pre,C/(e)\,de,"Maillart, v. 5"
33,5,4,Gauvain,gauvain,5,N,N,C/V\.'C/V\,Gauvain,"Maillart, v. 5"
34,5,5,nous,nous,5,Prn,Prn$$,C/V\,nous,"Maillart, v. 5"
35,5,6,raconte,raconte,5,Vfin,Vfin,C/V\.'C/V\.C/(e)\,raconter,"Maillart, v. 5"
36,5,7,",",",",5,Pnc,Pnc,,",","Maillart, v. 5"
37,6,1,L',l',6,Det,Det,C/\,le,"Maillart, v. 6"
38,6,2,autre,autre,6,Adj,Adj,'/V\.C/(e)\,autre,"Maillart, v. 6"
39,6,3,de,de,6,Pre,Pre,C/(e)\,de,"Maillart, v. 6"
40,6,4,Tristan,tristan,6,N,N,C/V\.'C/V\,Tristan,"Maillart, v. 6"
41,6,5,fet,fet,6,Vfin,Vfin,C/V\,faire,"Maillart, v. 6"
42,6,6,son,son,6,Det,Det,C/V\,son,"Maillart, v. 6"
43,6,7,conte,conte,6,N,N,'C/V\.C/(e)\,conte,"Maillart, v. 6"
44,6,8,;,;,6,Pnc,Pnc,,;,"Maillart, v. 6"
45,7,1,Li,li,7,Det,Det,C/V\,le,"Maillart, v. 7"
46,7,2,uns,uns,7,QIs,QIs,/V\,un,"Maillart, v. 7"
47,7,3,d',d',7,Pre,Pre,C/\,de,"Maillart, v. 7"
48,7,4,Yaumont,yaumont,7,N,N,/V\.'C/V\,Yaumont,"Maillart, v. 7"
49,7,5,et,et,7,Crd,Crd,/V\,et,"Maillart, v. 7"
50,7,6,d',d',7,Pre,Pre,C/\,de,"Maillart, v. 7"
51,7,7,Agoulant,agoulant,7,N,N,/V\.C/V\.'C/V\,Agoulant,"Maillart, v. 7"
52,7,8,",",",",7,Pnc,Pnc,,",","Maillart, v. 7"
53,8,1,L',l',8,Det,Det,C/\,le,"Maillart, v. 8"
54,8,2,autre,autre,8,Adj,Adj,'/V\.C/(e)\,autre,"Maillart, v. 8"
55,8,3,d',d',8,Pre,Pre,C/\,de,"Maillart, v. 8"
56,8,4,Olivier,olivier,8,N,N,/V\.C/V\.'C/V\,Olivier,"Maillart, v. 8"
57,8,5,",",",",8,Pnc,Pnc,,",","Maillart, v. 8"
58,8,6,de,de,8,Pre,Pre,C/(e)\,de,"Maillart, v. 8"
59,8,7,Rollant,rollant,8,N,N,C/V\.'C/V\,Roland,"Maillart, v. 8"
60,8,8,",",",",8,Pnc,Pnc,,",","Maillart, v. 8"
61,9,1,De,de,9,Pre,Pre,C/(e)\,de,"Maillart, v. 9"
62,9,2,Perceval,perceval,9,N,N,C/V\.C/e\.'C/V\,Perceval,"Maillart, v. 9"
63,9,3,",",",",9,Pnc,Pnc,,",","Maillart, v. 9"
64,9,4,de,de,9,Pre,Pre,C/(e)\,de,"Maillart, v. 9"
65,9,5,Lancelot,lancelot,9,N,N,C/V\.C/e\.'C/V\,Lancelot,"Maillart, v. 9"
66,9,6,;,;,9,Pnc,Pnc,,;,"Maillart, v. 9"
67,10,1,De,de,10,Pre,Pre,C/(e)\,de,"Maillart, v. 10"
68,10,2,Robichon,robichon,10,N,N,C/V\.C/V\.'C/V\,Robichon,"Maillart, v. 10"
