wd_id,word,lemma,lemma_score,lex_id,textlineid,pos,syntag,syntag2,syllabified
1,CY,ci,8,cy,100001,ADV,Adv,Adv,C/V\
2,COMMENCE,commencer,8,commence,100001,VERB,Vfin,Vfin,C/V\.'C/V\.C/(e)\
3,LE,le,8,le,100002,DET,Det,Det,C/(e)\
4,LIVRE,livre,3,livre,100002,NOUN,N,N,'C/V\.C/(e)\
5,DE,de,8,de,100002,ADP,Pre,Pre,C/(e)\
6,L',le,9,l',100002,DET,Det,Det,C/\
7,ADVISION,avision,6,advision,100002,NOUN,N,N,/V\.C/V\.C/{V}\.'/V\
8,CRISTINE,Christine,5,cristine,100002,PROPN,N,N,C/V\.'C/V\.C/(e)\
9,",",",",9,",",100002,PUNCT,Pnc,Pnc,
10,LEQUEL,lequel,9,lequel,100003,DET,Qux,Qux,C/V\.'C/V\
11,DIT,dire,8,dit,100003,VERB,Vpp,Vpp,C/V\
12,LIVRE,livre,3,livre,100003,NOUN,N,N,'C/V\.C/(e)\
13,EST,être,3,est,100003,VERB,Vfin,Vfin,/V\
14,PARTI,partir,8,parti,100003,VERB,Vpp,Vpp,C/V\.'C/V\
15,EN,en,8,en,100003,ADP,Pre,Pre,/V\
16,TROIS,trois,8,trois,100003,NUM,QIs,QIs,C/V\
17,PARTIES,partie,8,parties,100003,NOUN,N,N,C/V\.'C/V\./e\
18,La,le,8,la,100004,DET,Det,Det,C/V\
19,premiere,premier,4,premiere,100004,ADJ,Adj,Adj,C/V\.C/<V>\.'/V\.C/(e)\
20,partie,partie,8,partie,100004,NOUN,N,N,C/V\.'C/V\./(e)\
21,parle,parler,8,parle,100004,VERB,Vfin,Vfin,'C/V\.C/(e)\
22,de,de,8,de,100004,ADP,Pre,Pre,C/(e)\
23,l',le,9,l',100004,DET,Det,Det,C/\
24,ymage,image,9,ymage,100004,NOUN,N,N,/V\.'C/V\.C/(e)\
25,du,de.le,8,du,100004,ADP.DET,Pre+Det,Pre+Det,C/V\
26,monde,monde,8,monde,100004,NOUN,N,N,'C/V\.C/(e)\
27,et,et,8,et,100004,CCONJ,Crd,Crd,/V\
28,les,le,8,les,100004,DET,Det,Det,C/V\
29,merveilles,merveille,9,merveilles,100004,NOUN,N,N,C/V\.'C/V\.C/e\
30,que,que,4,que,100005,PRON,Qux,Qux,C/(e)\
31,elle,elle,8,elle,100005,PRON,Prn,Prn$,'/V\.C/(e)\
32,y,y,3,y,100005,PRON,Prn,Prn$$,/V\
33,vid,voir,9,vid,100005,VERB,Vfin,Vfin,C/V\
34,.,.,9,.,100005,PUNCT,Pnc,Pnc,
35,La,le,8,la,100006,DET,Det,Det,C/V\
36,seconde,second,8,seconde,100006,ADJ,Adj,Adj,C/V\.'C/V\.C/(e)\
37,partie,partie,8,partie,100006,NOUN,N,N,C/V\.'C/V\./(e)\
38,parle,parler,8,parle,100006,VERB,Vfin,Vfin,'C/V\.C/(e)\
39,de,de,8,de,100006,ADP,Pre,Pre,C/(e)\
40,Dame,dame,8,dame,100006,NOUN,N,N,'C/V\.C/(e)\
41,Oppinion,opinion,9,oppinion,100006,NOUN,N,N,/V\.C/V\.C/{V}\.'/V\
42,et,et,8,et,100006,CCONJ,Crd,Crd,/V\
43,de,de,8,de,100006,ADP,Pre,Pre,C/(e)\
44,son,son,7,son,100006,DET,Det,Det,C/V\
45,ombre,ombre,3,ombre,100006,NOUN,N,N,'/V\.C/(e)\
46,.,.,9,.,100006,PUNCT,Pnc,Pnc,
47,La,le,8,la,100007,DET,Det,Det,C/V\
48,tierce,tiers,3,tierce,100007,ADJ,Adj,Adj,'C/V\.C/(e)\
49,partie,partie,8,partie,100007,NOUN,N,N,C/V\.'C/V\./(e)\
50,parle,parler,8,parle,100007,VERB,Vfin,Vfin,'C/V\.C/(e)\
51,de,de,8,de,100007,ADP,Pre,Pre,C/(e)\
52,confort,confort,9,confort,100007,NOUN,N,N,C/V\.'C/V\
53,de,de,8,de,100007,ADP,Pre,Pre,C/(e)\
54,Philozophie,philosophie,5,philozophie,100007,NOUN,N,N,C/V\.C/V\.C/V\.'C/V\./(e)\
55,.,.,9,.,100007,PUNCT,Pnc,Pnc,
56,PREMIEREMENT,premièrement,6,premierement,101001,ADV,Adv,Adv,C/V\.C/V\.C/e\.'C/V\
57,DIT,dire,8,dit,101001,VERB,Vfin,Vfin,C/V\
58,CRISTINE,Christine,5,cristine,101001,PROPN,N,N,C/V\.'C/V\.C/(e)\
59,COMMENT,comment,8,comment,101001,ADV,Qux,Qux,C/V\.'C/V\
60,SON,son,7,son,101001,DET,Det,Det,C/V\
61,ESPERIT,esprit,5,esperit,101001,NOUN,N,N,/V\.C/e\.'C/V\
62,FU,être,8,fu,101001,VERB,Vfin,Vfin,C/V\
63,TRANSPORTÉ,transporter,6,transporté,101001,VERB,Vpp,Vpp,C/V\.C/V\.'C/V\
64,Ja,jà,9,ja,101002,ADV,Adv,Adv,C/V\
65,passé,passer,8,passé,101002,VERB,Vpp,Vpp,C/V\.'C/V\
66,avoye,avoir,3,avoye,101002,VERB,Vfin,Vfin,/V\.'C/V\./(e)\
67,la,le,8,la,101002,DET,Det,Det,C/V\
68,moitié,moitié,9,moitié,101002,NOUN,N,N,C/V\.'C/V\
69,du,de.le,8,du,101002,ADP.DET,Pre+Det,Pre+Det,C/V\
70,chemin,chemin,8,chemin,101002,NOUN,N,N,C/V\.'C/V\
71,de,de,8,de,101002,ADP,Pre,Pre,C/(e)\
72,mon,mon,7,mon,101002,DET,Det,Det,C/V\
73,pelerinage,pèlerinage,9,pelerinage,101002,NOUN,N,N,C/V\.C/e\.C/V\.'C/V\.C/(e)\
74,",",",",9,",",101002,PUNCT,Pnc,Pnc,
75,comme,comme,9,comme,101002,SCONJ,Sub,Sub,'C/V\.C/(e)\
76,ung,un,9,ung,101003,DET,QIs,QIs,/V\
77,jour,jour,9,jour,101003,NOUN,N,N,C/V\
78,sur,sur,8,sur,101003,ADP,PrA,PrA,C/V\
79,l',le,4,l',101003,DET,Det,Det,C/\
80,avesprir,avesprir,6,avesprir,101003,VERB,Vinf,Vinf,/V\.C/V\.'C/V\
81,me,me,5,me,101003,PRON,Prn,Prn$$,C/(e)\
82,trouvasse,trouver,9,trouvasse,101003,VERB,Vfin,Vfin,C/V\.'C/V\.C/(e)\
83,pour,pour,9,pour,101003,ADP,Pre,Pre,C/V\
84,la,le,8,la,101003,DET,Det,Det,C/V\
85,longue,long,8,longue,101003,ADJ,Adj,Adj,'C/V\.C/(e)\
86,voie,voie,8,voie,101003,NOUN,N,N,'C/V\./(e)\
87,lassee,lasser,8,lassee,101003,VERB,Vpp,Vpp,C/V\.'C/V\./(e)\
88,et,et,8,et,101003,CCONJ,Crd,Crd,/V\
89,desireuse,désireux,9,desireuse,101004,ADJ,Adj,Adj,C/V\.C/V\.'C/V\.C/(e)\
90,de,de,8,de,101004,ADP,Pre,Pre,C/(e)\
91,heberge,héberge,8,heberge,101004,NOUN,N,N,C/V\.'C/V\.C/(e)\
92,.,.,9,.,101004,PUNCT,Pnc,Pnc,
93,Et,et,8,et,101004,CCONJ,Crd,Crd,/V\
94,comme,comme,9,comme,101004,SCONJ,Sub,Sub,'C/V\.C/(e)\
95,je,je,9,je,101004,PRON,Prn,Prn$,C/(e)\
96,y,y,3,y,101004,PRON,Prn,Prn$$,/V\
97,fusse,être,9,fusse,101004,VERB,Vfin,Vfin,'C/V\.C/(e)\
98,parvenue,parvenir,9,parvenue,101004,VERB,Vpp,Vpp,C/V\.C/e\.'C/V\./(e)\
99,par,par,8,par,101004,ADP,Pre,Pre,C/V\
100,appetit,appétit,9,appetit,101004,NOUN,N,N,/V\.C/e\.'C/V\
101,de,de,8,de,101004,ADP,Pre,Pre,C/(e)\
102,repos,repos,8,repos,101005,NOUN,N,N,C/V\.'C/V\
103,",",",",9,",",101005,PUNCT,Pnc,Pnc,
104,aprés,après,8,aprés,101005,ADP,PrA,PrA,/V\.'C/V\
105,la,le,8,la,101005,DET,Det,Det,C/V\
106,refection,réfection,9,refection,101005,NOUN,N,N,C/V\.C/V\.C/{V}\.'/V\
107,neccessaire,nécessaire,8,neccessaire,101005,ADJ,Adj,Adj,C/V\.C/V\.'C/V\.C/(e)\
108,a,à,8,a,101005,ADP,Pre,Pre,/V\
109,vie,vie,3,vie,101005,NOUN,N,N,'C/V\./(e)\
110,humaine,humain,9,humaine,101005,ADJ,Adj,Adj,/V\.'C/V\.C/(e)\
111,prise,prendre,3,prise,101005,VERB,Vpp,Vpp,'C/V\.C/(e)\
112,et,et,8,et,101005,CCONJ,Crd,Crd,/V\
113,receue,recevoir,9,receue,101005,VERB,Vpp,Vpp,C/V\.C/(V)\.'/V\./(e)\
114,",",",",9,",",101005,PUNCT,Pnc,Pnc,
115,dites,dire,8,dites,101006,VERB,Vpp,Vpp,'C/V\.C/e\
116,graces,grâce,9,graces,101006,NOUN,N,N,'C/V\.C/e\
117,",",",",9,",",101006,PUNCT,Pnc,Pnc,
118,et,et,8,et,101006,CCONJ,Crd,Crd,/V\
119,me,me,5,me,101006,PRON,Prn,Prn$$,C/(e)\
