wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,ref
1,1,1,a,a,1,Pre,Pre,à,/V\,"HaimBar, v. 1"
2,1,2,ceste,ceste,1,Dem,Dem,cist,'C/V\.C/(e)\,"HaimBar, v. 1"
3,1,3,fable,fable,1,N,N,fable,'C/V\.C/(e)\,"HaimBar, v. 1"
4,1,4,di,di,1,Vfin,Vfin,dire,C/V\,"HaimBar, v. 1"
5,1,5,",",",",1,Pnc,Pnc,",",,"HaimBar, v. 1"
6,1,6,baron,baron,1,N,N,baron,C/V\.'C/V\,"HaimBar, v. 1"
7,1,7,",",",",1,Pnc,Pnc,",",,"HaimBar, v. 1"
8,2,1,que,que,2,Sub,Sub,que,C/(e)\,"HaimBar, v. 2"
9,2,2,jadis,jadis,2,Adv,Adv,jadis,C/V\.'C/V\,"HaimBar, v. 2"
10,2,3,furent,furent,2,Vfin,Vfin,être,'C/V\.C/e\,"HaimBar, v. 2"
11,2,4,troi,troi,2,QIs,QIs,trois,C/V\,"HaimBar, v. 2"
12,2,5,larron,larron,2,N,N,larron,C/V\.'C/V\,"HaimBar, v. 2"
13,3,1,d',d',3,Pre,Pre,de,C/\,"HaimBar, v. 3"
14,3,2,une,une,3,QIs,QIs,un,'/V\.C/(e)\,"HaimBar, v. 3"
15,3,3,compaignie,compaignie,3,N,N,compagnie,C/V\.C/V\.'C/V\./(e)\,"HaimBar, v. 3"
16,3,4,ensanblé,ensanblé,3,Vpp,Vpp,ensembler,/V\.C/V\.'C/V\,"HaimBar, v. 3"
17,3,5,;,;,3,Pnc,Pnc,;,,"HaimBar, v. 3"
18,4,1,maint,maint,4,QIs,QIs,maint,C/V\,"HaimBar, v. 4"
19,4,2,avoir,avoir,4,N,N,avoir,/V\.'C/V\,"HaimBar, v. 4"
20,4,3,avoient,avoient,4,Vfin,Vfin,avoir,/V\.'C/V\./e\,"HaimBar, v. 4"
21,4,4,anblé,anblé,4,Vpp,Vpp,embler,/V\.'C/V\,"HaimBar, v. 4"
22,5,1,as,as,5,Pre+Det,Pre+Det,à.le,/V\,"HaimBar, v. 5"
23,5,2,genz,genz,5,N,N,gent,C/V\,"HaimBar, v. 5"
24,5,3,du,du,5,Pre+Det,Pre+Det,de.le,C/V\,"HaimBar, v. 5"
25,5,4,siecle,siecle,5,N,N,siècle,'C/V\.C/(e)\,"HaimBar, v. 5"
26,5,5,et,et,5,Crd,Crd,et,/V\,"HaimBar, v. 5"
27,5,6,as,as,5,Pre+Det,Pre+Det,à.le,/V\,"HaimBar, v. 5"
28,5,7,convers,convers,5,N,N,convers,C/V\.'C/V\,"HaimBar, v. 5"
29,5,8,.,.,5,Pnc,Pnc,.,,"HaimBar, v. 5"
30,6,1,li,li,6,Det,Det,le,C/V\,"HaimBar, v. 6"
31,6,2,uns,uns,6,QIs,QIs,un,/V\,"HaimBar, v. 6"
32,6,3,avoit,avoit,6,Vfin,Vfin,avoir,/V\.'C/V\,"HaimBar, v. 6"
33,6,4,a,a,6,Pre,Pre,à,/V\,"HaimBar, v. 6"
34,6,5,non,non,6,N,N,nom,C/V\,"HaimBar, v. 6"
35,6,6,travers,travers,6,N,N,Travers,C/V\.'C/V\,"HaimBar, v. 6"
36,6,7,;,;,6,Pnc,Pnc,;,,"HaimBar, v. 6"
37,7,1,as,as,7,Pre+Det,Pre+Det,à.le,/V\,"HaimBar, v. 7"
38,7,2,autres,autres,7,Adj,Adj,autre,'/V\.C/e\,"HaimBar, v. 7"
39,7,3,deus,deus,7,QIs,QIs,deux,C/V\,"HaimBar, v. 7"
40,7,4,n',n',7,Neg,Neg$$,ne,C/\,"HaimBar, v. 7"
41,7,5,apartenoit,apartenoit,7,Vfin,Vfin,appartenir,/V\.C/V\.C/e\.'C/V\,"HaimBar, v. 7"
42,7,6,",",",",7,Pnc,Pnc,",",,"HaimBar, v. 7"
43,8,1,mais,mais,8,Crd,Crd,mais,C/V\,"HaimBar, v. 8"
44,8,2,lor,lor,8,Det,Det,leur,C/V\,"HaimBar, v. 8"
45,8,3,compaignie,compaignie,8,N,N,compagnie,C/V\.C/V\.'C/V\./(e)\,"HaimBar, v. 8"
46,8,4,tenoit,tenoit,8,Vfin,Vfin,tenir,C/V\.'C/V\,"HaimBar, v. 8"
47,8,5,.,.,8,Pnc,Pnc,.,,"HaimBar, v. 8"
48,9,1,li,li,9,Det,Det,le,C/V\,"HaimBar, v. 9"
49,9,2,autre,autre,9,Adj,Adj,autre,'/V\.C/(e)\,"HaimBar, v. 9"
50,9,3,dui,dui,9,QIs,QIs,deux,C/V\,"HaimBar, v. 9"
51,9,4,estoient,estoient,9,Vfin,Vfin,être,/V\.'C/V\./e\,"HaimBar, v. 9"
52,9,5,frere,frere,9,N,N,frère,'C/V\.C/(e)\,"HaimBar, v. 9"
53,9,6,",",",",9,Pnc,Pnc,",",,"HaimBar, v. 9"
54,10,1,s',s',10,Adv,Adv,si,C/\,"HaimBar, v. 10"
55,10,2,avoit,avoit,10,Vfin,Vfin,avoir,/V\.'C/V\,"HaimBar, v. 10"
56,10,3,esté,esté,10,Vpp,Vpp,être,/V\.'C/V\,"HaimBar, v. 10"
57,10,4,penduz,penduz,10,Vpp,Vpp,pendre,C/V\.'C/V\,"HaimBar, v. 10"
58,10,5,lor,lor,10,Det,Det,leur,C/V\,"HaimBar, v. 10"
59,10,6,pere,pere,10,N,N,père,'C/V\.C/(e)\,"HaimBar, v. 10"
