wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified
1,1,1,or,or,ADV,581,Adv,Adv,or2,/V\
2,1,2,a,a,VER:pres:3:sg,581,Vfin,Vfin,avoir,/V\
3,1,3,paines,paines,NOM:obj:femi:pl,581,N,N,,'C/V\.C/e\
4,1,4,or,or,ADV,581,Adv,Adv,or2,/V\
5,1,5,a,a,VER:pres:3:sg,581,Vfin,Vfin,avoir,/V\
6,1,6,anuis,anuis,NOM:obj:masc:pl,581,N,N,,/V\.'C/V\
7,2,1,or,or,ADV,582,Adv,Adv,or2,/V\
8,2,2,a,a,VER:pres:3:sg,582,Vfin,Vfin,avoir,/V\
9,2,3,maus,maus,ADJ:obj:masc:pl,582,Adj,Adj,mal2,C/V\
10,2,4,jours,jours,NOM:obj:masc:pl,582,N,N,,C/V\
11,2,5,et,et,CON:coord,582,Crd,Crd,et,/V\
12,2,6,males,males,ADJ:obj:femi:pl,582,Adj,Adj,mal2,'C/V\.C/e\
13,2,7,nuis,nuis,NOM:obj:femi:pl,582,N,N,,C/V\
14,3,1,or,or,ADV,583,Adv,Adv,or2,/V\
15,3,2,est,est,VER:pres:3:sg,583,Vfin,Vfin,être,/V\
16,3,3,povres,povres,ADJ:suj:masc:sg,583,Adj,Adj,pauvre,'C/V\.C/e\
17,3,4,ore,ore,ADV,583,Adv,Adv,or2,'/V\.C/(e)\
18,3,5,est,est,VER:pres:3:sg,583,Vfin,Vfin,être,/V\
19,3,6,mendis,mendis,ADJ:suj:masc:sg,583,Adj,Adj,,C/V\.'C/V\
20,4,1,or,or,ADV,584,Adv,Adv,or2,/V\
21,4,2,a,a,VER:pres:3:sg,584,Vfin,Vfin,avoir,/V\
22,4,3,ramprosnes,ramprosnes,NOM:obj:femi:pl,584,N,N,,C/V\.'C/V\.C/e\
23,4,4,et,et,CON:coord,584,Crd,Crd,et,/V\
24,4,5,lais,lais,ADJ:obj:masc:pl,584,Adj,Adj,laid,C/V\
25,4,6,dis,dis,NOM:obj:masc:pl,584,N,N,,C/V\
26,5,1,or,or,ADV,585,Adv,Adv,or2,/V\
27,5,2,n,n,PRO:clit,585,Neg,Neg$$,ne,C/\
28,5,3,a,a,VER:pres:3:sg,585,Vfin,Vfin,avoir,/V\
29,5,4,ne,ne,PRO:clit,585,Crd,Crd,ne2,C/(e)\
30,5,5,reube,reube,NOM:obj:femi:sg,585,N,N,,'C/V\.C/e\
31,5,6,ne,ne,PROCON,585,Crd,Crd,ne2,C/(e)\
32,5,7,catel,catel,NOM:obj:masc:sg,585,N,N,,C/V\.'C/V\
33,6,1,ne,ne,PRO:clit,586,Crd,Crd,ne2,C/(e)\
34,6,2,il,il,PRO:pers:suj:3:masc:sg:unb,586,Prn,Prn$,il,/V\
35,6,3,ne,ne,PRO:clit,586,Neg,Neg$$,ne,C/(e)\
36,6,4,puet,puet,VER:pres:3:sg,586,Vfin,Vfin,pouvoir2,C/V\
37,6,5,trouver,trouver,VER:infi,586,Vinf,Vinf,trouver,C/V\.'C/V\
38,6,6,ostel,ostel,NOM:obj:masc:sg,586,N,N,,/V\.'C/V\
39,7,1,ains,ains,ADV,587,Crd,Crd,ains,/V\
40,7,2,trueve,trueve,VER:pres:3:sg,587,Vfin,Vfin,trouver,'C/V\.C/(e)\
41,7,3,les,les,DET:def:obj:femi:pl,587,Det,Det,le,C/V\
42,7,4,gens,gens,NOM:obj:femi:pl,587,N,N,,C/V\
43,7,5,si,si,PROCON,587,Adv,Adv,si4,C/V\
44,7,6,embrons,embrons,ADJ:obj:masc:pl,587,Adj,Adj,,/V\.'C/V\
45,8,1,et,et,CON:coord,588,Crd,Crd,et,/V\
46,8,2,si,si,PROCON,588,Adv,Adv,si4,C/V\
47,8,3,cruex,cruex,ADJ:obj:masc:pl,588,Adj,Adj,,C/V\.'C/V\
48,8,4,et,et,CON:coord,588,Crd,Crd,et,/V\
49,8,5,si,si,PROCON,588,Adv,Adv,si4,C/V\
50,8,6,felons,felons,NOM:obj:masc:pl,588,Adj,Adj,félon,C/V\.'C/V\
51,9,1,por,por,PRE,589,Pre,Pre,pour,C/V\
52,9,2,ce,ce,PRO:invar,589,Prn,Prn,ce,C/(e)\
53,9,3,qu,qu,PROCON,589,Sub,Sub,que,C/\
54,9,4,il,il,PRO:pers:suj:3:masc:pl,589,Prn,Prn$,il,/V\
55,9,5,le,le,PRO:pers:obj:3:masc:sg:unb,589,Prn,Prn$$,le,C/(e)\
56,9,6,voient,voient,VER:pres:3:pl,589,Vfin,Vfin,voir,'C/V\./e\
57,9,7,si,si,PROCON,589,Adv,Adv,si4,C/V\
58,9,8,nu,nu,ADJ:obj:masc:sg,589,Adj,Adj,nu,C/V\
59,10,1,si,si,PROCON,590,Adv,Adv,si4,C/V\
60,10,2,grant,grant,ADJ:obj:masc:sg,590,Adj,Adj,grand,C/V\
61,10,3,si,si,PROCON,590,Adv,Adv,si4,C/V\
62,10,4,fort,fort,ADJ:obj:masc:sg,590,Adj,Adj,fort,C/V\
63,10,5,et,et,CON:coord,590,Crd,Crd,et,/V\
64,10,6,si,si,PROCON,590,Adv,Adv,si4,C/V\
65,10,7,membru,membru,ADJ:obj:masc:sg,590,Adj,Adj,,C/V\.'C/V\
66,11,1,si,si,PROCON,591,Adv,Adv,si4,C/V\
67,11,2,lait,lait,ADJ:obj:masc:sg,591,Adj,Adj,laid,C/V\
68,11,3,si,si,PROCON,591,Adv,Adv,si4,C/V\
69,11,4,taint,taint,VER:pper:masc:sg,591,Vpp,Vpp,teindre,C/V\
70,11,5,et,et,CON:coord,591,Crd,Crd,et,/V\
71,11,6,si,si,PROCON,591,Adv,Adv,si4,C/V\
72,11,7,harlé,harlé,VER:pper:masc:sg,591,Vpp,Vpp,,C/V\.'C/V\
73,12,1,jusqu,jusqu,ADV,592,PrA,PrA,jusque,C/V\
74,12,2,es,es,PREDET:en:obj:femi:pl,592,Pre+Det,Pre+Det,en.le,/V\
75,12,3,cuisses,cuisses,NOM:obj:femi:pl,592,N,N,,'C/V\.C/e\
76,12,4,estrumelé,estrumelé,VER:pper:masc:sg,592,Vpp,Vpp,,/V\.C/V\.C/e\.'C/V\
77,13,1,que,que,PROCON,593,Sub,Sub,que,C/(e)\
78,13,2,cascuns,cascuns,PRO:ind:suj:masc:sg,593,QIs,QIs,chacun,C/V\.'C/V\
79,13,3,ce,ce,PRO:invar,593,Prn,Prn,ce,C/(e)\
80,13,4,n,n,PRO:clit,593,Neg,Neg$$,ne,C/\
81,13,5,est,est,VER:pres:3:sg,593,Vfin,Vfin,être,/V\
82,13,6,mie,mie,ADV,593,Neg,Neg,mie3,'C/V\./(e)\
83,13,7,doute,doute,NOM:suj:femi:sg,593,N,N,,'C/V\.C/(e)\
84,14,1,a,a,PRE,594,Pre,Pre,à,/V\
85,14,2,herbergier,herbergier,VER:infi,594,Vinf,Vinf,,C/V\.C/V\.'C/V\
86,14,3,trop,trop,ADV,594,Adv,Adv,trop,C/V\
87,14,4,le,le,PRO:pers:obj:3:masc:sg:unb,594,Prn,Prn$$,le,C/(e)\
88,14,5,redoute,redoute,VER:pres:3:sg,594,Vfin,Vfin,,C/V\.'C/V\.C/(e)\
89,15,1,si,si,PROCON,595,Adv,Adv,si4,C/V\
90,15,2,que,que,PROCON,595,Sub,Sub,que,C/(e)\
91,15,3,souvent,souvent,ADV,595,Adv,Adv,souvent,C/V\.'C/V\
92,15,4,gisoit,gisoit,VER:impf:3:sg,595,Vfin,Vfin,gésir,C/V\.'C/V\
93,15,5,as,as,PREDET:a:obj:masc:pl,595,Pre+Det,Pre+Det,à.le,/V\
94,15,6,cans,cans,NOM:obj:masc:pl,595,N,N,,C/V\
95,16,1,en,en,PRO:clit,596,Pre,Pre,en,/V\
96,16,2,lui,lui,PRO:pers:obj:3:masc:sg:bet,596,Prn,Prn,lui,C/V\
97,16,3,n,n,PRO:clit,596,Neg,Neg$$,ne,C/\
98,16,4,avoit,avoit,VER:impf:3:sg,596,Vfin,Vfin,avoir,/V\.'C/V\
99,16,5,ne,ne,PRO:clit,596,Crd,Crd,ne2,C/(e)\
100,16,6,ris,ris,NOM:obj:masc:pl,596,N,N,,C/V\
101,16,7,ne,ne,PROCON,596,Crd,Crd,ne2,C/(e)\
102,16,8,cans,cans,NOM:obj:masc:pl,596,N,N,,C/V\
103,17,1,mais,mais,CON:coord,597,Crd,Crd,mais,C/V\
104,17,2,tres,tres,ADV,597,Adv,Adv,très,C/V\
105,17,3,grant,grant,ADJ:obj:femi:sg,597,Adj,Adj,grand,C/V\
106,17,4,ire,ire,NOM:obj:femi:sg,597,N,N,,'/V\.C/(e)\
107,17,5,et,et,CON:coord,597,Crd,Crd,et,/V\
108,17,6,grant,grant,ADJ:obj:masc:sg,597,Adj,Adj,grand,C/V\
109,17,7,anui,anui,NOM:obj:masc:sg,597,N,N,,/V\.'C/V\
110,18,1,et,et,CON:coord,598,Crd,Crd,et,/V\
111,18,2,bien,bien,ADV,598,Adv,Adv,bien,C/V\
112,18,3,vous,vous,PRO:pers:2:pl,598,Prn,Prn$$,vous,C/V\
113,18,4,puis,puis,VER:pres:1:sg,598,Vfin,Vfin,pouvoir2,C/V\
114,18,5,dire,dire,VER:infi,598,Vinf,Vinf,dire,'C/V\.C/(e)\
115,18,6,de,de,PRE,598,Pre,Pre,de,C/(e)\
116,18,7,lui,lui,PRO:pers:obj:3:masc:sg:bet,598,Prn,Prn,lui,C/V\
117,19,1,k,k,PROCON,599,Sub,Sub,que,C/\
118,19,2,ainc,ainc,ADV,599,Adv,Adv,onques,/V\
119,19,3,ne,ne,PRO:clit,599,Neg,Neg$$,ne,C/(e)\
120,19,4,se,se,PROCON,599,Prn,Prn$$,se,C/(e)\
121,19,5,puet,puet,VER:pres:3:sg,599,Vfin,Vfin,pouvoir2,C/V\
122,19,6,humeliier,humeliier,VER:infi,599,Vinf,Vinf,,/V\.C/V\.C/V\.'C/V\
123,20,1,ne,ne,PROCON,600,Crd,Crd,ne2,C/(e)\
124,20,2,sen,sen,DET:poss:obj:masc:sg,600,Det,Det,son4,C/V\
125,20,3,las,las,ADJ:obj:masc:sg,600,Adj,Adj,las,C/V\
126,20,4,cuer,cuer,NOM:obj:masc:sg,600,N,N,,C/V\
