wd_id,line_id,linewd,lex_id,word,textlineid,syntag,syntag2,lemma,syllabified,ref
1,1,1,au,Au,1,Pre+Det,Pre+Det,à.le,/V\,"GuilMachBeh, v. 1"
2,1,2,temps,temps,1,N,N,temps,C/V\,"GuilMachBeh, v. 1"
3,1,3,pascour,pascour,1,Adj,Adj,pascour,C/V\.'C/V\,"GuilMachBeh, v. 1"
4,1,4,que,que,1,Sub,Sub,que,C/(e)\,"GuilMachBeh, v. 1"
5,1,5,toute,toute,1,QIs,QIs,tout,'C/V\.C/(e)\,"GuilMachBeh, v. 1"
6,1,6,riens,riens,1,N,N,rien,C/V\,"GuilMachBeh, v. 1"
7,1,7,s',s',1,Prn,Prn$$,se,C/\,"GuilMachBeh, v. 1"
8,1,8,esgaie,esgaie,1,Vfin,Vfin,égayer,/V\.'C/V\./(e)\,"GuilMachBeh, v. 1"
9,1,9,",",",",1,Pnc,Pnc,",",,"GuilMachBeh, v. 1"
10,2,1,que,Que,2,Sub,Sub,que,C/(e)\,"GuilMachBeh, v. 2"
11,2,2,la,la,2,Det,Det,le,C/V\,"GuilMachBeh, v. 2"
12,2,3,terre,terre,2,N,N,terre,'C/V\.C/(e)\,"GuilMachBeh, v. 2"
13,2,4,de,de,2,Pre,Pre,de,C/(e)\,"GuilMachBeh, v. 2"
14,2,5,mainte,mainte,2,QIs,QIs,maint,'C/V\.C/(e)\,"GuilMachBeh, v. 2"
15,2,6,colour,colour,2,N,N,couleur,C/V\.'C/V\,"GuilMachBeh, v. 2"
16,2,7,gaie,gaie,2,Adj,Adj,gai,'C/V\./(e)\,"GuilMachBeh, v. 2"
17,3,1,se,Se,3,Prn,Prn$$,se,C/(e)\,"GuilMachBeh, v. 3"
18,3,2,cointoie,cointoie,3,Vfin,Vfin,cointoyer,C/V\.'C/V\./(e)\,"GuilMachBeh, v. 3"
19,3,3,",",",",3,Pnc,Pnc,",",,"GuilMachBeh, v. 3"
20,3,4,dont,dont,3,Qux,Qux,dont,C/V\,"GuilMachBeh, v. 3"
21,3,5,pointure,pointure,3,N,N,pointure,C/V\.'C/V\.C/(e)\,"GuilMachBeh, v. 3"
22,3,6,sans,sans,3,Pre,Pre,sans,C/V\,"GuilMachBeh, v. 3"
23,3,7,plaie,plaie,3,N,N,plaie,'C/V\./(e)\,"GuilMachBeh, v. 3"
24,4,1,sous,Sous,4,Pre,Pre,sous,C/V\,"GuilMachBeh, v. 4"
25,4,2,la,la,4,Det,Det,le,C/V\,"GuilMachBeh, v. 4"
26,4,3,mamelle,mamelle,4,N,N,mamelle,C/V\.'C/V\.C/(e)\,"GuilMachBeh, v. 4"
27,5,1,fait,Fait,5,Vfin,Vfin,faire,C/V\,"GuilMachBeh, v. 5"
28,5,2,bonne,Bonne,5,Adj,Adj,bon,'C/V\.C/(e)\,"GuilMachBeh, v. 5"
29,5,3,amour,Amour,5,N,N,amour,/V\.'C/V\,"GuilMachBeh, v. 5"
30,5,4,a,a,5,Pre,Pre,à,/V\,"GuilMachBeh, v. 5"
31,5,5,mainte,mainte,5,QIs,QIs,maint,'C/V\.C/(e)\,"GuilMachBeh, v. 5"
32,5,6,dame,dame,5,N,N,dame,'C/V\.C/(e)\,"GuilMachBeh, v. 5"
33,5,7,bele,bele,5,Adj,Adj,beau,'C/V\.C/(e)\,"GuilMachBeh, v. 5"
34,5,8,",",",",5,Pnc,Pnc,",",,"GuilMachBeh, v. 5"
35,6,1,a,A,6,Pre,Pre,à,/V\,"GuilMachBeh, v. 6"
36,6,2,maint,maint,6,QIs,QIs,maint,C/V\,"GuilMachBeh, v. 6"
37,6,3,amant,amant,6,Vprs,Vprs,aimer,/V\.'C/V\,"GuilMachBeh, v. 6"
38,6,4,et,et,6,Crd,Crd,et,/V\,"GuilMachBeh, v. 6"
39,6,5,a,a,6,Pre,Pre,à,/V\,"GuilMachBeh, v. 6"
40,6,6,mainte,mainte,6,QIs,QIs,maint,'C/V\.C/(e)\,"GuilMachBeh, v. 6"
