wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,ref
1,1,1,Nagaires,nagaires,1,Adv,Adv,naguère,C/V\.'C/V\.C/e\,"AChartBelleDame, v. 1"
2,1,2,",",",",1,Pnc,Pnc,",",,"AChartBelleDame, v. 1"
3,1,3,chevauchant,chevauchant,1,Vprs,Vprs,chevaucher,C/V\.C/V\.'C/V\,"AChartBelleDame, v. 1"
4,1,4,",",",",1,Pnc,Pnc,",",,"AChartBelleDame, v. 1"
5,1,5,pensoye,pensoye,1,Vfin,Vfin,penser,C/V\.'C/V\./(e)\,"AChartBelleDame, v. 1"
6,2,1,Com,com,2,Sub,Sub,comme,C/V\,"AChartBelleDame, v. 2"
7,2,2,home,home,2,N,N,homme,'/V\.C/(e)\,"AChartBelleDame, v. 2"
8,2,3,triste,triste,2,Adj,Adj,triste,'C/V\.C/(e)\,"AChartBelleDame, v. 2"
9,2,4,et,et,2,Crd,Crd,et,/V\,"AChartBelleDame, v. 2"
10,2,5,doloreux,doloreux,2,Adj,Adj,douloureux,C/V\.C/V\.'C/V\,"AChartBelleDame, v. 2"
11,2,6,",",",",2,Pnc,Pnc,",",,"AChartBelleDame, v. 2"
12,3,1,Au,au,3,Pre+Det,Pre+Det,à.le,/V\,"AChartBelleDame, v. 3"
13,3,2,dueil,dueil,3,N,N,deuil,C/V\,"AChartBelleDame, v. 3"
14,3,3,ou,ou,3,Qux,Qux,où,/V\,"AChartBelleDame, v. 3"
15,3,4,il,il,3,Prn,Prn$,il,/V\,"AChartBelleDame, v. 3"
16,3,5,fault,fault,3,Vfin,Vfin,falloir,C/V\,"AChartBelleDame, v. 3"
17,3,6,que,que,3,Sub,Sub,que,C/(e)\,"AChartBelleDame, v. 3"
18,3,7,je,je,3,Prn,Prn$,je,C/(e)\,"AChartBelleDame, v. 3"
19,3,8,soye,soye,3,Vfin,Vfin,être,'C/V\./(e)\,"AChartBelleDame, v. 3"
20,4,1,Le,le,4,Det,Det,le,C/(e)\,"AChartBelleDame, v. 4"
21,4,2,plus,plus,4,Adv,Adv,plus,C/V\,"AChartBelleDame, v. 4"
22,4,3,dolent,dolent,4,Adj,Adj,dolent,C/V\.'C/V\,"AChartBelleDame, v. 4"
23,4,4,des,des,4,Pre+Det,Pre+Det,de.le,C/V\,"AChartBelleDame, v. 4"
24,4,5,amoureux,amoureux,4,Adj,Adj,amoureux,/V\.C/V\.'C/V\,"AChartBelleDame, v. 4"
25,4,6,",",",",4,Pnc,Pnc,",",,"AChartBelleDame, v. 4"
26,5,1,Puis,puis,5,PrA,PrA,puis,C/V\,"AChartBelleDame, v. 5"
27,5,2,que,que,5,Sub,Sub,que,C/(e)\,"AChartBelleDame, v. 5"
28,5,3,",",",",5,Pnc,Pnc,",",,"AChartBelleDame, v. 5"
29,5,4,par,par,5,Pre,Pre,par,C/V\,"AChartBelleDame, v. 5"
30,5,5,son,son,5,Det,Det,son,C/V\,"AChartBelleDame, v. 5"
