wd_id,word,lex_id,para_id,syntag,syntag2,lemma,syllabified
1,Au,au,1,Pre+Det,Pre+Det,à.le,/V\
2,commencement,commencement,1,N,N,,C/V\.C/V\.C/e\.'C/V\
3,de,de,1,Pre,Pre,de,C/(e)\
4,ma,ma,1,Det,Det,mon,C/V\
5,matiere,matiere,1,N,N,,C/V\.'C/V\.C/(e)\
6,",",",",1,Pnc,Pnc,,
7,je,je,1,Prn,Prn,je,C/(e)\
8,pry,pry,1,Vfin,Vfin,prier,C/V\
9,en,en,1,Pre,Pre,en,/V\
10,mon,mon,1,Det,Det,mon,C/V\
11,prologue,prologue,1,N,N,,C/V\.'C/V\.C/(e)\
12,a,a,1,Pre,Pre,à,/V\
13,tous,tous,1,QIs,QIs,tout,C/V\
14,ceulx,ceulx,1,Dem,Dem,cil,C/V\
15,qui,qui,1,Qux,Qux,qui,C/V\
16,mon,mon,1,Det,Det,mon,C/V\
17,livre,livre,1,N,N,,'C/V\.C/(e)\
18,orront,orront,1,Vfin,Vfin,ouïr,/V\.'C/V\
19,que,que,1,Sub,Sub,que,C/(e)\
20,",",",",1,Pnc,Pnc,,
21,se,se,1,Sub,Sub,si3,C/(e)\
22,je,je,1,Prn,Prn$,je,C/(e)\
23,di,di,1,Vfin,Vfin,dire,C/V\
24,aucune,aucune,1,QIs,QIs,aucun,/V\.'C/V\.C/(e)\
25,chose,chose,1,N,N,,'C/V\.C/(e)\
26,qui,qui,1,Qux,Qux,qui,C/V\
27,ne,ne,1,Neg,Neg$$,ne,C/(e)\
28,leur,leur,1,Prn,Prn$$,leur,C/V\
29,viengne,viengne,1,Vfin,Vfin,venir,'C/V\.C/(e)\
30,a,a,1,Pre,Pre,à,/V\
31,plaisir,plaisir,1,N,N,,C/V\.'C/V\
32,",",",",1,Pnc,Pnc,,
33,que,que,1,Sub,Sub,que,C/(e)\
34,ilz,ilz,1,Prn,Prn$,il,/V\
35,ne,ne,1,Neg,Neg$$,ne,C/(e)\
36,m',m',1,Prn,Prn$$,me,C/\
37,en,en,1,Prn,Prn$$,en,/V\
38,vueillent,vueillent,1,Vfin,Vfin,vouloir,'C/V\.C/e\
39,mie,mie,1,Neg,Neg,mie,'C/V\./(e)\
40,blasmer,blasmer,1,Vinf,Vinf,,C/V\.'C/V\
41,",",",",1,Pnc,Pnc,,
42,car,car,1,Crd,Crd,car,C/V\
43,",",",",1,Pnc,Pnc,,
44,par,par,1,Pre,Pre,par,C/V\
45,aventure,aventure,1,N,N,,/V\.C/V\.'C/V\.C/(e)\
46,",",",",1,Pnc,Pnc,,
47,ce,ce,1,Prn,Prn,ce,C/(e)\
48,qui,qui,1,Qux,Qux,qui,C/V\
49,ne,ne,1,Neg,Neg$$,ne,C/(e)\
50,plaira,plaira,1,Vfin,Vfin,plaire,C/V\.'C/V\
51,a,a,1,Pre,Pre,à,/V\
52,l',l',1,Det,Det,le,C/\
53,un,un,1,QIs,QIs,un,/V\
54,souffira,souffira,1,Vfin,Vfin,suffire,C/V\.C/V\.'C/V\
55,a,a,1,Pre,Pre,à,/V\
56,l',l',1,Det,Det,le,C/\
57,autre,autre,1,Adj,Adj,autre,'/V\.C/(e)\
58,;,;,1,Pnc,Pnc,,
59,et,et,1,Crd,Crd,et,/V\
60,si,si,1,Adv,Adv,si,C/V\
61,di,di,1,Vfin,Vfin,dire,C/V\
62,en,en,1,Pre,Pre,en,/V\
63,verité,verité,1,N,N,,C/V\.C/V\.'C/V\
64,qu',qu',1,Sub,Sub,que,C/\
65,il,il,1,Prn,Prn$,il,/V\
66,ne,ne,1,Neg,Neg$$,ne,C/(e)\
67,fu,fu,1,Vfin,Vfin,être,C/V\
68,oncques,oncques,1,Adv,Adv,onques,'/V\.C/e\
69,nulz,nulz,1,QIs,QIs,nul,C/V\
70,",",",",1,Pnc,Pnc,,
71,tant,tant,1,QIs,QIs,tant,C/V\
72,fust,fust,1,Vfin,Vfin,être,C/V\
73,sages,sages,1,Adj,Adj,sage,'C/V\.C/e\
74,ne,ne,1,Crd,Crd,ne2,C/(e)\
75,jamais,jamais,1,Adv,Adv,jamais,C/V\.'C/V\
76,ne,ne,1,Neg,Neg$$,ne,C/(e)\
77,sera,sera,1,Vfin,Vfin,être,C/V\.'C/V\
78,",",",",1,Pnc,Pnc,,
79,qui,qui,1,Qux,Qux,qui,C/V\
80,puist,puist,1,Vfin,Vfin,pouvoir,C/V\
81,dire,dire,1,Vinf,Vinf,dire,'C/V\.C/(e)\
82,a,a,1,Pre,Pre,à,/V\
83,la,la,1,Det,Det,le,C/V\
84,volenté,volenté,1,N,N,,C/V\.C/V\.'C/V\
85,de,de,1,Pre,Pre,de,C/(e)\
86,tous,tous,1,QIs,QIs,tout,C/V\
87,.,.,1,Pnc,Pnc,,
88,Et,et,1,Crd,Crd,et,/V\
89,nonpourquant,nonpourquant,1,Adv,Adv,nonpourquant,C/V\.C/V\.'C/V\
90,",",",",1,Pnc,Pnc,,
91,se,se,1,Sub,Sub,si3,C/(e)\
92,il,il,1,Prn,Prn$,il,/V\
93,souffist,souffist,1,Vfin,Vfin,suffire,C/V\.'C/V\
94,a,a,1,Pre,Pre,à,/V\
95,cellui,cellui,1,Dem,Dem,cil,C/V\.'C/V\
96,pour,pour,1,Pre,Pre,pour,C/V\
97,qui,qui,1,Qux,Qux,qui,C/V\
98,je,je,1,Prn,Prn$,je,C/(e)\
99,l',l',1,Prn,Prn$$,le,C/\
100,ay,ay,1,Vfin,Vfin,avoir,/V\
101,fait,fait,1,Vpp,Vpp,faire,C/V\
102,",",",",1,Pnc,Pnc,,
103,je,je,1,Prn,Prn$,je,C/(e)\
104,m',m',1,Prn,Prn$$,me,C/\
105,en,en,1,Prn,Prn$$,en,/V\
106,tien,tien,1,Vfin,Vfin,tenir,C/V\
107,bien,bien,1,Adv,Adv,bien,C/V\
108,a,a,1,Pre,Pre,à,/V\
109,paiez,paiez,1,Vpp,Vpp,,C/V\.'C/V\
110,",",",",1,Pnc,Pnc,,
111,car,car,1,Crd,Crd,car,C/V\
112,je,je,1,Prn,Prn$,je,C/(e)\
113,l',l',1,Prn,Prn$$,le,C/\
114,ay,ay,1,Vfin,Vfin,avoir,/V\
115,fait,fait,1,Vpp,Vpp,faire,C/V\
116,a,a,1,Pre,Pre,à,/V\
117,la,la,1,Det,Det,le,C/V\
118,priere,priere,1,N,N,,C/V\.'C/V\.C/(e)\
119,et,et,1,Crd,Crd,et,/V\
120,requeste,requeste,1,N,N,,C/V\.'C/V\.C/(e)\
121,d',d',1,Pre,Pre,de,C/\
122,un,un,1,QIs,QIs,un,/V\
123,mien,mien,1,Adj,Adj,mien,C/V\
124,seigneur,seigneur,1,N,N,,C/V\.'C/V\
125,et,et,1,Crd,Crd,et,/V\
126,ami,ami,1,N,N,,/V\.'C/V\
127,pour,pour,1,Pre,Pre,pour,C/V\
128,qui,qui,1,Qux,Qux,qui,C/V\
129,je,je,1,Prn,Prn$,je,C/(e)\
130,feroye,feroye,1,Vfin,Vfin,faire,C/V\.'C/V\./(e)\
131,grandement,grandement,1,Adv,Adv,,C/V\.C/e\.'C/V\
132,",",",",1,Pnc,Pnc,,
133,se,se,1,Sub,Sub,si3,C/(e)\
134,je,je,1,Prn,Prn$,je,C/(e)\
135,pouoye,pouoye,1,Vfin,Vfin,pouvoir,C/V\.'C/V\./(e)\
136,ne,ne,1,Crd,Crd,ne2,C/(e)\
137,savoye,savoye,1,Vfin,Vfin,savoir,C/V\.'C/V\./(e)\
138,;,;,1,Pnc,Pnc,,
139,sy,sy,1,Adv,Adv,si,C/V\
140,luy,luy,1,Prn,Prn$$,lui,C/V\
141,pry,pry,1,Vfin,Vfin,prier,C/V\
142,pour,pour,1,Pre,Pre,pour,C/V\
143,Dieu,dieu,1,N,N,,C/V\
144,qu',qu',1,Sub,Sub,que,C/\
145,il,il,1,Prn,Prn$,il,/V\
146,lui,lui,1,Prn,Prn$$,lui,C/V\
147,vueille,vueille,1,Vfin,Vfin,vouloir,'C/V\.C/(e)\
148,souffire,souffire,1,Vinf,Vinf,suffire,C/V\.'C/V\.C/(e)\
149,ce,ce,1,Prn,Prn,ce,C/(e)\
150,que,que,1,Qux,Qux,que,C/(e)\
151,j',j',1,Prn,Prn$,je,C/\
152,en,en,1,Prn,Prn$$,en,/V\
153,feray,feray,1,Vfin,Vfin,faire,C/V\.'C/V\
154,",",",",1,Pnc,Pnc,,
155,car,car,1,Crd,Crd,car,C/V\
156,la,la,1,Det,Det,le,C/V\
157,matiere,matiere,1,N,N,,C/V\.'C/V\.C/(e)\
158,est,est,1,Vfin,Vfin,être,/V\
159,delitable,delitable,1,Adj,Adj,,C/V\.C/V\.'C/V\.C/(e)\
160,a,a,1,Pre,Pre,à,/V\
161,oÿr,oÿr,1,Vinf,Vinf,ouïr,/V\.'C/V\
162,et,et,1,Crd,Crd,et,/V\
163,proufitable,proufitable,1,Adj,Adj,,C/V\.C/V\.'C/V\.C/(e)\
164,a,a,1,Pre,Pre,à,/V\
165,retenir,retenir,1,Vinf,Vinf,retenir,C/V\.C/e\.'C/V\
166,",",",",1,Pnc,Pnc,,
167,sy,sy,1,Adv,Adv,si,C/V\
168,ay,ay,1,Vfin,Vfin,avoir,/V\
169,grant,grant,1,Adj,Adj,grand,C/V\
170,merveille,merveille,1,N,N,,C/V\.'C/V\.C/(e)\
171,que,que,1,Sub,Sub,que,C/(e)\
172,li,li,1,Det,Det,le,C/V\
173,bon,bon,1,Adj,Adj,bon,C/V\
174,trouveour,trouveour,1,N,N,,C/V\.C/(V)\.'/V\
175,qui,qui,1,Qux,Qux,qui,C/V\
176,jadiz,jadiz,1,Adv,Adv,jadis,C/V\.'C/V\
177,furent,furent,1,Vfin,Vfin,être,'C/V\.C/e\
178,n',n',1,Neg,Neg$$,ne,C/\
179,en,en,1,Prn,Prn$$,en,/V\
180,ont,ont,1,Vfin,Vfin,avoir,/V\
181,fait,fait,1,Vpp,Vpp,faire,C/V\
182,plus,plus,1,Adv,Adv,plus,C/V\
183,grant,grant,1,Adj,Adj,grand,C/V\
184,mencion,mencion,1,N,N,,C/V\.C/{V}\.'/V\
185,et,et,1,Crd,Crd,et,/V\
186,mise,mise,1,Vpp,Vpp,mettre,'C/V\.C/(e)\
