wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,ref
1,1,1,a,a,1,Pre,Pre,à,/V\,"Berte, v. 1"
2,1,2,l',l',1,Det,Det,le,C/\,"Berte, v. 1"
3,1,3,issue,issue,1,N,N,issue,/V\.'C/V\./(e)\,"Berte, v. 1"
4,1,4,d',d',1,Pre,Pre,de,C/\,"Berte, v. 1"
5,1,5,avrill,avrill,1,N,N,avril,/V\.'C/V\,"Berte, v. 1"
6,1,6,",",",",1,Pnc,Pnc,",",,"Berte, v. 1"
7,1,7,un,un,1,QIs,QIs,un,/V\,"Berte, v. 1"
8,1,8,tans,tans,1,N,N,temps,C/V\,"Berte, v. 1"
9,1,9,douç,douç,1,Adj,Adj,doux,C/V\,"Berte, v. 1"
10,1,10,et,et,1,Crd,Crd,et,/V\,"Berte, v. 1"
11,1,11,joli,joli,1,Adj,Adj,joli,C/V\.'C/V\,"Berte, v. 1"
12,1,12,",",",",1,Pnc,Pnc,",",,"Berte, v. 1"
13,2,1,que,que,2,Sub,Sub,que,C/(e)\,"Berte, v. 2"
14,2,2,herbeletes,herbeletes,2,N,N,herbelette,/V\.C/e\.'C/V\.C/e\,"Berte, v. 2"
15,2,3,pongnent,pongnent,2,Vfin,Vfin,poindre,'C/V\.C/e\,"Berte, v. 2"
16,2,4,et,et,2,Crd,Crd,et,/V\,"Berte, v. 2"
17,2,5,pre,pre,2,N,N,pré,C/V\,"Berte, v. 2"
18,2,6,sont,sont,2,Vfin,Vfin,être,C/V\,"Berte, v. 2"
19,2,7,raverdi,raverdi,2,Vpp,Vpp,raverdir,C/V\.C/V\.'C/V\,"Berte, v. 2"
20,3,1,et,et,3,Crd,Crd,et,/V\,"Berte, v. 3"
21,3,2,arbrissel,arbrissel,3,N,N,arbrisseau,/V\.C/V\.'C/V\,"Berte, v. 3"
22,3,3,desirent,desirent,3,Vfin,Vfin,désirer,C/V\.'C/V\.C/e\,"Berte, v. 3"
23,3,4,qu',qu',3,Sub,Sub,que,C/\,"Berte, v. 3"
24,3,5,il,il,3,Prn,Prn$,il,/V\,"Berte, v. 3"
25,3,6,fussent,fussent,3,Vfin,Vfin,être,'C/V\.C/e\,"Berte, v. 3"
26,3,7,parflori,parflori,3,Vpp,Vpp,par.fleurir,C/V\.C/V\.'C/V\,"Berte, v. 3"
27,3,8,",",",",3,Pnc,Pnc,",",,"Berte, v. 3"
28,4,1,tout,tout,4,QIs,QIs,tout,C/V\,"Berte, v. 4"
29,4,2,droit,droit,4,Adv,Adv,droit,C/V\,"Berte, v. 4"
30,4,3,en,en,4,Pre,Pre,en,/V\,"Berte, v. 4"
31,4,4,cel,cel,4,Dem,Dem,cil,C/V\,"Berte, v. 4"
32,4,5,termine,termine,4,N,N,termine,C/V\.'C/V\.C/(e)\,"Berte, v. 4"
33,4,6,que,que,4,Qux,Qux,que,C/(e)\,"Berte, v. 4"
34,4,7,je,je,4,Prn,Prn,je,C/(e)\,"Berte, v. 4"
35,4,8,ici,ici,4,Adv,Adv,ici,/V\.'C/V\,"Berte, v. 4"
36,4,9,vous,vous,4,Prn,Prn$$,vous,C/V\,"Berte, v. 4"
37,4,10,di,di,4,Vfin,Vfin,dire,C/V\,"Berte, v. 4"
38,4,11,",",",",4,Pnc,Pnc,",",,"Berte, v. 4"
39,5,1,a,a,5,Pre,Pre,à,/V\,"Berte, v. 5"
40,5,2,paris,paris,5,N,N,Paris,C/V\.'C/V\,"Berte, v. 5"
41,5,3,la,la,5,Det,Det,le,C/V\,"Berte, v. 5"
42,5,4,cité,cité,5,N,N,cité,C/V\.'C/V\,"Berte, v. 5"
43,5,5,estoie,estoie,5,Vfin,Vfin,être,/V\.'C/V\./(e)\,"Berte, v. 5"
44,5,6,un,un,5,QIs,QIs,un,/V\,"Berte, v. 5"
45,5,7,venredi,venredi,5,N,N,vendredi,C/V\.C/e\.'C/V\,"Berte, v. 5"
46,5,8,;,;,5,Pnc,Pnc,;,,"Berte, v. 5"
47,6,1,pour,pour,6,Pre,Pre,pour,C/V\,"Berte, v. 6"
48,6,2,ce,ce,6,Prn,Prn,ce,C/(e)\,"Berte, v. 6"
49,6,3,qu',qu',6,Sub,Sub,que,C/\,"Berte, v. 6"
50,6,4,il,il,6,Prn,Prn$,il,/V\,"Berte, v. 6"
51,6,5,ert,ert,6,Vfin,Vfin,être,/V\,"Berte, v. 6"
52,6,6,devenres,devenres,6,Adj,Adj,divenres,C/V\.'C/V\.C/e\,"Berte, v. 6"
53,6,7,",",",",6,Pnc,Pnc,",",,"Berte, v. 6"
54,6,8,en,en,6,Pre,Pre,en,/V\,"Berte, v. 6"
55,6,9,mon,mon,6,Det,Det,mon,C/V\,"Berte, v. 6"
56,6,10,cuer,cuer,6,N,N,coeur,C/V\,"Berte, v. 6"
57,6,11,m',m',6,Prn,Prn$$,me,C/\,"Berte, v. 6"
58,6,12,assenti,assenti,6,Vfin,Vfin,assentir,/V\.C/V\.'C/V\,"Berte, v. 6"
59,7,1,k',k',7,Sub,Sub,que,C/\,"Berte, v. 7"
60,7,2,a,a,7,Pre,Pre,à,/V\,"Berte, v. 7"
61,7,3,saint,saint,7,Adj,Adj,saint,C/V\,"Berte, v. 7"
62,7,4,denis,denis,7,N,N,Denis,C/V\.'C/V\,"Berte, v. 7"
63,7,5,iroie,iroie,7,Vfin,Vfin,aller,/V\.'C/V\./(e)\,"Berte, v. 7"
64,7,6,por,por,7,Pre,Pre,pour,C/V\,"Berte, v. 7"
65,7,7,priier,priier,7,Vinf,Vinf,prier,C/V\.'C/V\,"Berte, v. 7"
66,7,8,dieu,dieu,7,N,N,dieu,C/V\,"Berte, v. 7"
67,7,9,merci,merci,7,N,N,merci,C/V\.'C/V\,"Berte, v. 7"
68,7,10,.,.,7,Pnc,Pnc,.,,"Berte, v. 7"
69,8,1,a,a,8,Pre,Pre,à,/V\,"Berte, v. 8"
70,8,2,un,un,8,QIs,QIs,un,/V\,"Berte, v. 8"
71,8,3,moine,moine,8,N,N,moine,'C/V\.C/(e)\,"Berte, v. 8"
72,8,4,courtois,courtois,8,Adj,Adj,courtois,C/V\.'C/V\,"Berte, v. 8"
73,8,5,",",",",8,Pnc,Pnc,",",,"Berte, v. 8"
74,8,6,c',c',8,Qux,Qux,que,C/\,"Berte, v. 8"
75,8,7,on,on,8,Prn,Prn$,on,/V\,"Berte, v. 8"
76,8,8,nonmoit,nonmoit,8,Vfin,Vfin,nommer,C/V\.'C/V\,"Berte, v. 8"
77,8,9,savari,savari,8,N,N,Savari,C/V\.C/V\.'C/V\,"Berte, v. 8"
78,8,10,",",",",8,Pnc,Pnc,",",,"Berte, v. 8"
79,9,1,m',m',9,Prn,Prn$$,me,C/\,"Berte, v. 9"
80,9,2,acointai,acointai,9,Vfin,Vfin,accointer,/V\.C/V\.'C/V\,"Berte, v. 9"
81,9,3,telement,telement,9,Adv,Adv,tellement,C/V\.C/e\.'C/V\,"Berte, v. 9"
82,9,4,",",",",9,Pnc,Pnc,",",,"Berte, v. 9"
83,9,5,damedieu,damedieu,9,N,N,Damedieu,C/V\.C/e\.'C/V\,"Berte, v. 9"
84,9,6,en,en,9,Prn,Prn$$,en,/V\,"Berte, v. 9"
85,9,7,graci,graci,9,Vfin,Vfin,gracier,C/V\.'C/V\,"Berte, v. 9"
86,9,8,",",",",9,Pnc,Pnc,",",,"Berte, v. 9"
87,10,1,que,que,10,Sub,Sub,que,C/(e)\,"Berte, v. 10"
88,10,2,le,le,10,Det,Det,le,C/(e)\,"Berte, v. 10"
89,10,3,livre,livre,10,N,N,livre,'C/V\.C/(e)\,"Berte, v. 10"
90,10,4,as,as,10,Pre+Det,Pre+Det,à.le,/V\,"Berte, v. 10"
91,10,5,estoires,estoires,10,N,N,histoire,/V\.'C/V\.C/e\,"Berte, v. 10"
92,10,6,me,me,10,Prn,Prn$$,me,C/(e)\,"Berte, v. 10"
93,10,7,moustra,moustra,10,Vfin,Vfin,montrer,C/V\.'C/V\,"Berte, v. 10"
94,10,8,et,et,10,Crd,Crd,et,/V\,"Berte, v. 10"
95,10,9,g',g',10,Prn,Prn$,je,C/\,"Berte, v. 10"
96,10,10,i,i,10,Prn,Prn$$,y,/V\,"Berte, v. 10"
