wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,ref
1,1,1,conment,conment,601,Qux,Qux,comment,7s,---,C/V\.'C/V\,"BlondNesle, chanson 6, v. 1"
2,1,2,que,que,601,Sub,Sub,que,7s,---,C/(e)\,"BlondNesle, chanson 6, v. 1"
3,1,3,d',d',601,Pre,Pre,de,7s,---,C/\,"BlondNesle, chanson 6, v. 1"
4,1,4,amours,amours,601,N,N,,7s,---,/V\.'C/V\,"BlondNesle, chanson 6, v. 1"
5,1,5,me,me,601,Prn,Prn$$,me,7s,---,C/(e)\,"BlondNesle, chanson 6, v. 1"
6,1,6,dueille,dueille,601,Vfin,Vfin,douloir,7s,---,'C/V\.C/(e)\,"BlondNesle, chanson 6, v. 1"
7,1,7,",",",",601,Pnc,Pnc,,7s,---,,"BlondNesle, chanson 6, v. 1"
8,2,1,bien,bien,602,Adv,Adv,bien,7s,---,C/V\,"BlondNesle, chanson 6, v. 2"
9,2,2,est,est,602,Vfin,Vfin,être,7s,---,/V\,"BlondNesle, chanson 6, v. 2"
10,2,3,drois,drois,602,Adj,Adj,droit2,7s,---,C/V\,"BlondNesle, chanson 6, v. 2"
11,2,4,que,que,602,Sub,Sub,que,7s,---,C/(e)\,"BlondNesle, chanson 6, v. 2"
12,2,5,de,de,602,Pre,Pre,de,7s,---,C/(e)\,"BlondNesle, chanson 6, v. 2"
13,2,6,li,li,602,Prn,Prn,li,7s,---,C/V\,"BlondNesle, chanson 6, v. 2"
14,2,7,chant,chant,602,Vfin,Vfin,chanter,7s,---,C/V\,"BlondNesle, chanson 6, v. 2"
15,3,1,et,et,603,Crd,Crd,et,7s,---,/V\,"BlondNesle, chanson 6, v. 3"
16,3,2,que,que,603,Sub,Sub,que,7s,---,C/(e)\,"BlondNesle, chanson 6, v. 3"
17,3,3,je,je,603,Prn,Prn,je,7s,---,C/(e)\,"BlondNesle, chanson 6, v. 3"
18,3,4,ma,ma,603,Det,Det,mon,7s,---,C/V\,"BlondNesle, chanson 6, v. 3"
19,3,5,doleur,doleur,603,N,N,,7s,---,C/V\.'C/V\,"BlondNesle, chanson 6, v. 3"
20,3,6,vueille,vueille,603,Vfin,Vfin,vouloir,7s,---,'C/V\.C/(e)\,"BlondNesle, chanson 6, v. 3"
