wd_id,line_id,linewd,word,lemma,lex_id,textlineid,syntag,syntag2,syllabified,ref
1,1,1,Donna,dame,donna,1,N,N,C/V\.'C/V\,"Brendan, v. 1"
2,1,2,Aaliz,Alice,aaliz,1,N,N,/V\.'C/V\,"Brendan, v. 1"
3,1,3,la,le,la,1,Det,Det,C/V\,"Brendan, v. 1"
4,1,4,reïne,reine,reine,1,N,N,C/V\.'C/V\.C/(e)\,"Brendan, v. 1"
5,1,5,",",",",",",1,Pnc,Pnc,,"Brendan, v. 1"
6,2,1,Par,par,par,2,Pre,Pre,C/V\,"Brendan, v. 2"
7,2,2,qui,qui,qui,2,Qux,Qux,C/V\,"Brendan, v. 2"
8,2,3,valdrat,valoir,valdrat,2,Vfin,Vfin,C/V\.'C/V\,"Brendan, v. 2"
9,2,4,lei,loi,lei,2,N,N,C/V\,"Brendan, v. 2"
10,2,5,divine,divin,divine,2,Adj,Adj,C/V\.'C/V\.C/(e)\,"Brendan, v. 2"
11,2,6,",",",",",",2,Pnc,Pnc,,"Brendan, v. 2"
12,3,1,Par,par,par,3,Pre,Pre,C/V\,"Brendan, v. 3"
13,3,2,qui,qui,qui,3,Qux,Qux,C/V\,"Brendan, v. 3"
14,3,3,creistrat,croître,creistrat,3,Vfin,Vfin,C/V\.'C/V\,"Brendan, v. 3"
15,3,4,lei,loi,lei,3,N,N,C/V\,"Brendan, v. 3"
16,3,5,de,de,de,3,Pre,Pre,C/(e)\,"Brendan, v. 3"
17,3,6,terre,terre,terre,3,N,N,'C/V\.C/(e)\,"Brendan, v. 3"
18,4,1,E,et,e,4,Crd,Crd,/V\,"Brendan, v. 4"
19,4,2,remandrat,remaindre,remandrat,4,Vfin,Vfin,C/V\.C/V\.'C/V\,"Brendan, v. 4"
20,4,3,tante,tant,tante,4,QIs,QIs,'C/V\.C/(e)\,"Brendan, v. 4"
21,4,4,guerre,guerre,guerre,4,N,N,'C/V\.C/(e)\,"Brendan, v. 4"
22,5,1,Por,pour,por,5,Pre,Pre,C/V\,"Brendan, v. 5"
23,5,2,les,le,les,5,Det,Det,C/V\,"Brendan, v. 5"
24,5,3,armes,arme,armes,5,N,N,'/V\.C/e\,"Brendan, v. 5"
25,5,4,Henri,Henri,henri,5,N,N,C/V\.'C/V\,"Brendan, v. 5"
26,5,5,lu,le,lu,5,Det,Det,C/V\,"Brendan, v. 5"
27,5,6,rei,roi,rei,5,N,N,C/V\,"Brendan, v. 5"
28,6,1,E,et,e,6,Crd,Crd,/V\,"Brendan, v. 6"
29,6,2,par,par,par,6,Pre,Pre,C/V\,"Brendan, v. 6"
30,6,3,le,le,le,6,Det,Det,C/(e)\,"Brendan, v. 6"
31,6,4,cunseil,conseil,cunseil,6,N,N,C/V\.'C/V\,"Brendan, v. 6"
32,6,5,qui,qui,qui,6,Qux,Qux,C/V\,"Brendan, v. 6"
33,6,6,ert,être,ert,6,Vfin,Vfin,/V\,"Brendan, v. 6"
34,6,7,en,en,en,6,Pre,Pre,/V\,"Brendan, v. 6"
35,6,8,tei,toi,tei,6,Prn,Prn,C/V\,"Brendan, v. 6"
36,6,9,",",",",",",6,Pnc,Pnc,,"Brendan, v. 6"
37,7,1,Salüet,saluer,saluet,7,Vfin,Vfin,C/V\.'C/V\./e\,"Brendan, v. 7"
38,7,2,tei,toi,tei,7,Prn,Prn%,C/V\,"Brendan, v. 7"
39,7,3,mil,mille,mil,7,QIs,QIs,C/V\,"Brendan, v. 7"
40,7,4,e,et,e,7,Crd,Crd,/V\,"Brendan, v. 7"
41,7,5,mil,mille,mil,7,QIs,QIs,C/V\,"Brendan, v. 7"
42,7,6,feiz,fois,feiz,7,N,N,C/V\,"Brendan, v. 7"
43,8,1,Li,le,li,8,Det,Det,C/V\,"Brendan, v. 8"
44,8,2,apostoiles,apostole,apostoiles,8,N,N,/V\.C/V\.'C/V\.C/e\,"Brendan, v. 8"
45,8,3,danz,dan,danz,8,N,N,C/V\,"Brendan, v. 8"
46,8,4,Benedeiz,Benoît,benedeiz,8,N,N,C/V\.C/e\.'C/V\,"Brendan, v. 8"
47,8,5,.,.,.,8,Pnc,Pnc,,"Brendan, v. 8"
48,9,1,Que,que,que,9,Qux,Qux,C/(e)\,"Brendan, v. 9"
49,9,2,comandas,commander,comandas,9,Vfin,Vfin,C/V\.C/V\.'C/V\,"Brendan, v. 9"
50,9,3,ço,ce,ço,9,Prn,Prn,C/V\,"Brendan, v. 9"
51,9,4,ad,avoir,ad,9,Vfin,Vfin,/V\,"Brendan, v. 9"
52,9,5,enpris,emprendre,enpris,9,Vpp,Vpp,/V\.'C/V\,"Brendan, v. 9"
53,10,1,Secund,second,secund,10,PrA,PrA,C/V\.'C/V\,"Brendan, v. 10"
54,10,2,sun,son,sun,10,Det,Det,C/V\,"Brendan, v. 10"
55,10,3,sens,sens,sens,10,N,N,C/V\,"Brendan, v. 10"
56,10,4,e,et,e,10,Crd,Crd,/V\,"Brendan, v. 10"
57,10,5,entremis,entremettre,entremis,10,Vpp,Vpp,/V\.C/e\.'C/V\,"Brendan, v. 10"
58,10,6,",",",",",",10,Pnc,Pnc,,"Brendan, v. 10"
59,11,1,En,en,en,11,Pre,Pre,/V\,"Brendan, v. 11"
60,11,2,letre,lettre,letre,11,N,N,'C/V\.C/(e)\,"Brendan, v. 11"
61,11,3,mis,mettre,mis,11,Vpp,Vpp,C/V\,"Brendan, v. 11"
62,11,4,e,et,e,11,Crd,Crd,/V\,"Brendan, v. 11"
63,11,5,en,en,en,11,Pre,Pre,/V\,"Brendan, v. 11"
64,11,6,romanz,roman,romanz,11,N,N,C/V\.'C/V\,"Brendan, v. 11"
65,11,7,",",",",",",11,Pnc,Pnc,,"Brendan, v. 11"
66,12,1,Esi,ainsi,esi,12,Adv,Adv,/V\.'C/V\,"Brendan, v. 12"
67,12,2,cum,comme,cum,12,Sub,Sub,C/V\,"Brendan, v. 12"
68,12,3,fud,être,fud,12,Vfin,Vfin,C/V\,"Brendan, v. 12"
69,12,4,li,le,li,12,Det,Det,C/V\,"Brendan, v. 12"
70,12,5,teons,tien,teons,12,Adj,Adj,C/V\,"Brendan, v. 12"
71,12,6,cumanz,command,cumanz,12,N,N,C/V\.'C/V\,"Brendan, v. 12"
72,12,7,",",",",",",12,Pnc,Pnc,,"Brendan, v. 12"
73,13,1,De,de,de,13,Pre,Pre,C/(e)\,"Brendan, v. 13"
74,13,2,saint,saint,saint,13,Adj,Adj,C/V\,"Brendan, v. 13"
75,13,3,Brendan,Brendan,brendan,13,N,N,C/V\.'C/V\,"Brendan, v. 13"
76,13,4,le,le,le,13,Det,Det,C/(e)\,"Brendan, v. 13"
77,13,5,bon,bon,bon,13,Adj,Adj,C/V\,"Brendan, v. 13"
78,13,6,abéth,abbé,abéth,13,N,N,/V\.'C/V\,"Brendan, v. 13"
79,13,7,.,.,.,13,Pnc,Pnc,,"Brendan, v. 13"
