wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,ref
1,1,1,Maintenant,maintenant,503,Adv,Adv,maintenant,C/V\.C/e\.'C/V\,"Lanc, v. 503"
2,1,2,qu',qu',503,Sub,Sub,que,C/\,"Lanc, v. 503"
3,1,3,il,il,503,Prn,Prn$,il,/V\,"Lanc, v. 503"
4,1,4,fu,fu,503,Vfin,Vfin,être,C/V\,"Lanc, v. 503"
5,1,5,deschauciez,deschauciez,503,Vpp,Vpp,déchausser,C/V\.C/V\.'C/V\,"Lanc, v. 503"
6,2,1,el,el,504,Pre+Det,Pre+Det,en.le,/V\,"Lanc, v. 504"
7,2,2,lit,lit,504,N,N,lit,C/V\,"Lanc, v. 504"
8,2,3,",",",",504,Pnc,Pnc,",",,"Lanc, v. 504"
9,2,4,qui,qui,504,Qux,Qux,qui,C/V\,"Lanc, v. 504"
10,2,5,fu,fu,504,Vfin,Vfin,être,C/V\,"Lanc, v. 504"
11,2,6,lons,lons,504,Adj,Adj,long,C/V\,"Lanc, v. 504"
12,2,7,et,et,504,Crd,Crd,et,/V\,"Lanc, v. 504"
13,2,8,hauciez,hauciez,504,Vpp,Vpp,hausser,C/V\.'C/V\,"Lanc, v. 504"
14,3,1,plus,plus,505,Adv,Adv,plus,C/V\,"Lanc, v. 505"
15,3,2,des,des,505,Pre+Det,Pre+Det,de.le,C/V\,"Lanc, v. 505"
16,3,3,autres,autres,505,Adj,Adj,autre,'/V\.C/e\,"Lanc, v. 505"
17,3,4,deus,deus,505,QIs,QIs,deux,C/V\,"Lanc, v. 505"
18,3,5,demie,demie,505,Adj,Adj,demi,C/V\.'C/V\./(e)\,"Lanc, v. 505"
19,3,6,aune,aune,505,N,N,aune,'/V\.C/(e)\,"Lanc, v. 505"
20,3,7,",",",",505,Pnc,Pnc,",",,"Lanc, v. 505"
21,4,1,se,se,506,Prn,Prn$$,se,C/(e)\,"Lanc, v. 506"
22,4,2,couche,couche,506,Vfin,Vfin,coucher,'C/V\.C/(e)\,"Lanc, v. 506"
23,4,3,sor,sor,506,PrA,PrA,sur,C/V\,"Lanc, v. 506"
24,4,4,un,un,506,QIs,QIs,un,/V\,"Lanc, v. 506"
25,4,5,samit,samit,506,N,N,samit,C/V\.'C/V\,"Lanc, v. 506"
26,4,6,jaune,jaune,506,Adj,Adj,jaune,'C/V\.C/(e)\,"Lanc, v. 506"
27,4,7,",",",",506,Pnc,Pnc,",",,"Lanc, v. 506"
28,5,1,un,un,507,QIs,QIs,un,/V\,"Lanc, v. 507"
29,5,2,covertor,covertor,507,N,N,couverteur,C/V\.C/V\.'C/V\,"Lanc, v. 507"
30,5,3,d',d',507,Pre,Pre,de,C/\,"Lanc, v. 507"
31,5,4,or,or,507,N,N,or,/V\,"Lanc, v. 507"
32,5,5,estelé,estelé,507,Vpp,Vpp,étoilé,/V\.C/V\.'C/V\,"Lanc, v. 507"
33,5,6,.,.,507,Pnc,Pnc,.,,"Lanc, v. 507"
34,6,1,N',n',508,Neg,Neg$$,ne,C/\,"Lanc, v. 508"
35,6,2,estoit,estoit,508,Vfin,Vfin,être,/V\.'C/V\,"Lanc, v. 508"
36,6,3,mie,mie,508,Neg,Neg,mie3,'C/V\./(e)\,"Lanc, v. 508"
37,6,4,de,de,508,Pre,Pre,de,C/(e)\,"Lanc, v. 508"
38,6,5,veir,veir,508,N,N,vair,C/V\,"Lanc, v. 508"
39,6,6,pelé,pelé,508,Vpp,Vpp,peler,C/V\.'C/V\,"Lanc, v. 508"
40,7,1,la,la,509,Det,Det,le,C/V\,"Lanc, v. 509"
41,7,2,forreüre,forreure,509,N,N,fourrure,C/V\.C/(V)\.'/V\.C/(e)\,"Lanc, v. 509"
42,7,3,",",",",509,Pnc,Pnc,",",,"Lanc, v. 509"
43,7,4,ainz,ainz,509,Crd,Crd,ains,/V\,"Lanc, v. 509"
44,7,5,ert,ert,509,Vfin,Vfin,être,/V\,"Lanc, v. 509"
45,7,6,de,de,509,Pre,Pre,de,C/(e)\,"Lanc, v. 509"
46,7,7,sables,sables,509,N,N,sable2,'C/V\.C/e\,"Lanc, v. 509"
47,7,8,;,;,509,Pnc,Pnc,;,,"Lanc, v. 509"
48,8,1,bien,bien,510,Adv,Adv,bien,C/V\,"Lanc, v. 510"
49,8,2,fust,fust,510,Vfin,Vfin,être,C/V\,"Lanc, v. 510"
50,8,3,a,a,510,Pre,Pre,à,/V\,"Lanc, v. 510"
51,8,4,oés,oes,510,N,N,ouïr,/V\,"Lanc, v. 510"
52,8,5,un,un,510,QIs,QIs,un,/V\,"Lanc, v. 510"
53,8,6,roi,roi,510,N,N,roi,C/V\,"Lanc, v. 510"
54,8,7,metables,metables,510,Adj,Adj,mettable,C/V\.'C/V\.C/e\,"Lanc, v. 510"
55,9,1,li,li,511,Det,Det,le,C/V\,"Lanc, v. 511"
56,9,2,covertors,covertors,511,N,N,couverteur,C/V\.C/V\.'C/V\,"Lanc, v. 511"
57,9,3,qu',qu',511,Qux,Qux,que,C/\,"Lanc, v. 511"
58,9,4,il,il,511,Prn,Prn$,il,/V\,"Lanc, v. 511"
59,9,5,ot,ot,511,Vfin,Vfin,avoir,/V\,"Lanc, v. 511"
60,9,6,sor,sor,511,PrA,PrA,sur,C/V\,"Lanc, v. 511"
61,9,7,lui,lui,511,Prn,Prn,lui,C/V\,"Lanc, v. 511"
62,9,8,;,;,511,Pnc,Pnc,;,,"Lanc, v. 511"
63,10,1,li,li,512,Det,Det,le,C/V\,"Lanc, v. 512"
