wd_id,line_id,linewd,word,lex_id,pos_nca,textlineid,syntag,syntag2,lemma,syllabified
1,1,1,oez,oez,VER:impe:2:pl,1,Vfin,Vfin,ouïr,/V\.'C/V\
2,1,2,segnor,segnor,NOM:suj:masc:pl,1,N,N,,C/V\.'C/V\
3,1,3,dex,dex,NOM:suj:masc:sg,1,N,N,,C/V\
4,1,4,vos,vos,PRO:pers:2:pl,1,Prn,Prn$$,2pp,C/V\
5,1,5,croisse,croisse,VER:subp:3:sg,1,Vfin,Vfin,croître,'C/V\.C/(e)\
6,1,6,bonte,bonté,NOM:obj:femi:sg,1,N,N,,C/V\.'C/V\
7,2,1,li,li,DET:def:suj:masc:sg,2,Det,Det,le,C/V\
8,2,2,glorieus,glorieus,ADJ:suj:masc:sg,2,Adj,Adj,,C/V\.C/{V}\.'/V\
9,2,3,li,li,DET:def:suj:masc:sg,2,Det,Det,le,C/V\
10,2,4,rois,rois,NOM:suj:masc:sg,2,N,N,,C/V\
11,2,5,de,de,PRE,2,Pre,Pre,de,C/(e)\
12,2,6,maieste,maiesté,NOM:obj:femi:sg,2,N,N,,C/V\.C/V\.'C/V\
13,3,1,bone,bone,ADJ:obj:femi:sg,3,Adj,Adj,bon,'C/V\.C/(e)\
14,3,2,chançon,chançon,NOM:obj:femi:sg,3,N,N,,C/V\.'C/V\
15,3,3,plest,plest,VER:pres:3:sg,3,Vfin,Vfin,plaire,C/V\
16,3,4,vos,vos,PRO:pers:2:pl,3,Prn,Prn%%,2pp,C/V\
17,3,5,a,a,PRE,3,Pre,Pre,à,/V\
18,3,6,escouter,escouter,VER:infi,3,Vinf,Vinf,écouter,/V\.C/V\.'C/V\
19,4,1,del,del,PREDET:de:obj:masc:sg,4,Pre+Det,Pre+Det,de.le,C/V\
20,4,2,meillor,meillor,ADJ:obj:masc:sg,4,Adj,Adj,meilleur,C/V\.'C/V\
21,4,3,home,home,NOM:obj:masc:sg,4,N,N,,'/V\.C/(e)\
22,4,4,qui,qui,PROCON,4,Qux,Qux,qui,C/V\
23,4,5,ainz,ainz,ADV,4,Adv,Adv,onques,/V\
24,4,6,creust,creust,VER:subi:3:sg,4,Vfin,Vfin,croire,C/(V)\.'/V\
25,4,7,en,en,PRO:clit,4,Pre,Pre,en,/V\
26,4,8,dé,dé,NOM:obj:masc:sg,4,N,N,,C/V\
27,5,1,c,c',PRO:invar,5,Prn,Prn,ce,C/\
28,5,2,est,est,VER:pres:3:sg,5,Vfin,Vfin,être,/V\
29,5,3,de,de,PRE,5,Pre,Pre,de,C/(e)\
30,5,4,guillelme,guillelme,NPR:obj:masc:sg,5,N,N,,C/V\.'C/V\.C/(e)\
31,5,5,le,le,DET:def:obj:masc:sg,5,Det,Det,le,C/(e)\
32,5,6,marchis,marchis,NOM:obj:masc:sg,5,N,N,,C/V\.'C/V\
33,5,7,au,au,PREDET:a:obj:masc:sg,5,Pre+Det,Pre+Det,à.le,/V\
34,5,8,cort,cort,ADJ:obj:masc:sg,5,Adj,Adj,,C/V\
35,5,9,nes,nés,NOM:obj:masc:sg,5,N,N,,C/V\
36,6,1,conme,conme,CON:subord,6,Sub,Sub,comme,'C/V\.C/(e)\
37,6,2,il,il,PRO:pers:suj:3:masc:sg:unb,6,Prn,Prn$,il,/V\
38,6,3,prist,prist,VER:simp:3:sg,6,Vfin,Vfin,prendre,C/V\
39,6,4,nymes,nymes,NPR:obj:masc:sg,6,N,N,,'C/V\.C/e\
40,6,5,par,par,PRE,6,Pre,Pre,par,C/V\
41,6,6,le,le,DET:def:obj:masc:sg,6,Det,Det,le,C/(e)\
42,6,7,charroi,charroi,NOM:obj:masc:sg,6,N,N,,C/V\.'C/V\
43,6,8,monté,monté,VER:pper:masc:sg,6,Vpp,Vpp,monter,C/V\.'C/V\
44,7,1,apres,aprés,PRE,7,PrA,PrA,après,/V\.'C/V\
45,7,2,conquist,conquist,VER:simp:3:sg,7,Vfin,Vfin,conquérir,C/V\.'C/V\
46,7,3,orenge,orenge,NPR:obj:masc:sg,7,N,N,,/V\.'C/V\.C/(e)\
47,7,4,la,la,DET:def:obj:femi:sg,7,Det,Det,le,C/V\
48,7,5,cite,cité,NOM:obj:femi:sg,7,N,N,,C/V\.'C/V\
49,8,1,et,et,CON:coord,8,Crd,Crd,et,/V\
50,8,2,fist,fist,VER:simp:3:sg,8,Vfin,Vfin,faire,C/V\
51,8,3,guibor,guibor,NPR:obj:femi:sg,8,N,N,,C/V\.'C/V\
52,8,4,baptizier,baptizier,VER:infi,8,Vinf,Vinf,,C/V\.C/V\.'C/V\
53,8,5,et,et,CON:coord,8,Crd,Crd,et,/V\
54,8,6,lever,lever,VER:infi,8,Vinf,Vinf,lever,C/V\.'C/V\
55,9,1,que,que,PROCON,9,Qux,Qux,que,C/(e)\
56,9,2,il,il,PRO:pers:suj:3:masc:sg:unb,9,Prn,Prn$,il,/V\
57,9,3,toli,toli,VER:simp:3:sg,9,Vfin,Vfin,tolir,C/V\.'C/V\
58,9,4,le,le,DET:def:obj:masc:sg,9,Det,Det,le,C/(e)\
59,9,5,roi,roi,NOM:obj:masc:sg,9,N,N,,C/V\
60,9,6,tiebaut,tiebaut,NPR:obj:masc:sg,9,N,N,,C/V\.'C/V\
61,9,7,l,l',DET:def:obj:masc:sg,9,Det,Det,le,C/\
62,9,8,escler,escler,NOM:obj:masc:sg,9,N,N,,/V\.'C/V\
63,10,1,puis,puis,ADV,10,PrA,PrA,puis,C/V\
64,10,2,l,l',PRO:pers:obj:3:masc:sg:unb,10,Prn,Prn$$,3p,C/\
65,10,3,espousa,espousa,VER:simp:3:sg,10,Vfin,Vfin,,/V\.C/V\.'C/V\
66,10,4,a,a,PRE,10,Pre,Pre,à,/V\
67,10,5,moillier,moillier,NOM:obj:femi:sg,10,N,N,,C/V\.'C/V\
68,10,6,et,et,CON:coord,10,Crd,Crd,et,/V\
69,10,7,a,a,PRE,10,Pre,Pre,à,/V\
70,10,8,per,per,NOM:obj:masc:sg,10,N,N,,C/V\
71,11,1,et,et,CON:coord,11,Crd,Crd,et,/V\
72,11,2,desoz,desoz,ADV,11,PrA,PrA,dessous,C/V\.'C/V\
73,11,3,rome,rome,NPR:obj:masc:sg,11,N,N,,'C/V\.C/(e)\
74,11,4,ocist,ocist,VER:simp:3:sg,11,Vfin,Vfin,occire,/V\.'C/V\
75,11,5,corsolt,corsolt,NPR:obj:masc:sg,11,N,N,,C/V\.'C/V\
76,11,6,es,es,PREDET:en:obj:masc:pl,11,Pre+Det,Pre+Det,en.le,/V\
77,11,7,prez,prez,NOM:obj:masc:pl,11,N,N,,C/V\
78,12,1,molt,molt,ADV,12,QIs,QIs,moult,C/V\
79,12,2,essauca,essauca,VER:simp:3:sg,12,Vfin,Vfin,,/V\.C/V\.'C/V\
80,12,3,sainte,sainte,ADJ:obj:femi:sg,12,Adj,Adj,saint,'C/V\.C/(e)\
81,12,4,crestientez,crestientez,NOM:obj:femi:sg,12,N,N,,C/V\.C/{V}\./V\.'C/V\
82,13,1,tant,tant,ADV,13,QIs,QIs,tant,C/V\
83,13,2,fist,fist,VER:simp:3:sg,13,Vfin,Vfin,faire,C/V\
84,13,3,en,en,PRO:clit,13,Pre,Pre,en,/V\
85,13,4,terre,terre,NOM:obj:femi:sg,13,N,N,,'C/V\.C/(e)\
86,13,5,qu,qu,PROCON,13,Sub,Sub,que,C/\
87,13,6,es,es,PREDET:en:obj:masc:pl,13,Pre+Det,Pre+Det,en.le,/V\
88,13,7,ciels,ciels,NOM:obj:masc:pl,13,N,N,,C/V\
89,13,8,est,est,VER:pres:3:sg,13,Vfin,Vfin,être,/V\
90,13,9,coronez,coronez,VER:pper:masc:pl,13,Vpp,Vpp,,C/V\.C/V\.'C/V\
91,14,1,ce,ce,PRO:invar,14,Prn,Prn,ce,C/(e)\
92,14,2,fu,fu,VER:simp:3:sg,14,Vfin,Vfin,être,C/V\
93,14,3,en,en,PRO:clit,14,Pre,Pre,en,/V\
94,14,4,mai,mai,NOM:obj:masc:sg,14,N,N,,C/V\
95,14,5,el,el,PREDET:en:obj:masc:sg,14,Pre+Det,Pre+Det,en.le,/V\
96,14,6,novel,novel,ADJ:obj:masc:sg,14,Adj,Adj,nouveau,C/V\.'C/V\
97,14,7,tens,tens,NOM:obj:masc:sg,14,N,N,,C/V\
98,14,8,d,d',PRE,14,Pre,Pre,de,C/\
99,14,9,este,esté,NOM:obj:masc:sg,14,N,N,,/V\.'C/V\
100,15,1,fueillissent,fueillissent,VER:pres:3:pl,15,Vfin,Vfin,,C/V\.'C/V\.C/e\
101,15,2,gaut,gaut,NOM:suj:masc:pl,15,N,N,,C/V\
102,15,3,reverdissent,reverdissent,VER:pres:3:pl,15,Vfin,Vfin,revenir,C/V\.C/V\.'C/V\.C/e\
103,15,4,li,li,DET:def:suj:masc:pl,15,Det,Det,le,C/V\
104,15,5,pre,pré,NOM:suj:masc:pl,15,N,N,,C/V\
105,16,1,cil,cil,DET:demo:suj:masc:pl,16,Dem,Dem,cil,C/V\
106,16,2,oisel,oisel,NOM:suj:masc:pl,16,N,N,,/V\.'C/V\
107,16,3,chantent,chantent,VER:pres:3:pl,16,Vfin,Vfin,chanter,'C/V\.C/e\
108,16,4,belement,belement,ADV,16,Adv,Adv,,C/V\.C/e\.'C/V\
109,16,5,et,et,CON:coord,16,Crd,Crd,et,/V\
110,16,6,soe,soé,ADJ:obj:masc:sg,16,Adj,Adj,,C/V\.'C/V\
111,17,1,li,li,DET:def:suj:masc:sg,17,Det,Det,le,C/V\
112,17,2,quens,quens,NOM:suj:masc:sg,17,N,N,,C/V\
113,17,3,guillelmes,guillelmes,NPR:suj:masc:sg,17,N,N,,C/V\.'C/V\.C/e\
114,17,4,reperoit,reperoit,VER:impf:3:sg,17,Vfin,Vfin,répairer,C/V\.C/e\.'C/V\
115,17,5,de,de,PRE,17,Pre,Pre,de,C/(e)\
116,17,6,berser,berser,VER:infi,17,Vinf,Vinf,,C/V\.'C/V\
117,18,1,d,d',PRE,18,Pre,Pre,de,C/\
118,18,2,une,une,DET:ndf:obj:femi:sg,18,QIs,QIs,un,'/V\.C/(e)\
119,18,3,forest,forest,NOM:obj:femi:sg,18,N,N,,C/V\.'C/V\
120,18,4,ou,ou,PROCON,18,Qux,Qux,où,/V\
121,18,5,ot,ot,VER:simp:3:sg,18,Vfin,Vfin,avoir,/V\
122,18,6,grant,grant,ADJ:obj:femi:sg,18,Adj,Adj,grand,C/V\
123,18,7,piece,piece,NOM:obj:femi:sg,18,N,N,,'C/V\.C/(e)\
124,18,8,esté,esté,VER:pper:masc:sg,18,Vpp,Vpp,être,/V\.'C/V\
125,19,1,pris,pris,VER:pper:masc:sg,19,Vpp,Vpp,prendre,C/V\
126,19,2,ot,ot,VER:simp:3:sg,19,Vfin,Vfin,avoir,/V\
127,19,3,.ii.,deus,ADJ:card,19,QIs,QIs,deux,C/V\
128,19,4,cers,cers,NOM:obj:masc:pl,19,N,N,,C/V\
129,19,5,de,de,PRE,19,Pre,Pre,de,C/(e)\
