wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,ref
1,1,1,comme,comme,201,Sub,Sub,comme,8s,ron,'C/V\.C/(e)\,"AlChart, no 2, v. 1"
2,1,2,oseroit,oseroit,201,Vfin,Vfin,oser,8s,ron,/V\.C/e\.'C/V\,"AlChart, no 2, v. 1"
3,1,3,la,la,201,Det,Det,le,8s,ron,C/V\,"AlChart, no 2, v. 1"
4,1,4,bouche,bouche,201,N,N,bouche,8s,ron,'C/V\.C/(e)\,"AlChart, no 2, v. 1"
5,1,5,dire,dire,201,Vinf,Vinf,dire,8s,ron,'C/V\.C/(e)\,"AlChart, no 2, v. 1"
6,2,1,ce,ce,202,Prn,Prn,ce,8s,ron,C/(e)\,"AlChart, no 2, v. 2"
7,2,2,que,que,202,Qux,Qux,que,8s,ron,C/(e)\,"AlChart, no 2, v. 2"
8,2,3,le,le,202,Det,Det,le,8s,ron,C/(e)\,"AlChart, no 2, v. 2"
9,2,4,cuer,cuer,202,N,N,coeur,8s,ron,C/V\,"AlChart, no 2, v. 2"
10,2,5,pas,pas,202,Neg,Neg,pas,8s,ron,C/V\,"AlChart, no 2, v. 2"
11,2,6,penser,penser,202,Vinf,Vinf,penser,8s,ron,C/V\.'C/V\,"AlChart, no 2, v. 2"
12,2,7,n',n',202,Neg,Neg$$,ne,8s,ron,C/\,"AlChart, no 2, v. 2"
13,2,8,ose,ose,202,Vfin,Vfin,oser,8s,ron,'/V\.C/(e)\,"AlChart, no 2, v. 2"
14,2,9,?,?,202,Pnc,Pnc,?,8s,ron,,"AlChart, no 2, v. 2"
15,3,1,comment,comment,203,Qux,Qux,comment,8s,ron,C/V\.'C/V\,"AlChart, no 2, v. 3"
16,3,2,requerray,requerray,203,Vfin,Vfin,requérir,8s,ron,C/V\.C/e\.'C/V\,"AlChart, no 2, v. 3"
17,3,3,je,je,203,Prn,Prn%,je,8s,ron,C/(e)\,"AlChart, no 2, v. 3"
18,3,4,la,la,203,Det,Det,le,8s,ron,C/V\,"AlChart, no 2, v. 3"
19,3,5,chose,chose,203,N,N,chose,8s,ron,'C/V\.C/(e)\,"AlChart, no 2, v. 3"
20,4,1,que,que,204,Qux,Qux,que,8s,ron,C/(e)\,"AlChart, no 2, v. 4"
21,4,2,je,je,204,Prn,Prn$,je,8s,ron,C/(e)\,"AlChart, no 2, v. 4"
22,4,3,n',n',204,Neg,Neg$$,ne,8s,ron,C/\,"AlChart, no 2, v. 4"
23,4,4,ay,ay,204,Vfin,Vfin,avoir,8s,ron,/V\,"AlChart, no 2, v. 4"
24,4,5,hardement,hardement,204,N,N,hardement,8s,ron,C/V\.C/e\.'C/V\,"AlChart, no 2, v. 4"
25,4,6,d',d',204,Pre,Pre,de,8s,ron,C/\,"AlChart, no 2, v. 4"
26,4,7,escrire,escrire,204,Vinf,Vinf,écrire,8s,ron,/V\.'C/V\.C/(e)\,"AlChart, no 2, v. 4"
27,4,8,?,?,204,Pnc,Pnc,?,8s,ron,,"AlChart, no 2, v. 4"
28,5,1,se,se,205,Sub,Sub,si3,8s,ron,C/(e)\,"AlChart, no 2, v. 5"
29,5,2,priere,priere,205,N,N,prière,8s,ron,C/V\.'C/V\.C/(e)\,"AlChart, no 2, v. 5"
30,5,3,actrait,actrait,205,Vfin,Vfin,attraire,8s,ron,/V\.'C/V\,"AlChart, no 2, v. 5"
31,5,4,escondire,escondire,205,Vinf,Vinf,escondire,8s,ron,/V\.C/V\.'C/V\.C/(e)\,"AlChart, no 2, v. 5"
32,5,5,",",",",205,Pnc,Pnc,",",8s,ron,,"AlChart, no 2, v. 5"
33,6,1,ma,ma,206,Det,Det,mon,8s,ron,C/V\,"AlChart, no 2, v. 6"
34,6,2,joye,joye,206,N,N,joie,8s,ron,'C/V\./(e)\,"AlChart, no 2, v. 6"
35,6,3,me,me,206,Prn,Prn$$,me,8s,ron,C/(e)\,"AlChart, no 2, v. 6"
36,6,4,sera,sera,206,Vfin,Vfin,être,8s,ron,C/V\.'C/V\,"AlChart, no 2, v. 6"
37,6,5,forclose,forclose,206,Vpp,Vpp,forclore,8s,ron,C/V\.'C/V\.C/(e)\,"AlChart, no 2, v. 6"
38,6,6,.,.,206,Pnc,Pnc,.,8s,ron,,"AlChart, no 2, v. 6"
39,7,1,mais,mais,209,Adv,Adv,mais,8s,ron,C/V\,"AlChart, no 2, v. 9"
40,7,2,",",",",209,Pnc,Pnc,",",8s,ron,,"AlChart, no 2, v. 9"
41,7,3,en,en,209,Prn,Prn$$,en2,8s,ron,/V\,"AlChart, no 2, v. 9"
42,7,4,doye,doye,209,Vfin,Vfin,devoir2,8s,ron,'C/V\./(e)\,"AlChart, no 2, v. 9"
43,7,5,plourer,plourer,209,Vinf,Vinf,pleurer,8s,ron,C/V\.'C/V\,"AlChart, no 2, v. 9"
44,7,6,ou,ou,209,Crd,Crd,ou,8s,ron,/V\,"AlChart, no 2, v. 9"
45,7,7,rire,rire,209,Vinf,Vinf,rire,8s,ron,'C/V\.C/(e)\,"AlChart, no 2, v. 9"
46,7,8,",",",",209,Pnc,Pnc,",",8s,ron,,"AlChart, no 2, v. 9"
47,8,1,ma,ma,210,Det,Det,mon,8s,ron,C/V\,"AlChart, no 2, v. 10"
48,8,2,pensee,pensee,210,N,N,pensée,8s,ron,C/V\.'C/V\./(e)\,"AlChart, no 2, v. 10"
49,8,3,sera,sera,210,Vfin,Vfin,être,8s,ron,C/V\.'C/V\,"AlChart, no 2, v. 10"
50,8,4,desclose,desclose,210,Vpp,Vpp,déclore,8s,ron,C/V\.'C/V\.C/(e)\,"AlChart, no 2, v. 10"
51,8,5,",",",",210,Pnc,Pnc,",",8s,ron,,"AlChart, no 2, v. 10"
52,9,1,car,car,211,Crd,Crd,car,8s,ron,C/V\,"AlChart, no 2, v. 11"
53,9,2,se,se,211,Sub,Sub,si3,8s,ron,C/(e)\,"AlChart, no 2, v. 11"
54,9,3,je,je,211,Prn,Prn$,je,8s,ron,C/(e)\,"AlChart, no 2, v. 11"
55,9,4,la,la,211,Prn,Prn$$,le,8s,ron,C/V\,"AlChart, no 2, v. 11"
56,9,5,tenoye,tenoye,211,Vfin,Vfin,tenir,8s,ron,C/V\.'C/V\./(e)\,"AlChart, no 2, v. 11"
57,9,6,close,close,211,Vpp,Vpp,clore,8s,ron,'C/V\.C/(e)\,"AlChart, no 2, v. 11"
58,9,7,",",",",211,Pnc,Pnc,",",8s,ron,,"AlChart, no 2, v. 11"
59,10,1,desir,desir,212,N,N,désir,8s,ron,C/V\.'C/V\,"AlChart, no 2, v. 12"
60,10,2,me,me,212,Prn,Prn$$,me,8s,ron,C/(e)\,"AlChart, no 2, v. 12"
61,10,3,pourroit,pourroit,212,Vfin,Vfin,pouvoir2,8s,ron,C/V\.'C/V\,"AlChart, no 2, v. 12"
62,10,4,bien,bien,212,Adv,Adv,bien,8s,ron,C/V\,"AlChart, no 2, v. 12"
63,10,5,occire,occire,212,Vinf,Vinf,occire,8s,ron,/V\.'C/V\.C/(e)\,"AlChart, no 2, v. 12"
64,10,6,.,.,212,Pnc,Pnc,.,8s,ron,,"AlChart, no 2, v. 12"
65,11,1,au,au,301,Pre+Det,Pre+Det,à.le,8s,ron,/V\,"AlChart, no 3, v. 1"
66,11,2,pouvre,pouvre,301,Adj,Adj,pauvre,8s,ron,'C/V\.C/(e)\,"AlChart, no 3, v. 1"
67,11,3,prisonner,prisonner,301,N,N,prisonnier,8s,ron,C/V\.C/V\.'C/V\,"AlChart, no 3, v. 1"
68,11,4,",",",",301,Pnc,Pnc,",",8s,ron,,"AlChart, no 3, v. 1"
69,11,5,ma,ma,301,Det,Det,mon,8s,ron,C/V\,"AlChart, no 3, v. 1"
70,11,6,dame,dame,301,N,N,dame,8s,ron,'C/V\.C/(e)\,"AlChart, no 3, v. 1"
71,11,7,",",",",301,Pnc,Pnc,",",8s,ron,,"AlChart, no 3, v. 1"
72,12,1,donnez,donnez,302,Vfin,Vfin,donner,8s,ron,C/V\.'C/V\,"AlChart, no 3, v. 2"
73,12,2,l',l',302,Det,Det,le,8s,ron,C/\,"AlChart, no 3, v. 2"
74,12,3,aumosne,aumosne,302,N,N,aumône,8s,ron,/V\.'C/V\.C/(e)\,"AlChart, no 3, v. 2"
75,12,4,de,de,302,Pre,Pre,de,8s,ron,C/(e)\,"AlChart, no 3, v. 2"
76,12,5,liece,liece,302,N,N,liesse,8s,ron,C/V\.'C/V\.C/(e)\,"AlChart, no 3, v. 2"
77,12,6,.,.,302,Pnc,Pnc,.,8s,ron,,"AlChart, no 3, v. 2"
78,13,1,j',j',303,Prn,Prn$,je,8s,ron,C/\,"AlChart, no 3, v. 3"
79,13,2,ay,ay,303,Vfin,Vfin,avoir,8s,ron,/V\,"AlChart, no 3, v. 3"
80,13,3,du,du,303,Pre+Det,Pre+Det,de.le,8s,ron,C/V\,"AlChart, no 3, v. 3"
81,13,4,tout,tout,303,QIs,QIs,tout,8s,ron,C/V\,"AlChart, no 3, v. 3"
82,13,5,",",",",303,Pnc,Pnc,",",8s,ron,,"AlChart, no 3, v. 3"
83,13,6,en,en,303,Pre,Pre,en,8s,ron,/V\,"AlChart, no 3, v. 3"
84,13,7,ceste,ceste,303,Dem,Dem,cist,8s,ron,'C/V\.C/(e)\,"AlChart, no 3, v. 3"
85,13,8,destraisse,destraisse,303,N,N,détresse,8s,ron,C/V\.'C/V\.C/(e)\,"AlChart, no 3, v. 3"
86,14,1,despendu,despendu,304,Vpp,Vpp,dépendre,8s,ron,C/V\.C/V\.'C/V\,"AlChart, no 3, v. 4"
87,14,2,mon,mon,304,Det,Det,mon,8s,ron,C/V\,"AlChart, no 3, v. 4"
88,14,3,plaisir,plaisir,304,N,N,plaisir,8s,ron,C/V\.'C/V\,"AlChart, no 3, v. 4"
89,14,4,",",",",304,Pnc,Pnc,",",8s,ron,,"AlChart, no 3, v. 4"
90,14,5,par,par,304,Pre,Pre,par,8s,ron,C/V\,"AlChart, no 3, v. 4"
91,14,6,m',m',304,Det,Det,mon,8s,ron,C/\,"AlChart, no 3, v. 4"
92,14,7,ame,ame,304,N,N,âme,8s,ron,'/V\.C/(e)\,"AlChart, no 3, v. 4"
93,14,8,.,.,304,Pnc,Pnc,.,8s,ron,,"AlChart, no 3, v. 4"
94,15,1,crainte,crainte,305,N,N,crainte,8s,ron,'C/V\.C/(e)\,"AlChart, no 3, v. 5"
95,15,2,m',m',305,Prn,Prn$$,me,8s,ron,C/\,"AlChart, no 3, v. 5"
96,15,3,assault,assault,305,Vfin,Vfin,assaillir,8s,ron,/V\.'C/V\,"AlChart, no 3, v. 5"
97,15,4,",",",",305,Pnc,Pnc,",",8s,ron,,"AlChart, no 3, v. 5"
98,15,5,desir,desir,305,N,N,désir,8s,ron,C/V\.'C/V\,"AlChart, no 3, v. 5"
99,15,6,m',m',305,Prn,Prn$$,me,8s,ron,C/\,"AlChart, no 3, v. 5"
100,15,7,enflamme,enflamme,305,Vfin,Vfin,enflammer,8s,ron,/V\.'C/V\.C/(e)\,"AlChart, no 3, v. 5"
101,15,8,.,.,305,Pnc,Pnc,.,8s,ron,,"AlChart, no 3, v. 5"
102,16,1,dangier,dangier,306,N,N,danger,8s,ron,C/V\.C/<V>\.'/V\,"AlChart, no 3, v. 6"
103,16,2,eslargier,eslargier,306,Vinf,Vinf,élarger,8s,ron,/V\.C/V\.'C/V\,"AlChart, no 3, v. 6"
104,16,3,ne,ne,306,Neg,Neg$$,ne,8s,ron,C/(e)\,"AlChart, no 3, v. 6"
105,16,4,me,me,306,Prn,Prn$$,me,8s,ron,C/(e)\,"AlChart, no 3, v. 6"
106,16,5,laisse,laisse,306,Vfin,Vfin,laisser,8s,ron,'C/V\.C/(e)\,"AlChart, no 3, v. 6"
107,16,6,.,.,306,Pnc,Pnc,.,8s,ron,,"AlChart, no 3, v. 6"
108,17,1,c',c',309,Prn,Prn$,ce,8s,ron,C/\,"AlChart, no 3, v. 9"
109,17,2,est,est,309,Vfin,Vfin,être,8s,ron,/V\,"AlChart, no 3, v. 9"
110,17,3,pour,pour,309,Pre,Pre,pour,8s,ron,C/V\,"AlChart, no 3, v. 9"
111,17,4,trop,trop,309,Adv,Adv,trop,8s,ron,C/V\,"AlChart, no 3, v. 9"
112,17,5,craindre,craindre,309,Vinf,Vinf,craindre,8s,ron,'C/V\.C/(e)\,"AlChart, no 3, v. 9"
113,17,6,et,et,309,Crd,Crd,et,8s,ron,/V\,"AlChart, no 3, v. 9"
114,17,7,doubter,doubter,309,Vinf,Vinf,douter,8s,ron,C/V\.'C/V\,"AlChart, no 3, v. 9"
115,17,8,blame,blame,309,N,N,blâme,8s,ron,'C/V\.C/(e)\,"AlChart, no 3, v. 9"
116,18,1,que,que,310,Sub,Sub,que,8s,ron,C/(e)\,"AlChart, no 3, v. 10"
117,18,2,si,si,310,Adv,Adv,si4,8s,ron,C/V\,"AlChart, no 3, v. 10"
118,18,3,dure,dure,310,Adj,Adj,dur,8s,ron,'C/V\.C/(e)\,"AlChart, no 3, v. 10"
119,18,4,prison,prison,310,N,N,prison,8s,ron,C/V\.'C/V\,"AlChart, no 3, v. 10"
120,18,5,me,me,310,Prn,Prn$$,me,8s,ron,C/(e)\,"AlChart, no 3, v. 10"
121,18,6,blesse,blesse,310,Vfin,Vfin,blesser,8s,ron,'C/V\.C/(e)\,"AlChart, no 3, v. 10"
122,18,7,.,.,310,Pnc,Pnc,.,8s,ron,,"AlChart, no 3, v. 10"
123,19,1,faites,faites,311,Vfin,Vfin,faire,8s,ron,'C/V\.C/e\,"AlChart, no 3, v. 11"
124,19,2,ycy,ycy,311,Adv,Adv,ici,8s,ron,/V\.'C/V\,"AlChart, no 3, v. 11"
125,19,3,voustre,voustre,311,Det,Det,votre,8s,ron,'C/V\.C/(e)\,"AlChart, no 3, v. 11"
126,19,4,largesse,largesse,311,N,N,largesse,8s,ron,C/V\.'C/V\.C/(e)\,"AlChart, no 3, v. 11"
127,19,5,",",",",311,Pnc,Pnc,",",8s,ron,,"AlChart, no 3, v. 11"
128,20,1,car,car,312,Crd,Crd,car,8s,ron,C/V\,"AlChart, no 3, v. 12"
129,20,2,oncques,oncques,312,Adv,Adv,onques,8s,ron,'/V\.C/e\,"AlChart, no 3, v. 12"
130,20,3,mais,mais,312,Adv,Adv,mais,8s,ron,C/V\,"AlChart, no 3, v. 12"
131,20,4,n',n',312,Neg,Neg$$,ne,8s,ron,C/\,"AlChart, no 3, v. 12"
132,20,5,en,en,312,Prn,Prn$$,en2,8s,ron,/V\,"AlChart, no 3, v. 12"
133,20,6,requis,requis,312,Vfin,Vfin,requérir,8s,ron,C/V\.'C/V\,"AlChart, no 3, v. 12"
134,20,7,ame,ame,312,N,N,âme,8s,ron,'/V\.C/(e)\,"AlChart, no 3, v. 12"
135,20,8,;,;,312,Pnc,Pnc,;,8s,ron,,"AlChart, no 3, v. 12"
136,21,1,ou,ou,401,Crd,Crd,ou,8s,ron,/V\,"AlChart, no 4, v. 1"
137,21,2,mon,mon,401,Det,Det,mon,8s,ron,C/V\,"AlChart, no 4, v. 1"
138,21,3,desir,desir,401,N,N,désir,8s,ron,C/V\.'C/V\,"AlChart, no 4, v. 1"
139,21,4,s',s',401,Prn,Prn$$,se,8s,ron,C/\,"AlChart, no 4, v. 1"
140,21,5,assouvira,assouvira,401,Vfin,Vfin,assouvir,8s,ron,/V\.C/V\.C/V\.'C/V\,"AlChart, no 4, v. 1"
141,22,1,ou,ou,402,Qux,Qux,où,8s,ron,/V\,"AlChart, no 4, v. 2"
142,22,2,ma,ma,402,Det,Det,mon,8s,ron,C/V\,"AlChart, no 4, v. 2"
143,22,3,tristece,tristece,402,N,N,tristesse,8s,ron,C/V\.'C/V\.C/(e)\,"AlChart, no 4, v. 2"
144,22,4,m',m',402,Prn,Prn$$,me,8s,ron,C/\,"AlChart, no 4, v. 2"
145,22,5,occira,occira,402,Vfin,Vfin,occire,8s,ron,/V\.C/V\.'C/V\,"AlChart, no 4, v. 2"
146,23,1,par,par,403,Pre,Pre,par,8s,ron,C/V\,"AlChart, no 4, v. 3"
147,23,2,vous,vous,403,Prn,Prn,vous,8s,ron,C/V\,"AlChart, no 4, v. 3"
148,23,3,",",",",403,Pnc,Pnc,",",8s,ron,,"AlChart, no 4, v. 3"
149,23,4,belle,belle,403,Adj,Adj,beau,8s,ron,'C/V\.C/(e)\,"AlChart, no 4, v. 3"
150,23,5,",",",",403,Pnc,Pnc,",",8s,ron,,"AlChart, no 4, v. 3"
151,23,6,prouchainnement,prouchainnement,403,Adv,Adv,prochainement,8s,ron,C/V\.C/V\.C/e\.'C/V\,"AlChart, no 4, v. 3"
152,23,7,",",",",403,Pnc,Pnc,",",8s,ron,,"AlChart, no 4, v. 3"
153,24,1,se,se,404,Sub,Sub,si3,8s,ron,C/(e)\,"AlChart, no 4, v. 4"
154,24,2,mon,mon,404,Det,Det,mon,8s,ron,C/V\,"AlChart, no 4, v. 4"
155,24,3,cuer,cuer,404,N,N,coeur,8s,ron,C/V\,"AlChart, no 4, v. 4"
156,24,4,quiert,quiert,404,Vfin,Vfin,quérir,8s,ron,C/V\,"AlChart, no 4, v. 4"
157,24,5,l',l',404,Det,Det,le,8s,ron,C/\,"AlChart, no 4, v. 4"
158,24,6,alegement,alegement,404,N,N,allégement,8s,ron,/V\.C/V\.C/e\.'C/V\,"AlChart, no 4, v. 4"
159,25,1,du,du,405,Pre+Det,Pre+Det,de.le,8s,ron,C/V\,"AlChart, no 4, v. 5"
160,25,2,mal,mal,405,N,N,mal,8s,ron,C/V\,"AlChart, no 4, v. 5"
161,25,3,que,que,405,Qux,Qux,que,8s,ron,C/(e)\,"AlChart, no 4, v. 5"
162,25,4,pour,pour,405,Pre,Pre,pour,8s,ron,C/V\,"AlChart, no 4, v. 5"
163,25,5,vous,vous,405,Prn,Prn$$,vous,8s,ron,C/V\,"AlChart, no 4, v. 5"
164,25,6,servir,servir,405,Vinf,Vinf,servir,8s,ron,C/V\.'C/V\,"AlChart, no 4, v. 5"
165,25,7,a,a,405,Vfin,Vfin,avoir,8s,ron,/V\,"AlChart, no 4, v. 5"
166,25,8,.,.,405,Pnc,Pnc,.,8s,ron,,"AlChart, no 4, v. 5"
167,26,1,un,un,406,QIs,QIs,un,8s,ron,/V\,"AlChart, no 4, v. 6"
168,26,2,de,de,406,Pre,Pre,de,8s,ron,C/(e)\,"AlChart, no 4, v. 6"
169,26,3,ces,ces,406,Dem,Dem,cist,8s,ron,C/V\,"AlChart, no 4, v. 6"
170,26,4,deux,deux,406,QIs,QIs,deux,8s,ron,C/V\,"AlChart, no 4, v. 6"
171,26,5,me,me,406,Prn,Prn$$,me,8s,ron,C/(e)\,"AlChart, no 4, v. 6"
172,26,6,souffira,souffira,406,Vfin,Vfin,suffire,8s,ron,C/V\.C/V\.'C/V\,"AlChart, no 4, v. 6"
173,26,7,",",",",406,Pnc,Pnc,",",8s,ron,,"AlChart, no 4, v. 6"
174,27,1,n',n',407,Crd,Crd,ne2,8s,ron,C/\,"AlChart, no 4, v. 7"
175,27,2,espoir,espoir,407,Adv,Adv,espoir2,8s,ron,/V\.'C/V\,"AlChart, no 4, v. 7"
176,27,3,plus,plus,407,Adv,Adv,plus,8s,ron,C/V\,"AlChart, no 4, v. 7"
177,27,4,ne,ne,407,Neg,Neg$$,ne,8s,ron,C/(e)\,"AlChart, no 4, v. 7"
178,27,5,me,me,407,Prn,Prn$$,me,8s,ron,C/(e)\,"AlChart, no 4, v. 7"
179,27,6,mentira,mentira,407,Vfin,Vfin,mentir,8s,ron,C/V\.C/V\.'C/V\,"AlChart, no 4, v. 7"
180,28,1,se,se,408,Sub,Sub,si3,8s,ron,C/(e)\,"AlChart, no 4, v. 8"
181,28,2,j',j',408,Prn,Prn$,je,8s,ron,C/\,"AlChart, no 4, v. 8"
182,28,3,ay,ay,408,Vfin,Vfin,avoir,8s,ron,/V\,"AlChart, no 4, v. 8"
183,28,4,de,de,408,Pre,Pre,de,8s,ron,C/(e)\,"AlChart, no 4, v. 8"
184,28,5,parler,parler,408,Vinf,Vinf,parler,8s,ron,C/V\.'C/V\,"AlChart, no 4, v. 8"
185,28,6,hardement,hardement,408,N,N,hardement,8s,ron,C/V\.C/e\.'C/V\,"AlChart, no 4, v. 8"
186,28,7,.,.,408,Pnc,Pnc,.,8s,ron,,"AlChart, no 4, v. 8"
187,29,1,tout,tout,412,QIs,QIs,tout,8s,ron,C/V\,"AlChart, no 4, v. 12"
188,29,2,bien,bien,412,N,N,bien,8s,ron,C/V\,"AlChart, no 4, v. 12"
189,29,3,ou,ou,412,Crd,Crd,ou,8s,ron,/V\,"AlChart, no 4, v. 12"
190,29,4,tout,tout,412,QIs,QIs,tout,8s,ron,C/V\,"AlChart, no 4, v. 12"
191,29,5,mal,mal,412,N,N,mal,8s,ron,C/V\,"AlChart, no 4, v. 12"
192,29,6,m',m',412,Prn,Prn$$,me,8s,ron,C/\,"AlChart, no 4, v. 12"
193,29,7,en,en,412,Prn,Prn$$,en2,8s,ron,/V\,"AlChart, no 4, v. 12"
194,29,8,yra,yra,412,Vfin,Vfin,aller,8s,ron,/V\.'C/V\,"AlChart, no 4, v. 12"
195,30,1,car,car,413,Crd,Crd,car,8s,ron,C/V\,"AlChart, no 4, v. 13"
196,30,2,",",",",413,Pnc,Pnc,",",8s,ron,,"AlChart, no 4, v. 13"
197,30,3,quant,quant,413,Sub,Sub,quand,8s,ron,C/V\,"AlChart, no 4, v. 13"
198,30,4,voustre,voustre,413,Det,Det,votre,8s,ron,'C/V\.C/(e)\,"AlChart, no 4, v. 13"
199,30,5,bouche,bouche,413,N,N,bouche,8s,ron,'C/V\.C/(e)\,"AlChart, no 4, v. 13"
200,30,6,dira,dira,413,Vfin,Vfin,dire,8s,ron,C/V\.'C/V\,"AlChart, no 4, v. 13"
201,31,1,ouÿ,ouÿ,414,NVP,NVP,oui,8s,ron,/V\.'C/V\,"AlChart, no 4, v. 14"
202,31,2,ou,ou,414,Crd,Crd,ou,8s,ron,/V\,"AlChart, no 4, v. 14"
203,31,3,nenny,nenny,414,NVP,NVP,nenni,8s,ron,C/V\.'C/V\,"AlChart, no 4, v. 14"
204,31,4,seulement,seulement,414,Adv,Adv,seulement,8s,ron,C/V\.C/e\.'C/V\,"AlChart, no 4, v. 14"
205,31,5,",",",",414,Pnc,Pnc,",",8s,ron,,"AlChart, no 4, v. 14"
206,32,1,dont,dont,416,Adv,Adv,donc,8s,ron,C/V\,"AlChart, no 4, v. 16"
207,32,2,mon,mon,416,Det,Det,mon,8s,ron,C/V\,"AlChart, no 4, v. 16"
208,32,3,dueil,dueil,416,N,N,deuil,8s,ron,C/V\,"AlChart, no 4, v. 16"
209,32,4,ou,ou,416,Crd,Crd,ou,8s,ron,/V\,"AlChart, no 4, v. 16"
210,32,5,moy,moy,416,Prn,Prn,moi,8s,ron,C/V\,"AlChart, no 4, v. 16"
211,32,6,finera,finera,416,Vfin,Vfin,finer,8s,ron,C/V\.C/e\.'C/V\,"AlChart, no 4, v. 16"
