wd_id,line_id,linewd,word,lex_id,textlineid,pos_nca,syntag,syntag2,lemma,syllabified,ref
1,1,1,per,per,1,PRE,Pre,Pre,par,C/V\,"JPriorat, v. 1"
2,1,2,bon,bon,1,ADJ:obj:masc:sg,Adj,Adj,bon,C/V\,"JPriorat, v. 1"
3,1,3,aür,aür,1,NOM:obj:masc:sg,N,N,heur,/(V)\.'/V\,"JPriorat, v. 1"
4,1,4,ici,ici,1,ADV,Adv,Adv,ici,/V\.'C/V\,"JPriorat, v. 1"
5,1,5,comance,comance,1,VER:pres:3:sg,Vfin,Vfin,commencer,C/V\.'C/V\.C/(e)\,"JPriorat, v. 1"
6,1,6,",",",",1,PON,Pnc,Pnc,",",,"JPriorat, v. 1"
7,2,1,u,u,2,PREDET:en:obj:masc:sg,Pre+Det,Pre+Det,en.le,/V\,"JPriorat, v. 2"
8,2,2,non,non,2,NOM:obj:masc:sg,N,N,nom,C/V\,"JPriorat, v. 2"
9,2,3,de,de,2,PRE,Pre,Pre,de,C/(e)\,"JPriorat, v. 2"
10,2,4,deu,deu,2,NOM:obj:masc:sg,N,N,dieu,C/V\,"JPriorat, v. 2"
11,2,5,",",",",2,PON,Pnc,Pnc,",",,"JPriorat, v. 2"
12,2,6,li,li,2,DET:def:suj:femi:sg,Det,Det,le,C/V\,"JPriorat, v. 2"
13,2,7,abrejance,abrejance,2,NOM:suj:femi:sg,N,N,abrégeance,/V\.C/e\.'C/V\.C/(e)\,"JPriorat, v. 2"
14,3,1,de,de,3,PRE,Pre,Pre,de,C/(e)\,"JPriorat, v. 3"
15,3,2,l',l',3,DET:def:obj:masc:sg,Det,Det,le,C/\,"JPriorat, v. 3"
16,3,3,ordre,ordre,3,NOM:obj:masc:sg,N,N,ordre,'/V\.C/(e)\,"JPriorat, v. 3"
17,3,4,de,de,3,PRE,Pre,Pre,de,C/(e)\,"JPriorat, v. 3"
18,3,5,chevalerie,chevalerie,3,NOM:obj:femi:sg,N,N,chevalerie,C/V\.C/V\.C/e\.'C/V\./(e)\,"JPriorat, v. 3"
19,4,1,comant,comant,4,ADV,Qux,Qux,comment,C/V\.'C/V\,"JPriorat, v. 4"
20,4,2,doit,doit,4,VER:pres:3:sg,Vfin,Vfin,devoir2,C/V\,"JPriorat, v. 4"
21,4,3,estre,estre,4,VER:infi,Vinf,Vinf,être,'/V\.C/(e)\,"JPriorat, v. 4"
22,4,4,estaublie,estaublie,4,VER:pper:femi:sg,Vpp,Vpp,établir,/V\.C/V\.'C/V\./(e)\,"JPriorat, v. 4"
23,4,5,.,.,4,PON,Pnc,Pnc,.,,"JPriorat, v. 4"
24,5,1,faite,faite,5,VER:pper:femi:sg,Vpp,Vpp,faire,'C/V\.C/(e)\,"JPriorat, v. 5"
25,5,2,fu,fu,5,VER:simp:3:sg,Vfin,Vfin,être,C/V\,"JPriorat, v. 5"
26,5,3,per,per,5,PRE,Pre,Pre,par,C/V\,"JPriorat, v. 5"
27,5,4,noble,noble,5,ADJ:obj:masc:sg,Adj,Adj,noble,'C/V\.C/(e)\,"JPriorat, v. 5"
28,5,5,home,home,5,NOM:obj:masc:sg,N,N,homme,'/V\.C/(e)\,"JPriorat, v. 5"
29,5,6,et,et,5,CON:coord,Crd,Crd,et,/V\,"JPriorat, v. 5"
30,5,7,saive,saive,5,ADJ:obj:masc:sg,Adj,Adj,sage,'C/V\.C/(e)\,"JPriorat, v. 5"
31,6,1,c',c',6,PROCON,Qux,Qux,que,C/\,"JPriorat, v. 6"
32,6,2,on,on,6,PRO:invar,Prn,Prn$,on,/V\,"JPriorat, v. 6"
33,6,3,apeloit,apeloit,6,VER:impf:3:sg,Vfin,Vfin,appeler,/V\.C/e\.'C/V\,"JPriorat, v. 6"
34,6,4,vegece,vegece,6,NPR:obj:masc:sg,N,N,Végèce,C/V\.'C/V\.C/(e)\,"JPriorat, v. 6"
35,6,5,flaive,flaive,6,NPR:obj:masc:sg,N,N,Flavius,'C/V\.C/(e)\,"JPriorat, v. 6"
36,6,6,.,.,6,PON,Pnc,Pnc,.,,"JPriorat, v. 6"
37,7,1,per,per,7,PRE,Pre,Pre,par,C/V\,"JPriorat, v. 7"
38,7,2,quatre,quatre,7,ADJ:card,QIs,QIs,quatre,'C/V\.C/(e)\,"JPriorat, v. 7"
39,7,3,livres,livres,7,NOM:obj:masc:pl,N,N,livre,'C/V\.C/e\,"JPriorat, v. 7"
40,7,4,devisez,devisez,7,VER:pper:masc:pl,Vpp,Vpp,deviser,C/V\.C/V\.'C/V\,"JPriorat, v. 7"
41,8,1,le,le,8,PRO:pers:obj:3:masc:sg:unb,Prn,Prn$$,le,C/(e)\,"JPriorat, v. 8"
42,8,2,troveroiz,troveroiz,8,VER:futu:2:pl,Vfin,Vfin,trouver,C/V\.C/e\.'C/V\,"JPriorat, v. 8"
43,8,3,",",",",8,PON,Pnc,Pnc,",",,"JPriorat, v. 8"
44,8,4,s,s,8,PROCON,Sub,Sub,si3,C/\,"JPriorat, v. 8"
45,8,5,avant,avant,8,PRE,PrA,PrA,avant,/V\.'C/V\,"JPriorat, v. 8"
46,8,6,lisez,lisez,8,VER:pres:2:pl,Vfin,Vfin,lire,C/V\.'C/V\,"JPriorat, v. 8"
47,8,7,.,.,8,PON,Pnc,Pnc,.,,"JPriorat, v. 8"
48,9,1,li,li,9,DET:def:suj:masc:sg,Det,Det,le,C/V\,"JPriorat, v. 9"
49,9,2,premiers,premiers,9,ADJ:ord:suj:masc:sg,Adj,Adj,premier,C/V\.C/<V>\.'/V\,"JPriorat, v. 9"
50,9,3,livres,livres,9,NOM:suj:masc:sg,N,N,livre,'C/V\.C/e\,"JPriorat, v. 9"
51,9,4,nos,nos,9,PRO:pers:1:pl,Prn,Prn$$,nous,C/V\,"JPriorat, v. 9"
52,9,5,ensoingne,ensoingne,9,VER:pres:3:sg,Vfin,Vfin,enseigner,/V\.'C/V\.C/(e)\,"JPriorat, v. 9"
53,9,6,",",",",9,PON,Pnc,Pnc,",",,"JPriorat, v. 9"
54,10,1,vegeces,vegeces,10,NPR:suj:masc:sg,N,N,Végèce,C/V\.'C/V\.C/e\,"JPriorat, v. 10"
55,10,2,flaives,flaives,10,NPR:suj:masc:sg,N,N,Flavius,'C/V\.C/e\,"JPriorat, v. 10"
56,10,3,le,le,10,PRO:pers:obj:3:masc:sg:unb,Prn,Prn$$,le,C/(e)\,"JPriorat, v. 10"
57,10,4,tesmoingne,tesmoingne,10,VER:pres:3:sg,Vfin,Vfin,témoigner,C/V\.'C/V\.C/(e)\,"JPriorat, v. 10"
58,10,5,",",",",10,PON,Pnc,Pnc,",",,"JPriorat, v. 10"
59,11,1,et,et,11,CON:coord,Crd,Crd,et,/V\,"JPriorat, v. 11"
60,11,2,eslire,eslire,11,VER:infi,Vinf,Vinf,élire,/V\.'C/V\.C/(e)\,"JPriorat, v. 11"
61,11,3,las,las,11,DET:def:obj:masc:pl,Det,Det,le,C/V\,"JPriorat, v. 11"
62,11,4,jovanciaux,jovanciaux,11,NOM:obj:masc:pl,N,N,jouvenceau,C/V\.C/V\.'C/V\,"JPriorat, v. 11"
63,12,1,et,et,12,CON:coord,Crd,Crd,et,/V\,"JPriorat, v. 12"
64,12,2,especiaulmant,especiaulmant,12,ADV,Adv,Adv,espécialement,/V\.C/V\.C/{V}\./V\.'C/V\,"JPriorat, v. 12"
65,12,3,iciaux,iciaux,12,PRO:demo:obj:masc:pl,Dem,Dem,cil,/V\.'C/V\,"JPriorat, v. 12"
66,13,1,das,das,13,PREDET:de:obj:masc:pl,Pre+Det,Pre+Det,de.le,C/V\,"JPriorat, v. 13"
67,13,2,quex,quex,13,ADJ:obj:masc:pl,Qux,Qux,quel,C/V\,"JPriorat, v. 13"
68,13,3,leus,leus,13,NOM:obj:masc:pl,N,N,lieu,C/V\,"JPriorat, v. 13"
69,13,4,et,et,13,CON:coord,Crd,Crd,et,/V\,"JPriorat, v. 13"
70,13,5,das,das,13,PREDET:de:obj:femi:pl,Pre+Det,Pre+Det,de.le,C/V\,"JPriorat, v. 13"
71,13,6,quex,quex,13,ADJ:obj:femi:pl,Qux,Qux,quel,C/V\,"JPriorat, v. 13"
72,13,7,contrees,contrees,13,NOM:obj:femi:pl,N,N,contrée,C/V\.'C/V\./e\,"JPriorat, v. 13"
73,13,8,",",",",13,PON,Pnc,Pnc,",",,"JPriorat, v. 13"
74,14,1,as,as,14,PREDET:a:obj:masc:pl,Pre+Det,Pre+Det,à.le,/V\,"JPriorat, v. 14"
75,14,2,quex,quex,14,ADJ:obj:masc:pl,Qux,Qux,quel,C/V\,"JPriorat, v. 14"
76,14,3,seront,seront,14,VER:futu:3:pl,Vfin,Vfin,être,C/V\.'C/V\,"JPriorat, v. 14"
77,14,4,armes,armes,14,NOM:suj:femi:pl,N,N,arme,'/V\.C/e\,"JPriorat, v. 14"
78,14,5,donees,donees,14,VER:pper:femi:pl,Vpp,Vpp,donner,C/V\.'C/V\./e\,"JPriorat, v. 14"
79,14,6,;,;,14,PON,Pnc,Pnc,;,,"JPriorat, v. 14"
80,15,1,et,et,15,CON:coord,Crd,Crd,et,/V\,"JPriorat, v. 15"
81,15,2,quex,quex,15,ADJ:obj:masc:pl,Qux,Qux,quel,C/V\,"JPriorat, v. 15"
82,15,3,chevaliers,chevaliers,15,NOM:obj:masc:pl,N,N,chevalier,C/V\.C/V\.'C/V\,"JPriorat, v. 15"
83,15,4,on,on,15,PRO:invar,Prn,Prn$,on,/V\,"JPriorat, v. 15"
84,15,5,doit,doit,15,VER:pres:3:sg,Vfin,Vfin,devoir2,C/V\,"JPriorat, v. 15"
85,15,6,prandre,prandre,15,VER:infi,Vinf,Vinf,prendre,'C/V\.C/(e)\,"JPriorat, v. 15"
86,16,1,a,a,16,PRE,Pre,Pre,à,/V\,"JPriorat, v. 16"
87,16,2,l',l',16,DET:def:obj:masc:sg,Det,Det,le,C/\,"JPriorat, v. 16"
88,16,3,usaige,usaige,16,NOM:obj:masc:sg,N,N,usage,/V\.'C/V\.C/(e)\,"JPriorat, v. 16"
89,16,4,d',d',16,PRE,Pre,Pre,de,C/\,"JPriorat, v. 16"
90,16,5,armes,armes,16,NOM:obj:femi:pl,N,N,arme,'/V\.C/e\,"JPriorat, v. 16"
91,16,6,aprandre,aprandre,16,VER:infi,Vinf,Vinf,apprendre,/V\.'C/V\.C/(e)\,"JPriorat, v. 16"
92,16,7,;,;,16,PON,Pnc,Pnc,;,,"JPriorat, v. 16"
93,17,1,comant,comant,17,ADV,Qux,Qux,comment,C/V\.'C/V\,"JPriorat, v. 17"
94,17,2,on,on,17,PRO:invar,Prn,Prn$,on,/V\,"JPriorat, v. 17"
95,17,3,las,las,17,PRO:pers:acc:3:masc:pl,Prn,Prn$$,le,C/V\,"JPriorat, v. 17"
96,17,4,doit,doit,17,VER:pres:3:sg,Vfin,Vfin,devoir2,C/V\,"JPriorat, v. 17"
97,17,5,aprover,aprover,17,VER:infi,Vinf,Vinf,approuver,/V\.C/V\.'C/V\,"JPriorat, v. 17"
98,17,6,",",",",17,PON,Pnc,Pnc,",",,"JPriorat, v. 17"
99,18,1,si,si,18,PROCON,Adv,Adv,si4,C/V\,"JPriorat, v. 18"
100,18,2,c',c',18,PROCON,Sub,Sub,que,C/\,"JPriorat, v. 18"
101,18,3,on,on,18,PRO:invar,Prn,Prn$,on,/V\,"JPriorat, v. 18"
102,18,4,puisse,puisse,18,VER:subp:3:sg,Vfin,Vfin,pouvoir2,'C/V\.C/(e)\,"JPriorat, v. 18"
103,18,5,a,a,18,PRE,Pre,Pre,à,/V\,"JPriorat, v. 18"
104,18,6,aux,aux,18,PRO:pers:acc:3:masc:pl:bet,Prn,Prn,eux,/V\,"JPriorat, v. 18"
105,18,7,recovrer,recovrer,18,VER:infi,Vinf,Vinf,recouvrer,C/V\.C/V\.'C/V\,"JPriorat, v. 18"
106,19,1,au,au,19,PREDET:a:obj:masc:sg,Pre+Det,Pre+Det,à.le,/V\,"JPriorat, v. 19"
107,19,2,grant,grant,19,ADJ:obj:masc:sg,Adj,Adj,grand,C/V\,"JPriorat, v. 19"
108,19,3,besoing,besoing,19,NOM:obj:masc:sg,N,N,besoin,C/V\.'C/V\,"JPriorat, v. 19"
109,19,4,per,per,19,PRE,Pre,Pre,par,C/V\,"JPriorat, v. 19"
110,19,5,la,la,19,DET:def:obj:femi:sg,Det,Det,le,C/V\,"JPriorat, v. 19"
111,19,6,vaillance,vaillance,19,NOM:obj:femi:sg,N,N,vaillance,C/V\.'C/V\.C/(e)\,"JPriorat, v. 19"
112,20,1,que,que,20,PROCON,Qux,Qux,que,C/(e)\,"JPriorat, v. 20"
113,20,2,lor,lor,20,PRO:pers:dat:3:pl,Prn,Prn$$,leur,C/V\,"JPriorat, v. 20"
114,20,3,donra,donra,20,VER:futu:3:sg,Vfin,Vfin,donner,C/V\.'C/V\,"JPriorat, v. 20"
115,20,4,acostumance,acostumance,20,NOM:suj:femi:sg,N,N,accoutumance,/V\.C/V\.C/V\.'C/V\.C/(e)\,"JPriorat, v. 20"
116,20,5,.,.,20,PON,Pnc,Pnc,.,,"JPriorat, v. 20"
117,21,1,li,li,21,DET:def:suj:masc:sg,Det,Det,le,C/V\,"JPriorat, v. 21"
