wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,ref
1,1,1,un,un,1,QIs,QIs,un,/V\,"ChevDame, v. 1"
2,1,2,chivaler,chivaler,1,N,N,chevalier,C/V\.C/V\.'C/V\,"ChevDame, v. 1"
3,1,3,jadis,jadis,1,Adv,Adv,jadis,C/V\.'C/V\,"ChevDame, v. 1"
4,1,4,estoit,estoit,1,Vfin,Vfin,être,/V\.'C/V\,"ChevDame, v. 1"
5,1,5,",",",",1,Pnc,Pnc,",",,"ChevDame, v. 1"
6,2,1,ke,ke,2,Qux,Qux,que,C/(e)\,"ChevDame, v. 2"
7,2,2,femme,femme,2,N,N,femme,'C/V\.C/(e)\,"ChevDame, v. 2"
8,2,3,e,e,2,Crd,Crd,et,/V\,"ChevDame, v. 2"
9,2,4,enfaunz,enfaunz,2,N,N,enfant,/V\.'C/V\,"ChevDame, v. 2"
10,2,5,avoit,avoit,2,Vfin,Vfin,avoir,/V\.'C/V\,"ChevDame, v. 2"
11,2,6,;,;,2,Pnc,Pnc,;,,"ChevDame, v. 2"
12,3,1,de,de,3,Pre,Pre,de,C/(e)\,"ChevDame, v. 3"
13,3,2,sun,sun,3,Det,Det,son4,C/V\,"ChevDame, v. 3"
14,3,3,cors,cors,3,N,N,corps,C/V\,"ChevDame, v. 3"
15,3,4,esteit,esteit,3,Vfin,Vfin,être,/V\.'C/V\,"ChevDame, v. 3"
16,3,5,tres,tres,3,Adv,Adv,très,C/V\,"ChevDame, v. 3"
17,3,6,pruz,pruz,3,Adj,Adj,preux,C/V\,"ChevDame, v. 3"
18,3,7,",",",",3,Pnc,Pnc,",",,"ChevDame, v. 3"
19,4,1,a,a,4,Pre,Pre,à,/V\,"ChevDame, v. 4"
20,4,2,tuz,tuz,4,QIs,QIs,tout,C/V\,"ChevDame, v. 4"
21,4,3,esteit,esteit,4,Vfin,Vfin,être,/V\.'C/V\,"ChevDame, v. 4"
22,4,4,corteis,corteis,4,Adj,Adj,courtois,C/V\.'C/V\,"ChevDame, v. 4"
23,4,5,e,e,4,Crd,Crd,et,/V\,"ChevDame, v. 4"
24,4,6,druz,druz,4,Adj,Adj,dru,C/V\,"ChevDame, v. 4"
25,4,7,.,.,4,Pnc,Pnc,.,,"ChevDame, v. 4"
26,5,1,sa,sa,5,Det,Det,son4,C/V\,"ChevDame, v. 5"
27,5,2,femme,femme,5,N,N,femme,'C/V\.C/(e)\,"ChevDame, v. 5"
28,5,3,estoit,estoit,5,Vfin,Vfin,être,/V\.'C/V\,"ChevDame, v. 5"
29,5,4,bone,bone,5,Adj,Adj,bon,'C/V\.C/(e)\,"ChevDame, v. 5"
30,5,5,dame,dame,5,N,N,dame,'C/V\.C/(e)\,"ChevDame, v. 5"
31,5,6,",",",",5,Pnc,Pnc,",",,"ChevDame, v. 5"
32,6,1,de,de,6,Pre,Pre,de,C/(e)\,"ChevDame, v. 6"
33,6,2,vilainie,vilainie,6,N,N,vilenie,C/V\.C/V\.'C/V\./(e)\,"ChevDame, v. 6"
34,6,3,n',n',6,Neg,Neg$$,ne,C/\,"ChevDame, v. 6"
35,6,4,out,out,6,Vfin,Vfin,avoir,/V\,"ChevDame, v. 6"
36,6,5,unkes,unkes,6,Adv,Adv,onques,'/V\.C/e\,"ChevDame, v. 6"
37,6,6,blame,blame,6,N,N,blâme,'C/V\.C/(e)\,"ChevDame, v. 6"
38,6,7,;,;,6,Pnc,Pnc,;,,"ChevDame, v. 6"
39,7,1,seint,seint,7,Adj,Adj,saint,C/V\,"ChevDame, v. 7"
40,7,2,esglise,esglise,7,N,N,église,/V\.'C/V\.C/(e)\,"ChevDame, v. 7"
41,7,3,mult,mult,7,QIs,QIs,moult,C/V\,"ChevDame, v. 7"
42,7,4,amoit,amoit,7,Vfin,Vfin,aimer,/V\.'C/V\,"ChevDame, v. 7"
43,7,5,",",",",7,Pnc,Pnc,",",,"ChevDame, v. 7"
