wd_id,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified
1,Certainne,certainne,201,Adj,Adj,certain,C/V\.'C/V\.C/(e)\
2,cose,cose,201,N,N,,'C/V\.C/(e)\
3,est,est,201,Vfin,Vfin,être,/V\
4,que,que,201,Sub,Sub,que,C/(e)\
5,li,li,201,Det,Det,le,C/V\
6,oppinions,oppinions,201,N,N,,/V\.C/V\.C/{V}\.'/V\
7,communelment,communelment,201,Adv,Adv,,C/V\.C/V\.C/V\.'C/V\
8,des,des,201,Pre+Det,Pre+Det,de.le,C/V\
9,Englés,englés,201,Adj,Adj,,/V\.'C/V\
10,est,est,202,Vfin,Vfin,être,/V\
11,telle,telle,202,Adj,Adj,tel,'C/V\.C/(e)\
12,—,—,202,Pnc,Pnc,,
13,et,et,202,Crd,Crd,et,/V\
14,ja,ja,202,Adv,Adv,jà,C/V\
15,par,par,202,Pre,Pre,par,C/V\
16,experiense,experiense,202,N,N,,/V\.C/V\.C/V\.'C/V\.C/(e)\
17,l',l',202,Prn,Prn$$,le,C/\
18,a,a,202,Vfin,Vfin,avoir,/V\
19,on,on,202,Prn,Prn%,on,/V\
20,veu,veü,202,Vpp,Vpp,voir,C/(V)\.'/V\
21,avenir,avenir,202,Vinf,Vinf,avenir,/V\.C/e\.'C/V\
22,en,en,202,Pre,Pre,en,/V\
23,Engleterre,engleterre,202,N,N,,/V\.C/e\.'C/V\.C/(e)\
24,puis,puis,202,PrA,PrA,puis,C/V\
25,le,le,202,Det,Det,le,C/(e)\
26,tamps,tamps,203,N,N,,C/V\
27,le,le,203,Det,Det,le,C/(e)\
28,vaillant,vaillant,203,Vprs,Vprs,valoir,C/V\.'C/V\
29,roy,roy,203,N,N,,C/V\
30,Edouwart,edouwart,203,N,N,,/V\.C/V\.'C/V\
31,qui,qui,203,Qux,Qux,qui,C/V\
32,fu,fu,203,Vfin,Vfin,être,C/V\
33,tayons,tayons,203,N,N,,C/V\.'C/V\
34,à,à,203,Pre,Pre,à,/V\
35,celui,celui,203,Dem,Dem,cil,C/V\.'C/V\
36,Edouwart,edouwart,203,N,N,,/V\.C/V\.'C/V\
37,dont,dont,203,Qux,Qux,dont,C/V\
38,je,je,204,Prn,Prn$,je,C/(e)\
39,ferai,ferai,204,Vfin,Vfin,faire,C/V\.'C/V\
40,enssuiwant,enssuiwant,204,Vprs,Vprs,ensuivre,/V\.C/V\.'C/V\
41,mention,mention,204,N,N,,C/V\.C/{V}\.'/V\
42,et,et,204,Crd,Crd,et,/V\
43,sour,sour,204,PrA,PrA,sur,C/V\
44,qui,qui,204,Qux,Qux,qui,C/V\
45,ceste,ceste,204,Dem,Dem,cist,'C/V\.C/(e)\
46,histoire,histoire,204,N,N,,/V\.'C/V\.C/(e)\
47,est,est,204,Vfin,Vfin,être,/V\
48,coummenchie,coummenchie,204,Vpp,Vpp,commencer,C/V\.C/V\.'C/V\./(e)\
49,—,—,205,Pnc,Pnc,,
50,que,que,205,Sub,Sub,que,C/(e)\
51,apriés,apriés,205,PrA,PrA,après,/V\.'C/V\
52,ung,ung,205,QIs,QIs,un,/V\
53,vaillant,vaillant,205,Vprs,Vprs,valoir,C/V\.'C/V\
54,roy,roy,205,N,N,,C/V\
55,on,on,205,Prn,Prn$,on,/V\
56,en,en,205,Prn,Prn$$,en2,/V\
57,a,a,205,Vfin,Vfin,avoir,/V\
58,veu,veü,205,Vpp,Vpp,voir,C/(V)\.'/V\
59,resgner,resgner,205,Vinf,Vinf,,C/V\.'C/V\
60,ung,ung,205,QIs,QIs,un,/V\
61,mains,mains,205,Adv,Adv,moins,C/V\
62,vaillant,vaillant,206,Vprs,Vprs,valoir,C/V\.'C/V\
63,.,.,206,Pnc,Pnc,,
64,Et,et,206,Crd,Crd,et,/V\
65,encorrez,encorrëz,206,Adv,Adv,encore,/V\.'C/V\.C/e\
66,chils,chils,206,Dem,Dem,cil,C/V\
67,bons,bons,206,Adj,Adj,bon,C/V\
68,roys,roys,206,N,N,,C/V\
69,Edouars,edouars,206,N,N,,/V\.C/V\.'C/V\
70,qui,qui,206,Qux,Qux,qui,C/V\
71,tant,tant,206,QIs,QIs,tant,C/V\
72,eult,eult,206,Vfin,Vfin,avoir,/V\
73,affaire,affaire,206,N,N,,/V\.'C/V\.C/(e)\
74,as,as,206,Pre+Det,Pre+Det,à.le,/V\
75,Danois,danois,207,N,N,,C/V\.'C/V\
76,et,et,207,Crd,Crd,et,/V\
77,as,as,207,Pre+Det,Pre+Det,à.le,/V\
78,Escos,escos,207,N,N,,/V\.'C/V\
79,et,et,207,Crd,Crd,et,/V\
80,qui,qui,207,Qux,Qux,qui,C/V\
81,les,les,207,Prn,Prn$$,le,C/V\
82,desconfi,desconfi,207,Vfin,Vfin,déconfire,C/V\.C/V\.'C/V\
83,par,par,207,Pre,Pre,par,C/V\
84,pluiseurs,pluiseurs,207,QIs,QIs,plusieurs,C/V\.'C/V\
85,fois,fois,207,N,N,,C/V\
86,en,en,207,Pre,Pre,en,/V\
87,bataille,bataille,207,N,N,,C/V\.'C/V\.C/(e)\
88,",",",",207,Pnc,Pnc,,
89,ses,ses,208,Det,Det,son4,C/V\
90,fils,fils,208,N,N,,C/V\
91,li,li,208,Det,Det,le,C/V\
92,seconds,seconds,208,Adj,Adj,,C/V\.'C/V\
93,Edouars,edouars,208,N,N,,/V\.C/V\.'C/V\
94,ne,ne,208,Neg,Neg$$,ne,C/(e)\
95,fu,fu,208,Vfin,Vfin,être,C/V\
96,mies,mies,208,Neg,Neg,mie3,'C/V\./e\
97,si,si,208,Adv,Adv,si4,C/V\
98,vaillans,vaillans,208,Vprs,Vprs,valoir,C/V\.'C/V\
99,ne,ne,208,Crd,Crd,ne2,C/(e)\
100,si,si,208,Adv,Adv,si4,C/V\
101,renoummés,renoummés,208,Vpp,Vpp,,C/V\.C/V\.'C/V\
102,ne,ne,208,Crd,Crd,ne2,C/(e)\
103,plains,plains,209,Adj,Adj,plein,C/V\
104,de,de,209,Pre,Pre,de,C/(e)\
105,si,si,209,Adv,Adv,si4,C/V\
106,grant,grant,209,Adj,Adj,grand,C/V\
107,prudense,prudense,209,N,N,,C/V\.'C/V\.C/(e)\
108,que,que,209,Sub,Sub,que,C/(e)\
109,li,li,209,Det,Det,le,C/V\
110,roys,roys,209,N,N,,C/V\
111,ses,ses,209,Det,Det,son4,C/V\
112,peres,peres,209,N,N,,'C/V\.C/e\
113,avoit,avoit,209,Vfin,Vfin,avoir,/V\.'C/V\
114,estet,estét,209,Vpp,Vpp,être,/V\.'C/V\
115,.,.,209,Pnc,Pnc,,
116,Et,et,209,Crd,Crd,et,/V\
117,gouvrena,gouvrena,210,Vfin,Vfin,,C/V\.C/V\.'C/V\
118,son,son,210,Det,Det,son4,C/V\
119,royaumme,royaumme,210,N,N,,C/V\.'C/V\.C/(e)\
120,nichement,nichement,210,Adv,Adv,,C/V\.C/e\.'C/V\
121,et,et,210,Crd,Crd,et,/V\
122,simplement,simplement,210,Adv,Adv,,C/V\.C/e\.'C/V\
123,par,par,210,Pre,Pre,par,C/V\
124,mauvais,mauvais,210,Adj,Adj,,C/V\.'C/V\
125,consseil,consseil,211,N,N,,C/V\.'C/V\
126,dont,dont,211,Qux,Qux,dont,C/V\
127,depuis,depuis,211,PrA,PrA,depuis,C/V\.'C/V\
128,il,il,211,Prn,Prn$,il,/V\
129,l',l',211,Prn,Prn$$,le,C/\
130,en,en,211,Prn,Prn$$,en2,/V\
131,mescey,mescey,211,Vfin,Vfin,méchoir,C/V\.'C/V\
132,",",",",211,Pnc,Pnc,,
133,moult,moult,211,QIs,QIs,moult,C/V\
134,laidement,laidement,211,Adv,Adv,,C/V\.C/e\.'C/V\
135,car,car,211,Crd,Crd,car,C/V\
136,assés,assés,211,Adv,Adv,assez,/V\.'C/V\
137,tost,tost,211,Adv,Adv,tôt,C/V\
138,apriés,apriés,212,PrA,PrA,après,/V\.'C/V\
139,ce,ce,212,Prn,Prn,ce,C/(e)\
140,qu',qu',212,Sub,Sub,que,C/\
141,il,il,212,Prn,Prn$,il,/V\
142,fu,fu,212,Vfin,Vfin,être,C/V\
143,courounnés,courounnés,212,Vpp,Vpp,,C/V\.C/V\.'C/V\
144,",",",",212,Pnc,Pnc,,
145,li,li,212,Det,Det,le,C/V\
146,rois,rois,212,N,N,,C/V\
147,Robers,robers,212,N,N,,C/V\.'C/V\
148,de,de,212,Pre,Pre,de,C/(e)\
149,Breus,breus,212,N,N,,C/(V)\.'/V\
150,qui,qui,212,Qux,Qux,qui,C/V\
151,estoit,estoit,212,Vfin,Vfin,être,/V\.'C/V\
152,rois,rois,212,N,N,,C/V\
153,d',d',213,Pre,Pre,de,C/\
154,Escoce,escoce,213,N,N,,/V\.'C/V\.C/(e)\
155,et,et,213,Crd,Crd,et,/V\
156,qui,qui,213,Qux,Qux,qui,C/V\
157,tant,tant,213,QIs,QIs,tant,C/V\
158,avoit,avoit,213,Vfin,Vfin,avoir,/V\.'C/V\
159,gueriiet,gueriiét,213,Vpp,Vpp,guerroyer,C/V\.C/V\.'C/V\
160,au,au,213,Pre+Det,Pre+Det,à.le,/V\
161,roy,roy,213,N,N,,C/V\
162,Edouwart,edouwart,213,N,N,,/V\.C/V\.'C/V\
163,le,le,213,Det,Det,le,C/(e)\
164,pere,pere,213,N,N,,'C/V\.C/(e)\
165,à,à,213,Pre,Pre,à,/V\
166,celui,celui,213,Dem,Dem,cil,C/V\.'C/V\
167,dont,dont,214,Qux,Qux,dont,C/V\
168,je,je,214,Prn,Prn$,je,C/(e)\
169,parle,parle,214,Vfin,Vfin,parler,'C/V\.C/(e)\
170,",",",",214,Pnc,Pnc,,
171,reconquist,reconquist,214,Vfin,Vfin,reconquérir,C/V\.C/V\.'C/V\
172,touttes,touttes,214,QIs,QIs,tout,'C/V\.C/e\
173,les,les,214,Det,Det,le,C/V\
174,villes,villes,214,N,N,,'C/V\.C/e\
175,et,et,214,Crd,Crd,et,/V\
176,les,les,214,Det,Det,le,C/V\
177,castiaux,castiaux,214,N,N,,C/V\.'C/V\
178,en,en,214,Pre,Pre,en,/V\
179,Escoche,escoche,214,N,N,,/V\.'C/V\.C/(e)\
180,qui,qui,215,Qux,Qux,qui,C/V\
181,avoient,avoient,215,Vfin,Vfin,avoir,/V\.'C/V\./e\
182,estet,estét,215,Vpp,Vpp,être,/V\.'C/V\
183,concquis,concquis,215,Vpp,Vpp,conquérir,C/V\.'C/V\
184,et,et,215,Crd,Crd,et,/V\
