wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,ref
1,1,1,horä,horä,1,Adv,Adv,or,'/V\.C/e\,"Passion, v. 1"
2,1,2,vos,vos,1,Prn,Prn$$,vous,C/V\,"Passion, v. 1"
3,1,3,dic,dic,1,Vfin,Vfin,dire,C/V\,"Passion, v. 1"
4,1,4,verä,verä,1,Adj,Adj,voir,'C/V\.C/(e)\,"Passion, v. 1"
5,1,5,raizun,raizun,1,N,N,raison,C/V\.'C/V\,"Passion, v. 1"
6,2,1,de,de,2,Pre,Pre,de,C/(e)\,"Passion, v. 2"
7,2,2,jesú,jesú,2,N,N,Jesus,C/V\.'C/V\,"Passion, v. 2"
8,2,3,christi,christi,2,N,N,Christus,'C/V\.C/e\,"Passion, v. 2"
9,2,4,passiun,passiun,2,N,N,passion,C/V\.C/{V}\.'/V\,"Passion, v. 2"
10,2,5,:,:,2,Pnc,Pnc,:,,"Passion, v. 2"
11,3,1,los,los,3,Det,Det,le,C/V\,"Passion, v. 3"
12,3,2,sos,sos,3,Adj,Adj,sien,C/V\,"Passion, v. 3"
13,3,3,affanz,affanz,3,N,N,ahan,/V\.'C/V\,"Passion, v. 3"
14,3,4,vol,vol,3,Vfin,Vfin,vouloir,C/V\,"Passion, v. 3"
15,3,5,remembrar,remembrar,3,Vinf,Vinf,remembrer,C/V\.C/V\.'C/V\,"Passion, v. 3"
16,4,1,per,per,4,Pre,Pre,par,C/V\,"Passion, v. 4"
17,4,2,que,que,4,Qux,Qux,que,C/(e)\,"Passion, v. 4"
18,4,3,cest,cest,4,Dem,Dem,cist,C/V\,"Passion, v. 4"
19,4,4,mund,mund,4,N,N,monde,C/V\,"Passion, v. 4"
20,4,5,tot,tot,4,QIs,QIs,tout,C/V\,"Passion, v. 4"
21,4,6,a,a,4,Vfin,Vfin,avoir,/V\,"Passion, v. 4"
22,4,7,salvad,salvad,4,Vpp,Vpp,sauver,C/V\.'C/V\,"Passion, v. 4"
23,4,8,.,.,4,Pnc,Pnc,.,,"Passion, v. 4"
24,5,1,trentä,trentä,5,QIs,QIs,trente,'C/V\.C/(e)\,"Passion, v. 5"
25,5,2,tres,tres,5,QIs,QIs,trois,C/V\,"Passion, v. 5"
26,5,3,anz,anz,5,N,N,an,/V\,"Passion, v. 5"
27,5,4,et,et,5,Crd,Crd,et,/V\,"Passion, v. 5"
28,5,5,alques,alques,5,Adv,Adv,auques,'/V\.C/e\,"Passion, v. 5"
29,5,6,plus,plus,5,Adv,Adv,plus,C/V\,"Passion, v. 5"
30,5,7,",",",",5,Pnc,Pnc,",",,"Passion, v. 5"
31,6,1,des,dés,6,Pre,Pre,dès,C/V\,"Passion, v. 6"
32,6,2,que,que,6,Sub,Sub,que,C/(e)\,"Passion, v. 6"
33,6,3,carn,carn,6,N,N,chair,C/V\,"Passion, v. 6"
34,6,4,pres,pres,6,Vfin,Vfin,prendre,C/V\,"Passion, v. 6"
35,6,5,",",",",6,Pnc,Pnc,",",,"Passion, v. 6"
36,6,6,in,in,6,Pre,Pre,en,/V\,"Passion, v. 6"
37,6,7,terrä,terrä,6,N,N,terre,'C/V\.C/(e)\,"Passion, v. 6"
38,6,8,fu,fu,6,Vfin,Vfin,être,C/V\,"Passion, v. 6"
39,6,9,.,.,6,Pnc,Pnc,.,,"Passion, v. 6"
40,7,1,per,per,7,Pre,Pre,par,C/V\,"Passion, v. 7"
41,7,2,tot,tot,7,QIs,QIs,tout,C/V\,"Passion, v. 7"
42,7,3,obred,obred,7,Vfin,Vfin,oeuvrer,/V\.'C/V\,"Passion, v. 7"
43,7,4,que,que,7,Sub,Sub,que,C/(e)\,"Passion, v. 7"
44,7,5,verus,verus,7,Adj,Adj,verus,C/V\.'C/V\,"Passion, v. 7"
45,7,6,deus,deus,7,N,N,deus,C/V\,"Passion, v. 7"
46,7,7,",",",",7,Pnc,Pnc,",",,"Passion, v. 7"
47,8,1,per,per,8,Pre,Pre,par,C/V\,"Passion, v. 8"
48,8,2,tot,tot,8,QIs,QIs,tout,C/V\,"Passion, v. 8"
49,8,3,sosteg,sosteg,8,Vfin,Vfin,soutenir,C/V\.'C/V\,"Passion, v. 8"
50,8,4,que,que,8,Sub,Sub,que,C/(e)\,"Passion, v. 8"
51,8,5,hom,hom,8,N,N,homme,/V\,"Passion, v. 8"
52,8,6,carnels,carnels,8,Adj,Adj,charnel,C/V\.'C/V\,"Passion, v. 8"
53,8,7,.,.,8,Pnc,Pnc,.,,"Passion, v. 8"
54,9,1,peccad,peccad,9,N,N,péché,C/V\.'C/V\,"Passion, v. 9"
55,9,2,negun,negun,9,QIs,QIs,negun,C/V\.'C/V\,"Passion, v. 9"
56,9,3,unque,unque,9,Adv,Adv,onques,'/V\.C/(e)\,"Passion, v. 9"
57,9,4,non,non,9,Neg,Neg$$,ne,C/V\,"Passion, v. 9"
58,9,5,fiz,fiz,9,Vfin,Vfin,faire,C/V\,"Passion, v. 9"
59,9,6,",",",",9,Pnc,Pnc,",",,"Passion, v. 9"
60,10,1,per,per,10,Pre,Pre,par,C/V\,"Passion, v. 10"
61,10,2,eps,eps,10,Adj,Adj,es,/V\,"Passion, v. 10"
62,10,3,los,los,10,Det,Det,le,C/V\,"Passion, v. 10"
63,10,4,nostres,nostres,10,Adj,Adj,notre,'C/V\.C/e\,"Passion, v. 10"
64,10,5,fu,fu,10,Vfin,Vfin,être,C/V\,"Passion, v. 10"
65,10,6,aucis,aucis,10,Vpp,Vpp,occire,/V\.'C/V\,"Passion, v. 10"
66,10,7,.,.,10,Pnc,Pnc,.,,"Passion, v. 10"
67,11,1,la,la,11,Det,Det,le,C/V\,"Passion, v. 11"
68,11,2,suä,suä,11,Adj,Adj,sien,'C/V\./(e)\,"Passion, v. 11"
69,11,3,morz,morz,11,N,N,mort,C/V\,"Passion, v. 11"
70,11,4,vidä,vidä,11,N,N,vie,'C/V\.C/(e)\,"Passion, v. 11"
71,11,5,nos,nos,11,Prn,Prn$$,nous,C/V\,"Passion, v. 11"
72,11,6,rend,rend,11,Vfin,Vfin,rendre,C/V\,"Passion, v. 11"
73,11,7,",",",",11,Pnc,Pnc,",",,"Passion, v. 11"
74,12,1,sa,sa,12,Det,Det,son,C/V\,"Passion, v. 12"
75,12,2,passiuns,passiuns,12,N,N,passion,C/V\.C/V\.'C/V\,"Passion, v. 12"
76,12,3,toz,toz,12,QIs,QIs,tout,C/V\,"Passion, v. 12"
77,12,4,nos,nos,12,Prn,Prn,nous,C/V\,"Passion, v. 12"
78,12,5,redenps,redenps,12,Vfin,Vfin,raiembre,C/V\.'C/V\,"Passion, v. 12"
79,12,6,.,.,12,Pnc,Pnc,.,,"Passion, v. 12"
80,13,1,cum,cum,13,Sub,Sub,comme,C/V\,"Passion, v. 13"
81,13,2,aproismed,aproismed,13,Vfin,Vfin,approismer,/V\.C/V\.'C/V\,"Passion, v. 13"
82,13,3,sa,sa,13,Det,Det,son,C/V\,"Passion, v. 13"
83,13,4,passiuns,passiuns,13,N,N,passion,C/V\.C/V\.'C/V\,"Passion, v. 13"
84,14,1,-,-,14,Pnc,Pnc,-,,"Passion, v. 14"
85,14,2,cho,cho,14,Prn,Prn$,ce,C/V\,"Passion, v. 14"
86,14,3,fu,fu,14,Vfin,Vfin,être,C/V\,"Passion, v. 14"
87,14,4,nosträ,nosträ,14,Det,Det,notre,'C/V\.C/(e)\,"Passion, v. 14"
88,14,5,redemptions,redemptions,14,N,N,rédemption,C/V\.C/V\.C/{V}\.'/V\,"Passion, v. 14"
89,14,6,-,-,14,Pnc,Pnc,-,,"Passion, v. 14"
90,14,7,",",",",14,Pnc,Pnc,",",,"Passion, v. 14"
91,15,1,aproismer,aproismer,15,Vinf,Vinf,approismer,/V\.C/V\.'C/V\,"Passion, v. 15"
92,15,2,vol,vol,15,Vfin,Vfin,vouloir,C/V\,"Passion, v. 15"
93,15,3,a,a,15,Pre,Pre,à,/V\,"Passion, v. 15"
94,15,4,la,la,15,Det,Det,le,C/V\,"Passion, v. 15"
95,15,5,ciutat,ciutat,15,N,N,cité,C/V\.'C/V\,"Passion, v. 15"
96,15,6,:,:,15,Pnc,Pnc,:,,"Passion, v. 15"
97,16,1,afanz,afanz,16,N,N,ahan,/V\.'C/V\,"Passion, v. 16"
98,16,2,per,per,16,Pre,Pre,par,C/V\,"Passion, v. 16"
99,16,3,nos,nos,16,Prn,Prn,nous,C/V\,"Passion, v. 16"
100,16,4,susteg,susteg,16,Vfin,Vfin,soutenir,C/V\.'C/V\,"Passion, v. 16"
101,16,5,mult,mult,16,QIs,QIs,moult,C/V\,"Passion, v. 16"
102,16,6,granz,granz,16,Adj,Adj,grand,C/V\,"Passion, v. 16"
103,16,7,.,.,16,Pnc,Pnc,.,,"Passion, v. 16"
104,17,1,cum,cum,17,Sub,Sub,comme,C/V\,"Passion, v. 17"
105,17,2,el,el,17,Prn,Prn$,il,/V\,"Passion, v. 17"
106,17,3,perveing,perveing,17,Vfin,Vfin,parvenir,C/V\.'C/V\,"Passion, v. 17"
107,17,4,a,a,17,Pre,Pre,à,/V\,"Passion, v. 17"
108,17,5,betfagé,betfagé,17,N,N,Bethphagé,C/V\.C/V\.'C/V\,"Passion, v. 17"
109,18,1,-,-,18,Pnc,Pnc,-,,"Passion, v. 18"
110,18,2,vil',vil',18,N,N,ville,C/V\,"Passion, v. 18"
111,18,3,es,es,18,Vfin,Vfin,être,/V\,"Passion, v. 18"
112,18,4,desoz,desoz,18,PrA,PrA,dessous,C/V\.'C/V\,"Passion, v. 18"
113,18,5,mont,mont,18,N,N,mont,C/V\,"Passion, v. 18"
114,18,6,olivet,olivet,18,N,N,olivier,/V\.C/V\.'C/V\,"Passion, v. 18"
115,18,7,-,-,18,Pnc,Pnc,-,,"Passion, v. 18"
116,18,8,",",",",18,Pnc,Pnc,",",,"Passion, v. 18"
117,19,1,avant,avant,19,PrA,PrA,avant,/V\.'C/V\,"Passion, v. 19"
118,19,2,dels,dels,19,Pre+Det,Pre+Det,de.le,C/V\,"Passion, v. 19"
119,19,3,sos,sos,19,Adj,Adj,sien,C/V\,"Passion, v. 19"
120,19,4,dos,dos,19,QIs,QIs,deux,C/V\,"Passion, v. 19"
121,19,5,enveied,enveied,19,Vfin,Vfin,envoyer,/V\.C/V\.'C/V\,"Passion, v. 19"
122,19,6,",",",",19,Pnc,Pnc,",",,"Passion, v. 19"
123,20,1,un,un,20,QIs,QIs,un,/V\,"Passion, v. 20"
124,20,2,asne,asne,20,N,N,âne,'/V\.C/(e)\,"Passion, v. 20"
125,20,3,adducere,adducere,20,Vinf,Vinf,aduire,/V\.'C/V\.C/(e)\,"Passion, v. 20"
