wd_id,line_id,linewd,word,lex_id,pos_nca,syntag,syntag2,syllabified,lemma,ref,tei_right,tei_left
1,1,1,se,se,PROCON,Sub,Sub,C/(e)\,si,"Coincy, II Mir 22, v. 1",,<text><body><pb n=&quot;190&quot;/><div type=&quot;chapter&quot; n=&quot;II Mir 22&quot;><head>Les Miracles Nostre Dame de Soissons</head><lg><l n=&quot;1&quot;>
2,1,2,diex,diex,NOM:suj:masc:sg,N,N,C/V\,dieu,"Coincy, II Mir 22, v. 1",,
3,1,3,m',m',PRO:pers:obj:1:sg:unb,Prn,Prn$$,C/\,me,"Coincy, II Mir 22, v. 1",,
4,1,4,aït,aït,VER:subp:3:sg,Vfin,Vfin,/V\.'C/V\,aider,"Coincy, II Mir 22, v. 1",,
5,1,5,hui,hui,ADV,Adv,Adv,/V\,hui,"Coincy, II Mir 22, v. 1",,
6,1,6,et,et,CON:coord,Crd,Crd,/V\,et,"Coincy, II Mir 22, v. 1",,
7,1,7,demain,demain,ADV,Adv,Adv,C/V\.'C/V\,demain,"Coincy, II Mir 22, v. 1",</l>,
8,2,1,tanz,tanz,DET:ind:obj:masc:pl,QIs,QIs,C/V\,tant,"Coincy, II Mir 22, v. 2",,<l n=&quot;2&quot;>
9,2,2,myracles,myracles,NOM:obj:masc:pl,N,N,C/V\.'C/V\.C/e\,miracle,"Coincy, II Mir 22, v. 2",,
10,2,3,me,me,PRO:pers:obj:1:sg:unb,Prn,Prn$$,C/(e)\,me,"Coincy, II Mir 22, v. 2",,
11,2,4,vient,vient,VER:pres:3:sg,Vfin,Vfin,C/V\,venir,"Coincy, II Mir 22, v. 2",,
12,2,5,a,a,PRE,Pre,Pre,/V\,à,"Coincy, II Mir 22, v. 2",,
13,2,6,main,main,NOM:obj:femi:sg,N,N,C/V\,main,"Coincy, II Mir 22, v. 2",</l>,
14,3,1,en,en,PRE,Pre,Pre,/V\,en,"Coincy, II Mir 22, v. 3",,<l n=&quot;3&quot;>
15,3,2,un,un,DET:ndf:obj:masc:sg,QIs,QIs,/V\,un,"Coincy, II Mir 22, v. 3",,
16,3,3,grant,grant,ADJ:obj:masc:sg,Adj,Adj,C/V\,grand,"Coincy, II Mir 22, v. 3",,
17,3,4,livre,livre,NOM:obj:masc:sg,N,N,'C/V\.C/(e)\,livre,"Coincy, II Mir 22, v. 3",,
18,3,5,ou,ou,PROCON,Qux,Qux,/V\,où,"Coincy, II Mir 22, v. 3",,
19,3,6,je,je,PRO:pers:suj:1:sg:unb,Prn,Prn$,C/(e)\,je,"Coincy, II Mir 22, v. 3",,
20,3,7,les,lés,PRO:pers:acc:3:masc:pl,Prn,Prn$$,C/V\,le,"Coincy, II Mir 22, v. 3",,
21,3,8,puis,puis,VER:pres:1:sg,Vfin,Vfin,C/V\,puiser,"Coincy, II Mir 22, v. 3",</l>,
22,4,1,que,que,PROCON,Sub,Sub,C/(e)\,que,"Coincy, II Mir 22, v. 4",,<l n=&quot;4&quot;>
