wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,verstype,subtype,syllabified,ref
1,1,1,chançon,chançon,101,N,N,,7s,---,C/V\.'C/V\,"ConBeth, chanson 1, v. 1"
2,1,2,legiere,legiere,101,Adj,Adj,,7s,---,C/V\.'C/V\.C/(e)\,"ConBeth, chanson 1, v. 1"
3,1,3,a,a,101,Pre,Pre,à,7s,---,/V\,"ConBeth, chanson 1, v. 1"
4,1,4,entendre,entendre,101,Vinf,Vinf,entendre,7s,---,/V\.'C/V\.C/(e)\,"ConBeth, chanson 1, v. 1"
5,2,1,ferai,ferai,102,Vfin,Vfin,faire,7s,---,C/V\.'C/V\,"ConBeth, chanson 1, v. 2"
6,2,2,",",",",102,Pnc,Pnc,,7s,---,,"ConBeth, chanson 1, v. 2"
7,2,3,car,car,102,Crd,Crd,car,7s,---,C/V\,"ConBeth, chanson 1, v. 2"
8,2,4,bien,bien,102,Adv,Adv,bien,7s,---,C/V\,"ConBeth, chanson 1, v. 2"
9,2,5,m',m',102,Prn,Prn$$,me,7s,---,C/\,"ConBeth, chanson 1, v. 2"
10,2,6,est,est,102,Vfin,Vfin,être,7s,---,/V\,"ConBeth, chanson 1, v. 2"
11,2,7,mestiers,mestiers,102,N,N,,7s,---,C/V\.'C/V\,"ConBeth, chanson 1, v. 2"
12,3,1,ke,ke,103,Sub,Sub,que,7s,---,C/(e)\,"ConBeth, chanson 1, v. 3"
13,3,2,chascuns,chascuns,103,QIs,QIs,chacun,7s,---,C/V\.'C/V\,"ConBeth, chanson 1, v. 3"
14,3,3,le,le,103,Prn,Prn$$,le,7s,---,C/(e)\,"ConBeth, chanson 1, v. 3"
15,3,4,puist,puist,103,Vfin,Vfin,pouvoir2,7s,---,C/V\,"ConBeth, chanson 1, v. 3"
16,3,5,aprendre,aprendre,103,Vinf,Vinf,apprendre,7s,---,/V\.'C/V\.C/(e)\,"ConBeth, chanson 1, v. 3"
17,4,1,et,et,104,Crd,Crd,et,7s,---,/V\,"ConBeth, chanson 1, v. 4"
18,4,2,c',c',104,Sub,Sub,que,7s,---,C/\,"ConBeth, chanson 1, v. 4"
19,4,3,on,on,104,Prn,Prn$,on,7s,---,/V\,"ConBeth, chanson 1, v. 4"
20,4,4,le,le,104,Prn,Prn$$,le,7s,---,C/(e)\,"ConBeth, chanson 1, v. 4"
21,4,5,chant,chant,104,Vfin,Vfin,chanter,7s,---,C/V\,"ConBeth, chanson 1, v. 4"
22,4,6,volentiers,volentiers,104,Adv,Adv,volontiers,7s,---,C/V\.C/V\.'C/V\,"ConBeth, chanson 1, v. 4"
23,4,7,;,;,104,Pnc,Pnc,,7s,---,,"ConBeth, chanson 1, v. 4"
24,5,1,ne,ne,105,Crd,Crd,ne2,7s,---,C/(e)\,"ConBeth, chanson 1, v. 5"
25,5,2,par,par,105,Pre,Pre,par,7s,---,C/V\,"ConBeth, chanson 1, v. 5"
26,5,3,autres,autres,105,Adj,Adj,autre,7s,---,'/V\.C/e\,"ConBeth, chanson 1, v. 5"
27,5,4,messaigiers,messaigiers,105,N,N,,7s,---,C/V\.C/V\.'C/V\,"ConBeth, chanson 1, v. 5"
