wd_id,word,lex_id,pos_nca,para_id,syntag,syntag2,lemma,syllabified
1,de,de,PRE,12,Pre,Pre,de,C/(e)\
2,ces,ces,DET:demo:obj:masc:pl,12,Dem,Dem,cist,C/V\
3,messages,messages,NOM:obj:masc:pl,12,N,N,,C/V\.'C/V\.C/e\
4,envoia,envoia,VER:simp:3:sg,12,Vfin,Vfin,envoyer,/V\.C/V\.'C/V\
5,thiebauz,thiebauz,NPR:suj:masc:sg,12,N,N,,C/V\.C/e\.'C/V\
6,li,li,DET:def:suj:masc:sg,12,Det,Det,le,C/V\
7,quens,quens,NOM:suj:masc:sg,12,N,N,,C/V\
8,de,de,PRE,12,Pre,Pre,de,C/(e)\
9,campaigne,campaigne,NPR:obj:femi:sg,12,N,N,,C/V\.'C/V\.C/(e)\
10,et,et,CON:coord,12,Crd,Crd,et,/V\
11,de,de,PRE,12,Pre,Pre,de,C/(e)\
12,brie,brie,NPR:obj:femi:sg,12,N,N,,'C/V\./(e)\
13,.ii.,.ii.,ADJ:card,12,QIs,QIs,deux,C/V\
14,et,et,CON:coord,12,Crd,Crd,et,/V\
15,baudoins,baudoins,NPR:suj:masc:sg,12,N,N,,C/V\.'C/V\
16,li,li,DET:def:suj:masc:sg,12,Det,Det,le,C/V\
17,quens,quens,NOM:suj:masc:sg,12,N,N,,C/V\
18,de,de,PRE,12,Pre,Pre,de,C/(e)\
19,flandres,flandres,NPR:obj:femi:pl,12,N,N,,'C/V\.C/e\
20,et,et,CON:coord,12,Crd,Crd,et,/V\
21,hennaut,hennaut,NPR:obj:masc:sg,12,N,N,,C/V\.'C/V\
22,.ii.,.ii.,ADJ:card,12,QIs,QIs,deux,C/V\
23,et,et,CON:coord,12,Crd,Crd,et,/V\
24,lois,loïs,NPR:suj:masc:sg,12,N,N,,C/V\.'C/V\
25,li,li,DET:def:suj:masc:sg,12,Det,Det,le,C/V\
26,quens,quens,NOM:suj:masc:sg,12,N,N,,C/V\
27,de,de,PRE,12,Pre,Pre,de,C/(e)\
28,blois,blois,NPR:obj:masc:sg,12,N,N,,C/V\
29,.ii.,.ii.,ADJ:card,12,QIs,QIs,deux,C/V\
30,li,li,DET:def:suj:masc:pl,12,Det,Det,le,C/V\
31,message,message,NOM:suj:masc:pl,12,N,N,,C/V\.'C/V\.C/(e)\
32,le,le,DET:def:obj:masc:sg,12,Det,Det,le,C/(e)\
33,conte,conte,NOM:obj:masc:sg,12,N,N,,'C/V\.C/(e)\
34,thebaut,thebaut,NPR:obj:masc:sg,12,N,N,,C/V\.'C/V\
35,furent,furent,VER:simp:3:pl,12,Vfin,Vfin,être,'C/V\.C/e\
36,jofrois,jofrois,NPR:suj:masc:sg,12,N,N,,C/V\.'C/V\
37,de,de,PRE,12,Pre,Pre,de,C/(e)\
38,vileardoin,vileardoin,NPR:obj:masc:sg,12,N,N,,C/V\.C/e\.C/V\.C/V\.'C/V\
39,li,li,DET:def:suj:masc:sg,12,Det,Det,le,C/V\
40,mareschaus,mareschaus,NOM:suj:masc:sg,12,N,N,,C/V\.C/V\.'C/V\
41,de,de,PRE,12,Pre,Pre,de,C/(e)\
42,campaingne,campaingne,NPR:obj:femi:sg,12,N,N,,C/V\.'C/V\.C/(e)\
43,et,et,CON:coord,12,Crd,Crd,et,/V\
44,miles,miles,NPR:suj:masc:sg,12,N,N,,'C/V\.C/e\
45,li,li,DET:def:suj:masc:sg,12,Det,Det,le,C/V\
46,braibanz,braibanz,NOM:suj:masc:sg,12,N,N,,C/V\.'C/V\
47,et,et,CON:coord,12,Crd,Crd,et,/V\
48,li,li,DET:def:suj:masc:pl,12,Det,Det,le,C/V\
49,message,message,NOM:suj:masc:pl,12,N,N,,C/V\.'C/V\.C/(e)\
50,le,le,DET:def:obj:masc:sg,12,Det,Det,le,C/(e)\
51,conte,conte,NOM:obj:masc:sg,12,N,N,,'C/V\.C/(e)\
52,baudoin,baudoin,NPR:obj:masc:sg,12,N,N,,C/V\.C/V\.'C/V\
53,furent,furent,VER:simp:3:pl,12,Vfin,Vfin,être,'C/V\.C/e\
