wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,versetype,subtype,syllabified,ref
1,1,1,dame,dame,2601,N,N,dame,7s,---,'C/V\.C/(e)\,"AdHaleChans, chanson 26, v. 1"
2,1,2,",",",",2601,Pnc,Pnc,",",7s,---,,"AdHaleChans, chanson 26, v. 1"
3,1,3,vos,vos,2601,Det,Det,votre,7s,---,C/V\,"AdHaleChans, chanson 26, v. 1"
4,1,4,hom,hom,2601,N,N,homme,7s,---,/V\,"AdHaleChans, chanson 26, v. 1"
5,1,5,vous,vous,2601,Prn,Prn$$,vous,7s,---,C/V\,"AdHaleChans, chanson 26, v. 1"
6,1,6,estrine,estrine,2601,Vfin,Vfin,étrenner,7s,---,/V\.'C/V\.C/(e)\,"AdHaleChans, chanson 26, v. 1"
7,2,1,d',d',2602,Pre,Pre,de,7s,---,C/\,"AdHaleChans, chanson 26, v. 2"
8,2,2,une,une,2602,QIs,QIs,un,7s,---,'/V\.C/(e)\,"AdHaleChans, chanson 26, v. 2"
9,2,3,nouvele,nouvele,2602,Adj,Adj,nouveau,7s,---,C/V\.'C/V\.C/(e)\,"AdHaleChans, chanson 26, v. 2"
10,2,4,canchon,canchon,2602,N,N,chanson,7s,---,C/V\.'C/V\,"AdHaleChans, chanson 26, v. 2"
11,2,5,:,:,2602,Pnc,Pnc,:,7s,---,,"AdHaleChans, chanson 26, v. 2"
12,3,1,or,or,2603,Adv,Adv,or,7s,---,/V\,"AdHaleChans, chanson 26, v. 3"
13,3,2,venrai,venrai,2603,Vfin,Vfin,venir,7s,---,C/V\.'C/V\,"AdHaleChans, chanson 26, v. 3"
14,3,3,a,a,2603,Pre,Pre,à,7s,---,/V\,"AdHaleChans, chanson 26, v. 3"
15,3,4,vostre,vostre,2603,Det,Det,votre,7s,---,'C/V\.C/(e)\,"AdHaleChans, chanson 26, v. 3"
16,3,5,don,don,2603,N,N,don,7s,---,C/V\,"AdHaleChans, chanson 26, v. 3"
17,4,1,se,se,2604,Sub,Sub,si3,7s,---,C/(e)\,"AdHaleChans, chanson 26, v. 4"
18,4,2,courtoissie,courtoissie,2604,N,N,courtoisie,7s,---,C/V\.C/V\.'C/V\./(e)\,"AdHaleChans, chanson 26, v. 4"
19,4,3,i,i,2604,Prn,Prn$$,y,7s,---,/V\,"AdHaleChans, chanson 26, v. 4"
20,4,4,est,est,2604,Vfin,Vfin,être,7s,---,/V\,"AdHaleChans, chanson 26, v. 4"
21,4,5,fine,fine,2604,Adj,Adj,fin2,7s,---,'C/V\.C/(e)\,"AdHaleChans, chanson 26, v. 4"
22,4,6,?,?,2604,Pnc,Pnc,?,7s,---,,"AdHaleChans, chanson 26, v. 4"
23,5,1,je,je,2605,Prn,Prn$,je,7s,---,C/(e)\,"AdHaleChans, chanson 26, v. 5"
24,5,2,vous,vous,2605,Prn,Prn$$,vous,7s,---,C/V\,"AdHaleChans, chanson 26, v. 5"
25,5,3,aim,aim,2605,Vfin,Vfin,aimer,7s,---,/V\,"AdHaleChans, chanson 26, v. 5"
26,5,4,sans,sans,2605,Pre,Pre,sans,7s,---,C/V\,"AdHaleChans, chanson 26, v. 5"
27,5,5,traison,traison,2605,N,N,trahison,7s,---,C/V\.C/V\.'C/V\,"AdHaleChans, chanson 26, v. 5"
28,5,6,—,—,2605,Pnc,Pnc,—,7s,---,,"AdHaleChans, chanson 26, v. 5"
29,6,1,a,a,2606,Pre,Pre,à,7s,---,/V\,"AdHaleChans, chanson 26, v. 6"
30,6,2,tort,tort,2606,N,N,tort,7s,---,C/V\,"AdHaleChans, chanson 26, v. 6"
31,6,3,m',m',2606,Prn,Prn$$,me,7s,---,C/\,"AdHaleChans, chanson 26, v. 6"
32,6,4,en,en,2606,Prn,Prn$$,en,7s,---,/V\,"AdHaleChans, chanson 26, v. 6"
33,6,5,portés,portés,2606,Vfin,Vfin,porter,7s,---,C/V\.'C/V\,"AdHaleChans, chanson 26, v. 6"
34,6,6,querine,querine,2606,N,N,corine,7s,---,C/V\.'C/V\.C/(e)\,"AdHaleChans, chanson 26, v. 6"
35,6,7,",",",",2606,Pnc,Pnc,",",7s,---,,"AdHaleChans, chanson 26, v. 6"
36,7,1,car,car,2607,Crd,Crd,car,7s,---,C/V\,"AdHaleChans, chanson 26, v. 7"
37,7,2,com,com,2607,Sub,Sub,comme,7s,---,C/V\,"AdHaleChans, chanson 26, v. 7"
38,7,3,plus,plus,2607,Adv,Adv,plus,7s,---,C/V\,"AdHaleChans, chanson 26, v. 7"
39,7,4,avés,avés,2607,Vfin,Vfin,avoir,7s,---,/V\.'C/V\,"AdHaleChans, chanson 26, v. 7"
40,7,5,fuison,fuison,2607,N,N,foison,7s,---,C/V\.'C/V\,"AdHaleChans, chanson 26, v. 7"
41,8,1,de,de,2608,Pre,Pre,de,7s,---,C/(e)\,"AdHaleChans, chanson 26, v. 8"
42,8,2,biauté,biauté,2608,N,N,beauté,7s,---,C/V\.'C/V\,"AdHaleChans, chanson 26, v. 8"
43,8,3,sans,sans,2608,Pre,Pre,sans,7s,---,C/V\,"AdHaleChans, chanson 26, v. 8"
44,8,4,mesprison,mesprison,2608,N,N,méprison,7s,---,C/V\.C/V\.'C/V\,"AdHaleChans, chanson 26, v. 8"
45,8,5,",",",",2608,Pnc,Pnc,",",7s,---,,"AdHaleChans, chanson 26, v. 8"
46,9,1,plus,plus,2609,Adv,Adv,plus,7s,---,C/V\,"AdHaleChans, chanson 26, v. 9"
47,9,2,fort,fort,2609,Adj,Adj,fort,7s,---,C/V\,"AdHaleChans, chanson 26, v. 9"
48,9,3,cuers,cuers,2609,N,N,coeur,7s,---,C/V\,"AdHaleChans, chanson 26, v. 9"
49,9,4,s',s',2609,Prn,Prn$$,se,7s,---,C/\,"AdHaleChans, chanson 26, v. 9"
50,9,5,i,i,2609,Prn,Prn$$,y,7s,---,/V\,"AdHaleChans, chanson 26, v. 9"
51,9,6,enracine,enracine,2609,Vfin,Vfin,enraciner,7s,---,/V\.C/V\.'C/V\.C/(e)\,"AdHaleChans, chanson 26, v. 9"
52,9,7,.,.,2609,Pnc,Pnc,.,7s,---,,"AdHaleChans, chanson 26, v. 9"
53,10,1,tel,tel,2610,Adj,Adj,tel,7s,---,C/V\,"AdHaleChans, chanson 26, v. 10"
54,10,2,don,don,2610,N,N,don,7s,---,C/V\,"AdHaleChans, chanson 26, v. 10"
55,10,3,doit,doit,2610,Vfin,Vfin,devoir,7s,---,C/V\,"AdHaleChans, chanson 26, v. 10"
56,10,4,une,une,2610,QIs,QIs,un,7s,---,'/V\.C/(e)\,"AdHaleChans, chanson 26, v. 10"
57,10,5,roine,roine,2610,N,N,reine,7s,---,C/V\.'C/V\.C/(e)\,"AdHaleChans, chanson 26, v. 10"
58,11,1,pardoner,pardoner,2611,Vinf,Vinf,pardonner,7s,---,C/V\.C/V\.'C/V\,"AdHaleChans, chanson 26, v. 11"
59,11,2,a,a,2611,Pre,Pre,à,7s,---,/V\,"AdHaleChans, chanson 26, v. 11"
60,11,3,un,un,2611,QIs,QIs,un,7s,---,/V\,"AdHaleChans, chanson 26, v. 11"
61,11,4,garçon,garçon,2611,N,N,garçon,7s,---,C/V\.'C/V\,"AdHaleChans, chanson 26, v. 11"
62,11,5,",",",",2611,Pnc,Pnc,",",7s,---,,"AdHaleChans, chanson 26, v. 11"
63,12,1,k',k',2612,Sub,Sub,que,7s,---,C/\,"AdHaleChans, chanson 26, v. 12"
64,12,2,en,en,2612,Pre,Pre,en,7s,---,/V\,"AdHaleChans, chanson 26, v. 12"
