wd_id,line_id,linewd,word,lemma,lex_id,textlineid,syntag,syntag2,syllabified,ref
1,1,1,A,à,a,1,Pre,Pre,/V\,"Dolop, v. 1"
2,1,2,poinnes,peine,poinnes,1,N,N,'C/V\.C/e\,"Dolop, v. 1"
3,1,3,puet,pouvoir,puet,1,Vfin,Vfin,C/V\,"Dolop, v. 1"
4,1,4,perdre,perdre,perdre,1,Vinf,Vinf,'C/V\.C/(e)\,"Dolop, v. 1"
5,1,5,sa,son,sa,1,Det,Det,C/V\,"Dolop, v. 1"
6,1,6,poinne,peine,poinne,1,N,N,'C/V\.C/(e)\,"Dolop, v. 1"
7,2,1,qui,qui,qui,2,Qux,Qux,C/V\,"Dolop, v. 2"
8,2,2,sert,servir,sert,2,Vfin,Vfin,C/V\,"Dolop, v. 2"
9,2,3,proudonme,prudhomme,proudonme,2,N,N,C/V\.'C/V\.C/(e)\,"Dolop, v. 2"
10,2,4,et,et,et,2,Crd,Crd,/V\,"Dolop, v. 2"
11,2,5,ki,qui,ki,2,Qux,Qux,C/V\,"Dolop, v. 2"
12,2,6,se,se,se,2,Prn,Prn$$,C/(e)\,"Dolop, v. 2"
13,2,7,poinne,peiner,poinne,2,Vfin,Vfin,'C/V\.C/(e)\,"Dolop, v. 2"
14,3,1,de,de,de,3,Pre,Pre,C/(e)\,"Dolop, v. 3"
15,3,2,lui,lui,lui,3,Prn,Prn$,C/V\,"Dolop, v. 3"
16,3,3,faire,faire,faire,3,Vinf,Vinf,'C/V\.C/(e)\,"Dolop, v. 3"
17,3,4,sa,son,sa,3,Det,Det,C/V\,"Dolop, v. 3"
18,3,5,volenteit,volonté,volenteit,3,N,N,C/V\.C/V\.'C/V\,"Dolop, v. 3"
19,3,6,;,;,;,3,Pnc,Pnc,,"Dolop, v. 3"
20,4,1,mais,mais,mais,4,Crd,Crd,C/V\,"Dolop, v. 4"
21,4,2,l',le,l',4,Det,Det,C/\,"Dolop, v. 4"
22,4,3,en,on,en,4,Prn,Prn$,/V\,"Dolop, v. 4"
23,4,4,n',ne,n',4,Neg,Neg$$,C/\,"Dolop, v. 4"
24,4,5,en,en,en,4,Prn,Prn$$,/V\,"Dolop, v. 4"
25,4,6,trueve,trouver,trueve,4,Vfin,Vfin,'C/V\.C/(e)\,"Dolop, v. 4"
26,4,7,mais,mais,mais,4,Adv,Adv,C/V\,"Dolop, v. 4"
27,4,8,planteit,plenté,planteit,4,N,N,C/V\.'C/V\,"Dolop, v. 4"
28,4,9,:,:,:,4,Pnc,Pnc,,"Dolop, v. 4"
29,5,1,chascuns,chacun,chascuns,5,QIs,QIs,C/V\.'C/V\,"Dolop, v. 5"
30,5,2,jour,jour,jour,5,N,N,C/V\,"Dolop, v. 5"
31,5,3,li,le,li,5,Det,Det,C/V\,"Dolop, v. 5"
32,5,4,ciecles,siècle,ciecles,5,N,N,'C/V\.C/e\,"Dolop, v. 5"
