wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,ref
1,1,1,ore,ore,1,Adv,Adv,or2,'/V\.C/(e)\,"SEdmPass, v. 1"
2,1,2,entendez,entendez,1,Vfin,Vfin,entendre,/V\.C/V\.'C/V\,"SEdmPass, v. 1"
3,1,3,la,la,1,Det,Det,le,C/V\,"SEdmPass, v. 1"
4,1,4,passiun,passiun,1,N,N,passion,C/V\.C/{V}\.'/V\,"SEdmPass, v. 1"
5,2,1,de,de,2,Pre,Pre,de,C/(e)\,"SEdmPass, v. 2"
6,2,2,seint,seint,2,Adj,Adj,saint,C/V\,"SEdmPass, v. 2"
7,2,3,edmunt,edmunt,2,N,N,Edmond,/V\.'C/V\,"SEdmPass, v. 2"
8,2,4,",",",",2,Pnc,Pnc,",",,"SEdmPass, v. 2"
9,2,5,le,le,2,Det,Det,le,C/(e)\,"SEdmPass, v. 2"
10,2,6,bon,bon,2,Adj,Adj,bon,C/V\,"SEdmPass, v. 2"
11,2,7,barun,barun,2,N,N,baron,C/V\.'C/V\,"SEdmPass, v. 2"
12,2,8,",",",",2,Pnc,Pnc,",",,"SEdmPass, v. 2"
13,3,1,ki,ki,3,Qux,Qux,qui,C/V\,"SEdmPass, v. 3"
14,3,2,reis,reis,3,N,N,roi,C/V\,"SEdmPass, v. 3"
15,3,3,esteit,esteit,3,Vfin,Vfin,être,/V\.'C/V\,"SEdmPass, v. 3"
16,3,4,mult,mult,3,QIs,QIs,moult,C/V\,"SEdmPass, v. 3"
17,3,5,poestis,poestis,3,Adj,Adj,poesteif,C/V\.C/V\.'C/V\,"SEdmPass, v. 3"
18,4,1,tant,tant,4,QIs,QIs,tant,C/V\,"SEdmPass, v. 4"
19,4,2,cum,cum,4,Sub,Sub,comme,C/V\,"SEdmPass, v. 4"
20,4,3,vesquid,vesquid,4,Vfin,Vfin,vivre,C/V\.'C/V\,"SEdmPass, v. 4"
21,4,4,en,en,4,Pre,Pre,en,/V\,"SEdmPass, v. 4"
22,4,5,sun,sun,4,Det,Det,son4,C/V\,"SEdmPass, v. 4"
23,4,6,païs,païs,4,N,N,pays,C/V\.'C/V\,"SEdmPass, v. 4"
24,4,7,.,.,4,Pnc,Pnc,.,,"SEdmPass, v. 4"
25,5,1,sicum,sicum,5,Sub,Sub,sicomme,C/V\.'C/V\,"SEdmPass, v. 5"
26,5,2,la,la,5,Det,Det,le,C/V\,"SEdmPass, v. 5"
27,5,3,letre,letre,5,N,N,lettre,'C/V\.C/(e)\,"SEdmPass, v. 5"
28,5,4,le,le,5,Prn,Prn$$,le,C/(e)\,"SEdmPass, v. 5"
29,5,5,nus,nus,5,Prn,Prn$$,nous,C/V\,"SEdmPass, v. 5"
30,5,6,dit,dit,5,Vfin,Vfin,dire,C/V\,"SEdmPass, v. 5"
31,5,7,",",",",5,Pnc,Pnc,",",,"SEdmPass, v. 5"
32,6,1,e,e,6,Crd,Crd,et,/V\,"SEdmPass, v. 6"
33,6,2,nus,nus,6,Prn,Prn$,nous,C/V\,"SEdmPass, v. 6"
34,6,3,le,le,6,Prn,Prn$$,le,C/(e)\,"SEdmPass, v. 6"
35,6,4,truvum,truvum,6,Vfin,Vfin,trouver,C/V\.'C/V\,"SEdmPass, v. 6"
36,6,5,en,en,6,Pre,Pre,en,/V\,"SEdmPass, v. 6"
37,6,6,escrit,escrit,6,N,N,écrit,/V\.'C/V\,"SEdmPass, v. 6"
38,6,7,:,:,6,Pnc,Pnc,:,,"SEdmPass, v. 6"
39,7,1,ki,ki,7,Qux,Qux,qui,C/V\,"SEdmPass, v. 7"
40,7,2,de,de,7,Pre,Pre,de,C/(e)\,"SEdmPass, v. 7"
41,7,3,cest,cest,7,Dem,Dem,cist,C/V\,"SEdmPass, v. 7"
42,7,4,mund,mund,7,N,N,monde,C/V\,"SEdmPass, v. 7"
43,7,5,ad,ad,7,Vfin,Vfin,avoir,/V\,"SEdmPass, v. 7"
44,7,6,sun,sun,7,Det,Det,son4,C/V\,"SEdmPass, v. 7"
45,7,7,delit,delit,7,N,N,délit,C/V\.'C/V\,"SEdmPass, v. 7"
46,8,1,al,al,8,Pre+Det,Pre+Det,à.le,/V\,"SEdmPass, v. 8"
47,8,2,rei,rei,8,N,N,roi,C/V\,"SEdmPass, v. 8"
48,8,3,del,del,8,Pre+Det,Pre+Det,de.le,C/V\,"SEdmPass, v. 8"
49,8,4,cel,cel,8,N,N,ciel,C/V\,"SEdmPass, v. 8"
50,8,5,ert,ert,8,Vfin,Vfin,être,/V\,"SEdmPass, v. 8"
51,8,6,en,en,8,Pre,Pre,en,/V\,"SEdmPass, v. 8"
52,8,7,despit,despit,8,N,N,dépit,C/V\.'C/V\,"SEdmPass, v. 8"
53,8,8,.,.,8,Pnc,Pnc,.,,"SEdmPass, v. 8"
54,9,1,pur,pur,9,Pre,Pre,pour,C/V\,"SEdmPass, v. 9"
55,9,2,ço,ço,9,Prn,Prn,ce,C/V\,"SEdmPass, v. 9"
56,9,3,nus,nus,9,Prn,Prn$$,nous,C/V\,"SEdmPass, v. 9"
57,9,4,cuvent,cuvent,9,Vfin,Vfin,convenir,C/V\.'C/V\,"SEdmPass, v. 9"
58,9,5,laborer,laborer,9,Vinf,Vinf,labourer,C/V\.C/V\.'C/V\,"SEdmPass, v. 9"
59,10,1,e,e,10,Crd,Crd,et,/V\,"SEdmPass, v. 10"
60,10,2,nuit,nuit,10,N,N,nuit,C/V\,"SEdmPass, v. 10"
61,10,3,e,e,10,Crd,Crd,et,/V\,"SEdmPass, v. 10"
62,10,4,jur,jur,10,N,N,jour,C/V\,"SEdmPass, v. 10"
63,10,5,nos,nos,10,Det,Det,notre,C/V\,"SEdmPass, v. 10"
64,10,6,cors,cors,10,N,N,corps,C/V\,"SEdmPass, v. 10"
65,10,7,pener,pener,10,Vinf,Vinf,peiner,C/V\.'C/V\,"SEdmPass, v. 10"
66,11,1,en,en,11,Pre,Pre,en,/V\,"SEdmPass, v. 11"
67,11,2,sun,sun,11,Det,Det,son4,C/V\,"SEdmPass, v. 11"
68,11,3,servise,servise,11,N,N,service,C/V\.'C/V\.C/(e)\,"SEdmPass, v. 11"
69,11,4,ki,ki,11,Qux,Qux,qui,C/V\,"SEdmPass, v. 11"
70,11,5,nus,nus,11,Prn,Prn$$,nous,C/V\,"SEdmPass, v. 11"
71,11,6,ad,ad,11,Vfin,Vfin,avoir,/V\,"SEdmPass, v. 11"
72,11,7,cher,cher,11,Adj,Adj,cher,C/V\,"SEdmPass, v. 11"
73,11,8,.,.,11,Pnc,Pnc,.,,"SEdmPass, v. 11"
74,12,1,vint,vint,12,Vfin,Vfin,venir,C/V\,"SEdmPass, v. 12"
75,12,2,par,par,12,Pre,Pre,par,C/V\,"SEdmPass, v. 12"
76,12,3,son,son,12,Det,Det,son4,C/V\,"SEdmPass, v. 12"
77,12,4,seint,seint,12,Adj,Adj,saint,C/V\,"SEdmPass, v. 12"
78,12,5,cors,cors,12,N,N,corps,C/V\,"SEdmPass, v. 12"
79,12,6,rachater,rachater,12,Vinf,Vinf,racheter,C/V\.C/V\.'C/V\,"SEdmPass, v. 12"
80,13,1,de,de,13,Pre,Pre,de,C/(e)\,"SEdmPass, v. 13"
